Pfam_code,alignment_type,score_original
PF00137,HMMER,1.81
PF00143,HMMER,3.26
PF00144,HMMER,0.57
PF00145,HMMER,1.03
PF00147,HMMER,2.32
PF00149,HMMER,0.58
PF00151,HMMER,2.09
PF00152,HMMER,0.9
PF00153,HMMER,0.83
PF00155,FULL,0.57
PF00156,HMMER,0.97
PF00157,HMMER,3.28
PF00159,HMMER,3.14
PF00160,HMMER,2.7
PF00162,HMMER,4.64
PF00163,HMMER,0.89
PF00164,HMMER,2.01
PF00167,HMMER,1.94
PF00168,HMMER,0.79
PF00169,HMMER,0.56
PF00170,HMMER,1.6
PF00171,HMMER,1.45
PF00173,HMMER,1.31
PF00175,HMMER,1.08
PF00176,SEED,1.29
PF00177,HMMER,0.85
PF00178,HMMER,2.8
PF00179,HMMER,1.66
PF00180,FULL,2.25
PF00181,HMMER,1.05
PF00183,HMMER,2.84
PF00184,HMMER,5.08
PF00185,HMMER,0.87
PF00186,HMMER,4.93
PF00188,FULL,1.95
PF00191,HMMER,1.53
PF00193,HMMER,2.1
PF00194,HMMER,1.85
PF00198,HMMER,1.46
PF00200,HMMER,3.08
PF00201,FULL,2.56
PF00202,HMMER,1.39
PF00204,FULL,4.7
PF00205,HMMER,1.17
PF00206,HMMER,0.24
PF00207,HMMER,2.08
PF00208,HMMER,5.2
PF00209,HMMER,2.4
PF00210,HMMER,3.36
PF00211,SEED,2.14
PF00212,HMMER,2.72
PF00214,FULL,2.13
PF00217,HMMER,4.1
PF00219,FULL,2.75
PF00220,HMMER,5.22
PF00224,FULL,4.51
PF00225,HMMER,1.77
PF00226,HMMER,2.4
PF00227,HMMER,0.79
PF00229,HMMER,0.79
PF00230,SEED,2.63
PF00232,SEED,2.54
PF00233,HMMER,1.83
PF00235,FULL,3.09
PF00237,HMMER,0.5
PF00238,HMMER,0.51
PF00240,HMMER,1.38
PF00241,HMMER,0.78
PF00243,HMMER,3.26
PF00244,HMMER,3.8
PF00245,HMMER,4.02
PF00246,HMMER,1.35
PF00248,HMMER,1.66
PF00249,FULL,1.87
PF00250,HMMER,2.98
PF00252,HMMER,2.15
PF00253,HMMER,0.84
PF00254,HMMER,1.91
PF00255,HMMER,2.39
PF00258,HMMER,1.61
PF00261,HMMER,4.07
PF00262,HMMER,2.6
PF00264,FULL,2.72
PF00266,HMMER,0.4
PF00268,HMMER,4.65
PF00270,SEED,1.04
PF00271,HMMER,0.85
PF00273,HMMER,1.04
PF00274,FULL,4.29
PF00276,FULL,3.25
PF00277,HMMER,3.63
PF00282,HMMER,1.75
PF00285,FULL,4.9
PF00287,FULL,2.5
PF00288,HMMER,0.89
PF00289,HMMER,2.22
PF00291,HMMER,0.73
PF00292,HMMER,3.91
PF00293,HMMER,0.65
PF00294,HMMER,0.25
PF00297,HMMER,2.29
PF00298,HMMER,0.97
PF00300,HMMER,1.29
PF00305,HMMER,2.41
PF00307,HMMER,0.73
PF00312,HMMER,0.44
PF00313,HMMER,1.55
PF00316,HMMER,4.06
PF00318,HMMER,2.12
PF00319,HMMER,3.71
PF00320,HMMER,2.82
PF00322,HMMER,4.89
PF00323,HMMER,2.85
PF00324,HMMER,2.16
PF00326,HMMER,1.03
PF00327,HMMER,1.29
PF00328,SEED,3.94
PF00330,HMMER,2.05
PF00333,HMMER,0.63
PF00334,FULL,2.03
PF00335,SEED,0.89
PF00337,HMMER,1.55
PF00338,HMMER,0.71
PF00339,HMMER,1.03
PF00340,HMMER,1.31
PF00341,HMMER,1.76
PF00343,HMMER,4.45
PF00344,FULL,4.79
PF00347,HMMER,0.22
PF00348,HMMER,0.5
PF00349,HMMER,2.97
PF00350,HMMER,1.09
PF00351,HMMER,3.55
PF00352,HMMER,1.86
PF00354,HMMER,1.27
PF00355,HMMER,2.35
PF00357,HMMER,2.75
PF00361,FULL,0.59
PF00362,HMMER,2.74
PF00364,HMMER,1.1
PF00365,FULL,2.92
PF00366,HMMER,0.68
PF00370,HMMER,1.49
PF00373,HMMER,0.83
PF00375,HMMER,2.69
PF00377,HMMER,0.89
PF00378,HMMER,1.15
PF00380,HMMER,1.35
PF00382,HMMER,0.59
PF00383,HMMER,0.68
PF00385,HMMER,1.8
PF00386,SEED,1.21
PF00387,HMMER,2.42
PF00388,HMMER,2.75
PF00389,HMMER,1.38
PF00390,HMMER,4.07
PF00396,HMMER,3.32
PF00397,HMMER,2.48
PF00398,HMMER,0.61
PF00400,FULL,1.06
PF00402,HMMER,3.38
PF00403,HMMER,1.96
PF00405,SEED,2.69
PF00406,HMMER,1.3
PF00411,HMMER,1.18
PF00412,HMMER,1.45
PF00413,SEED,2.87
PF00414,FULL,2.63
PF00415,FULL,1.46
PF00418,HMMER,3.08
PF00428,HMMER,1.45
PF00429,HMMER,1.53
PF00431,HMMER,1.37
PF00432,HMMER,1.38
PF00433,HMMER,1.25
PF00435,HMMER,0.48
PF00438,HMMER,4.64
PF00439,HMMER,1.47
PF00441,HMMER,1.22
PF00443,SEED,0.7
PF00446,HMMER,4.5
PF00447,HMMER,2.3
PF00448,HMMER,1.42
PF00450,FULL,3.42
PF00452,HMMER,1.25
PF00454,HMMER,1.04
PF00456,HMMER,3.95
PF00458,HMMER,1.98
PF00459,HMMER,0.86
PF00462,HMMER,1.36
PF00464,HMMER,3.76
PF00466,HMMER,1.32
PF00467,HMMER,1.5
PF00472,HMMER,1.52
PF00473,HMMER,1.73
PF00474,HMMER,1.64
PF00476,HMMER,1.62
PF00478,FULL,2.78
PF00479,FULL,3.65
PF00481,HMMER,1.09
PF00483,HMMER,1.18
PF00485,HMMER,3.37
PF00487,HMMER,0.74
PF00488,HMMER,2.02
PF00491,HMMER,1.91
PF00493,HMMER,2.49
PF00494,HMMER,-0.17
PF00498,FULL,1.07
PF00501,SEED,1.26
PF00503,HMMER,2.67
PF00505,HMMER,1.72
PF00514,HMMER,0.88
PF00515,HMMER,1.15
PF00517,HMMER,4.88
PF00520,HMMER,0.61
PF00521,HMMER,4.29
PF00525,HMMER,2.59
PF00530,HMMER,2.27
PF00531,HMMER,0.76
PF00533,HMMER,0.45
PF00534,HMMER,0.44
PF00535,HMMER,1.45
PF00536,HMMER,0.97
PF00538,HMMER,1.93
PF00549,FULL,1.92
PF00550,HMMER,0.88
PF00551,HMMER,1.42
PF00552,FULL,5.95
PF00554,HMMER,1.85
PF00557,HMMER,0.64
PF00560,FULL,1.49
PF00561,FULL,0.7
PF00562,HMMER,1.99
PF00564,HMMER,0.61
PF00565,HMMER,0.88
PF00566,HMMER,1.02
PF00567,HMMER,0.62
PF00568,HMMER,1.53
PF00569,HMMER,2.21
PF00570,FULL,1.71
PF00571,HMMER,0.98
PF00572,HMMER,0.8
PF00573,FULL,2.44
PF00575,FULL,1.14
PF00578,HMMER,2.73
PF00579,HMMER,0.09
PF00580,HMMER,0.95
PF00581,HMMER,0.46
PF00583,HMMER,0.5
PF00586,HMMER,2.16
PF00587,HMMER,0.97
PF00588,FULL,1.35
PF00594,HMMER,3.18
PF00595,HMMER,1.11
PF00596,FULL,2.83
PF00605,HMMER,2.6
PF00607,HMMER,5.09
PF00609,HMMER,2.27
PF00610,HMMER,1.26
PF00611,HMMER,1.08
PF00612,HMMER,1.69
PF00613,HMMER,1.49
PF00614,HMMER,4.69
PF00615,SEED,1.17
PF00616,HMMER,1.4
PF00617,HMMER,1.33
PF00618,HMMER,0.93
PF00619,HMMER,0.69
PF00620,HMMER,1.31
PF00621,HMMER,0.89
PF00622,SEED,0.66
PF00623,SEED,2.19
PF00625,HMMER,1.43
PF00626,HMMER,0.7
PF00627,HMMER,1.19
PF00628,HMMER,2.1
PF00629,FULL,1.25
PF00630,HMMER,1.51
PF00631,HMMER,1.78
PF00632,HMMER,1.47
PF00633,HMMER,1.87
PF00634,HMMER,1.48
PF00635,HMMER,1.36
PF00636,HMMER,1.43
PF00637,HMMER,0.36
PF00638,HMMER,2.98
PF00640,SEED,1.29
PF00641,HMMER,2.34
PF00642,HMMER,2.34
PF00643,HMMER,1.99
PF00644,HMMER,1.15
PF00645,FULL,2.82
PF00646,HMMER,1.0
PF00648,HMMER,2.17
PF00650,HMMER,1.32
PF00651,HMMER,1.17
PF00652,HMMER,0.98
PF00653,HMMER,2.54
PF00654,HMMER,1.89
PF00656,SEED,1.18
PF00657,HMMER,0.67
PF00658,HMMER,3.65
PF00659,HMMER,1.02
PF00664,HMMER,0.24
PF00665,HMMER,4.58
PF00666,HMMER,0.72
PF00667,HMMER,1.52
PF00670,HMMER,3.45
PF00675,HMMER,0.96
PF00676,HMMER,1.17
PF00679,HMMER,1.17
PF00681,HMMER,1.94
PF00682,HMMER,2.81
PF00683,HMMER,2.59
PF00684,HMMER,3.0
PF00685,HMMER,0.85
PF00686,HMMER,1.21
PF00687,FULL,2.58
PF00688,HMMER,0.84
PF00689,FULL,1.4
PF00690,HMMER,1.16
PF00692,HMMER,1.08
PF00694,FULL,3.31
PF00696,HMMER,-0.13
PF00698,HMMER,0.63
PF00701,HMMER,0.81
PF00702,HMMER,0.41
PF00704,SEED,2.99
PF00708,HMMER,3.36
PF00709,HMMER,4.34
PF00711,HMMER,2.09
PF00717,HMMER,4.23
PF00719,HMMER,4.32
PF00723,FULL,3.22
PF00725,SEED,1.4
PF00726,HMMER,1.28
PF00728,HMMER,2.27
PF00730,SEED,0.54
PF00733,HMMER,0.66
PF00735,HMMER,2.83
PF00736,HMMER,4.63
PF00743,HMMER,3.03
PF00748,FULL,2.5
PF00749,FULL,2.45
PF00750,HMMER,1.52
PF00751,HMMER,4.26
PF00752,HMMER,0.86
PF00753,HMMER,0.41
PF00754,HMMER,1.43
PF00755,SEED,1.14
PF00757,SEED,3.01
PF00758,FULL,3.1
PF00763,HMMER,1.93
PF00769,HMMER,2.73
PF00773,HMMER,1.5
PF00777,HMMER,0.98
PF00778,HMMER,2.83
PF00779,HMMER,2.66
PF00780,SEED,0.76
PF00781,HMMER,1.75
PF00782,HMMER,1.42
PF00784,HMMER,1.37
PF00786,HMMER,1.57
PF00787,HMMER,0.96
PF00788,HMMER,0.45
PF00789,HMMER,0.81
PF00790,HMMER,1.82
PF00791,FULL,2.37
PF00792,HMMER,1.2
PF00794,HMMER,0.9
PF00795,HMMER,0.75
PF00797,FULL,4.64
PF00801,HMMER,0.75
PF00804,FULL,2.2
PF00805,FULL,1.27
PF00806,HMMER,1.51
PF00808,HMMER,1.11
PF00810,HMMER,4.22
PF00812,HMMER,2.22
PF00814,HMMER,0.98
PF00817,HMMER,1.6
PF00821,HMMER,4.17
PF00822,HMMER,1.03
PF00828,FULL,2.39
PF00832,FULL,5.1
PF00834,HMMER,5.06
PF00835,HMMER,2.65
PF00836,HMMER,3.06
PF00837,HMMER,1.67
PF00838,HMMER,3.8
PF00839,HMMER,1.07
PF00849,FULL,1.72
PF00850,HMMER,1.8
PF00852,FULL,2.78
PF00853,HMMER,5.0
PF00854,HMMER,0.9
PF00855,HMMER,1.16
PF00856,HMMER,1.15
PF00857,HMMER,2.54
PF00858,FULL,1.86
PF00859,FULL,3.49
PF00860,FULL,2.77
PF00864,HMMER,2.5
PF00867,SEED,1.7
PF00868,HMMER,1.52
PF00870,FULL,4.47
PF00875,HMMER,4.29
PF00876,HMMER,1.11
PF00878,SEED,1.32
PF00879,HMMER,2.94
PF00880,FULL,1.55
PF00883,HMMER,1.29
PF00884,SEED,1.52
PF00887,HMMER,2.06
PF00888,HMMER,1.34
PF00891,HMMER,2.34
PF00892,HMMER,0.76
PF00899,HMMER,0.81
PF00900,HMMER,4.8
PF00903,FULL,0.96
PF00904,FULL,3.09
PF00907,HMMER,3.04
PF00909,HMMER,2.02
PF00916,HMMER,1.75
PF00918,HMMER,4.92
PF00919,HMMER,1.34
PF00927,HMMER,0.48
PF00928,SEED,0.36
PF00929,HMMER,0.56
PF00930,HMMER,1.35
PF00932,HMMER,1.82
PF00935,HMMER,5.33
PF00939,HMMER,2.39
PF00941,FULL,2.08
PF00955,HMMER,2.56
PF00956,HMMER,2.42
PF00957,HMMER,1.73
PF00962,HMMER,0.74
PF00965,FULL,3.18
PF00969,HMMER,2.93
PF00970,HMMER,2.49
PF00975,HMMER,0.07
PF00976,HMMER,2.71
PF00988,FULL,3.57
PF00989,HMMER,1.83
PF00992,HMMER,1.45
PF00993,HMMER,2.1
PF00994,HMMER,0.5
PF00995,HMMER,0.81
PF00996,HMMER,3.82
PF00999,HMMER,0.95
PF01000,HMMER,1.84
PF01007,HMMER,2.81
PF01008,HMMER,0.77
PF01012,FULL,2.73
PF01017,HMMER,1.56
PF01018,FULL,3.12
PF01019,HMMER,2.87
PF01023,HMMER,1.77
PF01025,HMMER,2.82
PF01026,HMMER,0.74
PF01027,FULL,1.73
PF01028,HMMER,4.13
PF01030,HMMER,1.44
PF01031,HMMER,1.78
PF01033,HMMER,2.54
PF01034,FULL,3.31
PF01039,HMMER,1.23
PF01040,HMMER,-0.03
PF01044,HMMER,1.88
PF01048,FULL,1.63
PF01049,HMMER,2.96
PF01055,HMMER,2.24
PF01056,HMMER,2.25
PF01061,HMMER,1.2
PF01062,HMMER,3.58
PF01063,FULL,4.23
PF01064,SEED,1.72
PF01066,HMMER,1.03
PF01067,HMMER,1.64
PF01068,SEED,1.21
PF01070,HMMER,2.46
PF01073,HMMER,1.63
PF01074,HMMER,1.35
PF01079,HMMER,2.29
PF01080,HMMER,4.44
PF01082,HMMER,1.77
PF01084,HMMER,1.87
PF01085,HMMER,4.59
PF01086,FULL,3.6
PF01088,HMMER,1.64
PF01091,HMMER,3.12
PF01093,SEED,1.02
PF01094,SEED,0.65
PF01096,HMMER,3.02
PF01099,SEED,1.13
PF01101,HMMER,2.38
PF01102,HMMER,2.37
PF01105,SEED,2.28
PF01108,HMMER,0.86
PF01111,HMMER,4.78
PF01112,FULL,2.16
PF01119,HMMER,1.26
PF01120,HMMER,3.64
PF01121,HMMER,1.3
PF01122,HMMER,1.01
PF01124,HMMER,0.81
PF01126,HMMER,3.15
PF01129,HMMER,1.66
PF01130,HMMER,1.78
PF01131,HMMER,1.86
PF01135,HMMER,2.09
PF01137,HMMER,1.11
PF01138,FULL,0.99
PF01142,HMMER,1.52
PF01144,FULL,1.75
PF01145,HMMER,0.82
PF01146,HMMER,2.81
PF01148,FULL,4.45
PF01150,HMMER,1.43
PF01151,HMMER,1.79
PF01153,HMMER,1.74
PF01154,HMMER,4.32
PF01160,HMMER,1.6
PF01161,HMMER,1.89
PF01163,HMMER,1.55
PF01166,HMMER,3.73
PF01167,HMMER,3.3
PF01169,FULL,2.65
PF01170,HMMER,0.94
PF01176,HMMER,2.55
PF01179,FULL,3.26
PF01180,FULL,2.93
PF01182,HMMER,1.44
PF01186,HMMER,3.55
PF01187,HMMER,2.61
PF01189,HMMER,1.27
PF01193,HMMER,0.89
PF01201,HMMER,0.63
PF01202,HMMER,0.41
PF01207,HMMER,1.15
PF01210,HMMER,3.6
PF01213,HMMER,3.12
PF01216,HMMER,3.7
PF01217,HMMER,1.14
PF01221,HMMER,3.18
PF01222,HMMER,2.38
PF01223,HMMER,0.97
PF01230,HMMER,1.79
PF01231,HMMER,2.29
PF01233,HMMER,4.8
PF01234,SEED,1.87
PF01237,FULL,2.4
PF01239,HMMER,1.23
PF01244,FULL,3.6
PF01246,HMMER,2.47
PF01248,HMMER,0.73
PF01253,HMMER,1.63
PF01255,HMMER,0.66
PF01266,FULL,0.97
PF01267,HMMER,2.92
PF01268,HMMER,4.0
PF01269,FULL,5.0
PF01271,SEED,0.61
PF01273,SEED,0.44
PF01275,HMMER,2.93
PF01279,HMMER,1.94
PF01283,HMMER,4.95
PF01284,HMMER,0.42
PF01285,HMMER,5.15
PF01287,HMMER,4.08
PF01290,HMMER,4.24
PF01291,HMMER,0.46
PF01296,HMMER,5.69
PF01299,FULL,1.48
PF01301,HMMER,2.71
PF01302,HMMER,2.5
PF01315,FULL,2.36
PF01321,HMMER,2.17
PF01329,FULL,4.22
PF01335,HMMER,0.91
PF01336,FULL,1.26
PF01342,HMMER,2.27
PF01344,HMMER,1.43
PF01347,HMMER,0.25
PF01352,HMMER,2.99
PF01363,HMMER,2.36
PF01365,HMMER,1.36
PF01369,HMMER,2.26
PF01370,HMMER,0.1
PF01380,SEED,-0.13
PF01384,HMMER,2.15
PF01387,HMMER,2.88
PF01388,HMMER,1.84
PF01390,HMMER,0.97
PF01391,HMMER,2.07
PF01392,HMMER,1.82
PF01393,FULL,4.91
PF01394,HMMER,0.41
PF01398,HMMER,0.7
PF01399,HMMER,0.45
PF01400,HMMER,2.53
PF01401,HMMER,2.61
PF01403,HMMER,1.09
PF01404,HMMER,3.08
PF01406,HMMER,2.64
PF01408,HMMER,1.13
PF01409,HMMER,1.22
PF01410,SEED,4.56
PF01411,HMMER,2.78
PF01412,HMMER,2.06
PF01413,HMMER,2.84
PF01414,HMMER,3.7
PF01416,HMMER,0.37
PF01417,HMMER,2.81
PF01419,HMMER,1.58
PF01421,SEED,1.62
PF01422,HMMER,3.81
PF01423,HMMER,0.93
PF01424,HMMER,1.29
PF01425,FULL,1.34
PF01426,HMMER,0.82
PF01428,HMMER,2.09
PF01429,HMMER,1.3
PF01431,HMMER,2.85
PF01432,HMMER,1.96
PF01433,HMMER,1.81
PF01434,HMMER,2.01
PF01435,HMMER,0.41
PF01436,HMMER,1.73
PF01437,HMMER,1.91
PF01442,HMMER,0.75
PF01448,HMMER,1.43
PF01454,HMMER,2.6
PF01457,HMMER,0.89
PF01459,HMMER,1.65
PF01462,HMMER,2.26
PF01463,HMMER,1.53
PF01465,HMMER,3.17
PF01467,HMMER,0.81
PF01470,HMMER,2.28
PF01471,HMMER,1.53
PF01472,HMMER,2.19
PF01476,HMMER,2.36
PF01477,HMMER,1.01
PF01479,FULL,1.83
PF01480,HMMER,1.31
PF01483,HMMER,2.47
PF01485,FULL,1.59
PF01490,HMMER,0.87
PF01494,HMMER,1.58
PF01496,FULL,3.17
PF01500,HMMER,4.09
PF01501,HMMER,0.72
PF01504,HMMER,1.86
PF01505,FULL,2.61
PF01509,HMMER,1.21
PF01510,HMMER,2.29
PF01513,HMMER,1.63
PF01521,HMMER,1.28
PF01529,HMMER,1.41
PF01530,HMMER,4.33
PF01531,HMMER,3.4
PF01532,SEED,2.05
PF01534,FULL,2.7
PF01535,FULL,0.9
PF01545,HMMER,1.05
PF01546,HMMER,0.32
PF01553,HMMER,0.61
PF01554,HMMER,1.31
PF01556,HMMER,1.95
PF01557,FULL,1.83
PF01562,FULL,1.21
PF01564,HMMER,0.81
PF01565,HMMER,1.03
PF01566,FULL,4.56
PF01569,HMMER,0.79
PF01571,HMMER,1.11
PF01575,HMMER,0.62
PF01576,HMMER,2.39
PF01582,HMMER,1.04
PF01583,HMMER,4.59
PF01585,HMMER,2.22
PF01586,HMMER,1.85
PF01588,HMMER,3.45
PF01590,HMMER,1.13
PF01591,HMMER,3.8
PF01593,HMMER,0.56
PF01595,HMMER,2.73
PF01596,HMMER,1.12
PF01597,HMMER,1.04
PF01602,HMMER,0.77
PF01603,HMMER,4.09
PF01607,HMMER,3.0
PF01608,HMMER,1.86
PF01612,HMMER,0.73
PF01619,HMMER,2.13
PF01624,HMMER,0.39
PF01630,FULL,2.58
PF01633,HMMER,2.16
PF01636,HMMER,0.99
PF01641,HMMER,2.42
PF01650,HMMER,1.44
PF01652,FULL,3.11
PF01661,SEED,1.06
PF01663,SEED,2.25
PF01667,HMMER,5.56
PF01693,HMMER,1.28
PF01694,HMMER,0.65
PF01699,HMMER,1.02
PF01702,FULL,2.51
PF01704,HMMER,1.64
PF01712,HMMER,1.4
PF01722,HMMER,1.66
PF01728,FULL,1.62
PF01731,HMMER,3.53
PF01733,SEED,2.2
PF01734,HMMER,0.68
PF01735,HMMER,2.26
PF01740,FULL,1.03
PF01747,HMMER,4.65
PF01749,FULL,2.46
PF01751,FULL,2.48
PF01753,HMMER,2.43
PF01754,HMMER,2.51
PF01755,HMMER,3.19
PF01756,HMMER,0.93
PF01758,HMMER,1.76
PF01759,HMMER,0.64
PF01762,HMMER,1.65
PF01764,HMMER,2.08
PF01769,FULL,2.13
PF01770,HMMER,2.43
PF01773,HMMER,3.53
PF01776,HMMER,4.01
PF01778,FULL,2.44
PF01780,FULL,5.0
PF01794,FULL,1.13
PF01795,HMMER,5.02
PF01798,HMMER,1.75
PF01799,HMMER,4.37
PF01803,HMMER,4.44
PF01805,HMMER,1.8
PF01812,HMMER,0.32
PF01821,FULL,3.14
PF01822,HMMER,1.38
PF01823,HMMER,0.81
PF01825,HMMER,2.24
PF01826,SEED,2.49
PF01833,HMMER,0.74
PF01834,HMMER,1.76
PF01835,HMMER,1.66
PF01839,SEED,2.35
PF01840,HMMER,1.8
PF01841,HMMER,2.68
PF01843,HMMER,1.57
PF01846,SEED,1.21
PF01847,HMMER,3.68
PF01849,HMMER,2.87
PF01851,HMMER,0.88
PF01852,HMMER,0.44
PF01853,HMMER,3.53
PF01857,HMMER,2.53
PF01858,HMMER,2.24
PF01866,FULL,3.26
PF01871,FULL,5.14
PF01873,HMMER,1.14
PF01883,FULL,3.95
PF01896,FULL,3.65
PF01900,FULL,0.36
PF01909,HMMER,1.33
PF01918,HMMER,2.9
PF01920,HMMER,0.36
PF01926,HMMER,1.22
PF01937,FULL,2.32
PF01938,HMMER,0.77
PF01956,HMMER,0.25
PF01963,HMMER,1.84
PF01974,HMMER,1.11
PF01979,FULL,1.48
PF01981,FULL,2.4
PF01991,HMMER,3.67
PF01992,FULL,4.6
PF01997,HMMER,0.89
PF02005,HMMER,0.97
PF02008,HMMER,2.75
PF02010,HMMER,0.4
PF02014,HMMER,1.18
PF02017,HMMER,1.81
PF02019,FULL,2.35
PF02020,HMMER,1.55
PF02022,FULL,5.36
PF02023,HMMER,2.93
PF02026,HMMER,1.97
PF02029,HMMER,0.94
PF02036,FULL,2.53
PF02037,HMMER,1.43
PF02038,HMMER,2.58
PF02044,HMMER,4.5
PF02046,FULL,3.84
PF02058,HMMER,2.23
PF02060,HMMER,1.58
PF02063,FULL,2.25
PF02064,HMMER,2.45
PF02078,HMMER,3.79
PF02089,FULL,3.32
PF02096,HMMER,1.16
PF02099,HMMER,2.16
PF02100,HMMER,2.84
PF02114,HMMER,1.81
PF02115,HMMER,3.55
PF02121,HMMER,2.89
PF02135,HMMER,3.41
PF02136,FULL,2.61
PF02137,FULL,2.06
PF02138,HMMER,2.74
PF02140,FULL,4.06
PF02141,HMMER,1.31
PF02142,HMMER,0.36
PF02145,HMMER,2.14
PF02146,FULL,2.3
PF02148,HMMER,1.89
PF02149,HMMER,3.07
PF02150,HMMER,2.0
PF02158,FULL,4.22
PF02170,HMMER,1.57
PF02171,FULL,2.6
PF02172,FULL,4.96
PF02173,FULL,3.7
PF02174,HMMER,1.13
PF02176,FULL,2.07
PF02177,HMMER,3.29
PF02178,HMMER,3.47
PF02179,FULL,1.23
PF02180,FULL,3.38
PF02181,HMMER,1.14
PF02182,FULL,4.97
PF02185,HMMER,1.61
PF02187,HMMER,3.21
PF02188,HMMER,2.45
PF02189,HMMER,1.31
PF02190,HMMER,0.81
PF02191,HMMER,1.88
PF02192,HMMER,2.31
PF02194,HMMER,1.02
PF02196,HMMER,1.26
PF02197,HMMER,1.68
PF02198,HMMER,1.6
PF02199,HMMER,3.23
PF02201,HMMER,2.64
PF02204,HMMER,1.14
PF02205,FULL,1.9
PF02207,HMMER,2.11
PF02208,HMMER,3.05
PF02209,HMMER,2.52
PF02210,FULL,0.79
PF02212,HMMER,1.83
PF02213,HMMER,2.83
PF02214,HMMER,1.43
PF02218,HMMER,3.57
PF02221,HMMER,0.21
PF02223,HMMER,0.59
PF02225,HMMER,0.83
PF02230,HMMER,2.19
PF02234,HMMER,2.63
PF02238,HMMER,2.83
PF02244,HMMER,1.48
PF02251,HMMER,2.46
PF02252,HMMER,2.47
PF02256,FULL,3.89
PF02257,HMMER,2.49
PF02259,HMMER,0.1
PF02260,HMMER,2.08
PF02262,HMMER,2.34
PF02263,HMMER,2.37
PF02267,HMMER,2.0
PF02269,HMMER,1.43
PF02275,FULL,4.18
PF02285,HMMER,2.44
PF02291,FULL,5.11
PF02295,FULL,2.71
PF02296,FULL,4.64
PF02297,HMMER,1.61
PF02301,HMMER,1.33
PF02310,FULL,3.45
PF02318,HMMER,1.63
PF02319,HMMER,2.14
PF02320,HMMER,5.11
PF02337,HMMER,5.25
PF02338,SEED,0.37
PF02351,HMMER,1.01
PF02354,HMMER,2.22
PF02359,HMMER,-0.4
PF02366,HMMER,1.81
PF02368,HMMER,2.55
PF02372,FULL,0.73
PF02373,HMMER,0.99
PF02375,HMMER,2.67
PF02376,HMMER,2.25
