uniprot	domain_id	domain_name	start	end
A1L0T0	PF02775	Thiamine pyrophosphate enzyme, C-terminal TPP binding domain	467	618
A1L0T0	PF02776	Thiamine pyrophosphate enzyme, N-terminal TPP binding domain	53	167
A1L167	PF00179	Ubiquitin-conjugating enzyme	1	112
A1L190	PF15191	Synaptonemal complex central element protein 3	1	85
A1L390	PF00621	RhoGEF domain	97	270
A1L390	PF22697	SOS1/NGEF-like PH domain	297	391
A1L3X0	PF01151	GNS1/SUR4 family	30	266
A1L4H1	PF00530	Scavenger receptor cysteine-rich domain	24	119
A1L4H1	PF00530	Scavenger receptor cysteine-rich domain	202	298
A1L4H1	PF00530	Scavenger receptor cysteine-rich domain	308	403
A1L4H1	PF00530	Scavenger receptor cysteine-rich domain	471	568
A1L4H1	PF00530	Scavenger receptor cysteine-rich domain	776	872
A1L4K1	PF00041	Fibronectin type III domain	378	462
A1L4K1	PF00622	SPRY domain	622	736
A1X283	PF00018	SH3 domain	161	203
A1X283	PF00018	SH3 domain	228	272
A1X283	PF00018	SH3 domain	377	419
A1X283	PF00787	PX domain	33	124
A1X283	PF07653	Variant SH3 domain	855	908
A1XBS5	PF06730	FAM92 protein	1	219
A1Z1Q3	PF01661	Macro domain	88	201
A2A288	PF11977	Zc3h12a-like Ribonuclease NYN domain	89	243
A2A288	PF18039	UBA-like domain	3	44
A2A2Y4	PF00373	FERM central domain	116	225
A2A2Y4	PF08736	FERM adjacent (FA)	323	366
A2A2Y4	PF09379	FERM N-terminal domain	36	98
A2A2Y4	PF09380	FERM C-terminal PH-like domain	229	315
A2IDD5	PF14739	Domain of unknown function (DUF4472)	56	165
A2PYH4	PF00270	DEAD/DEAH box helicase	283	465
A2PYH4	PF00271	Helicase conserved C-terminal domain	549	658
A2PYH4	PF02889	Sec63 Brl domain	777	1090
A2PYH4	PF23445	Winged Helix-turn-helix domain	689	770
A2RRP1	PF08314	Secretory pathway protein Sec39	1025	1365
A2RRP1	PF15492	Neuroblastoma-amplified sequence, N terminal	90	371
A2RRP1	PF22913	NBAS subunit of NRZ tethering complex, C-terminal	1996	2120
A2RTX5	PF00587	tRNA synthetase class II core domain (G, H, P, S and T)	476	687
A2RTX5	PF02824	TGS domain	167	222
A2RTX5	PF03129	Anticodon binding domain	699	789
A2RTX5	PF07973	Threonyl and Alanyl tRNA synthetase second additional domain	329	377
A2RU14	PF25810	Transmembrane protein 218, N-terminal domain	1	60
A2RU30	PF14722	Ki-ras-induced actin-interacting protein-IP3R-interacting domain	129	282
A2RU49	PF01636	Phosphotransferase enzyme family	38	280
A2RUB1	PF15189	Meiosis-specific coiled-coil domain-containing protein MEIOC	747	912
A2RUB6	PF15236	Coiled-coil domain-containing protein 66	412	563
A2RUC4	PF13621	Cupin-like domain	17	254
A2RUH7	PF00041	Fibronectin type III domain	148	234
A2RUH7	PF07679	Immunoglobulin I-set domain	65	139
A2RUH7	PF07679	Immunoglobulin I-set domain	261	350
A2VDJ0	PF12371	Transmembrane protein 131-like N-terminal	91	174
A2VDJ0	PF19532	Transmembrane protein 131-like, second Ig-like domain	199	354
A2VDJ0	PF24498	TMEM131L third Ig-like domain	390	489
A2VDJ0	PF24499	TMEM131L fourth Ig-like domain	592	723
A2VDJ0	PF24501	TMEM131L fifth Ig-like domain	773	837
A2VEC9	PF00057	Low-density lipoprotein receptor domain class A	1376	1412
A2VEC9	PF00057	Low-density lipoprotein receptor domain class A	1417	1448
A2VEC9	PF00057	Low-density lipoprotein receptor domain class A	1453	1487
A2VEC9	PF00057	Low-density lipoprotein receptor domain class A	1492	1529
A2VEC9	PF00057	Low-density lipoprotein receptor domain class A	1565	1600
A2VEC9	PF00057	Low-density lipoprotein receptor domain class A	2235	2269
A2VEC9	PF00057	Low-density lipoprotein receptor domain class A	2391	2426
A2VEC9	PF00057	Low-density lipoprotein receptor domain class A	2465	2499
A2VEC9	PF00090	Thrombospondin type 1 domain	1699	1748
A2VEC9	PF00090	Thrombospondin type 1 domain	1755	1808
A2VEC9	PF00090	Thrombospondin type 1 domain	2506	2553
A2VEC9	PF00090	Thrombospondin type 1 domain	2562	2610
A2VEC9	PF00090	Thrombospondin type 1 domain	2720	2767
A2VEC9	PF00090	Thrombospondin type 1 domain	2777	2828
A2VEC9	PF00090	Thrombospondin type 1 domain	2836	2883
A2VEC9	PF00090	Thrombospondin type 1 domain	2990	3040
A2VEC9	PF00090	Thrombospondin type 1 domain	3045	3078
A2VEC9	PF00090	Thrombospondin type 1 domain	3188	3236
A2VEC9	PF00090	Thrombospondin type 1 domain	3257	3307
A2VEC9	PF00090	Thrombospondin type 1 domain	3414	3466
A2VEC9	PF00090	Thrombospondin type 1 domain	3477	3522
A2VEC9	PF00090	Thrombospondin type 1 domain	3650	3693
A2VEC9	PF00090	Thrombospondin type 1 domain	3816	3867
A2VEC9	PF00090	Thrombospondin type 1 domain	3953	4003
A2VEC9	PF00090	Thrombospondin type 1 domain	4010	4060
A2VEC9	PF00090	Thrombospondin type 1 domain	4165	4213
A2VEC9	PF00090	Thrombospondin type 1 domain	4260	4302
A2VEC9	PF00090	Thrombospondin type 1 domain	4621	4666
A2VEC9	PF00090	Thrombospondin type 1 domain	4770	4818
A2VEC9	PF00094	von Willebrand factor type D domain	195	339
A2VEC9	PF00094	von Willebrand factor type D domain	565	714
A2VEC9	PF00094	von Willebrand factor type D domain	1015	1163
A2VEC9	PF00754	F5/8 type C domain	2081	2216
A2VEC9	PF01826	Trypsin Inhibitor like cysteine rich domain	470	525
A2VEC9	PF01826	Trypsin Inhibitor like cysteine rich domain	828	881
A2VEC9	PF01826	Trypsin Inhibitor like cysteine rich domain	1276	1332
A2VEC9	PF01826	Trypsin Inhibitor like cysteine rich domain	1813	1869
A2VEC9	PF01826	Trypsin Inhibitor like cysteine rich domain	2634	2676
A2VEC9	PF01826	Trypsin Inhibitor like cysteine rich domain	3091	3143
A2VEC9	PF01826	Trypsin Inhibitor like cysteine rich domain	3317	3366
A2VEC9	PF01826	Trypsin Inhibitor like cysteine rich domain	3530	3586
A2VEC9	PF01826	Trypsin Inhibitor like cysteine rich domain	4064	4119
A2VEC9	PF01826	Trypsin Inhibitor like cysteine rich domain	4425	4480
A2VEC9	PF01826	Trypsin Inhibitor like cysteine rich domain	4680	4726
A2VEC9	PF01826	Trypsin Inhibitor like cysteine rich domain	4821	4875
A2VEC9	PF08742	C8 domain	395	467
A2VEC9	PF08742	C8 domain	760	825
A2VEC9	PF08742	C8 domain	1206	1273
A2VEC9	PF23244	Von Willebrand factor-like domain	889	915
A3KMH1	PF07728	AAA domain (dynein-related subfamily)	105	261
A3KMH1	PF07728	AAA domain (dynein-related subfamily)	442	596
A3KMH1	PF07728	AAA domain (dynein-related subfamily)	776	914
A3KN83	PF13871	C-terminal domain on Strawberry notch homologue	872	1148
A3KN83	PF13872	P-loop containing NTP hydrolase pore-1	255	560
A3KN83	PF25373	SBNO alpha/beta domain	1186	1300
A4D0S4	PF00053	Laminin EGF domain	265	319
A4D0S4	PF00053	Laminin EGF domain	395	452
A4D0S4	PF00053	Laminin EGF domain	455	503
A4D0S4	PF00053	Laminin EGF domain	506	544
A4D0S4	PF00053	Laminin EGF domain	769	814
A4D0S4	PF00053	Laminin EGF domain	817	865
A4D0S4	PF00053	Laminin EGF domain	911	967
A4D0S4	PF00053	Laminin EGF domain	970	1019
A4D0S4	PF00053	Laminin EGF domain	1022	1077
A4D0S4	PF00053	Laminin EGF domain	1080	1125
A4D0S4	PF00053	Laminin EGF domain	1128	1168
A4D0S4	PF00055	Laminin N-terminal (Domain VI)	28	263
A4D0S4	PF21199	Laminin IV type B domain	574	760
A4D0S4	PF23219	LAMB1-4 helical domain	1414	1558
A4D0S4	PF24973	Laminin/attractin EGF domain	332	384
A4D0S4	PF24999	Laminin subunit beta-4-like domain	1236	1298
A4D126	PF01128	2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase	47	278
A4D126	PF18706	D-ribitol-5-phosphate cytidylyltransferase C-terminal domain	283	430
A4D161	PF14753	Protein FAM221A/B	20	213
A4D1B5	PF14959	gamma-Secretase-activating protein C-term	642	749
A4D1E9	PF01018	GTP1/OBG	35	131
A4D1E9	PF01926	50S ribosome-binding GTPase	150	279
A4D1P6	PF00400	WD domain, G-beta repeat	406	436
A4D1P6	PF00400	WD domain, G-beta repeat	565	590
A4D1P6	PF00400	WD domain, G-beta repeat	595	632
A4D1P6	PF23138	Armc9, CTLH-like domain	47	169
A4D1S5	PF00071	Ras family	19	179
A4D1T9	PF00089	Trypsin	27	228
A4D256	PF14671	Dual specificity protein phosphatase, N-terminal half	22	159
A4D256	PF22785	Polymorphic toxin system, DSP-PTPase phosphatase	219	302
A4D2B0	PF00753	Metallo-beta-lactamase superfamily	78	129
A4D2B8	PF13589	Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase	235	328
A4GXA9	PF02732	ERCC4 domain	93	249
A4GXA9	PF21292	EME1/MUS81, C-terminal	293	363
A4UGR9	PF08043	Xin repeat	397	412
A4UGR9	PF08043	Xin repeat	437	452
A4UGR9	PF08043	Xin repeat	474	489
A4UGR9	PF08043	Xin repeat	512	527
A4UGR9	PF08043	Xin repeat	590	605
A4UGR9	PF08043	Xin repeat	628	643
A4UGR9	PF08043	Xin repeat	661	676
A4UGR9	PF08043	Xin repeat	695	710
A4UGR9	PF08043	Xin repeat	732	747
A4UGR9	PF08043	Xin repeat	837	852
A4UGR9	PF08043	Xin repeat	875	890
A4UGR9	PF08043	Xin repeat	914	929
A4UGR9	PF08043	Xin repeat	947	962
A4UGR9	PF08043	Xin repeat	985	1000
A4UGR9	PF08043	Xin repeat	1059	1074
A4UGR9	PF08043	Xin repeat	1132	1146
A4UGR9	PF08043	Xin repeat	1170	1185
A4UGR9	PF08043	Xin repeat	1207	1222
A4UGR9	PF08043	Xin repeat	1346	1360
A5A3E0	PF00022	Actin	703	1074
A5A3E0	PF12796	Ankyrin repeats (3 copies)	143	236
A5A3E0	PF12796	Ankyrin repeats (3 copies)	243	335
A5A3E0	PF14915	CCDC144C protein coiled-coil region	593	702
A5D8T8	PF00059	Lectin C-type domain	317	434
A5D8T8	PF00188	Cysteine-rich secretory protein family	52	182
A5D8V6	PF07200	Modifier of rudimentary (Mod(r)) protein	5	149
A5D8V7	NA	NA	NA	NA
A5D8W1	PF21049	Cilia- and flagella-associated protein 69, ARM repeat	46	763
A5LHX3	PF00227	Proteasome subunit	48	227
A5PKW4	PF01369	Sec7 domain	557	707
A5PKW4	PF15410	Pleckstrin homology domain	758	869
A5PLL7	PF10520	Lipid desaturase domain	85	261
A5X5Y0	PF02931	Neurotransmitter-gated ion-channel ligand binding domain	52	247
A5X5Y0	PF02932	Neurotransmitter-gated ion-channel transmembrane region	254	387
A5YKK6	PF04054	CCR4-Not complex component, Not1	1998	2357
A5YKK6	PF12842	CCR4-Not complex, Not1 subunit, domain of unknown function DUF3819	1387	1534
A5YKK6	PF16415	CCR4-NOT transcription complex subunit 1 CAF1-binding domain	1088	1311
A5YKK6	PF16417	CCR4-NOT transcription complex subunit 1 TTP binding domain	815	1002
A5YKK6	PF16418	CCR4-NOT transcription complex subunit 1 HEAT repeat	500	656
A5YKK6	PF22940	CCR4-NOT transcription complex subunit 1, N-terminal domain	30	227
A5YKK6	PF23590	CCR4-NOT transcription complex subunit 1, NOT1_connector	1610	1814
A5YM72	PF15632	ATP-grasp in the biosynthetic pathway with Ter operon	598	696
A5YM72	PF18130	ATP-grasp N-terminal domain	411	491
A6BM72	PF00053	Laminin EGF domain	275	320
A6BM72	PF00053	Laminin EGF domain	362	409
A6BM72	PF00053	Laminin EGF domain	622	661
A6BM72	PF00053	Laminin EGF domain	753	792
A6BM72	PF00053	Laminin EGF domain	796	824
A6BM72	PF12661	Human growth factor-like EGF	191	210
A6BM72	PF12661	Human growth factor-like EGF	234	253
A6BM72	PF12661	Human growth factor-like EGF	452	471
A6BM72	PF12661	Human growth factor-like EGF	581	600
A6BM72	PF12661	Human growth factor-like EGF	712	731
A6BM72	PF23106	Teneurin-like EGF domain	669	696
A6BM72	PF23301	Platelet endothelial aggregation receptor 1-like, EGF domain	96	143
A6H8Y1	PF15963	Myb DNA-binding like	293	379
A6H8Z2	PF14753	Protein FAM221A/B	241	393
A6NC98	PF19047	HOOK domain	56	177
A6NCS4	PF00046	Homeodomain	133	189
A6ND01	PF03024	Folate receptor family	26	208
A6ND36	PF07894	Scaffolding anchor of CK1 domain	15	308
A6NDB9	PF03285	Paralemmin	15	104
A6NDE4	PF00076	RNA recognition motif	10	79
A6NDE4	PF08081	RBM1CTR (NUC064) family	174	218
A6NDG6	PF13242	HAD-hyrolase-like	233	314
A6NDG6	PF13344	Haloacid dehalogenase-like hydrolase	31	138
A6NDV4	PF12036	Protein of unknown function (DUF3522)	232	415
A6NED2	PF00415	Regulator of chromosome condensation (RCC1) repeat	177	225
A6NED2	PF00415	Regulator of chromosome condensation (RCC1) repeat	319	366
A6NEM1	PF15070	Putative golgin subfamily A member 2-like protein 5	83	218
A6NFA1	PF01963	TraB/PrgY/gumN family	41	350
A6NFQ2	PF13402	Peptidase M60, enhancin and enhancin-like	633	889
A6NFQ2	PF17291	N-terminal domain of M60-like peptidases	524	632
A6NFQ2	PF27016	TRPM8, N-terminal domain	162	407
A6NFQ2	PF27027	TCAF all helical domain	411	511
A6NFX1	PF13347	MFS/sugar transport protein	46	477
A6NFY7	PF05347	Complex 1 protein (LYR family)	9	62
A6NGG8	PF15449	Retinal protein	1	1264
A6NGQ2	PF16005	KH-like RNA-binding domain	36	121
A6NGU5	PF01019	Gamma-glutamyltranspeptidase	50	568
A6NHL2	PF00091	Tubulin/FtsZ family, GTPase domain	4	220
A6NHL2	PF03953	Tubulin C-terminal domain	270	399
A6NHQ2	PF01269	Fibrillarin	100	326
A6NHR9	PF06470	SMC proteins Flexible Hinge Domain	1722	1846
A6NHR9	PF13589	Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase	143	277
A6NHR9	PF22899	SMCHD1, ribosomal S5 domain 2-like domain	397	569
A6NHR9	PF26194	SMCHD1 Ig-like domain 1	690	820
A6NHR9	PF26195	SMCHD1 Ig-like domain 2	826	922
A6NHR9	PF26196	SMCHD1 Ig-like domain 4	930	1032
A6NHR9	PF26197	SMCHD1 Ig-like domain 5	1037	1143
A6NHR9	PF26198	SMCHD1 Ig-like domain 6	1252	1365
A6NHR9	PF26199	SMCHD1 Ig-like domain 8	1491	1616
A6NHR9	PF26201	SMCHD1 Ig-like domain 7	1368	1470
A6NHX0	PF13840	ACT domain	73	140
A6NHX0	PF13840	ACT domain	261	322
A6NHX0	PF18700	Cytosolic arginine sensor for mTORC1 subunit 1 N-terminal domain	9	69
A6NHX0	PF21389	Cytosolic arginine sensor for mTORC1 subunit 1/2, ACT-like	177	259
A6NI15	PF00010	Helix-loop-helix DNA-binding domain	125	178
A6NI61	PF12036	Protein of unknown function (DUF3522)	5	185
A6NI73	PF13895	Immunoglobulin domain	48	135
A6NIH7	PF05351	GMP-PDE, delta subunit	88	247
A6NIM6	PF00854	POT family	114	492
A6NIX2	PF00412	LIM domain	225	279
A6NIX2	PF00412	LIM domain	290	344
A6NIX2	PF00412	LIM domain	350	413
A6NJ46	PF00046	Homeodomain	140	196
A6NJ78	PF01795	MraW methylase family	71	405
A6NK06	PF03972	MmgE/PrpD N-terminal domain	8	249
A6NK06	PF19305	MmgE/PrpD C-terminal domain	274	446
A6NK58	PF21948	Lipoyl protein ligase A/B catalytic domain	43	216
A6NK89	PF21712	Ras association domain-containing protein 8/10, RA domain	89	128
A6NK89	PF27976	RASSF protein helical domain	325	367
A6NKB5	PF05041	Pecanex protein (C-terminus)	1619	1844
A6NKF2	PF01388	ARID/BRIGHT DNA binding domain	116	201
A6NMY6	PF00191	Annexin	38	102
A6NMY6	PF00191	Annexin	109	174
A6NMY6	PF00191	Annexin	193	259
A6NMY6	PF00191	Annexin	269	334
A6NMZ7	PF00092	von Willebrand factor type A domain	27	186
A6NMZ7	PF00092	von Willebrand factor type A domain	229	397
A6NMZ7	PF00092	von Willebrand factor type A domain	436	605
A6NMZ7	PF00092	von Willebrand factor type A domain	622	788
A6NMZ7	PF00092	von Willebrand factor type A domain	809	979
A6NMZ7	PF00092	von Willebrand factor type A domain	1000	1169
A6NMZ7	PF00092	von Willebrand factor type A domain	1758	1903
A6NMZ7	PF00092	von Willebrand factor type A domain	1967	2142
A6NMZ7	PF01391	Collagen triple helix repeat (20 copies)	1392	1450
A6NNB3	PF04505	Interferon-induced transmembrane protein	32	99
A6NNM8	PF03133	Tubulin-tyrosine ligase family	134	417
A6NNN8	PF01490	Transmembrane amino acid transporter protein	24	427
A6NNY8	PF00443	Ubiquitin carboxyl-terminal hydrolase	78	418
A6NNZ2	PF00091	Tubulin/FtsZ family, GTPase domain	3	211
A6NNZ2	PF03953	Tubulin C-terminal domain	261	381
A6PVC2	PF03133	Tubulin-tyrosine ligase family	327	572
A6QL63	PF00023	Ankyrin repeat	604	632
A6QL63	PF00651	BTB/POZ domain	916	1020
A6QL63	PF12796	Ankyrin repeats (3 copies)	649	714
A6QL63	PF26281	Histone domain in ABTB family protein	98	239
A7E2V4	PF21055	ZSWIM4-8, C-terminal	1661	1822
A7E2V4	PF25572	ZSWIM8, TPR repeats	287	483
A7E2Y1	PF00063	Myosin head (motor domain)	129	815
A7E2Y1	PF01576	Myosin tail	894	1972
A7E2Y1	PF02736	Myosin N-terminal SH3-like domain	72	116
A7KAX9	PF00620	RhoGAP domain	386	533
A7KAX9	PF14604	Variant SH3 domain	266	317
A7MCY6	PF12845	TBD domain	288	342
A7MD48	PF15230	Serine/arginine repetitive matrix protein C-terminus	457	522
A7XYQ1	PF06467	MYM-type Zinc finger with FCS sequence motif	147	180
A7XYQ1	PF15279	Sine oculis-binding protein	224	543
A8CG34	PF15229	POM121 family	296	529
A8K0Z3	PF11945	WAHD domain of WASH complex	13	297
A8K2U0	PF00207	Alpha-2-macroglobulin family	736	825
A8K2U0	PF01835	MG2 domain	122	201
A8K2U0	PF07677	A-macroglobulin receptor binding domain	1361	1450
A8K2U0	PF07678	A-macroglobulin TED domain	946	1251
A8K2U0	PF07703	Alpha-2-macroglobulin bait region domain	459	601
A8K2U0	PF17789	Macroglobulin domain MG4	342	439
A8K2U0	PF17791	Macroglobulin domain MG3	213	302
A8K4G0	PF07686	Immunoglobulin V-set domain	19	120
A8K7I4	PF08434	Calcium-activated chloride channel N terminal	25	289
A8K7I4	PF13519	von Willebrand factor type A domain	308	414
A8K830	NA	NA	NA	NA
A8K8P3	NA	NA	NA	NA
A8K8V0	PF00096	Zinc finger, C2H2 type	172	194
A8K8V0	PF00096	Zinc finger, C2H2 type	228	250
A8K8V0	PF00096	Zinc finger, C2H2 type	256	278
A8K8V0	PF00096	Zinc finger, C2H2 type	284	306
A8K8V0	PF00096	Zinc finger, C2H2 type	312	334
A8K8V0	PF00096	Zinc finger, C2H2 type	340	359
A8K8V0	PF01352	KRAB box	29	69
A8MPY1	PF02931	Neurotransmitter-gated ion-channel ligand binding domain	69	266
A8MPY1	PF02932	Neurotransmitter-gated ion-channel transmembrane region	274	368
A8MQ03	PF10631	Protein of unknown function (DUF2477)	1	141
A8MQ27	PF07177	Neuralized	41	192
A8MQ27	PF07177	Neuralized	282	425
A8MQ27	PF13920	Zinc finger, C3HC4 type (RING finger)	500	549
A8MT69	PF09415	CENP-S associating Centromere protein X	12	81
A8MTA8	PF10629	Ciliary microtubule inner protein 2B-like	15	45
A8MTA8	PF10629	Ciliary microtubule inner protein 2B-like	236	262
A8MTJ3	PF00503	G-protein alpha subunit	14	343
A8MTJ6	PF00250	Forkhead domain	145	229
A8MTQ0	PF00046	Homeodomain	157	213
A8MTZ0	PF14777	Cilia BBSome complex subunit 10	23	85
A8MU46	PF00307	Calponin homology (CH) domain	381	481
A8MUP2	PF13847	Methyltransferase domain	77	195
A8MV65	PF07545	Vestigial/Tondu family	82	111
A8MVW5	PF13927	Immunoglobulin domain	148	223
A8MW92	PF16660	PHD finger protein 20-like protein 1	318	414
A8MW92	PF18104	Jumonji domain-containing protein 2A Tudor domain	90	123
A8MW92	PF20826	PhD finger domain	673	728
A8MW95	PF04111	Apg6 BARA domain	246	426
A8MW95	PF17675	Apg6 coiled-coil region	116	242
A8MW99	PF13971	Meiosis-specific protein Mei4	9	380
A8MXD5	PF00462	Glutaredoxin	139	207
A8MXD5	PF23733	GRXCR1/2, C-terminal domain	239	288
A8MXV4	NA	NA	NA	NA
A8MYU2	PF00520	Ion transport protein	106	322
A8MYU2	PF03493	Calcium-activated BK potassium channel alpha subunit	470	557
A8MYU2	PF21014	Ca2+-activated K+ channel Slowpoke, TrkA_C like domain	919	1037
A8MYU2	PF22614	Calcium-activated potassium channel slowpoke-like RCK domain	330	447
A8MYU2	PF22614	Calcium-activated potassium channel slowpoke-like RCK domain	711	834
A8MZ59	PF00046	Homeodomain	9	65
A8TX70	PF00092	von Willebrand factor type A domain	30	197
A8TX70	PF00092	von Willebrand factor type A domain	236	405
A8TX70	PF00092	von Willebrand factor type A domain	442	610
A8TX70	PF00092	von Willebrand factor type A domain	628	794
A8TX70	PF00092	von Willebrand factor type A domain	814	984
A8TX70	PF00092	von Willebrand factor type A domain	1005	1172
A8TX70	PF00092	von Willebrand factor type A domain	1759	1903
A8TX70	PF00092	von Willebrand factor type A domain	1963	2138
A8TX70	PF00092	von Willebrand factor type A domain	2291	2467
A8TX70	PF01391	Collagen triple helix repeat (20 copies)	1395	1452
A8TX70	PF01391	Collagen triple helix repeat (20 copies)	1464	1520
A8TX70	PF01391	Collagen triple helix repeat (20 copies)	1524	1580
A9QM74	PF00514	Armadillo/beta-catenin-like repeat	103	143
A9QM74	PF00514	Armadillo/beta-catenin-like repeat	145	184
A9QM74	PF00514	Armadillo/beta-catenin-like repeat	188	228
A9QM74	PF00514	Armadillo/beta-catenin-like repeat	235	270
A9QM74	PF00514	Armadillo/beta-catenin-like repeat	273	311
A9QM74	PF00514	Armadillo/beta-catenin-like repeat	314	354
A9QM74	PF00514	Armadillo/beta-catenin-like repeat	358	394
A9QM74	PF01749	Importin beta binding domain	10	92
A9QM74	PF16186	Atypical Arm repeat	448	495
A9UHW6	PF02854	MIF4G domain	7	203
A9YTQ3	PF00010	Helix-loop-helix DNA-binding domain	34	75
A9YTQ3	PF00989	PAS fold	111	175
B0I1T2	PF00063	Myosin head (motor domain)	12	694
B0I1T2	PF06017	Unconventional myosin tail, actin- and lipid-binding	826	985
B0L3A2	NA	NA	NA	NA
B0YJ81	PF04387	Protein tyrosine phosphatase-like protein, PTPLA	119	279
B1AK53	PF02205	WH2 motif	648	673
B1AK53	PF12796	Ankyrin repeats (3 copies)	8	101
B1AK53	PF12796	Ankyrin repeats (3 copies)	108	202
B1AK53	PF12796	Ankyrin repeats (3 copies)	265	325
B1AK53	PF13637	Ankyrin repeats (many copies)	221	260
B2RPK0	PF00505	HMG (high mobility group) box	95	162
B2RPK0	PF09011	HMG-box domain	6	78
B2RTY4	PF00063	Myosin head (motor domain)	149	690
B2RTY4	PF00063	Myosin head (motor domain)	878	1004
B2RTY4	PF00130	Phorbol esters/diacylglycerol binding domain (C1 domain)	2000	2049
B2RTY4	PF00612	IQ calmodulin-binding motif	1043	1063
B2RTY4	PF00612	IQ calmodulin-binding motif	1076	1094
B2RTY4	PF00612	IQ calmodulin-binding motif	1116	1136
B2RTY4	PF00612	IQ calmodulin-binding motif	1139	1159
B2RTY4	PF00620	RhoGAP domain	2076	2222
B2RTY4	PF00788	Ras association (RalGDS/AF-6) domain	16	111
