Pfam_code,alignment_type,score_original
PF00481,REC,1.09
PF00483,REC,1.18
PF00485,REC,3.37
PF00487,REC,0.74
PF00488,REC,2.02
PF00491,REC,1.91
PF00493,REC,2.49
PF00494,REC,-0.17
PF00498,FULL,1.07
PF00501,SEED,1.26
PF00503,REC,2.67
PF00505,REC,1.72
PF00514,REC,0.88
PF00515,REC,1.15
PF00517,REC,4.88
PF00520,REC,0.61
PF00521,REC,4.29
PF00525,REC,2.59
PF00530,REC,2.27
PF00531,REC,0.76
PF00533,REC,0.45
PF00534,REC,0.44
PF00535,REC,1.45
PF00536,REC,0.97
PF00538,REC,1.93
PF00549,FULL,1.92
PF00550,REC,0.88
PF00551,REC,1.42
PF00552,FULL,5.95
PF00554,REC,1.85
PF00557,REC,0.64
PF00560,FULL,1.49
PF00561,FULL,0.7
PF00562,REC,1.99
PF00564,REC,0.61
PF00565,REC,0.88
PF00566,REC,1.02
PF00567,REC,0.62
PF00568,REC,1.53
PF00569,REC,2.21
PF00570,FULL,1.71
PF00571,REC,0.98
PF00572,REC,0.8
PF00573,FULL,2.44
PF00575,FULL,1.14
PF00578,REC,2.73
PF00579,REC,0.09
PF00580,REC,0.95
PF00581,REC,0.46
PF00583,REC,0.5
PF00586,REC,2.16
PF00587,REC,0.97
PF00588,FULL,1.35
PF00594,REC,3.18
PF00595,REC,1.11
PF00596,FULL,2.83
PF00605,REC,2.6
PF00607,REC,5.09
PF00609,REC,2.27
PF00610,REC,1.26
PF00611,REC,1.08
PF00612,REC,1.69
PF00613,REC,1.49
PF00614,REC,4.69
PF00615,SEED,1.17
PF00616,REC,1.4
PF00617,REC,1.33
PF00618,REC,0.93
PF00619,REC,0.69
PF00620,REC,1.31
PF00621,REC,0.89
PF00622,SEED,0.66
PF00623,SEED,2.19
PF00625,REC,1.43
PF00626,REC,0.7
PF00627,REC,1.19
PF00628,REC,2.1
PF00629,FULL,1.25
PF00630,REC,1.51
PF00631,REC,1.78
PF00632,REC,1.47
PF00633,REC,1.87
PF00634,REC,1.48
PF00635,REC,1.36
PF00636,REC,1.43
PF00637,REC,0.36
PF00638,REC,2.98
PF00640,SEED,1.29
PF00641,REC,2.34
PF00642,REC,2.34
PF00643,REC,1.99
PF00644,REC,1.15
PF00645,FULL,2.82
PF00646,REC,1.0
PF00648,REC,2.17
PF00650,REC,1.32
PF00651,REC,1.17
PF00652,REC,0.98
PF00653,REC,2.54
PF00654,REC,1.89
PF00656,SEED,1.18
PF00657,REC,0.67
PF00658,REC,3.65
PF00659,REC,1.02
PF00664,REC,0.24
PF00665,REC,4.58
PF00666,REC,0.72
PF00667,REC,1.52
PF00670,REC,3.45
PF00675,REC,0.96
PF00676,REC,1.17
PF00679,REC,1.17
PF00681,REC,1.94
PF00682,REC,2.81
PF00683,REC,2.59
PF00684,REC,3.0
PF00685,REC,0.85
PF00686,REC,1.21
PF00687,FULL,2.58
PF00688,REC,0.84
PF00689,FULL,1.4
PF00690,REC,1.16
PF00692,REC,1.08
PF00694,FULL,3.31
PF00696,REC,-0.13
PF00698,REC,0.63
PF00701,REC,0.81
PF00702,REC,0.41
PF00704,SEED,2.99
PF00708,REC,3.36
PF00709,REC,4.34
PF00711,REC,2.09
PF00717,REC,4.23
PF00719,REC,4.32
PF00723,FULL,3.22
PF00725,SEED,1.4
PF00726,REC,1.28
PF00728,REC,2.27
PF00730,SEED,0.54
PF00733,REC,0.66
PF00735,REC,2.83
PF00736,REC,4.63
PF00743,REC,3.03
PF00748,FULL,2.5
PF00749,FULL,2.45
PF00750,REC,1.52
PF00751,REC,4.26
PF00752,REC,0.86
PF00753,REC,0.41
PF00754,REC,1.43
PF00755,SEED,1.14
PF00757,SEED,3.01
PF00758,FULL,3.1
PF00763,REC,1.93
PF00769,REC,2.73
PF00773,REC,1.5
PF00777,REC,0.98
PF00778,REC,2.83
PF00779,REC,2.66
PF00780,SEED,0.76
PF00781,REC,1.75
PF00782,REC,1.42
PF00784,REC,1.37
PF00786,REC,1.57
PF00787,REC,0.96
PF00788,REC,0.45
PF00789,REC,0.81
PF00790,REC,1.82
PF00791,FULL,2.37
PF00792,REC,1.2
PF00794,REC,0.9
PF00795,REC,0.75
PF00797,FULL,4.64
PF00801,REC,0.75
PF00804,FULL,2.2
PF00805,FULL,1.27
PF00806,REC,1.51
PF00808,REC,1.11
PF00810,REC,4.22
PF00812,REC,2.22
PF00814,REC,0.98
PF00817,REC,1.6
PF00821,REC,4.17
PF00822,REC,1.03
PF00828,FULL,2.39
PF00832,FULL,5.1
PF00834,REC,5.06
PF00835,REC,2.65
PF00836,REC,3.06
PF00837,REC,1.67
PF00838,REC,3.8
PF00839,REC,1.07
PF00849,FULL,1.72
PF00850,REC,1.8
PF00852,FULL,2.78
PF00853,REC,5.0
PF00854,REC,0.9
PF00855,REC,1.16
PF00856,REC,1.15
PF00857,REC,2.54
PF00858,FULL,1.86
PF00859,FULL,3.49
PF00860,FULL,2.77
PF00864,REC,2.5
PF00867,SEED,1.7
PF00868,REC,1.52
PF00870,FULL,4.47
PF00875,REC,4.29
PF00876,REC,1.11
PF00878,SEED,1.32
PF00879,REC,2.94
PF00880,FULL,1.55
PF00883,REC,1.29
PF00884,SEED,1.52
PF00887,REC,2.06
PF00888,REC,1.34
PF00891,REC,2.34
PF00892,REC,0.76
PF00899,REC,0.81
PF00900,REC,4.8
PF00903,FULL,0.96
PF00904,FULL,3.09
PF00907,REC,3.04
PF00909,REC,2.02
PF00916,REC,1.75
PF00918,REC,4.92
PF00919,REC,1.34
PF00927,REC,0.48
PF00928,SEED,0.36
PF00929,REC,0.56
PF00930,REC,1.35
PF00932,REC,1.82
PF00935,REC,5.33
PF00939,REC,2.39
PF00941,FULL,2.08
PF00955,REC,2.56
PF00956,REC,2.42
PF00957,REC,1.73
PF00962,REC,0.74
PF00965,FULL,3.18
PF00969,REC,2.93
PF00970,REC,2.49
PF00975,REC,0.07
PF00976,REC,2.71
PF00988,FULL,3.57
PF00989,REC,1.83
PF00992,REC,1.45
PF00993,REC,2.1
PF00994,REC,0.5
PF00995,REC,0.81
PF00996,REC,3.82
PF00999,REC,0.95
PF01000,REC,1.84
PF01007,REC,2.81
PF01008,REC,0.77
PF01012,FULL,2.73
PF01017,REC,1.56
PF01018,FULL,3.12
PF01019,REC,2.87
PF01023,REC,1.77
PF01025,REC,2.82
PF01026,REC,0.74
PF01027,FULL,1.73
PF01028,REC,4.13
PF01030,REC,1.44
PF01031,REC,1.78
PF01033,REC,2.54
PF01034,FULL,3.31
PF01039,REC,1.23
PF01040,REC,-0.03
PF01044,REC,1.88
PF01048,FULL,1.63
PF01049,REC,2.96
PF01055,REC,2.24
PF01056,REC,2.25
PF01061,REC,1.2
PF01062,REC,3.58
PF01063,FULL,4.23
PF01064,SEED,1.72
PF01066,REC,1.03
PF01067,REC,1.64
PF01068,SEED,1.21
PF01070,REC,2.46
PF01073,REC,1.63
PF01074,REC,1.35
PF01079,REC,2.29
PF01080,REC,4.44
PF01082,REC,1.77
PF01084,REC,1.87
PF01085,REC,4.59
PF01086,FULL,3.6
PF01088,REC,1.64
PF01091,REC,3.12
PF01093,SEED,1.02
PF01094,SEED,0.65
PF01096,REC,3.02
PF01099,SEED,1.13
PF01101,REC,2.38
PF01102,REC,2.37
PF01105,SEED,2.28
PF01108,REC,0.86
PF01111,REC,4.78
PF01112,FULL,2.16
PF01119,REC,1.26
PF01120,REC,3.64
PF01121,REC,1.3
PF01122,REC,1.01
PF01124,REC,0.81
PF01126,REC,3.15
PF01129,REC,1.66
PF01130,REC,1.78
PF01131,REC,1.86
PF01135,REC,2.09
PF01137,REC,1.11
PF01138,FULL,0.99
PF01142,REC,1.52
PF01144,FULL,1.75
PF01145,REC,0.82
PF01146,REC,2.81
PF01148,FULL,4.45
PF01150,REC,1.43
PF01151,REC,1.79
PF01153,REC,1.74
PF01154,REC,4.32
PF01160,REC,1.6
PF01161,REC,1.89
PF01163,REC,1.55
PF01166,REC,3.73
PF01167,REC,3.3
PF01169,FULL,2.65
PF01170,REC,0.94
PF01176,REC,2.55
PF01179,FULL,3.26
PF01180,FULL,2.93
PF01182,REC,1.44
PF01186,REC,3.55
PF01187,REC,2.61
PF01189,REC,1.27
PF01193,REC,0.89
PF01201,REC,0.63
PF01202,REC,0.41
PF01207,REC,1.15
PF01210,REC,3.6
PF01213,REC,3.12
PF01216,REC,3.7
PF01217,REC,1.14
PF01221,REC,3.18
PF01222,REC,2.38
PF01223,REC,0.97
PF01230,REC,1.79
PF01231,REC,2.29
PF01233,REC,4.8
PF01234,SEED,1.87
PF01237,FULL,2.4
PF01239,REC,1.23
PF01244,FULL,3.6
PF01246,REC,2.47
PF01248,REC,0.73
PF01253,REC,1.63
PF01255,REC,0.66
PF01266,FULL,0.97
PF01267,REC,2.92
PF01268,REC,4.0
PF01269,FULL,5.0
PF01271,SEED,0.61
PF01273,SEED,0.44
PF01275,REC,2.93
PF01279,REC,1.94
PF01283,REC,4.95
PF01284,REC,0.42
PF01285,REC,5.15
PF01287,REC,4.08
PF01290,REC,4.24
PF01291,REC,0.46
PF01296,REC,5.69
PF01299,FULL,1.48
PF01301,REC,2.71
PF01302,REC,2.5
PF01315,FULL,2.36
PF01321,REC,2.17
PF01329,FULL,4.22
PF01335,REC,0.91
PF01336,FULL,1.26
PF01342,REC,2.27
PF01344,REC,1.43
PF01347,REC,0.25
PF01352,REC,2.99
PF01363,REC,2.36
PF01365,REC,1.36
PF01369,REC,2.26
PF01370,REC,0.1
PF01380,SEED,-0.13
PF01384,REC,2.15
PF01387,REC,2.88
PF01388,REC,1.84
PF01390,REC,0.97
PF01391,REC,2.07
PF01392,REC,1.82
PF01393,FULL,4.91
PF01394,REC,0.41
PF01398,REC,0.7
PF01399,REC,0.45
PF01400,REC,2.53
PF01401,REC,2.61
PF01403,REC,1.09
PF01404,REC,3.08
PF01406,REC,2.64
PF01408,REC,1.13
PF01409,REC,1.22
PF01410,SEED,4.56
PF01411,REC,2.78
PF01412,REC,2.06
PF01413,REC,2.84
PF01414,REC,3.7
PF01416,REC,0.37
PF01417,REC,2.81
PF01419,REC,1.58
PF01421,SEED,1.62
PF01422,REC,3.81
PF01423,REC,0.93
PF01424,REC,1.29
PF01425,FULL,1.34
PF01426,REC,0.82
PF01428,REC,2.09
PF01429,REC,1.3
PF01431,REC,2.85
PF01432,REC,1.96
PF01433,REC,1.81
PF01434,REC,2.01
PF01435,REC,0.41
PF01436,REC,1.73
PF01437,REC,1.91
PF01442,REC,0.75
PF01448,REC,1.43
PF01454,REC,2.6
PF01457,REC,0.89
PF01459,REC,1.65
PF01462,REC,2.26
PF01463,REC,1.53
PF01465,REC,3.17
PF01467,REC,0.81
PF01470,REC,2.28
PF01471,REC,1.53
PF01472,REC,2.19
PF01476,REC,2.36
PF01477,REC,1.01
PF01479,FULL,1.83
PF01480,REC,1.31
PF01483,REC,2.47
PF01485,FULL,1.59
PF01490,REC,0.87
PF01494,REC,1.58
PF01496,FULL,3.17
PF01500,REC,4.09
PF01501,REC,0.72
PF01504,REC,1.86
PF01505,FULL,2.61
PF01509,REC,1.21
PF01510,REC,2.29
PF01513,REC,1.63
PF01521,REC,1.28
PF01529,REC,1.41
PF01530,REC,4.33
PF01531,REC,3.4
PF01532,SEED,2.05
PF01534,FULL,2.7
PF01535,FULL,0.9
PF01545,REC,1.05
PF01546,REC,0.32
PF01553,REC,0.61
PF01554,REC,1.31
PF01556,REC,1.95
PF01557,FULL,1.83
PF01562,FULL,1.21
PF01564,REC,0.81
PF01565,REC,1.03
PF01566,FULL,4.56
PF01569,REC,0.79
PF01571,REC,1.11
PF01575,REC,0.62
PF01576,REC,2.39
PF01582,REC,1.04
PF01583,REC,4.59
PF01585,REC,2.22
PF01586,REC,1.85
PF01588,REC,3.45
PF01590,REC,1.13
PF01591,REC,3.8
PF01593,REC,0.56
PF01595,REC,2.73
PF01596,REC,1.12
PF01597,REC,1.04
PF01602,REC,0.77
PF01603,REC,4.09
PF01607,REC,3.0
PF01608,REC,1.86
PF01612,REC,0.73
PF01619,REC,2.13
PF01624,REC,0.39
PF01630,FULL,2.58
PF01633,REC,2.16
PF01636,REC,0.99
PF01641,REC,2.42
PF01650,REC,1.44
PF01652,FULL,3.11
PF01661,SEED,1.06
PF01663,SEED,2.25
PF01667,REC,5.56
PF01693,REC,1.28
PF01694,REC,0.65
PF01699,REC,1.02
PF01702,FULL,2.51
PF01704,REC,1.64
PF01712,REC,1.4
PF01722,REC,1.66
PF01728,FULL,1.62
PF01731,REC,3.53
PF01733,SEED,2.2
PF01734,REC,0.68
PF01735,REC,2.26
PF01740,FULL,1.03
PF01747,REC,4.65
PF01749,FULL,2.46
PF01751,FULL,2.48
PF01753,REC,2.43
PF01754,REC,2.51
PF01755,REC,3.19
PF01756,REC,0.93
PF01758,REC,1.76
PF01759,REC,0.64
PF01762,REC,1.65
PF01764,REC,2.08
PF01769,FULL,2.13
PF01770,REC,2.43
PF01773,REC,3.53
PF01776,REC,4.01
PF01778,FULL,2.44
PF01780,FULL,5.0
PF01794,FULL,1.13
PF01795,REC,5.02
PF01798,REC,1.75
PF01799,REC,4.37
PF01803,REC,4.44
PF01805,REC,1.8
PF01812,REC,0.32
PF01821,FULL,3.14
PF01822,REC,1.38
PF01823,REC,0.81
PF01825,REC,2.24
PF01826,SEED,2.49
PF01833,REC,0.74
PF01834,REC,1.76
PF01835,REC,1.66
PF01839,SEED,2.35
PF01840,REC,1.8
PF01841,REC,2.68
PF01843,REC,1.57
PF01846,SEED,1.21
PF01847,REC,3.68
PF01849,REC,2.87
PF01851,REC,0.88
PF01852,REC,0.44
PF01853,REC,3.53
PF01857,REC,2.53
PF01858,REC,2.24
PF01866,FULL,3.26
PF01871,FULL,5.14
PF01873,REC,1.14
PF01883,FULL,3.95
PF01896,FULL,3.65
PF01900,FULL,0.36
PF01909,REC,1.33
PF01918,REC,2.9
PF01920,REC,0.36
PF01926,REC,1.22
PF01937,FULL,2.32
PF01938,REC,0.77
PF01956,REC,0.25
PF01963,REC,1.84
PF01974,REC,1.11
PF01979,FULL,1.48
PF01981,FULL,2.4
PF01991,REC,3.67
PF01992,FULL,4.6
PF01997,REC,0.89
PF02005,REC,0.97
PF02008,REC,2.75
PF02010,REC,0.4
PF02014,REC,1.18
PF02017,REC,1.81
PF02019,FULL,2.35
PF02020,REC,1.55
PF02022,FULL,5.36
PF02023,REC,2.93
PF02026,REC,1.97
PF02029,REC,0.94
PF02036,FULL,2.53
PF02037,REC,1.43
PF02038,REC,2.58
PF02044,REC,4.5
PF02046,FULL,3.84
PF02058,REC,2.23
PF02060,REC,1.58
PF02063,FULL,2.25
PF02064,REC,2.45
PF02078,REC,3.79
PF02089,FULL,3.32
PF02096,REC,1.16
PF02099,REC,2.16
PF02100,REC,2.84
PF02114,REC,1.81
PF02115,REC,3.55
PF02121,REC,2.89
PF02135,REC,3.41
PF02136,FULL,2.61
PF02137,FULL,2.06
PF02138,REC,2.74
PF02140,FULL,4.06
PF02141,REC,1.31
PF02142,REC,0.36
PF02145,REC,2.14
PF02146,FULL,2.3
PF02148,REC,1.89
PF02149,REC,3.07
PF02150,REC,2.0
PF02158,FULL,4.22
PF02170,REC,1.57
PF02171,FULL,2.6
PF02172,FULL,4.96
PF02173,FULL,3.7
PF02174,REC,1.13
PF02176,FULL,2.07
PF02177,REC,3.29
PF02178,REC,3.47
PF02179,FULL,1.23
PF02180,FULL,3.38
PF02181,REC,1.14
PF02182,FULL,4.97
PF02185,REC,1.61
PF02187,REC,3.21
PF02188,REC,2.45
PF02189,REC,1.31
PF02190,REC,0.81
PF02191,REC,1.88
PF02192,REC,2.31
PF02194,REC,1.02
PF02196,REC,1.26
PF02197,REC,1.68
PF02198,REC,1.6
PF02199,REC,3.23
PF02201,REC,2.64
PF02204,REC,1.14
PF02205,FULL,1.9
PF02207,REC,2.11
PF02208,REC,3.05
PF02209,REC,2.52
PF02210,FULL,0.79
PF02212,REC,1.83
PF02213,REC,2.83
PF02214,REC,1.43
PF02218,REC,3.57
PF02221,REC,0.21
PF02223,REC,0.59
PF02225,REC,0.83
PF02230,REC,2.19
PF02234,REC,2.63
PF02238,REC,2.83
PF02244,REC,1.48
PF02251,REC,2.46
PF02252,REC,2.47
PF02256,FULL,3.89
PF02257,REC,2.49
PF02259,REC,0.1
PF02260,REC,2.08
PF02262,REC,2.34
PF02263,REC,2.37
PF02267,REC,2.0
PF02269,REC,1.43
PF02275,FULL,4.18
PF02285,REC,2.44
PF02291,FULL,5.11
PF02295,FULL,2.71
PF02296,FULL,4.64
PF02297,REC,1.61
PF02301,REC,1.33
PF02310,FULL,3.45
PF02318,REC,1.63
PF02319,REC,2.14
PF02320,REC,5.11
PF02337,REC,5.25
PF02338,SEED,0.37
PF02351,REC,1.01
PF02354,REC,2.22
PF02359,REC,-0.4
PF02366,REC,1.81
PF02368,REC,2.55
PF02372,FULL,0.73
PF02373,REC,0.99
PF02375,REC,2.67
PF02376,REC,2.25
PF02377,REC,3.36
PF02383,FULL,2.76
PF02389,REC,4.64
PF02394,REC,0.92
PF02412,REC,2.84
PF02434,SEED,1.79
PF02437,REC,1.79
PF02450,FULL,3.75
PF02453,FULL,3.29
PF02460,REC,1.87
PF02463,FULL,0.66
PF02466,REC,0.75
PF02469,REC,0.91
PF02475,REC,0.86
PF02485,REC,1.78
PF02492,REC,4.96
PF02493,REC,1.83
PF02494,REC,1.76
PF02513,REC,2.38
PF02515,REC,1.11
PF02516,REC,3.39
PF02518,REC,2.18
PF02525,REC,2.57
PF02535,SEED,1.2
PF02536,REC,0.44
PF02540,REC,0.31
PF02544,SEED,3.19
PF02574,REC,2.01
PF02580,FULL,3.44
PF02617,FULL,3.43
PF02629,REC,0.49
PF02630,REC,3.37
PF02668,REC,1.13
PF02671,FULL,1.82
PF02690,REC,2.53
PF02709,REC,2.91
PF02714,REC,3.44
PF02727,REC,3.0
PF02728,FULL,3.0
PF02729,REC,1.25
PF02732,REC,0.12
PF02735,REC,0.31
PF02736,REC,2.07
PF02737,REC,1.04
PF02738,REC,2.74
PF02750,REC,4.28
PF02752,REC,1.36
PF02755,REC,2.29
PF02758,SEED,0.97
PF02759,REC,0.71
PF02760,REC,2.59
PF02761,REC,3.66
PF02762,REC,4.39
PF02769,FULL,0.72
PF02770,REC,1.47
PF02771,REC,1.07
PF02772,REC,4.63
PF02773,REC,4.85
PF02775,REC,1.38
PF02776,REC,1.54
PF02779,REC,0.94
PF02780,FULL,1.82
PF02781,REC,1.62
PF02782,FULL,1.59
PF02784,FULL,3.34
PF02785,REC,1.6
PF02786,REC,1.35
PF02787,FULL,3.02
PF02791,REC,1.48
PF02792,REC,5.29
PF02793,REC,1.59
PF02798,REC,1.63
PF02799,REC,4.47
PF02800,REC,4.03
PF02801,REC,1.09
PF02803,REC,2.16
PF02806,REC,3.77
PF02807,FULL,4.58
PF02809,REC,2.1
PF02812,FULL,5.25
PF02815,REC,1.1
PF02816,REC,1.16
PF02817,REC,1.93
PF02818,REC,3.25
PF02820,REC,1.87
PF02822,FULL,2.75
PF02824,REC,1.53
PF02825,REC,1.18
PF02826,REC,2.0
PF02827,REC,1.36
PF02828,REC,0.91
PF02833,REC,1.71
PF02836,FULL,3.7
PF02837,REC,4.57
PF02841,REC,2.4
PF02845,REC,1.0
PF02847,REC,0.66
PF02852,SEED,2.18
PF02854,SEED,0.4
PF02862,FULL,2.21
PF02864,FULL,2.65
PF02865,REC,1.83
PF02866,REC,1.61
PF02874,REC,0.75
PF02877,REC,1.82
PF02878,REC,1.41
PF02879,REC,1.52
PF02880,REC,1.36
PF02881,REC,0.43
PF02882,REC,2.31
PF02883,REC,0.73
PF02886,REC,0.77
PF02887,REC,3.5
PF02888,REC,3.55
PF02889,FULL,1.01
PF02891,REC,3.97
PF02892,REC,2.2
PF02893,REC,0.76
PF02897,REC,0.21
PF02898,REC,3.92
PF02902,REC,1.61
PF02906,FULL,3.94
PF02911,REC,1.47
PF02913,REC,0.38
PF02919,REC,4.02
PF02921,REC,4.83
PF02926,REC,0.81
PF02928,REC,2.75
PF02931,REC,1.4
PF02932,FULL,1.34
