Pfam_code,mean_%conservation,blosum62_global_mean,perc_gaps
PF00792,0.35,1.13,0.31
PF00794,0.39,0.84,0.19
PF00795,0.3,0.74,0.42
PF00797,0.91,4.38,0.0
PF00801,0.26,0.53,0.35
PF00804,0.64,2.31,0.02
PF00805,0.55,1.27,0.05
PF00806,0.38,1.47,0.22
PF00808,0.45,1.07,0.06
PF00809,,,0.0
PF00810,0.88,4.22,0.01
PF00811,,,0.0
PF00812,0.49,2.17,0.18
PF00814,,,0.0
PF00817,0.44,1.55,0.29
PF00821,0.87,4.17,0.0
PF00822,0.31,1.06,0.28
PF00827,,,0.0
PF00828,0.57,0.57,0.13
PF00829,,,0.0
PF00830,,,0.0
PF00831,,,0.0
PF00832,0.96,5.1,0.0
PF00833,,,0.0
PF00834,0.98,5.06,0.0
PF00835,0.7,2.65,0.09
PF00836,0.63,2.99,0.19
PF00837,0.57,-inf,0.1
PF00838,0.72,3.64,0.18
PF00839,0.3,1.01,0.27
PF00841,,,0.0
PF00849,0.46,0.64,0.12
PF00850,0.48,1.78,0.11
PF00852,0.7,3.19,0.06
PF00853,0.97,5.0,0.0
PF00854,0.31,0.85,0.39
PF00855,0.28,1.07,0.35
PF00856,0.1,0.98,0.75
PF00857,0.74,2.44,0.01
PF00858,0.41,1.54,0.2
PF00859,0.61,2.61,0.14
PF00860,0.67,2.26,0.03
PF00861,,,0.0
PF00864,0.57,2.49,0.1
PF00865,,,0.0
PF00867,0.57,1.64,0.05
PF00868,0.45,1.48,0.11
PF00870,0.82,3.73,0.01
PF00875,0.85,3.91,0.02
PF00876,0.45,1.04,0.3
PF00878,0.28,1.12,0.36
PF00879,0.69,2.92,0.12
PF00880,0.36,1.44,0.23
PF00881,,,0.0
PF00882,,,0.0
PF00883,0.65,1.28,0.04
PF00884,0.34,1.27,0.3
PF00886,,,0.0
PF00887,0.54,2.03,0.1
PF00888,0.3,1.27,0.43
PF00889,,,0.0
PF00890,,,0.0
PF00891,0.73,2.34,0.01
PF00892,0.32,0.15,0.25
PF00895,,,0.0
PF00899,0.24,0.34,0.39
PF00900,0.96,4.8,0.0
PF00903,0.43,0.26,0.21
PF00904,0.58,3.09,0.25
PF00907,0.57,3.04,0.16
PF00909,0.55,2.01,0.14
PF00916,0.47,1.75,0.14
PF00918,0.55,4.92,0.45
PF00919,0.6,1.32,0.14
PF00923,,,0.0
PF00927,0.33,0.47,0.12
PF00928,0.33,1.01,0.29
PF00929,0.33,0.53,0.24
PF00930,0.44,1.35,0.16
PF00931,,,0.0
PF00932,0.5,1.75,0.15
PF00935,0.99,5.33,0.0
PF00939,0.57,2.39,0.12
PF00940,,,0.0
PF00941,0.7,2.08,0.0
PF00953,,,0.0
PF00955,0.5,2.53,0.22
PF00956,0.24,2.02,0.58
PF00957,0.45,1.61,0.16
PF00958,,,0.0
PF00962,0.48,0.72,0.14
PF00965,0.63,2.71,0.05
PF00969,0.65,2.88,0.1
PF00970,0.58,2.46,0.14
PF00975,0.55,-0.04,0.13
PF00976,0.63,2.64,0.1
PF00984,,,0.0
PF00988,0.71,2.65,0.07
PF00989,0.27,1.46,0.44
PF00992,0.45,1.31,0.17
PF00993,0.61,2.1,0.05
PF00994,0.44,0.46,0.21
PF00995,0.3,0.77,0.34
PF00996,0.36,2.25,0.45
PF00997,,,0.0
PF00999,0.33,1.09,0.29
PF01000,0.64,1.82,0.13
PF01007,0.56,2.8,0.11
PF01008,0.45,0.77,0.14
PF01012,0.55,-0.17,0.11
PF01015,,,0.0
PF01016,,,0.0
PF01017,0.37,1.5,0.36
PF01018,0.6,1.47,0.22
PF01019,0.51,2.84,0.33
PF01020,,,0.0
PF01023,0.43,1.7,0.15
PF01025,0.69,2.5,0.08
PF01026,0.48,0.73,0.13
PF01027,0.46,1.1,0.11
PF01028,0.89,4.11,0.01
PF01030,0.39,1.42,0.21
PF01031,0.58,1.77,0.05
PF01033,0.48,2.44,0.11
PF01034,0.45,2.73,0.36
PF01035,,,0.0
PF01039,0.52,1.22,0.13
PF01040,0.46,-0.03,0.08
PF01042,,,0.0
PF01044,0.25,1.8,0.63
PF01048,0.45,0.64,0.16
PF01049,0.59,2.9,0.15
PF01053,,,0.0
PF01055,0.48,2.06,0.19
PF01056,0.32,1.88,0.52
PF01058,,,0.0
PF01059,,,0.0
PF01061,0.51,1.18,0.04
PF01062,0.74,3.53,0.07
PF01063,0.78,2.95,0.02
PF01064,0.32,1.24,0.35
PF01066,0.33,0.69,0.39
PF01067,0.35,1.64,0.35
PF01068,0.54,1.18,0.05
PF01070,0.72,2.41,0.02
PF01071,,,0.0
PF01073,0.54,1.63,0.08
PF01074,0.5,1.34,0.11
PF01079,0.62,2.29,0.14
PF01080,0.53,4.44,0.44
PF01082,0.51,1.71,0.08
PF01084,0.6,1.68,0.02
PF01085,0.9,4.59,0.01
PF01086,0.75,3.11,0.1
PF01087,,,0.0
PF01088,0.52,1.63,0.09
PF01090,,,0.0
PF01091,0.74,3.12,0.06
PF01092,,,0.0
PF01093,0.61,1.02,0.05
PF01094,0.18,0.57,0.51
PF01096,0.62,2.97,0.1
PF01099,0.44,1.08,0.1
PF01101,0.56,2.31,0.17
PF01102,0.63,2.22,0.26
PF01103,,,0.0
PF01105,0.4,1.22,0.18
PF01106,,,0.0
PF01108,0.28,0.83,0.39
PF01109,,,0.0
PF01110,,,0.0
PF01111,0.92,4.76,0.0
PF01112,0.51,1.18,0.19
PF01114,,,0.0
PF01115,,,0.0
PF01119,0.41,0.99,0.26
PF01120,0.79,3.6,0.01
PF01121,0.65,1.27,0.02
PF01122,0.52,0.99,0.08
PF01124,0.41,0.78,0.18
PF01125,,,0.0
PF01126,0.78,3.13,0.0
PF01127,,,0.0
PF01128,,,0.0
PF01129,0.54,1.65,0.1
PF01130,0.59,1.77,0.04
PF01131,0.69,1.84,0.02
PF01133,,,0.0
PF01134,,,0.0
PF01135,0.67,2.07,0.05
PF01137,0.61,0.69,0.02
PF01138,0.36,0.62,0.18
PF01139,,,0.0
PF01142,0.64,1.47,0.06
PF01144,0.53,1.41,0.1
PF01145,0.34,0.85,0.27
PF01146,0.65,2.73,0.11
PF01148,0.9,4.45,0.0
PF01149,,,0.0
PF01150,0.42,1.39,0.17
PF01151,0.51,1.74,0.08
PF01153,0.49,1.69,0.12
PF01154,0.89,4.32,0.0
PF01157,,,0.0
PF01158,,,0.0
PF01159,,,0.0
PF01160,0.55,1.6,0.01
PF01161,0.46,1.05,0.28
PF01163,0.56,1.51,0.09
PF01165,,,0.0
PF01166,0.81,3.68,0.04
PF01167,0.48,3.16,0.36
PF01168,,,0.0
PF01169,0.61,0.73,0.01
PF01170,0.47,0.89,0.27
PF01171,,,0.0
PF01172,,,0.0
PF01175,,,0.0
PF01176,0.73,2.51,0.04
PF01179,0.71,2.86,0.03
PF01180,0.6,0.63,0.08
PF01182,0.53,1.41,0.12
PF01186,0.72,3.55,0.02
PF01187,0.68,2.59,0.11
PF01189,0.3,1.21,0.46
PF01191,,,0.0
PF01192,,,0.0
PF01193,0.58,0.17,0.06
PF01194,,,0.0
PF01195,,,0.0
PF01196,,,0.0
PF01198,,,0.0
PF01199,,,0.0
PF01200,,,0.0
PF01201,0.55,0.61,0.27
PF01202,0.54,0.11,0.26
PF01204,,,0.0
PF01205,,,0.0
PF01207,0.52,1.05,0.08
PF01208,,,0.0
PF01209,,,0.0
PF01210,0.83,3.56,0.0
PF01212,,,0.0
PF01213,0.73,1.81,0.02
PF01214,,,0.0
PF01215,,,0.0
PF01216,0.82,3.7,0.01
PF01217,0.35,1.06,0.18
PF01218,,,0.0
PF01221,0.75,3.16,0.03
PF01222,0.59,2.23,0.16
PF01223,0.37,0.79,0.28
PF01227,,,0.0
PF01229,,,0.0
PF01230,0.59,1.72,0.07
PF01231,0.72,2.28,0.01
PF01233,0.94,4.77,0.0
PF01234,0.66,2.08,0.03
PF01237,0.29,1.87,0.47
PF01238,,,0.0
PF01239,0.34,1.07,0.21
PF01242,,,0.0
PF01243,,,0.0
PF01244,0.78,3.25,0.02
PF01245,,,0.0
PF01246,0.71,2.4,0.01
PF01247,,,0.0
PF01248,0.32,0.6,0.21
PF01249,,,0.0
PF01250,,,0.0
PF01251,,,0.0
PF01253,0.58,1.5,0.08
PF01254,,,0.0
PF01255,0.54,0.51,0.29
PF01256,,,0.0
PF01257,,,0.0
PF01259,,,0.0
PF01261,,,0.0
PF01262,,,0.0
PF01263,,,0.0
PF01265,,,0.0
PF01266,0.28,0.39,0.31
PF01267,0.74,2.9,0.03
PF01268,0.88,4.0,0.01
PF01269,0.94,4.63,0.0
PF01271,0.32,-0.02,0.37
PF01273,0.22,0.39,0.43
PF01275,0.66,2.92,0.1
PF01279,0.55,1.81,0.37
PF01280,,,0.0
PF01281,,,0.0
PF01282,,,0.0
PF01283,0.97,4.94,0.0
PF01284,0.21,0.41,0.39
PF01285,1.0,5.11,0.0
PF01286,,,0.0
PF01287,0.9,4.08,0.0
PF01290,0.85,4.14,0.01
PF01291,0.59,0.46,0.06
PF01294,,,0.0
PF01296,0.71,5.29,0.27
PF01299,0.43,1.0,0.16
PF01300,,,0.0
PF01301,0.68,2.7,0.02
PF01302,0.47,2.43,0.24
PF01315,0.73,2.36,0.03
PF01321,0.68,2.15,0.08
PF01323,,,0.0
PF01327,,,0.0
PF01329,0.82,3.69,0.0
PF01331,,,0.0
PF01335,0.41,0.88,0.08
PF01336,0.29,0.52,0.37
PF01342,0.51,2.15,0.16
PF01344,0.26,1.34,0.4
PF01347,0.57,0.25,0.09
PF01351,,,0.0
PF01352,0.43,2.94,0.38
PF01359,,,0.0
PF01363,0.26,2.17,0.49
PF01365,0.37,1.33,0.24
PF01368,,,0.0
PF01369,0.46,2.22,0.21
PF01370,0.36,0.05,0.25
PF01379,,,0.0
PF01380,0.55,1.43,0.05
PF01381,,,0.0
PF01384,0.73,2.04,0.01
PF01387,0.7,2.84,0.1
