Pfam_code,HMMER_conservation,SEED_conservation,HMMER_vs_SEED_conservation_diff,HMMER_vs_SEED_conservation_%_improvement
PF00068,0.67,0.65,0.02,3.08
PF00069,0.47,0.38,0.09,23.68
PF00071,0.60,0.59,0.01,1.69
PF00074,1.00,1.00,0.00,0.00
PF00075,1.00,1.00,0.00,0.00
PF00076,0.39,0.40,-0.01,-2.50
PF00077,1.00,1.00,0.00,0.00
PF00078,1.00,1.00,0.00,0.00
PF00079,0.53,0.48,0.05,10.42
PF00081,1.00,1.00,0.00,0.00
PF00082,1.00,1.00,0.00,0.00
PF00083,1.00,1.00,0.00,0.00
PF00084,0.43,0.47,-0.04,-8.51
PF00086,0.37,0.61,-0.24,-39.34
PF00088,0.62,1.00,-0.38,-38.00
PF00089,0.48,0.38,0.10,26.32
PF00090,0.52,0.47,0.05,10.64
PF00091,0.70,0.66,0.04,6.06
PF00092,0.38,0.26,0.12,46.15
PF00093,0.51,0.40,0.11,27.50
PF00094,0.39,0.41,-0.02,-4.88
PF00095,0.61,0.53,0.08,15.09
PF00096,0.55,0.40,0.15,37.50
PF00097,0.65,0.65,0.00,0.00
PF00098,0.67,0.56,0.11,19.64
PF00102,0.52,0.46,0.06,13.04
PF00103,0.88,0.86,0.02,2.33
PF00105,0.64,0.64,0.00,0.00
PF00106,0.52,0.49,0.03,6.12
PF00108,1.00,1.00,0.00,0.00
PF00109,1.00,1.00,0.00,0.00
PF00112,0.57,0.51,0.06,11.76
PF00117,0.57,0.56,0.01,1.79
PF00118,1.00,1.00,0.00,0.00
PF00120,1.00,1.00,0.00,0.00
PF00125,0.59,0.57,0.02,3.51
PF00129,0.73,0.73,0.00,0.00
PF00130,0.47,0.43,0.04,9.30
PF00133,1.00,1.00,0.00,0.00
PF00134,0.66,0.66,0.00,0.00
PF00135,0.52,0.47,0.05,10.64
PF00136,1.00,1.00,0.00,0.00
PF00143,0.69,0.69,0.00,0.00
PF00146,1.00,1.00,0.00,0.00
PF00147,0.77,0.77,0.00,0.00
PF00149,0.34,0.24,0.10,41.67
PF00151,1.00,1.00,0.00,0.00
PF00152,1.00,1.00,0.00,0.00
PF00153,0.38,0.37,0.01,2.70
PF00155,1.00,1.00,0.00,0.00
PF00167,0.69,0.68,0.01,1.47
PF00168,0.31,0.21,0.10,47.62
PF00169,0.30,0.21,0.09,42.86
PF00170,0.56,0.56,0.00,0.00
PF00171,1.00,1.00,0.00,0.00
PF00173,0.64,0.63,0.01,1.59
PF00175,1.00,1.00,0.00,0.00
PF00176,0.57,0.54,0.03,5.56
PF00179,0.57,0.57,0.00,0.00
PF00188,1.00,1.00,0.00,0.00
PF00191,0.48,0.48,0.00,0.00
PF00194,0.59,0.56,0.03,5.36
PF00201,0.71,0.70,0.01,1.43
PF00202,1.00,1.00,0.00,0.00
PF00206,0.58,0.58,0.00,0.00
PF00207,0.53,0.52,0.01,1.92
PF00209,0.74,0.74,0.00,0.00
PF00211,0.55,0.58,-0.03,-5.17
PF00213,1.00,1.00,0.00,0.00
PF00215,1.00,1.00,0.00,0.00
PF00217,1.00,1.00,0.00,0.00
PF00220,0.89,0.89,0.00,0.00
PF00224,1.00,1.00,0.00,0.00
PF00225,0.53,0.39,0.14,35.90
PF00226,0.66,0.64,0.02,3.13
PF00229,0.42,0.36,0.06,16.67
PF00230,0.74,0.74,0.00,0.00
PF00232,0.54,0.72,-0.18,-25.00
PF00236,1.00,1.00,0.00,0.00
PF00240,0.41,0.38,0.03,7.89
PF00245,1.00,1.00,0.00,0.00
PF00246,0.57,0.54,0.03,5.56
PF00249,0.43,0.43,0.00,0.00
PF00254,0.53,0.54,-0.01,-1.85
PF00255,0.70,0.69,0.01,1.45
PF00258,0.53,0.45,0.08,17.78
PF00261,1.00,1.00,0.00,0.00
PF00270,0.43,0.39,0.04,10.26
PF00271,0.40,0.31,0.09,29.03
PF00282,1.00,1.00,0.00,0.00
PF00287,1.00,1.00,0.00,0.00
PF00288,0.49,0.45,0.04,8.89
PF00289,1.00,1.00,0.00,0.00
PF00292,0.87,0.87,0.00,0.00
PF00293,0.39,0.35,0.04,11.43
PF00297,0.50,1.00,-0.50,-50.00
PF00307,0.34,0.28,0.06,21.43
PF00313,0.54,1.00,-0.46,-46.00
PF00320,0.54,0.54,0.00,0.00
PF00324,1.00,1.00,0.00,0.00
PF00328,0.90,0.86,0.04,4.65
PF00334,1.00,1.00,0.00,0.00
PF00335,0.42,0.34,0.08,23.53
PF00337,0.51,0.49,0.02,4.08
PF00340,0.59,0.58,0.01,1.72
PF00341,1.00,1.00,0.00,0.00
PF00342,1.00,1.00,0.00,0.00
PF00350,1.00,1.00,0.00,0.00
PF00354,0.76,0.76,0.00,0.00
PF00357,0.71,0.72,-0.01,-1.39
PF00364,0.59,0.59,0.00,0.00
PF00370,1.00,1.00,0.00,0.00
PF00373,0.49,0.47,0.02,4.26
PF00378,0.60,0.60,0.00,0.00
PF00382,0.57,0.56,0.01,1.79
PF00383,0.57,0.56,0.01,1.79
PF00384,1.00,1.00,0.00,0.00
PF00385,0.44,0.36,0.08,22.22
PF00386,0.45,0.43,0.02,4.65
PF00388,0.71,0.69,0.02,2.90
PF00389,0.50,1.00,-0.50,-50.00
PF00390,0.84,0.84,0.00,0.00
PF00394,1.00,1.00,0.00,0.00
PF00396,0.64,0.64,0.00,0.00
PF00397,0.57,0.58,-0.01,-1.72
PF00400,0.34,0.18,0.16,88.89
PF00405,0.61,0.69,-0.08,-11.59
PF00406,0.50,1.00,-0.50,-50.00
PF00412,0.42,0.41,0.01,2.44
PF00413,0.67,0.64,0.03,4.69
PF00415,0.56,0.61,-0.05,-8.20
PF00420,1.00,1.00,0.00,0.00
PF00431,0.46,0.45,0.01,2.22
PF00432,0.65,0.42,0.23,54.76
PF00435,0.31,0.28,0.03,10.71
PF00439,0.44,0.46,-0.02,-4.35
PF00443,0.22,0.35,-0.13,-37.14
PF00447,1.00,1.00,0.00,0.00
PF00448,1.00,1.00,0.00,0.00
PF00450,1.00,1.00,0.00,0.00
PF00454,0.57,0.56,0.01,1.79
PF00459,1.00,1.00,0.00,0.00
PF00462,0.84,0.84,0.00,0.00
PF00464,0.85,0.85,0.00,0.00
PF00467,0.50,0.42,0.08,19.05
PF00473,1.00,1.00,0.00,0.00
PF00474,0.84,0.83,0.01,1.20
PF00481,0.49,0.43,0.06,13.95
PF00487,1.00,1.00,0.00,0.00
PF00488,1.00,1.00,0.00,0.00
PF00491,1.00,1.00,0.00,0.00
PF00498,0.39,0.30,0.09,30.00
PF00501,0.45,0.44,0.01,2.27
PF00503,0.71,0.70,0.01,1.43
PF00505,0.46,0.52,-0.06,-11.54
PF00514,0.36,0.30,0.06,20.00
PF00515,0.44,0.40,0.04,10.00
PF00520,0.36,0.19,0.17,89.47
PF00530,0.51,0.44,0.07,15.91
PF00531,0.36,0.35,0.01,2.86
PF00533,0.33,0.27,0.06,22.22
PF00535,0.46,0.44,0.02,4.55
PF00536,0.40,0.37,0.03,8.11
PF00554,1.00,1.00,0.00,0.00
PF00560,0.45,0.31,0.14,45.16
PF00561,0.42,0.41,0.01,2.44
PF00564,0.38,0.38,0.00,0.00
PF00567,0.36,0.41,-0.05,-12.20
PF00568,0.58,0.57,0.01,1.75
PF00571,0.62,0.37,0.25,67.57
PF00573,1.00,1.00,0.00,0.00
PF00579,1.00,1.00,0.00,0.00
PF00583,0.38,0.37,0.01,2.70
PF00587,1.00,1.00,0.00,0.00
PF00588,1.00,1.00,0.00,0.00
PF00591,1.00,1.00,0.00,0.00
PF00595,0.42,0.39,0.03,7.69
PF00596,1.00,1.00,0.00,0.00
PF00607,1.00,1.00,0.00,0.00
PF00609,0.65,0.62,0.03,4.84
PF00610,0.47,0.39,0.08,20.51
PF00612,0.44,0.44,0.00,0.00
PF00613,0.53,0.53,0.00,0.00
PF00615,0.46,0.44,0.02,4.55
PF00616,1.00,1.00,0.00,0.00
PF00618,0.46,0.42,0.04,9.52
PF00619,0.36,0.33,0.03,9.09
PF00620,0.43,0.33,0.10,30.30
PF00621,0.43,0.36,0.07,19.44
PF00622,0.38,0.33,0.05,15.15
PF00623,0.72,0.70,0.02,2.86
PF00625,0.58,0.57,0.01,1.75
PF00626,0.36,0.31,0.05,16.13
PF00627,0.44,0.43,0.01,2.33
PF00628,0.45,0.36,0.09,25.00
PF00629,0.38,0.33,0.05,15.15
PF00630,0.44,0.50,-0.06,-12.00
PF00631,0.59,0.57,0.02,3.51
PF00632,0.67,0.65,0.02,3.08
PF00633,1.00,1.00,0.00,0.00
PF00634,0.52,1.00,-0.48,-48.00
PF00635,0.55,0.53,0.02,3.77
PF00637,0.33,0.54,-0.21,-38.89
PF00638,0.70,0.69,0.01,1.45
PF00640,0.47,0.44,0.03,6.82
PF00641,0.57,0.50,0.07,14.00
PF00642,0.48,0.45,0.03,6.67
PF00643,0.50,0.51,-0.01,-1.96
PF00644,0.58,0.57,0.01,1.75
PF00646,0.61,0.61,0.00,0.00
PF00650,1.00,1.00,0.00,0.00
PF00651,0.41,0.34,0.07,20.59
PF00652,0.40,0.36,0.04,11.11
PF00653,0.61,1.00,-0.39,-39.00
PF00656,0.48,0.41,0.07,17.07
PF00657,1.00,1.00,0.00,0.00
PF00664,0.47,0.40,0.07,17.50
PF00665,1.00,1.00,0.00,0.00
PF00666,1.00,1.00,0.00,0.00
PF00667,0.78,0.77,0.01,1.30
PF00670,1.00,1.00,0.00,0.00
PF00675,0.58,0.58,0.00,0.00
PF00676,0.58,0.57,0.01,1.75
PF00679,1.00,1.00,0.00,0.00
PF00681,0.64,0.53,0.11,20.75
PF00682,1.00,1.00,0.00,0.00
PF00685,0.51,0.46,0.05,10.87
PF00689,1.00,1.00,0.00,0.00
PF00692,1.00,1.00,0.00,0.00
PF00694,1.00,1.00,0.00,0.00
PF00698,1.00,1.00,0.00,0.00
PF00702,0.44,0.38,0.06,15.79
PF00704,0.76,0.76,0.00,0.00
PF00705,1.00,1.00,0.00,0.00
PF00725,0.48,0.56,-0.08,-14.29
PF00730,0.28,0.48,-0.20,-41.67
PF00733,0.50,1.00,-0.50,-50.00
PF00743,0.73,0.73,0.00,0.00
PF00749,0.70,0.70,0.00,0.00
PF00750,1.00,1.00,0.00,0.00
PF00752,0.67,0.67,0.00,0.00
PF00754,0.51,0.44,0.07,15.91
PF00755,0.63,0.61,0.02,3.28
PF00756,1.00,1.00,0.00,0.00
PF00757,0.74,0.72,0.02,2.78
PF00780,0.47,0.44,0.03,6.82
PF00781,0.48,0.43,0.05,11.63
PF00782,0.63,0.61,0.02,3.28
PF00786,0.49,0.49,0.00,0.00
PF00787,0.40,0.27,0.13,48.15
PF00788,0.34,0.33,0.01,3.03
PF00789,0.50,0.48,0.02,4.17
PF00790,0.65,0.65,0.00,0.00
PF00792,0.48,0.46,0.02,4.35
PF00794,0.53,0.52,0.01,1.92
PF00797,1.00,1.00,0.00,0.00
PF00801,0.39,0.29,0.10,34.48
PF00808,1.00,1.00,0.00,0.00
PF00811,1.00,1.00,0.00,0.00
PF00822,0.49,0.46,0.03,6.52
PF00837,0.69,0.66,0.03,4.55
PF00839,0.38,0.49,-0.11,-22.45
PF00850,1.00,1.00,0.00,0.00
PF00852,0.96,0.98,-0.02,-2.04
PF00854,0.50,1.00,-0.50,-50.00
PF00856,0.55,0.52,0.03,5.77
PF00865,1.00,1.00,0.00,0.00
PF00867,0.68,0.69,-0.01,-1.45
PF00870,0.80,0.80,0.00,0.00
PF00878,0.38,0.63,-0.25,-39.68
PF00879,1.00,1.00,0.00,0.00
PF00880,0.45,0.66,-0.21,-31.82
PF00884,0.59,0.54,0.05,9.26
PF00887,1.00,1.00,0.00,0.00
PF00891,1.00,1.00,0.00,0.00
PF00899,0.37,0.36,0.01,2.78
PF00903,1.00,1.00,0.00,0.00
PF00909,1.00,1.00,0.00,0.00
PF00916,0.69,0.68,0.01,1.47
PF00927,0.34,0.33,0.01,3.03
PF00928,0.48,0.44,0.04,9.09
PF00929,1.00,1.00,0.00,0.00
PF00930,0.60,0.58,0.02,3.45
PF00931,1.00,1.00,0.00,0.00
PF00932,1.00,1.00,0.00,0.00
PF00939,1.00,1.00,0.00,0.00
PF00941,1.00,1.00,0.00,0.00
PF00957,0.64,0.63,0.01,1.59
PF00965,1.00,1.00,0.00,0.00
PF00969,0.75,0.74,0.01,1.35
PF00970,0.79,0.79,0.00,0.00
PF00975,1.00,1.00,0.00,0.00
PF00989,0.62,0.60,0.02,3.33
PF00997,1.00,1.00,0.00,0.00
PF00999,0.63,0.59,0.04,6.78
PF01008,1.00,1.00,0.00,0.00
PF01019,0.60,0.58,0.02,3.45
PF01023,1.00,1.00,0.00,0.00
PF01026,1.00,1.00,0.00,0.00
PF01030,0.49,0.42,0.07,16.67
PF01039,0.67,0.65,0.02,3.08
PF01044,1.00,1.00,0.00,0.00
PF01049,1.00,1.00,0.00,0.00
PF01053,1.00,1.00,0.00,0.00
PF01064,0.62,0.62,0.00,0.00
PF01068,0.55,0.54,0.01,1.85
PF01071,1.00,1.00,0.00,0.00
PF01073,1.00,1.00,0.00,0.00
PF01074,0.67,0.64,0.03,4.69
PF01079,1.00,1.00,0.00,0.00
PF01093,0.61,0.61,0.00,0.00
PF01094,0.41,0.31,0.10,32.26
PF01099,0.55,0.54,0.01,1.85
PF01102,1.00,1.00,0.00,0.00
PF01105,0.69,0.67,0.02,2.99
PF01108,0.40,0.38,0.02,5.26
PF01109,1.00,1.00,0.00,0.00
PF01110,1.00,1.00,0.00,0.00
PF01112,1.00,1.00,0.00,0.00
PF01114,1.00,1.00,0.00,0.00
PF01119,1.00,1.00,0.00,0.00
PF01122,1.00,1.00,0.00,0.00
PF01124,1.00,1.00,0.00,0.00
PF01126,1.00,1.00,0.00,0.00
PF01129,0.67,0.65,0.02,3.08
PF01144,0.56,0.56,0.00,0.00
PF01148,1.00,1.00,0.00,0.00
PF01150,1.00,1.00,0.00,0.00
PF01151,0.62,0.61,0.01,1.64
PF01153,1.00,1.00,0.00,0.00
PF01163,0.58,0.57,0.01,1.75
PF01166,1.00,1.00,0.00,0.00
PF01167,1.00,1.00,0.00,0.00
PF01182,1.00,1.00,0.00,0.00
PF01187,1.00,1.00,0.00,0.00
PF01189,1.00,1.00,0.00,0.00
PF01202,1.00,1.00,0.00,0.00
PF01204,1.00,1.00,0.00,0.00
PF01213,1.00,1.00,0.00,0.00
PF01216,1.00,1.00,0.00,0.00
PF01217,1.00,1.00,0.00,0.00
PF01230,1.00,1.00,0.00,0.00
PF01231,1.00,1.00,0.00,0.00
PF01234,0.69,0.69,0.00,0.00
PF01238,1.00,1.00,0.00,0.00
PF01244,1.00,1.00,0.00,0.00
PF01248,0.44,0.43,0.01,2.33
PF01254,1.00,1.00,0.00,0.00
PF01271,0.56,0.57,-0.01,-1.75
PF01273,0.35,0.32,0.03,9.37
PF01284,0.38,0.36,0.02,5.56
PF01287,1.00,1.00,0.00,0.00
PF01291,1.00,1.00,0.00,0.00
PF01299,1.00,1.00,0.00,0.00
PF01323,1.00,1.00,0.00,0.00
PF01331,1.00,1.00,0.00,0.00
PF01344,0.45,0.43,0.02,4.65
PF01347,1.00,1.00,0.00,0.00
PF01352,0.70,1.00,-0.30,-30.00
PF01363,0.59,0.58,0.01,1.72
PF01380,0.55,0.56,-0.01,-1.79
PF01387,1.00,1.00,0.00,0.00
PF01390,0.72,0.50,0.22,44.00
PF01391,0.57,0.56,0.01,1.79
PF01394,0.36,0.57,-0.21,-36.84
PF01396,1.00,1.00,0.00,0.00
PF01398,0.39,0.34,0.05,14.71
PF01399,0.32,0.26,0.06,23.08
PF01400,0.64,0.63,0.01,1.59
PF01401,0.77,0.77,0.00,0.00
PF01410,0.89,0.89,0.00,0.00
PF01411,1.00,1.00,0.00,0.00
PF01412,0.56,0.56,0.00,0.00
PF01417,1.00,1.00,0.00,0.00
PF01421,0.52,0.51,0.01,1.96
PF01425,1.00,1.00,0.00,0.00
PF01426,0.45,0.36,0.09,25.00
PF01429,0.53,0.53,0.00,0.00
PF01431,1.00,1.00,0.00,0.00
PF01432,1.00,1.00,0.00,0.00
PF01433,0.69,0.67,0.02,2.99
PF01434,1.00,1.00,0.00,0.00
PF01435,1.00,1.00,0.00,0.00
PF01436,0.47,0.39,0.08,20.51
PF01437,0.39,0.22,0.17,77.27
PF01442,0.52,1.00,-0.48,-48.00
PF01451,1.00,1.00,0.00,0.00
PF01459,1.00,1.00,0.00,0.00
PF01462,0.48,0.39,0.09,23.08
PF01463,0.39,0.43,-0.04,-9.30
PF01467,1.00,1.00,0.00,0.00
PF01471,0.49,0.43,0.06,13.95
PF01472,1.00,1.00,0.00,0.00
PF01477,0.39,0.34,0.05,14.71
PF01483,1.00,1.00,0.00,0.00
PF01485,1.00,1.00,0.00,0.00
PF01490,1.00,1.00,0.00,0.00
PF01496,1.00,1.00,0.00,0.00
PF01500,0.63,0.86,-0.23,-26.74
PF01510,0.63,0.67,-0.04,-5.97
PF01529,1.00,1.00,0.00,0.00
PF01531,1.00,1.00,0.00,0.00
PF01532,0.61,0.58,0.03,5.17
PF01535,0.47,0.44,0.03,6.82
PF01551,1.00,1.00,0.00,0.00
PF01553,0.52,0.49,0.03,6.12
PF01562,1.00,1.00,0.00,0.00
PF01564,0.62,0.62,0.00,0.00
PF01575,1.00,1.00,0.00,0.00
PF01582,0.43,0.41,0.02,4.88
PF01583,1.00,1.00,0.00,0.00
PF01585,0.54,0.51,0.03,5.88
PF01588,0.82,0.81,0.01,1.23
PF01590,0.57,0.57,0.00,0.00
PF01591,1.00,1.00,0.00,0.00
PF01593,1.00,1.00,0.00,0.00
PF01602,0.48,0.44,0.04,9.09
PF01612,1.00,1.00,0.00,0.00
PF01624,0.57,0.55,0.02,3.64
PF01630,1.00,1.00,0.00,0.00
PF01650,1.00,1.00,0.00,0.00
PF01661,0.50,0.55,-0.05,-9.09
PF01663,0.65,0.64,0.01,1.56
PF01667,1.00,1.00,0.00,0.00
PF01694,0.54,0.52,0.02,3.85
PF01699,0.44,0.57,-0.13,-22.81
PF01712,0.66,0.61,0.05,8.20
PF01729,1.00,1.00,0.00,0.00
PF01731,0.86,0.86,0.00,0.00
PF01733,0.71,0.69,0.02,2.90
PF01740,0.62,0.54,0.08,14.81
PF01751,1.00,1.00,0.00,0.00
PF01753,0.55,0.45,0.10,22.22
PF01755,1.00,1.00,0.00,0.00
PF01756,1.00,1.00,0.00,0.00
PF01758,0.66,0.65,0.01,1.54
PF01759,0.38,0.35,0.03,8.57
PF01762,1.00,1.00,0.00,0.00
PF01770,0.72,0.70,0.02,2.86
PF01812,1.00,1.00,0.00,0.00
PF01822,0.50,0.52,-0.02,-3.85
PF01823,1.00,1.00,0.00,0.00
PF01825,1.00,1.00,0.00,0.00
PF01826,0.51,0.53,-0.02,-3.77
PF01833,0.33,0.28,0.05,17.86
PF01835,0.68,0.68,0.00,0.00
PF01839,0.52,0.46,0.06,13.04
PF01842,1.00,1.00,0.00,0.00
PF01846,0.43,0.47,-0.04,-8.51
PF01852,0.47,0.45,0.02,4.44
PF01878,1.00,1.00,0.00,0.00
PF01896,1.00,1.00,0.00,0.00
PF01909,0.49,0.47,0.02,4.26
PF01920,0.47,0.46,0.01,2.17
PF01926,0.45,0.39,0.06,15.38
PF01963,1.00,1.00,0.00,0.00
PF01966,1.00,1.00,0.00,0.00
PF01991,1.00,1.00,0.00,0.00
PF02002,1.00,1.00,0.00,0.00
PF02005,1.00,1.00,0.00,0.00
PF02022,1.00,1.00,0.00,0.00
PF02023,0.62,0.62,0.00,0.00
PF02024,1.00,1.00,0.00,0.00
PF02037,0.72,0.72,0.00,0.00
PF02038,0.63,0.63,0.00,0.00
PF02055,1.00,1.00,0.00,0.00
PF02058,0.69,0.68,0.01,1.47
PF02063,1.00,1.00,0.00,0.00
PF02077,1.00,1.00,0.00,0.00
PF02083,1.00,1.00,0.00,0.00
PF02101,1.00,1.00,0.00,0.00
PF02106,1.00,1.00,0.00,0.00
PF02136,1.00,1.00,0.00,0.00
PF02140,1.00,1.00,0.00,0.00
PF02141,0.59,0.59,0.00,0.00
PF02142,0.57,0.56,0.01,1.79
PF02148,0.70,0.65,0.05,7.69
PF02171,1.00,1.00,0.00,0.00
PF02172,1.00,1.00,0.00,0.00
PF02173,1.00,1.00,0.00,0.00
PF02174,0.74,0.73,0.01,1.37
PF02176,0.51,0.50,0.01,2.00
PF02181,0.47,0.44,0.03,6.82
PF02197,0.68,0.68,0.00,0.00
PF02198,0.49,0.46,0.03,6.52
PF02204,1.00,1.00,0.00,0.00
PF02205,0.53,0.52,0.01,1.92
PF02210,0.33,0.20,0.13,65.00
PF02212,1.00,1.00,0.00,0.00
PF02214,0.58,0.56,0.02,3.57
PF02219,1.00,1.00,0.00,0.00
PF02221,1.00,1.00,0.00,0.00
PF02223,1.00,1.00,0.00,0.00
PF02230,1.00,1.00,0.00,0.00
PF02259,1.00,1.00,0.00,0.00
PF02263,0.62,0.59,0.03,5.08
PF02269,0.64,0.64,0.00,0.00
PF02272,1.00,1.00,0.00,0.00
PF02275,1.00,1.00,0.00,0.00
PF02295,0.59,0.59,0.00,0.00
PF02297,1.00,1.00,0.00,0.00
PF02301,1.00,1.00,0.00,0.00
PF02319,1.00,1.00,0.00,0.00
PF02337,1.00,1.00,0.00,0.00
PF02338,0.48,0.43,0.05,11.63
PF02344,1.00,1.00,0.00,0.00
PF02347,1.00,1.00,0.00,0.00
PF02351,0.53,1.00,-0.47,-47.00
PF02366,0.69,0.66,0.03,4.55
PF02368,1.00,1.00,0.00,0.00
PF02373,0.55,0.54,0.01,1.85
PF02374,1.00,1.00,0.00,0.00
PF02389,1.00,1.00,0.00,0.00
PF02423,1.00,1.00,0.00,0.00
PF02434,0.48,0.61,-0.13,-21.31
PF02441,1.00,1.00,0.00,0.00
PF02469,0.37,0.36,0.01,2.78
PF02485,0.72,0.71,0.01,1.41
PF02493,0.45,0.47,-0.02,-4.26
PF02494,0.79,0.79,0.00,0.00
PF02516,1.00,1.00,0.00,0.00
PF02518,0.87,0.78,0.09,11.54
PF02535,0.44,0.52,-0.08,-15.38
PF02544,0.79,0.79,0.00,0.00
PF02597,1.00,1.00,0.00,0.00
PF02636,1.00,1.00,0.00,0.00
PF02637,1.00,1.00,0.00,0.00
PF02678,1.00,1.00,0.00,0.00
PF02709,1.00,1.00,0.00,0.00
PF02727,0.72,0.72,0.00,0.00
PF02728,1.00,1.00,0.00,0.00
PF02732,1.00,1.00,0.00,0.00
PF02744,1.00,1.00,0.00,0.00
PF02750,1.00,1.00,0.00,0.00
PF02752,0.53,0.51,0.02,3.92
PF02758,0.64,0.63,0.01,1.59
PF02759,0.51,0.43,0.08,18.60
PF02760,1.00,1.00,0.00,0.00
PF02769,0.39,0.43,-0.04,-9.30
PF02771,0.64,0.62,0.02,3.23
PF02779,0.60,0.55,0.05,9.09
PF02780,1.00,1.00,0.00,0.00
PF02781,1.00,1.00,0.00,0.00
PF02784,1.00,1.00,0.00,0.00
PF02785,1.00,1.00,0.00,0.00
PF02786,0.52,0.61,-0.09,-14.75
PF02793,0.55,0.53,0.02,3.77
PF02798,0.48,0.47,0.01,2.13
PF02801,1.00,1.00,0.00,0.00
PF02803,0.73,0.73,0.00,0.00
PF02806,1.00,1.00,0.00,0.00
PF02815,0.61,0.60,0.01,1.67
PF02816,1.00,1.00,0.00,0.00
PF02818,0.76,0.72,0.04,5.56
PF02824,0.60,0.59,0.01,1.69
PF02827,1.00,1.00,0.00,0.00
PF02836,1.00,1.00,0.00,0.00
PF02841,0.89,0.89,0.00,0.00
PF02845,0.60,0.60,0.00,0.00
PF02847,1.00,1.00,0.00,0.00
PF02852,0.71,0.70,0.01,1.43
PF02854,0.36,0.35,0.01,2.86
PF02870,1.00,1.00,0.00,0.00
PF02872,1.00,1.00,0.00,0.00
PF02880,1.00,1.00,0.00,0.00
PF02882,1.00,1.00,0.00,0.00
PF02883,0.55,0.55,0.00,0.00
PF02886,0.57,0.57,0.00,0.00
PF02889,0.48,0.48,0.00,0.00
PF02892,0.66,0.59,0.07,11.86
PF02893,0.39,0.36,0.03,8.33
PF02897,1.00,1.00,0.00,0.00
PF02902,1.00,1.00,0.00,0.00
PF02922,1.00,1.00,0.00,0.00
PF02931,0.45,0.44,0.01,2.27
PF02932,0.81,0.79,0.02,2.53
PF02969,0.69,0.69,0.00,0.00
PF02984,0.56,0.55,0.01,1.82
PF02985,0.48,0.38,0.10,26.32
PF02994,1.00,1.00,0.00,0.00
PF03016,1.00,1.00,0.00,0.00
PF03024,0.51,0.47,0.04,8.51
PF03031,1.00,1.00,0.00,0.00
PF03051,1.00,1.00,0.00,0.00
PF03054,1.00,1.00,0.00,0.00
PF03061,0.47,0.50,-0.03,-6.00
PF03062,0.45,0.43,0.02,4.65
PF03068,0.74,0.73,0.01,1.37
PF03071,1.00,1.00,0.00,0.00
PF03083,0.61,0.61,0.00,0.00
PF03096,1.00,1.00,0.00,0.00
PF03098,1.00,1.00,0.00,0.00
PF03099,1.00,1.00,0.00,0.00
PF03104,1.00,1.00,0.00,0.00
PF03109,1.00,1.00,0.00,0.00
PF03114,0.48,0.47,0.01,2.13
PF03129,0.41,0.40,0.01,2.50
PF03131,1.00,1.00,0.00,0.00
PF03133,0.48,0.44,0.04,9.09
PF03137,0.50,1.00,-0.50,-50.00
PF03143,1.00,1.00,0.00,0.00
PF03144,0.56,0.55,0.01,1.82
PF03151,1.00,1.00,0.00,0.00
PF03153,1.00,1.00,0.00,0.00
PF03155,0.62,0.60,0.02,3.33
PF03160,1.00,1.00,0.00,0.00
PF03165,0.67,0.65,0.02,3.08
PF03171,0.86,0.77,0.09,11.69
PF03179,0.75,0.75,0.00,0.00
PF03184,0.53,0.53,0.00,0.00
