Pfam_code,HMMER_conservation,HMMER_blosum,HMMER_gaps,SEED_conservation,SEED_blosum,SEED_gaps
PF00292,0.87,3.99,0.00,0.87,3.99,0.00
PF00293,0.39,0.41,0.17,0.35,0.15,0.21
PF00297,0.50,,0.50,1.00,,0.00
PF00307,0.34,0.71,0.06,0.28,0.61,0.24
PF00313,0.54,1.8,0.05,1.00,,0.00
PF00320,0.54,1.45,0.04,0.54,1.32,0.04
PF00324,1.00,,0.00,1.00,,0.00
PF00328,0.90,4.25,0.00,0.86,3.94,0.02
PF00334,1.00,,0.00,1.00,,0.00
PF00335,0.42,0.87,0.06,0.34,0.89,0.25
PF00337,0.51,1.5,0.05,0.49,1.44,0.08
PF00340,0.59,0.43,0.08,0.58,0.37,0.09
PF00341,1.00,,0.00,1.00,,0.00
PF00342,1.00,,0.00,1.00,,0.00
PF00350,1.00,,0.00,1.00,,0.00
PF00354,0.76,2.84,0.00,0.76,2.84,0.01
PF00357,0.71,3.32,0.06,0.72,3.0,0.00
PF00364,0.59,1.59,0.02,0.59,1.57,0.01
PF00370,1.00,,0.00,1.00,,0.00
PF00373,0.49,1.03,0.04,0.47,0.99,0.09
PF00378,0.60,0.66,0.02,0.60,0.63,0.03
PF00382,0.57,0.1,0.00,0.56,0.01,0.02
PF00383,0.57,0.45,0.08,0.56,0.24,0.14
PF00384,1.00,,0.00,1.00,,0.00
PF00385,0.44,1.75,0.11,0.36,1.54,0.28
PF00386,0.45,1.11,0.03,0.43,1.13,0.08
PF00388,0.71,2.97,0.00,0.69,2.94,0.02
PF00389,0.50,,0.50,1.00,,0.00
PF00390,0.84,3.8,0.00,0.84,3.8,0.00
PF00394,1.00,,0.00,1.00,,0.00
PF00396,0.64,3.32,0.01,0.64,3.29,0.00
PF00397,0.57,1.87,0.04,0.58,1.7,0.02
PF00400,0.34,1.16,0.14,0.18,0.7,0.47
PF00405,0.61,2.45,0.03,0.69,2.69,0.05
PF00406,0.50,,0.50,1.00,,0.00
PF00412,0.42,1.4,0.06,0.41,1.26,0.06
PF00413,0.67,2.73,0.02,0.64,2.73,0.06
PF00415,0.56,1.94,0.03,0.61,0.67,0.06
PF00420,1.00,,0.00,1.00,,0.00
PF00431,0.46,1.52,0.04,0.45,1.49,0.09
PF00432,0.65,1.31,0.01,0.42,0.65,0.03
PF00435,0.31,0.61,0.06,0.28,0.57,0.15
PF00439,0.44,1.32,0.11,0.46,0.6,0.07
PF00443,0.22,0.96,0.57,0.35,0.7,0.39
PF00447,1.00,,0.00,1.00,,0.00
PF00448,1.00,,0.00,1.00,,0.00
PF00450,1.00,,0.00,1.00,,0.00
PF00454,0.57,2.14,0.10,0.56,2.11,0.13
PF00459,1.00,,0.00,1.00,,0.00
PF00462,0.84,4.0,0.01,0.84,3.85,0.00
PF00464,0.85,3.75,0.00,0.85,3.76,0.00
PF00467,0.50,1.04,0.09,0.42,0.75,0.04
PF00473,1.00,,0.00,1.00,,0.00
PF00474,0.84,3.86,0.00,0.83,3.79,0.00
PF00481,0.49,0.71,0.04,0.43,0.59,0.16
PF00487,1.00,,0.00,1.00,,0.00
PF00488,1.00,,0.00,1.00,,0.00
PF00491,1.00,,0.00,1.00,,0.00
PF00498,0.39,0.69,0.04,0.30,0.63,0.26
PF00501,0.45,0.99,0.12,0.44,1.26,0.22
PF00503,0.71,2.59,0.01,0.70,2.55,0.03
PF00505,0.46,1.27,0.03,0.52,1.22,0.00
PF00514,0.36,0.81,0.08,0.30,0.56,0.14
PF00515,0.44,1.24,0.10,0.40,0.82,0.00
PF00520,0.36,1.02,0.08,0.19,0.68,0.48
PF00530,0.51,2.02,0.06,0.44,1.7,0.17
PF00531,0.36,0.7,0.10,0.35,0.56,0.11
PF00533,0.33,0.46,0.06,0.27,0.27,0.20
PF00535,0.46,0.45,0.07,0.44,0.2,0.07
PF00536,0.40,1.02,0.06,0.37,0.92,0.13
PF00554,1.00,,0.00,1.00,,0.00
PF00560,0.45,1.61,0.17,0.31,0.28,0.13
PF00561,0.42,-0.33,0.02,0.41,-0.37,0.10
PF00564,0.38,0.71,0.08,0.38,0.66,0.09
PF00567,0.36,0.69,0.08,0.41,0.64,0.07
PF00568,0.58,0.38,0.05,0.57,0.33,0.05
PF00571,0.62,1.19,0.06,0.37,0.33,0.23
PF00573,1.00,,0.00,1.00,,0.00
PF00579,1.00,,0.00,1.00,,0.00
PF00583,0.38,0.22,0.19,0.37,-0.17,0.16
PF00587,1.00,,0.00,1.00,,0.00
PF00588,1.00,,0.00,1.00,,0.00
PF00591,1.00,,0.00,1.00,,0.00
PF00595,0.42,0.91,0.06,0.39,0.86,0.13
PF00596,1.00,,0.00,1.00,,0.00
PF00607,1.00,,0.00,1.00,,0.00
PF00609,0.65,2.02,0.01,0.62,1.99,0.08
PF00610,0.47,1.31,0.07,0.39,0.88,0.15
PF00612,0.44,1.59,0.10,0.44,1.21,0.00
PF00613,0.53,1.18,0.10,0.53,1.02,0.08
PF00615,0.46,1.22,0.02,0.44,1.23,0.06
PF00616,1.00,,0.00,1.00,,0.00
PF00618,0.46,0.44,0.13,0.42,0.19,0.26
PF00619,0.36,0.62,0.06,0.33,0.49,0.10
PF00620,0.43,1.22,0.03,0.33,1.18,0.26
PF00621,0.43,0.94,0.02,0.36,0.89,0.21
PF00622,0.38,0.66,0.10,0.33,0.66,0.24
PF00623,0.72,2.2,0.00,0.70,2.19,0.05
PF00625,0.58,0.4,0.06,0.57,0.37,0.09
PF00626,0.36,0.66,0.05,0.31,0.53,0.14
PF00627,0.44,1.15,0.04,0.43,1.02,0.04
PF00628,0.45,2.17,0.05,0.36,1.93,0.22
PF00629,0.38,0.98,0.06,0.33,0.95,0.22
PF00630,0.44,1.6,0.11,0.50,0.99,0.12
PF00631,0.59,1.91,0.03,0.57,1.71,0.01
PF00632,0.67,1.7,0.02,0.65,1.54,0.07
PF00633,1.00,,0.00,1.00,,0.00
PF00634,0.52,1.48,0.02,1.00,,0.00
PF00635,0.55,1.17,0.10,0.53,0.91,0.09
PF00637,0.33,0.37,0.06,0.54,-0.39,0.04
PF00638,0.70,2.93,0.01,0.69,2.88,0.02
PF00640,0.47,1.12,0.05,0.44,1.29,0.18
PF00641,0.57,2.57,0.03,0.50,2.21,0.08
PF00642,0.48,2.16,0.12,0.45,1.55,0.04
PF00643,0.50,1.83,0.08,0.51,1.65,0.04
PF00644,0.58,0.54,0.10,0.57,0.54,0.15
PF00646,0.61,0.87,0.03,0.61,0.69,0.05
PF00650,1.00,,0.00,1.00,,0.00
PF00651,0.41,1.21,0.07,0.34,1.11,0.22
PF00652,0.40,0.84,0.09,0.36,0.81,0.19
PF00653,0.61,2.05,0.06,1.00,,0.00
PF00656,0.48,1.2,0.06,0.41,1.18,0.22
PF00657,1.00,,0.00,1.00,,0.00
PF00664,0.47,0.78,0.01,0.40,-0.02,0.05
PF00665,1.00,,0.00,1.00,,0.00
PF00666,1.00,,0.00,1.00,,0.00
PF00667,0.78,3.0,0.01,0.77,2.95,0.02
PF00670,1.00,,0.00,1.00,,0.00
PF00675,0.58,0.48,0.04,0.58,0.49,0.05
PF00676,0.58,0.27,0.01,0.57,0.25,0.05
PF00679,1.00,,0.00,1.00,,0.00
PF00681,0.64,2.48,0.00,0.53,1.26,0.00
PF00682,1.00,,0.00,1.00,,0.00
PF00685,0.51,1.18,0.08,0.46,1.14,0.16
PF00689,1.00,,0.00,1.00,,0.00
PF00692,1.00,,0.00,1.00,,0.00
PF00694,1.00,,0.00,1.00,,0.00
PF00698,1.00,,0.00,1.00,,0.00
PF00702,0.44,0.46,0.08,0.38,0.34,0.27
PF00704,0.76,2.98,0.02,0.76,2.99,0.01
PF00705,1.00,,0.00,1.00,,0.00
PF00725,0.48,1.09,0.09,0.56,1.4,0.07
PF00730,0.28,0.51,0.47,0.48,0.54,0.13
PF00733,0.50,,0.50,1.00,,0.00
PF00743,0.73,2.9,0.00,0.73,2.88,0.00
PF00749,0.70,1.95,0.01,0.70,1.93,0.01
PF00750,1.00,,0.00,1.00,,0.00
PF00752,0.67,1.82,0.03,0.67,1.75,0.05
PF00754,0.51,1.81,0.06,0.44,1.68,0.17
PF00755,0.63,1.12,0.02,0.61,1.14,0.09
PF00756,1.00,,0.00,1.00,,0.00
PF00757,0.74,2.92,0.01,0.72,3.01,0.03
PF00780,0.47,0.34,0.03,0.44,0.33,0.18
PF00781,0.48,1.56,0.16,0.43,1.14,0.18
PF00782,0.63,2.19,0.02,0.61,2.17,0.06
PF00786,0.49,1.03,0.07,0.49,0.89,0.06
PF00787,0.40,1.0,0.04,0.27,0.88,0.33
PF00788,0.34,0.29,0.13,0.33,0.2,0.14
PF00789,0.50,0.88,0.02,0.48,0.81,0.05
PF00790,0.65,2.1,0.03,0.65,2.04,0.03
PF00792,0.48,1.15,0.10,0.46,1.07,0.15
PF00794,0.53,0.97,0.03,0.52,0.9,0.03
PF00797,1.00,,0.00,1.00,,0.00
PF00801,0.39,0.75,0.08,0.29,0.53,0.28
PF00808,1.00,,0.00,1.00,,0.00
PF00811,1.00,,0.00,1.00,,0.00
PF00822,0.49,1.35,0.04,0.46,1.33,0.12
PF00837,0.69,,0.00,0.66,,0.08
PF00839,0.38,1.11,0.05,0.49,0.84,0.09
PF00850,1.00,,0.00,1.00,,0.00
PF00852,0.96,5.3,0.03,0.98,5.26,0.00
PF00854,0.50,-0.72,0.42,1.00,,0.00
PF00856,0.55,0.26,0.23,0.52,-0.37,0.28
PF00865,1.00,,0.00,1.00,,0.00
PF00867,0.68,1.65,0.02,0.69,1.7,0.02
PF00870,0.80,3.35,0.00,0.80,3.28,0.01
PF00878,0.38,1.21,0.13,0.63,1.32,0.07
PF00879,1.00,,0.00,1.00,,0.00
PF00880,0.45,1.41,0.04,0.66,1.11,0.00
PF00884,0.59,1.46,0.07,0.54,1.52,0.16
PF00887,1.00,,0.00,1.00,,0.00
PF00891,1.00,,0.00,1.00,,0.00
PF00899,0.37,0.87,0.27,0.36,0.38,0.33
PF00903,1.00,,0.00,1.00,,0.00
PF00909,1.00,,0.00,1.00,,0.00
PF00916,0.69,1.98,0.00,0.68,1.88,0.01
PF00927,0.34,0.45,0.08,0.33,0.36,0.08
PF00928,0.48,0.32,0.02,0.44,0.36,0.18
PF00929,1.00,,0.00,1.00,,0.00
PF00930,0.60,0.55,0.03,0.58,0.51,0.11
PF00931,1.00,,0.00,1.00,,0.00
PF00932,1.00,,0.00,1.00,,0.00
PF00939,1.00,,0.00,1.00,,0.00
PF00941,1.00,,0.00,1.00,,0.00
PF00957,0.64,1.85,0.01,0.63,1.79,0.00
PF00965,1.00,,0.00,1.00,,0.00
PF00969,0.75,3.53,0.02,0.74,3.34,0.01
PF00970,0.79,3.46,0.01,0.79,3.39,0.00
PF00975,1.00,,0.00,1.00,,0.00
PF00989,0.62,1.05,0.05,0.60,0.93,0.07
PF00997,1.00,,0.00,1.00,,0.00
PF00999,0.63,2.17,0.03,0.59,1.95,0.07
PF01008,1.00,,0.00,1.00,,0.00
PF01019,0.60,1.5,0.02,0.58,1.44,0.06
PF01023,1.00,,0.00,1.00,,0.00
PF01026,1.00,,0.00,1.00,,0.00
PF01030,0.49,1.53,0.03,0.42,1.48,0.17
PF01039,0.67,1.82,0.03,0.65,1.9,0.08
PF01044,1.00,,0.00,1.00,,0.00
PF01049,1.00,,0.00,1.00,,0.00
PF01053,1.00,,0.00,1.00,,0.00
PF01064,0.62,1.57,0.05,0.62,1.72,0.06
PF01068,0.55,1.18,0.02,0.54,1.21,0.05
PF01071,1.00,,0.00,1.00,,0.00
PF01073,1.00,,0.00,1.00,,0.00
PF01074,0.67,1.71,0.00,0.64,1.45,0.06
PF01079,1.00,,0.00,1.00,,0.00
PF01093,0.61,0.95,0.02,0.61,1.02,0.06
PF01094,0.41,0.64,0.06,0.31,0.65,0.32
PF01099,0.55,1.11,0.02,0.54,1.13,0.06
PF01102,1.00,,0.00,1.00,,0.00
PF01105,0.69,2.25,0.01,0.67,2.28,0.05
PF01108,0.40,0.87,0.18,0.38,0.81,0.24
PF01109,1.00,,0.00,1.00,,0.00
PF01110,1.00,,0.00,1.00,,0.00
PF01112,1.00,,0.00,1.00,,0.00
PF01114,1.00,,0.00,1.00,,0.00
PF01119,1.00,,0.00,1.00,,0.00
PF01122,1.00,,0.00,1.00,,0.00
PF01124,1.00,,0.00,1.00,,0.00
PF01126,1.00,,0.00,1.00,,0.00
PF01129,0.67,1.54,0.02,0.65,1.54,0.07
PF01144,0.56,-0.16,0.06,0.56,-0.15,0.09
PF01148,1.00,,0.00,1.00,,0.00
PF01150,1.00,,0.00,1.00,,0.00
PF01151,0.62,0.99,0.04,0.61,0.93,0.04
PF01153,1.00,,0.00,1.00,,0.00
PF01163,0.58,1.55,0.04,0.57,1.47,0.06
PF01166,1.00,,0.00,1.00,,0.00
PF01167,1.00,,0.00,1.00,,0.00
PF01182,1.00,,0.00,1.00,,0.00
PF01187,1.00,,0.00,1.00,,0.00
PF01189,1.00,,0.00,1.00,,0.00
PF01202,1.00,,0.00,1.00,,0.00
PF01204,1.00,,0.00,1.00,,0.00
PF01213,1.00,,0.00,1.00,,0.00
PF01216,1.00,,0.00,1.00,,0.00
PF01217,1.00,,0.00,1.00,,0.00
PF01230,1.00,,0.00,1.00,,0.00
PF01231,1.00,,0.00,1.00,,0.00
PF01234,0.69,1.83,0.00,0.69,1.87,0.02
PF01238,1.00,,0.00,1.00,,0.00
PF01244,1.00,,0.00,1.00,,0.00
PF01248,0.44,0.87,0.11,0.43,0.57,0.09
PF01254,1.00,,0.00,1.00,,0.00
PF01271,0.56,0.45,0.19,0.57,0.61,0.17
PF01273,0.35,0.43,0.06,0.32,0.44,0.17
PF01284,0.38,0.54,0.07,0.36,0.51,0.14
PF01287,1.00,,0.00,1.00,,0.00
PF01291,1.00,,0.00,1.00,,0.00
PF01299,1.00,,0.00,1.00,,0.00
PF01323,1.00,,0.00,1.00,,0.00
PF01331,1.00,,0.00,1.00,,0.00
PF01344,0.45,1.55,0.08,0.43,1.29,0.10
PF01347,1.00,,0.00,1.00,,0.00
PF01352,0.70,2.13,0.05,1.00,,0.00
PF01363,0.59,2.59,0.06,0.58,2.38,0.03
PF01380,0.55,-0.21,0.03,0.56,-0.13,0.03
PF01387,1.00,,0.00,1.00,,0.00
PF01390,0.72,3.02,0.05,0.50,1.03,0.08
PF01391,0.57,2.2,0.03,0.56,2.09,0.00
PF01394,0.36,-0.18,0.06,0.57,-0.31,0.03
PF01396,1.00,,0.00,1.00,,0.00
PF01398,0.39,0.41,0.07,0.34,0.3,0.25
PF01399,0.32,0.46,0.10,0.26,0.3,0.27
PF01400,0.64,2.13,0.02,0.63,2.08,0.02
PF01401,0.77,3.1,0.00,0.77,3.09,0.00
PF01410,0.89,4.56,0.00,0.89,4.56,0.00
PF01411,1.00,,0.00,1.00,,0.00
PF01412,0.56,1.34,0.02,0.56,1.22,0.02
PF01417,1.00,,0.00,1.00,,0.00
PF01421,0.52,1.62,0.02,0.51,1.62,0.05
PF01425,1.00,,0.00,1.00,,0.00
PF01426,0.45,0.44,0.05,0.36,0.1,0.29
PF01429,0.53,1.21,0.04,0.53,1.16,0.02
PF01431,1.00,,0.00,1.00,,0.00
PF01432,1.00,,0.00,1.00,,0.00
PF01433,0.69,2.62,0.00,0.67,2.61,0.03
PF01434,1.00,,0.00,1.00,,0.00
PF01435,1.00,,0.00,1.00,,0.00
PF01436,0.47,1.4,0.01,0.39,0.98,0.09
PF01437,0.39,1.81,0.13,0.22,1.48,0.48
PF01442,0.52,0.2,0.35,1.00,,0.00
PF01451,1.00,,0.00,1.00,,0.00
PF01459,1.00,,0.00,1.00,,0.00
PF01462,0.48,1.49,0.03,0.39,1.36,0.20
PF01463,0.39,1.15,0.05,0.43,0.89,0.04
PF01467,1.00,,0.00,1.00,,0.00
PF01471,0.49,1.33,0.03,0.43,1.11,0.13
PF01472,1.00,,0.00,1.00,,0.00
PF01477,0.39,0.85,0.11,0.34,0.78,0.22
PF01483,1.00,,0.00,1.00,,0.00
PF01485,1.00,,0.00,1.00,,0.00
PF01490,1.00,,0.00,1.00,,0.00
PF01496,1.00,,0.00,1.00,,0.00
PF01500,0.63,5.62,0.34,0.86,5.4,0.09
PF01510,0.63,2.38,0.09,0.67,2.06,0.05
PF01529,1.00,,0.00,1.00,,0.00
PF01531,1.00,,0.00,1.00,,0.00
PF01532,0.61,2.0,0.04,0.58,2.05,0.10
PF01535,0.47,0.97,0.21,0.44,0.74,0.00
PF01551,1.00,,0.00,1.00,,0.00
PF01553,0.52,1.01,0.04,0.49,0.95,0.11
PF01562,1.00,,0.00,1.00,,0.00
PF01564,0.62,0.84,0.02,0.62,0.83,0.06
PF01575,1.00,,0.00,1.00,,0.00
PF01582,0.43,0.99,0.11,0.41,0.85,0.15
PF01583,1.00,,0.00,1.00,,0.00
PF01585,0.54,1.86,0.04,0.51,1.71,0.07
PF01588,0.82,3.47,0.01,0.81,3.39,0.02
PF01590,0.57,0.41,0.08,0.57,0.29,0.09
PF01591,1.00,,0.00,1.00,,0.00
PF01593,1.00,,0.00,1.00,,0.00
PF01602,0.48,0.9,0.02,0.44,0.88,0.15
PF01612,1.00,,0.00,1.00,,0.00
PF01624,0.57,-0.01,0.05,0.55,-0.08,0.09
PF01630,1.00,,0.00,1.00,,0.00
PF01650,1.00,,0.00,1.00,,0.00
PF01661,0.50,0.93,0.03,0.55,1.06,0.03
PF01663,0.65,2.23,0.02,0.64,2.25,0.05
PF01667,1.00,,0.00,1.00,,0.00
PF01694,0.54,0.88,0.03,0.52,0.76,0.07
PF01699,0.44,0.33,0.04,0.57,0.17,0.05
PF01712,0.66,2.36,0.02,0.61,2.22,0.09
PF01729,1.00,,0.00,1.00,,0.00
PF01731,0.86,4.07,0.00,0.86,4.07,0.00
PF01733,0.71,2.17,0.01,0.69,2.2,0.07
PF01740,0.62,1.81,0.03,0.54,1.27,0.08
PF01751,1.00,,0.00,1.00,,0.00
PF01753,0.55,2.53,0.03,0.45,2.49,0.24
PF01755,1.00,,0.00,1.00,,0.00
PF01756,1.00,,0.00,1.00,,0.00
PF01758,0.66,1.43,0.02,0.65,1.35,0.02
PF01759,0.38,0.53,0.09,0.35,0.46,0.12
PF01762,1.00,,0.00,1.00,,0.00
PF01770,0.72,2.31,0.01,0.70,2.29,0.04
PF01812,1.00,,0.00,1.00,,0.00
PF01822,0.50,1.35,0.08,0.52,1.22,0.12
PF01823,1.00,,0.00,1.00,,0.00
PF01825,1.00,,0.00,1.00,,0.00
PF01826,0.51,2.39,0.04,0.53,2.49,0.11
PF01833,0.33,0.82,0.15,0.28,0.34,0.29
PF01835,0.68,2.22,0.02,0.68,2.19,0.02
PF01839,0.52,2.3,0.04,0.46,2.35,0.15
PF01842,1.00,,0.00,1.00,,0.00
PF01846,0.43,1.18,0.03,0.47,1.21,0.09
PF01852,0.47,0.53,0.06,0.45,0.41,0.08
PF01878,1.00,,0.00,1.00,,0.00
PF01896,1.00,,0.00,1.00,,0.00
PF01909,0.49,0.8,0.20,0.47,0.23,0.14
PF01920,0.47,0.29,0.01,0.46,0.26,0.01
PF01926,0.45,1.17,0.21,0.39,0.9,0.28
PF01963,1.00,,0.00,1.00,,0.00
PF01966,1.00,,0.00,1.00,,0.00
PF01991,1.00,,0.00,1.00,,0.00
PF02002,1.00,,0.00,1.00,,0.00
PF02005,1.00,,0.00,1.00,,0.00
PF02022,1.00,,0.00,1.00,,0.00
PF02023,0.62,0.88,0.02,0.62,0.69,0.00
PF02024,1.00,,0.00,1.00,,0.00
PF02037,0.72,2.53,0.03,0.72,2.41,0.00
PF02038,0.63,2.09,0.04,0.63,1.85,0.00
PF02055,1.00,,0.00,1.00,,0.00
PF02058,0.69,2.23,0.02,0.68,2.23,0.07
PF02063,1.00,,0.00,1.00,,0.00
PF02077,1.00,,0.00,1.00,,0.00
PF02083,1.00,,0.00,1.00,,0.00
PF02101,1.00,,0.00,1.00,,0.00
PF02106,1.00,,0.00,1.00,,0.00
PF02136,1.00,,0.00,1.00,,0.00
PF02140,1.00,,0.00,1.00,,0.00
PF02141,0.59,1.7,0.03,0.59,1.67,0.04
