Pfam_code,HMMER_blosum,SEED_blosum,HMMER_vs_SEED_blosum_diff,HMMER_vs_SEED_blosum_%_improvement
PF00130,1.95,1.76,0.19,10.80
PF00133,,,,
PF00134,1.94,1.91,0.03,1.57
PF00135,1.47,1.46,0.01,0.68
PF00136,,,,
PF00143,1.66,1.64,0.02,1.22
PF00146,,,,
PF00147,3.04,3.02,0.02,0.66
PF00149,0.15,-0.04,0.19,475.00
PF00151,,,,
PF00152,,,,
PF00153,0.85,0.75,0.10,13.33
PF00155,,,,
PF00167,2.01,1.94,0.07,3.61
PF00168,0.77,0.61,0.16,26.23
PF00169,0.46,0.33,0.13,39.39
PF00170,1.54,1.40,0.14,10.00
PF00171,,,,
PF00173,1.20,1.15,0.05,4.35
PF00175,,,,
PF00176,1.30,1.29,0.01,0.78
PF00179,1.40,1.35,0.05,3.70
PF00188,,,,
PF00191,1.38,1.36,0.02,1.47
PF00194,1.57,1.56,0.01,0.64
PF00201,2.96,2.96,0.00,0.00
PF00202,,,,
PF00206,0.20,0.20,0.00,0.00
PF00207,1.86,1.83,0.03,1.64
PF00209,2.68,2.66,0.02,0.75
PF00211,1.84,2.14,-0.30,-14.02
PF00213,,,,
PF00215,,,,
PF00217,,,,
PF00220,5.22,5.22,0.00,0.00
PF00224,,,,
PF00225,1.71,1.64,0.07,4.27
PF00226,2.62,2.56,0.06,2.34
PF00229,0.75,0.72,0.03,4.17
PF00230,2.61,2.63,-0.02,-0.76
PF00232,2.52,2.54,-0.02,-0.79
PF00236,,,,
PF00240,0.79,0.71,0.08,11.27
PF00245,,,,
PF00246,1.60,1.55,0.05,3.23
PF00249,1.27,0.98,0.29,29.59
PF00254,1.59,1.14,0.45,39.47
PF00255,,,,
PF00258,1.57,1.51,0.06,3.97
PF00261,,,,
PF00270,0.94,1.04,-0.10,-9.62
PF00271,1.15,1.04,0.11,10.58
PF00282,,,,
PF00287,,,,
PF00288,0.89,0.72,0.17,23.61
PF00289,,,,
PF00292,3.99,3.99,0.00,0.00
PF00293,0.41,0.15,0.26,173.33
PF00297,,,,
PF00307,0.71,0.61,0.10,16.39
PF00313,1.80,,,
PF00320,1.45,1.32,0.13,9.85
PF00324,,,,
PF00328,4.25,3.94,0.31,7.87
PF00334,,,,
PF00335,0.87,0.89,-0.02,-2.25
PF00337,1.50,1.44,0.06,4.17
PF00340,0.43,0.37,0.06,16.22
PF00341,,,,
PF00342,,,,
PF00350,,,,
PF00354,2.84,2.84,0.00,0.00
PF00357,3.32,3.00,0.32,10.67
PF00364,1.59,1.57,0.02,1.27
PF00370,,,,
PF00373,1.03,0.99,0.04,4.04
PF00378,0.66,0.63,0.03,4.76
PF00382,0.10,0.01,0.09,900.00
PF00383,0.45,0.24,0.21,87.50
PF00384,,,,
PF00385,1.75,1.54,0.21,13.64
PF00386,1.11,1.13,-0.02,-1.77
PF00388,2.97,2.94,0.03,1.02
PF00389,,,,
PF00390,3.80,3.80,0.00,0.00
PF00394,,,,
PF00396,3.32,3.29,0.03,0.91
PF00397,1.87,1.70,0.17,10.00
PF00400,1.16,0.70,0.46,65.71
PF00405,2.45,2.69,-0.24,-8.92
PF00406,,,,
PF00412,1.40,1.26,0.14,11.11
PF00413,2.73,2.73,0.00,0.00
PF00415,1.94,0.67,1.27,189.55
PF00420,,,,
PF00431,1.52,1.49,0.03,2.01
PF00432,1.31,0.65,0.66,101.54
PF00435,0.61,0.57,0.04,7.02
PF00439,1.32,0.60,0.72,120.00
PF00443,0.96,0.70,0.26,37.14
PF00447,,,,
PF00448,,,,
PF00450,,,,
PF00454,2.14,2.11,0.03,1.42
PF00459,,,,
PF00462,4.00,3.85,0.15,3.90
PF00464,3.75,3.76,-0.01,-0.27
PF00467,1.04,0.75,0.29,38.67
PF00473,,,,
PF00474,3.86,3.79,0.07,1.85
PF00481,0.71,0.59,0.12,20.34
PF00487,,,,
PF00488,,,,
PF00491,,,,
PF00498,0.69,0.63,0.06,9.52
PF00501,0.99,1.26,-0.27,-21.43
PF00503,2.59,2.55,0.04,1.57
PF00505,1.27,1.22,0.05,4.10
PF00514,0.81,0.56,0.25,44.64
PF00515,1.24,0.82,0.42,51.22
PF00520,1.02,0.68,0.34,50.00
PF00530,2.02,1.70,0.32,18.82
PF00531,0.70,0.56,0.14,25.00
PF00533,0.46,0.27,0.19,70.37
PF00535,0.45,0.20,0.25,125.00
PF00536,1.02,0.92,0.10,10.87
PF00554,,,,
PF00560,1.61,0.28,1.33,475.00
PF00561,-0.33,-0.37,0.04,10.81
PF00564,0.71,0.66,0.05,7.58
PF00567,0.69,0.64,0.05,7.81
PF00568,0.38,0.33,0.05,15.15
PF00571,1.19,0.33,0.86,260.61
PF00573,,,,
PF00579,,,,
PF00583,0.22,-0.17,0.39,229.41
PF00587,,,,
PF00588,,,,
PF00591,,,,
PF00595,0.91,0.86,0.05,5.81
PF00596,,,,
PF00607,,,,
PF00609,2.02,1.99,0.03,1.51
PF00610,1.31,0.88,0.43,48.86
PF00612,1.59,1.21,0.38,31.40
PF00613,1.18,1.02,0.16,15.69
PF00615,1.22,1.23,-0.01,-0.81
PF00616,,,,
PF00618,0.44,0.19,0.25,131.58
PF00619,0.62,0.49,0.13,26.53
PF00620,1.22,1.18,0.04,3.39
PF00621,0.94,0.89,0.05,5.62
PF00622,0.66,0.66,0.00,0.00
PF00623,2.20,2.19,0.01,0.46
PF00625,0.40,0.37,0.03,8.11
PF00626,0.66,0.53,0.13,24.53
PF00627,1.15,1.02,0.13,12.75
PF00628,2.17,1.93,0.24,12.44
PF00629,0.98,0.95,0.03,3.16
PF00630,1.60,0.99,0.61,61.62
PF00631,1.91,1.71,0.20,11.70
PF00632,1.70,1.54,0.16,10.39
PF00633,,,,
PF00634,1.48,,,
PF00635,1.17,0.91,0.26,28.57
PF00637,0.37,-0.39,0.76,194.87
PF00638,2.93,2.88,0.05,1.74
PF00640,1.12,1.29,-0.17,-13.18
PF00641,2.57,2.21,0.36,16.29
PF00642,2.16,1.55,0.61,39.35
PF00643,1.83,1.65,0.18,10.91
PF00644,0.54,0.54,0.00,0.00
PF00646,0.87,0.69,0.18,26.09
PF00650,,,,
PF00651,1.21,1.11,0.10,9.01
PF00652,0.84,0.81,0.03,3.70
PF00653,2.05,,,
PF00656,1.20,1.18,0.02,1.69
PF00657,,,,
PF00664,0.78,-0.02,0.80,4000.00
PF00665,,,,
PF00666,,,,
PF00667,3.00,2.95,0.05,1.69
PF00670,,,,
PF00675,0.48,0.49,-0.01,-2.04
PF00676,0.27,0.25,0.02,8.00
PF00679,,,,
PF00681,2.48,1.26,1.22,96.83
PF00682,,,,
PF00685,1.18,1.14,0.04,3.51
PF00689,,,,
PF00692,,,,
PF00694,,,,
PF00698,,,,
PF00702,0.46,0.34,0.12,35.29
PF00704,2.98,2.99,-0.01,-0.33
PF00705,,,,
PF00725,1.09,1.40,-0.31,-22.14
PF00730,0.51,0.54,-0.03,-5.56
PF00733,,,,
PF00743,2.90,2.88,0.02,0.69
PF00749,1.95,1.93,0.02,1.04
PF00750,,,,
PF00752,1.82,1.75,0.07,4.00
PF00754,1.81,1.68,0.13,7.74
PF00755,1.12,1.14,-0.02,-1.75
PF00756,,,,
PF00757,2.92,3.01,-0.09,-2.99
PF00780,0.34,0.33,0.01,3.03
PF00781,1.56,1.14,0.42,36.84
PF00782,2.19,2.17,0.02,0.92
PF00786,1.03,0.89,0.14,15.73
PF00787,1.00,0.88,0.12,13.64
PF00788,0.29,0.20,0.09,45.00
PF00789,0.88,0.81,0.07,8.64
PF00790,2.10,2.04,0.06,2.94
PF00792,1.15,1.07,0.08,7.48
PF00794,0.97,0.90,0.07,7.78
PF00797,,,,
PF00801,0.75,0.53,0.22,41.51
PF00808,,,,
PF00811,,,,
PF00822,1.35,1.33,0.02,1.50
PF00837,,,,
PF00839,1.11,0.84,0.27,32.14
PF00850,,,,
PF00852,5.30,5.26,0.04,0.76
PF00854,-0.72,,,
PF00856,0.26,-0.37,0.63,170.27
PF00865,,,,
PF00867,1.65,1.70,-0.05,-2.94
PF00870,3.35,3.28,0.07,2.13
PF00878,1.21,1.32,-0.11,-8.33
PF00879,,,,
PF00880,1.41,1.11,0.30,27.03
PF00884,1.46,1.52,-0.06,-3.95
PF00887,,,,
PF00891,,,,
PF00899,0.87,0.38,0.49,128.95
PF00903,,,,
PF00909,,,,
PF00916,1.98,1.88,0.10,5.32
PF00927,0.45,0.36,0.09,25.00
PF00928,0.32,0.36,-0.04,-11.11
PF00929,,,,
PF00930,0.55,0.51,0.04,7.84
PF00931,,,,
PF00932,,,,
PF00939,,,,
PF00941,,,,
PF00957,1.85,1.79,0.06,3.35
PF00965,,,,
PF00969,3.53,3.34,0.19,5.69
PF00970,3.46,3.39,0.07,2.06
PF00975,,,,
PF00989,1.05,0.93,0.12,12.90
PF00997,,,,
PF00999,2.17,1.95,0.22,11.28
PF01008,,,,
PF01019,1.50,1.44,0.06,4.17
PF01023,,,,
PF01026,,,,
PF01030,1.53,1.48,0.05,3.38
PF01039,1.82,1.90,-0.08,-4.21
PF01044,,,,
PF01049,,,,
PF01053,,,,
PF01064,1.57,1.72,-0.15,-8.72
PF01068,1.18,1.21,-0.03,-2.48
PF01071,,,,
PF01073,,,,
PF01074,1.71,1.45,0.26,17.93
PF01079,,,,
PF01093,0.95,1.02,-0.07,-6.86
PF01094,0.64,0.65,-0.01,-1.54
PF01099,1.11,1.13,-0.02,-1.77
PF01102,,,,
PF01105,2.25,2.28,-0.03,-1.32
PF01108,0.87,0.81,0.06,7.41
PF01109,,,,
PF01110,,,,
PF01112,,,,
PF01114,,,,
PF01119,,,,
PF01122,,,,
PF01124,,,,
PF01126,,,,
PF01129,1.54,1.54,0.00,0.00
PF01144,-0.16,-0.15,-0.01,-6.67
PF01148,,,,
PF01150,,,,
PF01151,0.99,0.93,0.06,6.45
PF01153,,,,
PF01163,1.55,1.47,0.08,5.44
PF01166,,,,
PF01167,,,,
PF01182,,,,
PF01187,,,,
PF01189,,,,
PF01202,,,,
PF01204,,,,
PF01213,,,,
PF01216,,,,
PF01217,,,,
PF01230,,,,
PF01231,,,,
PF01234,1.83,1.87,-0.04,-2.14
PF01238,,,,
PF01244,,,,
PF01248,0.87,0.57,0.30,52.63
PF01254,,,,
PF01271,0.45,0.61,-0.16,-26.23
PF01273,0.43,0.44,-0.01,-2.27
PF01284,0.54,0.51,0.03,5.88
PF01287,,,,
PF01291,,,,
PF01299,,,,
PF01323,,,,
PF01331,,,,
PF01344,1.55,1.29,0.26,20.16
PF01347,,,,
PF01352,2.13,,,
PF01363,2.59,2.38,0.21,8.82
PF01380,-0.21,-0.13,-0.08,-61.54
PF01387,,,,
PF01390,3.02,1.03,1.99,193.20
PF01391,2.20,2.09,0.11,5.26
PF01394,-0.18,-0.31,0.13,41.94
PF01396,,,,
PF01398,0.41,0.30,0.11,36.67
PF01399,0.46,0.30,0.16,53.33
PF01400,2.13,2.08,0.05,2.40
PF01401,3.10,3.09,0.01,0.32
PF01410,4.56,4.56,0.00,0.00
PF01411,,,,
PF01412,1.34,1.22,0.12,9.84
PF01417,,,,
PF01421,1.62,1.62,0.00,0.00
PF01425,,,,
PF01426,0.44,0.10,0.34,340.00
PF01429,1.21,1.16,0.05,4.31
PF01431,,,,
PF01432,,,,
PF01433,2.62,2.61,0.01,0.38
PF01434,,,,
PF01435,,,,
PF01436,1.40,0.98,0.42,42.86
PF01437,1.81,1.48,0.33,22.30
PF01442,0.20,,,
PF01451,,,,
PF01459,,,,
PF01462,1.49,1.36,0.13,9.56
PF01463,1.15,0.89,0.26,29.21
PF01467,,,,
PF01471,1.33,1.11,0.22,19.82
PF01472,,,,
PF01477,0.85,0.78,0.07,8.97
PF01483,,,,
PF01485,,,,
PF01490,,,,
PF01496,,,,
PF01500,5.62,5.40,0.22,4.07
PF01510,2.38,2.06,0.32,15.53
PF01529,,,,
PF01531,,,,
PF01532,2.00,2.05,-0.05,-2.44
PF01535,0.97,0.74,0.23,31.08
PF01551,,,,
PF01553,1.01,0.95,0.06,6.32
PF01562,,,,
PF01564,0.84,0.83,0.01,1.20
PF01575,,,,
PF01582,0.99,0.85,0.14,16.47
PF01583,,,,
PF01585,1.86,1.71,0.15,8.77
PF01588,3.47,3.39,0.08,2.36
PF01590,0.41,0.29,0.12,41.38
PF01591,,,,
PF01593,,,,
PF01602,0.90,0.88,0.02,2.27
PF01612,,,,
PF01624,-0.01,-0.08,0.07,87.50
PF01630,,,,
PF01650,,,,
PF01661,0.93,1.06,-0.13,-12.26
PF01663,2.23,2.25,-0.02,-0.89
PF01667,,,,
PF01694,0.88,0.76,0.12,15.79
PF01699,0.33,0.17,0.16,94.12
PF01712,2.36,2.22,0.14,6.31
PF01729,,,,
PF01731,4.07,4.07,0.00,0.00
PF01733,2.17,2.20,-0.03,-1.36
PF01740,1.81,1.27,0.54,42.52
PF01751,,,,
PF01753,2.53,2.49,0.04,1.61
PF01755,,,,
PF01756,,,,
PF01758,1.43,1.35,0.08,5.93
PF01759,0.53,0.46,0.07,15.22
PF01762,,,,
PF01770,2.31,2.29,0.02,0.87
PF01812,,,,
PF01822,1.35,1.22,0.13,10.66
PF01823,,,,
PF01825,,,,
PF01826,2.39,2.49,-0.10,-4.02
PF01833,0.82,0.34,0.48,141.18
PF01835,2.22,2.19,0.03,1.37
PF01839,2.30,2.35,-0.05,-2.13
PF01842,,,,
PF01846,1.18,1.21,-0.03,-2.48
PF01852,0.53,0.41,0.12,29.27
PF01878,,,,
PF01896,,,,
PF01909,0.80,0.23,0.57,247.83
PF01920,0.29,0.26,0.03,11.54
PF01926,1.17,0.90,0.27,30.00
PF01963,,,,
PF01966,,,,
PF01991,,,,
PF02002,,,,
PF02005,,,,
PF02022,,,,
PF02023,0.88,0.69,0.19,27.54
PF02024,,,,
PF02037,2.53,2.41,0.12,4.98
PF02038,2.09,1.85,0.24,12.97
PF02055,,,,
PF02058,2.23,2.23,0.00,0.00
PF02063,,,,
PF02077,,,,
PF02083,,,,
PF02101,,,,
PF02106,,,,
PF02136,,,,
PF02140,,,,
PF02141,1.70,1.67,0.03,1.80
PF02142,-0.20,-0.26,0.06,23.08
PF02148,2.07,1.90,0.17,8.95
PF02171,,,,
PF02172,,,,
PF02173,,,,
PF02174,2.28,2.14,0.14,6.54
PF02176,1.53,1.52,0.01,0.66
PF02181,1.19,1.16,0.03,2.59
PF02197,1.72,1.55,0.17,10.97
PF02198,1.32,1.21,0.11,9.09
PF02204,,,,
PF02205,1.61,1.27,0.34,26.77
PF02210,0.72,0.71,0.01,1.41
PF02212,,,,
PF02214,2.15,2.08,0.07,3.37
PF02219,,,,
PF02221,,,,
PF02223,,,,
PF02230,,,,
PF02259,,,,
PF02263,2.27,2.24,0.03,1.34
PF02269,1.43,1.34,0.09,6.72
PF02272,,,,
PF02275,,,,
PF02295,0.83,0.78,0.05,6.41
PF02297,,,,
PF02301,,,,
PF02319,,,,
PF02337,,,,
PF02338,0.40,0.37,0.03,8.11
PF02344,,,,
PF02347,,,,
PF02351,-0.25,,,
PF02366,1.84,1.74,0.10,5.75
PF02368,,,,
PF02373,1.45,1.46,-0.01,-0.68
PF02374,,,,
PF02389,,,,
PF02423,,,,
PF02434,1.42,1.79,-0.37,-20.67
PF02441,,,,
PF02469,0.89,0.82,0.07,8.54
PF02485,2.47,2.39,0.08,3.35
PF02493,1.94,1.43,0.51,35.66
PF02494,3.32,3.30,0.02,0.61
PF02516,,,,
PF02518,3.92,3.47,0.45,12.97
PF02535,1.03,1.20,-0.17,-14.17
PF02544,3.17,3.19,-0.02,-0.63
PF02597,,,,
PF02636,,,,
PF02637,,,,
PF02678,,,,
PF02709,,,,
PF02727,2.06,2.06,0.00,0.00
PF02728,,,,
PF02732,,,,
PF02744,,,,
PF02750,,,,
PF02752,1.32,1.27,0.05,3.94
PF02758,1.14,1.23,-0.09,-7.32
PF02759,0.91,0.82,0.09,10.98
PF02760,,,,
PF02769,-0.12,-0.21,0.09,42.86
PF02771,1.10,1.06,0.04,3.77
PF02779,1.16,1.10,0.06,5.45
PF02780,,,,
PF02781,,,,
PF02784,,,,
PF02785,,,,
PF02786,0.84,0.63,0.21,33.33
PF02793,1.85,1.57,0.28,17.83
PF02798,0.19,0.18,0.01,5.56
PF02801,,,,
PF02803,2.34,2.30,0.04,1.74
PF02806,,,,
PF02815,0.68,0.66,0.02,3.03
PF02816,,,,
PF02818,3.25,2.54,0.71,27.95
PF02824,0.55,0.62,-0.07,-11.29
PF02827,,,,
PF02836,,,,
PF02841,3.95,3.95,0.00,0.00
PF02845,0.90,0.71,0.19,26.76
PF02847,,,,
PF02852,2.18,2.18,0.00,0.00
PF02854,0.29,0.40,-0.11,-27.50
PF02870,,,,
PF02872,,,,
PF02880,,,,
PF02882,,,,
PF02883,-0.20,-0.24,0.04,16.67
PF02886,1.22,1.21,0.01,0.83
PF02889,1.14,0.60,0.54,90.00
PF02892,2.56,2.52,0.04,1.59
PF02893,0.22,0.09,0.13,144.44
PF02897,,,,
PF02902,,,,
PF02922,,,,
PF02931,1.25,1.23,0.02,1.63
PF02932,3.29,3.00,0.29,9.67
PF02969,2.17,2.06,0.11,5.34
PF02984,0.12,0.04,0.08,200.00
PF02985,1.01,0.49,0.52,106.12
PF02994,,,,
PF03016,,,,
PF03024,1.11,1.13,-0.02,-1.77
PF03031,,,,
PF03051,,,,
PF03054,,,,
PF03061,0.95,0.62,0.33,53.23
PF03062,0.49,0.37,0.12,32.43
PF03068,3.16,3.15,0.01,0.32
PF03071,,,,
PF03083,0.81,0.74,0.07,9.46
PF03096,,,,
PF03098,,,,
PF03099,,,,
PF03104,,,,
PF03109,,,,
PF03114,0.39,0.38,0.01,2.63
PF03129,0.20,0.17,0.03,17.65
PF03131,,,,
PF03133,0.79,0.70,0.09,12.86
PF03137,,,,
PF03143,,,,
PF03144,1.09,1.06,0.03,2.83
PF03151,,,,
PF03153,,,,
PF03155,1.04,1.04,0.00,0.00
PF03160,,,,
PF03165,1.71,1.68,0.03,1.79
PF03171,4.48,3.44,1.04,30.23
PF03179,2.92,2.92,0.00,0.00
PF03184,0.99,0.98,0.01,1.02
PF03185,,,,
PF03188,2.23,2.18,0.05,2.29
PF03190,,,,
PF03200,,,,
PF03215,,,,
PF03221,1.66,1.48,0.18,12.16
PF03226,,,,
PF03259,,,,
PF03281,0.84,1.06,-0.22,-20.75
PF03299,,,,
PF03332,3.76,3.74,0.02,0.53
PF03351,0.55,0.49,0.06,12.24
PF03357,0.83,0.79,0.04,5.06
PF03364,,,,
PF03370,2.11,1.69,0.42,24.85
PF03372,0.07,-0.03,0.10,333.33
PF03378,,,,
PF03388,,,,
PF03399,,,,
PF03402,,,,
PF03403,2.25,2.27,-0.02,-0.88
PF03404,,,,
PF03414,,,,
PF03435,,,,
PF03446,,,,
PF03450,,,,
PF03454,,,,
PF03464,,,,
PF03465,,,,
PF03487,,,,
PF03516,2.86,2.54,0.32,12.60
PF03533,,,,
PF03567,0.86,0.89,-0.03,-3.37
PF03572,1.72,,,
PF03607,1.34,1.32,0.02,1.52
PF03630,,,,
PF03643,,,,
PF03656,,,,
PF03670,,,,
PF03700,,,,
PF03725,,,,
PF03731,0.15,0.14,0.01,7.14
PF03770,1.16,1.15,0.01,0.87
PF03798,-0.11,-0.11,0.00,0.00
PF03803,2.87,2.84,0.03,1.06
PF03807,0.60,0.61,-0.01,-1.64
PF03810,1.09,0.99,0.10,10.10
PF03815,2.47,2.26,0.21,9.29
PF03828,2.86,2.77,0.09,3.25
PF03847,,,,
PF03901,,,,
PF03908,,,,
PF03921,1.55,1.55,0.00,0.00
PF03931,,,,
PF03949,2.85,2.84,0.01,0.35
PF03953,1.08,1.04,0.04,3.85
PF03954,,,,
PF03957,,,,
PF03959,,,,
PF03992,2.23,2.11,0.12,5.69
PF03999,,,,
PF04006,,,,
PF04053,,,,
PF04055,-0.02,-0.06,0.04,66.67
PF04057,,,,
PF04072,,,,
PF04095,,,,
PF04099,,,,
PF04100,,,,
PF04103,0.69,0.67,0.02,2.99
PF04110,,,,
PF04114,,,,
PF04140,,,,
PF04142,2.25,2.23,0.02,0.90
PF04177,,,,
PF04188,,,,
PF04191,,,,
PF04193,0.25,0.25,0.00,0.00
PF04209,,,,
PF04218,,,,
PF04258,,,,
PF04266,,,,
PF04280,,,,
PF04300,,,,
PF04326,,,,
PF04360,,,,
PF04434,,,,
PF04438,,,,
PF04488,,,,
PF04499,,,,
PF04500,4.31,,,
PF04503,,,,
PF04538,0.17,0.08,0.09,112.50
PF04547,,,,
PF04548,2.09,1.98,0.11,5.56
PF04549,,,,
PF04560,2.99,2.83,0.16,5.65
PF04564,1.64,1.60,0.04,2.50
PF04579,,,,
PF04588,,,,
PF04593,,,,
PF04598,1.00,0.99,0.01,1.01
PF04603,,,,
PF04628,,,,
PF04629,,,,
PF04680,5.03,,,
PF04691,,,,
PF04707,1.13,1.14,-0.01,-0.88
PF04712,,,,
PF04732,0.73,0.71,0.02,2.82
PF04750,,,,
PF04757,,,,
PF04790,,,,
PF04802,,,,
PF04803,,,,
PF04811,2.65,2.64,0.01,0.38
PF04815,,,,
PF04819,,,,
PF04824,,,,
PF04826,,,,
PF04841,,,,
PF04845,3.61,3.54,0.07,1.98
PF04847,3.70,3.61,0.09,2.49
PF04849,,,,
PF04857,,,,
PF04908,2.74,2.75,-0.01,-0.36
PF04909,,,,
PF04912,,,,
PF04952,,,,
PF04969,0.16,0.06,0.10,166.67
PF04970,3.14,3.08,0.06,1.95
PF04983,,,,
PF04997,,,,
PF04998,,,,
PF05000,,,,
PF05001,4.88,,,
PF05004,,,,
PF05008,,,,
PF05039,,,,
PF05063,1.58,1.56,0.02,1.28
PF05066,,,,
PF05083,,,,
PF05147,,,,
PF05148,,,,
PF05185,,,,
PF05186,2.30,2.14,0.16,7.48
PF05188,0.34,0.21,0.13,61.90
PF05190,0.06,0.11,-0.05,-45.45
PF05193,0.08,0.05,0.03,60.00
PF05205,,,,
PF05217,,,,
PF05219,,,,
PF05225,1.90,,,
PF05250,,,,
PF05279,,,,
PF05287,0.86,0.82,0.04,4.88
PF05296,1.43,1.41,0.02,1.42
PF05300,,,,
PF05308,,,,
PF05337,,,,
PF05347,,,,
PF05350,,,,
PF05399,,,,
PF05406,2.97,2.86,0.11,3.85
PF05454,,,,
PF05458,,,,
PF05461,1.96,1.93,0.03,1.55
PF05470,,,,
PF05474,,,,
PF05477,,,,
PF05478,1.24,1.22,0.02,1.64
PF05483,,,,
PF05507,,,,
PF05510,,,,
PF05544,,,,
PF05577,,,,
PF05602,,,,
PF05609,3.39,3.36,0.03,0.89
PF05622,,,,
PF05648,0.82,0.70,0.12,17.14
PF05653,,,,
PF05686,,,,
PF05693,,,,
PF05699,-0.40,-0.41,0.01,2.44
PF05706,,,,
PF05716,,,,
PF05721,0.65,0.55,0.10,18.18
PF05726,,,,
PF05729,1.09,1.02,0.07,6.86
PF05739,1.16,1.10,0.06,5.45
PF05741,,,,
PF05743,,,,
PF05760,,,,
PF05770,,,,
PF05773,0.49,0.42,0.07,16.67
PF05781,,,,
PF05782,,,,
PF05790,0.91,-0.27,1.18,437.04
PF05793,,,,
PF05804,,,,
PF05805,,,,
PF05817,,,,
PF05831,1.94,1.95,-0.01,-0.51
PF05889,,,,
PF05903,,,,
PF05916,,,,
PF05922,,,,
PF05934,,,,
PF05937,,,,
PF05956,,,,
PF05970,,,,
PF05971,,,,
PF05986,1.42,1.39,0.03,2.16
PF05995,,,,
PF05997,,,,
PF06008,0.42,0.41,0.01,2.44
PF06009,,,,
PF06021,1.98,1.98,0.00,0.00
PF06027,,,,
PF06046,0.83,0.84,-0.01,-1.19
PF06052,,,,
PF06060,,,,
PF06148,,,,
PF06159,,,,
PF06202,,,,
PF06209,,,,
PF06211,,,,
PF06220,,,,
PF06248,,,,
PF06268,0.70,0.75,-0.05,-6.67
PF06309,2.64,2.64,0.00,0.00
PF06337,2.95,2.71,0.24,8.86
PF06367,3.99,3.95,0.04,1.01
PF06388,,,,
PF06393,,,,
PF06396,,,,
PF06407,,,,
PF06409,,,,
PF06456,3.89,3.84,0.05,1.30
PF06463,,,,
PF06464,2.00,1.96,0.04,2.04
PF06467,1.21,0.65,0.56,86.15
PF06472,0.63,0.63,0.00,0.00
PF06473,0.92,0.83,0.09,10.84
PF06546,,,,
PF06581,,,,
PF06602,,,,
PF06607,,,,
PF06637,,,,
PF06679,,,,
PF06730,,,,
PF06733,1.88,1.92,-0.04,-2.08
PF06747,0.56,0.44,0.12,27.27
PF06758,1.57,,,
PF06777,,,,
PF06809,,,,
