Pfam_code,blosum62_global_mean
PF00637,-0.12
PF00638,2.88
PF00640,1.29
PF00641,2.21
PF00642,1.55
PF00643,1.65
PF00644,0.54
PF00646,0.78
PF00650,
PF00651,1.12
PF00652,0.81
PF00653,2.24
PF00656,1.18
PF00657,
PF00664,0.05
PF00665,
PF00666,
PF00667,2.95
PF00670,
PF00675,0.49
PF00676,0.25
PF00679,
PF00681,1.26
PF00682,
PF00684,
PF00685,1.14
PF00689,
PF00692,
PF00694,
PF00698,
PF00702,0.34
PF00704,2.99
PF00705,
PF00725,1.4
PF00730,0.54
PF00733,
PF00743,2.88
PF00746,
PF00749,1.93
PF00750,
PF00751,
PF00752,1.75
PF00754,1.59
PF00755,1.14
PF00756,
PF00757,3.01
PF00780,0.76
PF00781,1.14
PF00782,2.4
PF00786,0.89
PF00787,0.88
PF00788,0.2
PF00789,0.81
PF00790,2.04
PF00792,1.07
PF00794,0.9
PF00797,
PF00801,0.53
PF00808,
PF00811,
PF00822,1.33
PF00828,
PF00836,
PF00837,-inf
PF00839,0.84
PF00850,
PF00852,5.26
PF00854,
PF00856,-0.12
PF00859,
PF00865,
PF00867,1.7
PF00868,
PF00870,3.28
PF00878,1.32
PF00879,
PF00880,1.51
PF00884,1.52
PF00887,
PF00891,
PF00899,0.38
PF00903,
PF00909,
PF00916,1.88
PF00927,0.36
PF00928,0.36
PF00929,
PF00930,0.51
PF00931,
PF00932,
PF00939,
PF00941,
PF00957,1.79
PF00965,
PF00969,3.34
PF00970,3.39
PF00975,
PF00989,0.93
PF00993,
PF00997,
PF00999,1.95
PF01008,
PF01017,
PF01019,1.44
PF01023,1.73
PF01026,
PF01030,1.48
PF01031,
PF01033,
PF01039,1.9
PF01044,
PF01049,3.03
PF01053,
PF01064,1.72
PF01068,1.21
PF01071,
PF01073,
PF01074,1.45
PF01079,
PF01093,1.02
PF01094,0.65
PF01099,1.13
PF01101,
PF01102,
PF01105,2.28
PF01108,0.81
PF01109,
PF01110,
PF01112,
PF01114,
PF01119,
PF01122,
PF01124,
PF01126,
PF01129,1.54
PF01144,-0.15
PF01148,
PF01149,
PF01150,
PF01151,0.93
PF01153,
PF01163,1.47
PF01166,
PF01167,
PF01182,
PF01187,
PF01189,
PF01202,
PF01204,
PF01213,
PF01216,
PF01217,
PF01230,
PF01231,
PF01234,1.87
PF01237,
PF01238,
PF01244,
PF01248,0.57
PF01254,
PF01266,0.23
PF01271,0.61
PF01273,0.44
PF01284,0.33
PF01287,
PF01291,
PF01299,5.12
PF01302,3.42
PF01323,
PF01331,
PF01335,0.76
PF01336,0.75
PF01344,0.99
PF01347,
PF01352,2.66
PF01363,2.38
PF01369,
PF01380,-0.13
PF01387,
PF01388,1.46
PF01390,1.03
PF01391,2.09
PF01394,-0.31
PF01396,
PF01398,0.3
PF01399,0.3
PF01400,2.08
PF01401,3.09
PF01403,
PF01404,
PF01410,4.56
PF01411,
PF01412,1.61
PF01417,
PF01421,1.62
PF01423,
PF01424,
PF01425,
PF01426,0.1
PF01429,1.16
PF01431,
PF01432,
PF01433,2.61
PF01434,
PF01435,
PF01436,0.98
PF01437,1.48
PF01442,
PF01448,
PF01451,
PF01459,
PF01462,1.28
PF01463,0.9
PF01466,
PF01467,
PF01471,1.11
PF01472,
PF01477,0.7
PF01480,
PF01483,
PF01485,
PF01490,
PF01496,
PF01500,5.4
PF01510,2.06
PF01529,
PF01531,3.39
PF01532,2.05
PF01535,0.63
PF01551,
PF01553,0.95
PF01562,0.53
PF01564,0.83
PF01575,
PF01582,0.85
PF01583,
PF01585,1.71
PF01588,3.39
PF01590,0.29
PF01591,
PF01593,
PF01602,0.88
PF01612,
PF01624,-0.08
PF01630,
PF01650,
PF01661,1.06
PF01663,2.25
PF01667,
PF01694,0.76
PF01699,0.17
PF01712,2.22
PF01715,
PF01728,
PF01729,
PF01731,4.07
PF01733,2.2
PF01740,1.27
PF01749,1.55
PF01751,
PF01753,2.35
PF01755,
PF01756,
PF01758,1.35
PF01759,0.46
PF01762,
PF01770,2.29
PF01812,
PF01821,1.41
PF01822,1.22
PF01823,
PF01825,
PF01826,2.49
PF01833,0.34
PF01835,2.19
PF01839,2.35
PF01842,
PF01846,1.21
PF01852,0.41
PF01858,
PF01873,
PF01878,
PF01896,
PF01909,-0.02
PF01920,0.26
PF01926,0.64
PF01958,
PF01963,
PF01966,
PF01991,
PF02002,
PF02005,
PF02008,
PF02010,
PF02012,2.58
PF02022,
PF02023,2.86
PF02024,
PF02037,2.41
PF02038,1.86
PF02055,
PF02058,2.23
PF02063,
PF02070,
PF02077,
PF02083,
PF02101,
PF02106,
PF02136,
PF02140,1.95
PF02141,1.67
PF02142,-0.26
PF02148,2.38
PF02171,
PF02172,
PF02173,1.78
PF02174,2.14
PF02176,1.52
PF02178,1.82
PF02180,2.32
PF02181,1.16
PF02185,
PF02187,
PF02189,
PF02192,
PF02197,1.08
PF02198,1.21
PF02201,
PF02204,
PF02205,1.27
PF02207,
PF02208,
PF02210,0.7
PF02212,
PF02214,2.08
PF02219,
PF02221,
PF02223,
PF02230,
PF02234,
PF02244,
PF02252,
PF02257,
PF02259,-0.04
PF02263,2.24
PF02269,1.34
PF02272,
PF02275,
PF02291,
PF02295,0.78
PF02297,
PF02301,
PF02319,3.34
PF02337,
PF02338,0.37
PF02344,4.97
PF02347,
PF02351,
PF02366,1.74
PF02368,
PF02373,1.46
PF02374,
PF02375,2.54
PF02389,
PF02423,
PF02434,1.79
PF02441,
PF02469,0.82
PF02485,2.39
PF02493,1.43
PF02494,3.3
PF02516,
PF02518,0.6
PF02525,
PF02535,1.2
PF02536,
PF02544,3.19
PF02597,
PF02636,
PF02637,
PF02678,
PF02709,3.15
PF02714,
PF02727,2.06
PF02728,
PF02732,-0.4
PF02736,
PF02744,
PF02750,
PF02752,1.27
PF02755,1.5
PF02758,0.97
PF02759,0.7
PF02760,
PF02765,
PF02769,-0.21
PF02771,1.06
PF02779,1.1
PF02780,
PF02781,
PF02784,
PF02785,
PF02786,0.63
PF02791,
PF02793,1.35
PF02798,0.18
PF02801,
PF02803,2.3
PF02806,0.48
PF02807,
PF02815,0.66
PF02816,1.0
PF02818,2.65
PF02824,0.62
PF02825,
PF02827,
PF02828,0.99
PF02836,
PF02841,2.76
PF02844,
PF02845,0.85
PF02847,
PF02852,2.18
PF02854,0.4
PF02865,
PF02870,
PF02872,
PF02877,
PF02880,
PF02882,
PF02883,0.31
PF02886,1.21
PF02889,0.6
PF02892,2.52
PF02893,0.09
PF02897,5.43
PF02902,
PF02922,
PF02926,
PF02931,1.23
PF02932,3.0
PF02969,2.06
PF02984,0.23
PF02985,0.47
PF02990,
PF02994,
PF03016,
PF03024,1.74
PF03031,
PF03051,
PF03054,
PF03061,0.62
PF03062,0.37
PF03068,3.15
PF03071,
PF03083,0.74
PF03096,
PF03098,
PF03099,
PF03104,
PF03109,
PF03114,0.38
PF03129,0.17
PF03131,
PF03133,0.7
PF03137,1.36
PF03143,0.76
PF03144,0.78
PF03151,
PF03153,
PF03155,1.04
PF03160,
PF03165,1.68
PF03171,3.44
PF03172,2.85
PF03179,2.92
PF03184,0.98
PF03185,
PF03188,2.18
PF03190,
PF03200,
PF03215,
PF03221,1.48
PF03226,
PF03259,
PF03266,
PF03281,1.06
PF03299,
PF03311,
PF03332,3.74
PF03351,0.49
PF03357,0.79
PF03364,
PF03370,1.69
PF03372,0.05
PF03378,
PF03388,
PF03399,
PF03402,
PF03403,2.27
PF03404,
PF03414,
PF03435,
PF03446,
PF03450,
PF03451,3.88
PF03454,
PF03455,
PF03456,1.18
PF03464,
PF03465,
PF03487,
PF03493,
PF03511,
PF03516,2.54
PF03533,
PF03567,0.89
PF03572,
PF03607,1.32
PF03630,
PF03643,
PF03656,
PF03670,
PF03700,
PF03725,
PF03731,0.14
PF03770,1.6
PF03798,0.14
PF03803,2.84
PF03807,0.61
PF03810,0.99
PF03815,2.26
PF03828,2.77
PF03847,
PF03901,
PF03908,
PF03921,1.55
PF03931,
PF03943,
PF03949,2.84
PF03950,
PF03953,1.04
PF03954,
PF03957,
PF03959,
PF03992,2.11
PF03999,
PF04006,
PF04046,
PF04053,
PF04055,-0.06
PF04057,
PF04072,
PF04083,2.96
PF04089,
PF04095,
PF04099,
PF04100,
PF04103,0.67
PF04110,
PF04114,
PF04140,
PF04142,2.23
PF04177,
PF04182,
PF04188,
PF04191,
PF04193,0.25
PF04209,
PF04218,
PF04258,
PF04263,
PF04266,
PF04280,
PF04300,
PF04326,
PF04360,
PF04434,0.58
PF04438,
PF04440,
PF04488,
PF04499,
PF04500,
PF04503,
PF04505,
PF04538,0.08
PF04547,
PF04548,2.03
PF04549,
PF04560,2.83
PF04564,1.6
PF04579,
PF04588,
PF04592,
PF04593,
PF04598,0.99
PF04603,
PF04628,
PF04629,
PF04680,
PF04691,
PF04706,
PF04707,1.14
PF04712,
PF04732,0.71
PF04750,
PF04757,
PF04790,
PF04802,
PF04803,
PF04810,
PF04811,2.64
PF04815,0.14
PF04819,
PF04824,
PF04826,
PF04836,
PF04841,
PF04845,3.54
PF04847,3.61
PF04849,
PF04857,
PF04908,2.75
PF04909,
PF04912,
PF04952,
PF04969,0.06
PF04970,3.08
PF04983,
PF04997,
PF04998,
PF05000,
PF05001,
PF05004,
PF05008,
PF05024,
PF05033,
PF05039,
PF05047,
PF05063,1.56
PF05066,
PF05083,
PF05147,
PF05148,
PF05177,
PF05185,
PF05186,2.14
PF05188,0.21
PF05190,0.11
PF05193,0.05
PF05205,
PF05217,
PF05219,
PF05224,
PF05225,
PF05240,2.46
PF05250,
PF05279,
PF05287,0.82
PF05296,1.41
PF05300,1.62
PF05308,
PF05337,
PF05347,
PF05350,
PF05383,2.52
PF05386,
PF05399,
PF05406,2.86
PF05454,
PF05458,
PF05460,
PF05461,1.93
PF05470,
PF05474,
PF05477,
PF05478,1.22
PF05483,
PF05485,1.82
PF05495,
PF05507,
PF05510,
PF05544,
PF05577,
PF05587,
PF05602,
PF05609,3.36
PF05622,
PF05645,
PF05648,0.7
PF05653,
PF05686,
PF05693,
PF05699,-0.31
PF05706,
PF05716,
PF05721,0.55
PF05724,
PF05726,
PF05729,1.02
PF05731,
PF05739,1.1
PF05741,
PF05743,
PF05760,
PF05770,
PF05773,0.42
PF05781,
PF05782,
PF05790,-0.27
PF05793,
PF05804,
PF05805,
PF05817,
PF05831,1.38
PF05837,
PF05889,
PF05902,
PF05903,
PF05916,
PF05922,
PF05934,
PF05937,
PF05956,
PF05970,
PF05971,
PF05972,2.89
PF05986,1.39
PF05995,
PF05997,
PF06008,0.41
PF06009,
PF06021,1.98
PF06027,
PF06031,
PF06046,0.84
PF06049,3.23
PF06052,
PF06060,
PF06148,
PF06159,
PF06202,
PF06209,
PF06211,
PF06220,
PF06248,
PF06268,0.75
PF06309,2.64
PF06337,2.71
PF06367,3.95
PF06388,
PF06393,
PF06396,
PF06407,
PF06409,
PF06456,3.84
PF06463,
PF06464,1.96
PF06466,
PF06467,0.98
PF06472,0.63
PF06473,0.83
PF06534,
PF06546,
PF06581,
PF06602,2.69
PF06607,
PF06617,
PF06623,
PF06637,
PF06657,
PF06679,
PF06730,
PF06733,1.92
PF06741,
PF06747,0.51
PF06758,
PF06777,
PF06809,
PF06817,
PF06839,2.67
PF06840,
PF06888,
PF06907,
PF06954,
PF06959,
PF06963,
PF06990,1.81
PF07002,3.19
PF07004,0.49
PF07010,
PF07034,
PF07096,
PF07106,
PF07139,
PF07140,
PF07145,
PF07156,
PF07163,
PF07175,
PF07222,
PF07225,
PF07263,
PF07292,1.11
PF07326,
PF07334,
PF07354,
PF07452,0.66
PF07458,2.57
PF07496,
PF07500,
PF07502,1.78
PF07521,
PF07522,
PF07524,1.25
PF07525,
PF07546,
PF07562,1.92
PF07565,1.91
PF07576,
PF07645,2.32
PF07646,-0.12
PF07647,0.45
PF07648,1.54
PF07650,
PF07651,1.04
PF07653,0.5
PF07654,1.19
PF07670,4.21
PF07678,1.51
PF07679,1.27
PF07686,0.27
PF07690,
PF07699,1.8
PF07707,1.31
PF07714,1.81
PF07716,1.38
PF07717,1.3
PF07719,0.13
PF07721,
PF07728,
PF07738,1.52
PF07744,
PF07748,1.35
PF07773,1.26
PF07776,
PF07803,
PF07818,
PF07819,
PF07842,
PF07847,
PF07857,
PF07885,
PF07888,
PF07894,
PF07915,0.79
PF07942,
PF07947,
PF07959,
PF07966,
PF07974,2.79
PF07984,
PF07986,
PF07989,
PF08007,2.06
PF08016,
PF08032,
PF08033,0.91
PF08038,
PF08040,
PF08070,
PF08075,
PF08080,
PF08081,
PF08127,
PF08142,
PF08143,1.24
PF08150,
PF08165,
PF08166,
PF08180,
PF08190,
PF08202,
PF08204,
PF08205,0.35
PF08210,0.42
PF08232,
PF08238,0.71
PF08241,
PF08264,-0.15
PF08266,2.61
PF08271,0.6
PF08327,
PF08336,
PF08337,
PF08357,0.58
PF08373,
PF08377,
PF08385,
PF08389,0.63
PF08397,1.41
PF08399,1.76
PF08409,
PF08416,0.17
PF08429,
PF08430,2.64
PF08433,
PF08434,
PF08441,1.07
PF08444,2.6
PF08447,3.24
PF08466,
PF08491,
PF08513,
PF08516,1.44
PF08526,1.35
PF08527,
PF08540,
PF08551,
PF08558,1.11
PF08568,
PF08583,
PF08584,
PF08590,
PF08604,
PF08615,
PF08628,
PF08629,
PF08641,
PF08646,
PF08647,
PF08661,
PF08662,0.78
PF08675,
PF08688,
PF08701,
PF08709,
PF08711,2.31
PF08726,2.33
PF08736,
PF08742,2.06
PF08743,
PF08774,
PF08776,
PF08777,0.81
PF08784,
PF08788,
PF08790,
PF08797,
PF08799,
PF08801,
PF08815,
PF08824,
PF08826,
PF08832,
PF08840,2.38
PF08913,
PF08916,
PF08952,1.8
PF08954,
PF08969,
PF08976,
PF08997,
PF09004,
PF09006,
PF09011,
PF09030,
PF09038,
PF09058,
PF09060,
PF09067,1.36
PF09068,
PF09069,
PF09085,
PF09128,
PF09162,
PF09169,
PF09170,
PF09172,
PF09238,
PF09240,0.47
PF09256,
PF09258,
PF09261,1.06
PF09271,
PF09280,
PF09291,
PF09294,0.69
PF09305,
PF09307,
PF09309,
PF09325,
PF09332,
PF09358,
PF09379,1.04
PF09380,0.83
PF09409,
PF09422,1.28
PF09439,
PF09454,
PF09457,1.48
PF09469,2.73
PF09514,
PF09532,
PF09727,
PF09732,
PF09750,
PF09766,
PF09767,
PF09772,
PF09787,
PF09809,
PF09811,1.33
PF09812,
PF09815,
PF10034,1.01
PF10151,
PF10162,
PF10184,
PF10186,
PF10187,
PF10192,
PF10226,
PF10242,
PF10243,
PF10253,5.24
PF10257,
PF10262,
PF10263,
PF10265,
PF10275,
PF10277,
PF10278,
PF10300,
PF10344,
PF10347,
PF10358,0.07
PF10367,
PF10373,
PF10376,
PF10384,
PF10392,
PF10393,
PF10396,
PF10401,1.09
PF10409,1.72
PF10420,
PF10427,2.22
PF10472,
PF10477,
PF10486,
PF10488,
PF10495,
PF10500,
PF10506,
PF10508,
PF10520,
PF10522,1.42
PF10529,
PF10565,
PF10591,
PF10596,
PF10607,0.6
PF10608,
PF10609,
PF10629,
PF10630,
PF10631,
PF11109,
PF11235,
PF11265,
PF11465,
PF11510,
PF11526,
PF11531,
PF11560,
PF11598,2.6
PF11616,
PF11699,
PF11759,2.79
PF11788,
PF11789,
PF11802,
PF11819,
PF11838,
PF11841,
PF11933,1.66
PF11971,
PF11977,2.4
PF12001,2.33
PF12004,
PF12036,
PF12047,
PF12052,
PF12075,
PF12125,
PF12160,
PF12171,1.04
PF12178,
PF12196,
PF12201,
PF12203,3.56
PF12231,
PF12260,
PF12297,
PF12304,
PF12335,
PF12349,
PF12403,
PF12409,
PF12424,1.91
PF12440,1.25
PF12453,
PF12480,3.75
PF12516,
PF12548,
PF12567,
PF12569,
PF12657,
PF12661,2.35
PF12662,2.66
PF12738,
PF12770,
PF12777,3.6
PF12781,2.11
PF12796,
PF12799,
PF12815,
PF12851,1.5
PF12861,
PF12872,0.49
PF12874,2.36
PF12877,
PF12885,
PF12906,
PF12937,1.43
PF12947,3.02
PF12998,
PF13086,
PF13087,
PF13088,
PF13174,
PF13176,-0.35
PF13193,0.72
PF13240,
PF13246,
PF13279,
PF13324,
PF13330,
PF13365,
PF13374,
PF13378,
PF13402,4.14
PF13405,0.4
PF13409,
PF13410,
PF13431,
PF13445,2.72
PF13450,
PF13465,1.49
PF13499,0.47
PF13513,0.61
PF13517,0.62
PF13570,
PF13602,
PF13606,
PF13646,
PF13653,
PF13679,
PF13691,
PF13725,
PF13757,1.94
PF13764,
PF13765,2.14
PF13768,0.41
PF13771,
PF13793,
PF13804,5.34
PF13831,
PF13832,
PF13833,
PF13836,2.58
PF13837,3.54
PF13840,3.14
PF13841,1.97
PF13842,
PF13843,1.83
PF13848,-0.04
PF13853,
PF13855,1.12
PF13862,
PF13868,0.65
PF13870,0.68
PF13873,0.94
PF13883,2.22
PF13884,
PF13885,2.54
PF13894,1.3
PF13895,0.38
PF13897,
PF13899,
PF13901,
PF13903,
PF13905,
PF13908,0.89
PF13911,0.99
PF13913,1.52
PF13914,
PF13916,
PF13920,1.68
PF13923,1.64
PF13927,0.81
PF13964,
PF14073,
PF14075,
PF14160,
PF14260,
PF14306,3.76
PF14360,
PF14444,3.62
PF14493,
PF14523,
PF14555,
PF14565,
PF14572,
PF14575,2.93
PF14596,
PF14631,
PF14634,
PF14635,
PF14639,
PF14642,
PF14643,
PF14648,
PF14650,0.83
PF14651,
PF14654,
PF14670,2.01
PF14674,
PF14694,
PF14701,
PF14707,2.35
PF14713,
PF14724,
PF14726,
PF14748,
PF14749,
PF14787,4.58
PF14791,
PF14797,
PF14800,
PF14816,
PF14817,
PF14818,
PF14828,
PF14836,1.72
PF14845,
PF14858,
PF14868,
PF14880,
PF14887,
PF14893,
PF14904,
PF14912,
PF14914,3.22
PF14915,2.12
PF14922,
PF14925,
PF14932,
PF14933,
PF14950,
PF14951,
PF14952,
PF14957,
PF14958,
PF14967,
PF14969,
PF14977,
PF14979,
PF14985,
PF14986,
PF14988,0.62
PF14992,1.97
PF15005,1.06
PF15013,
PF15015,
PF15020,
PF15030,
PF15032,
PF15035,
PF15037,
PF15039,
PF15040,2.89
PF15050,
PF15057,
PF15058,
PF15068,
PF15070,
PF15074,
PF15079,
PF15080,
PF15081,3.85
PF15083,
PF15089,
PF15091,
PF15094,
PF15095,
PF15101,
PF15102,
PF15105,
PF15136,
PF15137,
PF15140,
PF15141,
PF15142,
PF15143,
PF15149,
PF15160,
PF15164,
PF15165,
PF15174,
PF15177,0.75
PF15180,
PF15192,
PF15194,
PF15195,
PF15199,
PF15201,
PF15202,
PF15205,
PF15206,
PF15209,
PF15215,
PF15218,
PF15225,
PF15226,
PF15227,2.1
PF15231,
PF15240,4.14
PF15243,
PF15248,
PF15254,
PF15255,
PF15264,
PF15268,
PF15274,
PF15287,
PF15288,
PF15291,
PF15292,
PF15296,
PF15299,
PF15304,
PF15307,
PF15314,
PF15315,
PF15319,
PF15324,
PF15334,
PF15338,
PF15339,
PF15347,
PF15351,
PF15352,
PF15357,
PF15368,
PF15371,
PF15372,
PF15379,
PF15384,
PF15390,
PF15391,
PF15393,
PF15395,
PF15399,
PF15410,
PF15412,
PF15419,
PF15423,
PF15429,
PF15439,
PF15440,
PF15441,
PF15451,
PF15454,
PF15455,
PF15462,
PF15471,
PF15482,
PF15483,
PF15485,
PF15489,
PF15494,
PF15506,
PF15508,
PF15539,
PF15554,
PF15557,
PF15578,
PF15612,
PF15621,
PF15622,
PF15664,
PF15670,
PF15675,
PF15681,
PF15687,
PF15688,
PF15695,3.79
PF15705,
PF15710,
PF15721,
PF15722,4.97
PF15727,
PF15729,
PF15736,
PF15741,
PF15746,
PF15749,
PF15754,
PF15758,
PF15762,
PF15769,
PF15770,
PF15776,
PF15780,
PF15783,
PF15784,3.35
PF15788,1.69
PF15789,
PF15790,
PF15794,
PF15807,
PF15816,
PF15817,
PF15821,
PF15830,
PF15831,
PF15838,
PF15840,
PF15841,
PF15843,
PF15845,
PF15847,
PF15849,
PF15855,
PF15873,
PF15874,0.97
PF15875,
PF15876,
PF15895,
PF15897,
PF15902,
PF15903,
PF15908,
PF15909,
PF15910,
PF15913,
PF15949,1.61
PF15961,
PF15964,
PF15974,
PF15991,
PF16006,
PF16076,
PF16094,
PF16096,
PF16177,1.53
PF16182,
PF16207,
PF16208,
PF16209,2.94
PF16210,
PF16214,
PF16317,
PF16360,
PF16470,
PF16471,
PF16474,
PF16482,
PF16484,2.77
PF16489,
PF16492,3.5
PF16499,
PF16533,
PF16534,
PF16545,
PF16546,
PF16551,
PF16573,
PF16607,
PF16617,
PF16619,
PF16620,
PF16623,
PF16626,
PF16630,
PF16647,
PF16652,
PF16667,
PF16686,
PF16689,
PF16696,
PF16716,
PF16725,
PF16737,
PF16746,
PF16776,
PF16788,
PF16794,
PF16870,
PF16886,
PF17039,4.16
PF17047,
PF17085,
PF17123,
PF17146,
PF17189,
PF17217,
PF17256,
PF17284,1.64
PF17285,
PF17286,
PF17291,3.36
PF17333,
PF17450,
PF17489,
PF17490,
PF17654,
PF17677,0.86
PF17686,
PF17690,
PF17697,
PF17698,
PF17699,
PF17703,
PF17706,
PF17708,0.68
PF17710,
PF17714,
PF17715,
PF17729,
PF17739,
PF17744,
PF17749,
PF17776,1.68
PF17779,
PF17780,
PF17790,
PF17791,
PF17821,
PF17825,
PF17848,
PF17857,2.94
PF17862,
PF17877,
PF17900,1.54
PF17927,
PF17949,
PF18038,
PF18102,
PF18111,
PF18114,
PF18122,
PF18139,
PF18201,
PF18256,
PF18358,
PF18366,3.7
PF18521,
PF18574,
PF18581,
PF18587,
PF18597,
PF18727,2.56
PF18772,3.46
PF18779,
PF18782,
PF18872,4.52
PF18875,
PF18876,
PF19031,0.32
PF19032,0.14
PF19033,0.05
PF19036,-0.13
PF19037,-0.33
PF19038,-0.61
PF19046,
PF19047,
PF19088,
PF19236,
PF19273,
PF19317,
PF19326,3.14
PF19334,
PF19336,
PF19418,
PF19729,
PF19743,
PF20166,1.0
PF20168,
PF20170,
PF20258,
PF20259,
PF20266,1.16
PF20308,
PF20433,
PF20443,0.05
PF20491,
PF20510,
PF20511,
PF20512,
PF20514,
PF20518,
PF20519,
PF20626,
PF20630,
PF20634,
PF20665,
PF20666,
PF20691,3.88
PF20692,
PF20721,
PF20770,
PF20801,
PF20805,1.2
PF20806,0.71
PF20808,
PF20826,
PF20854,
PF20864,
PF20885,
PF20927,
PF20929,
PF20936,
PF20974,
PF20989,
PF20996,
PF21009,
PF21022,
PF21031,
PF21032,
PF21033,
PF21034,
PF21044,
PF21045,
PF21047,
PF21114,
PF21136,
PF21229,
PF21243,
PF21283,
PF21317,2.71
PF21363,
PF21364,
PF21365,
PF21399,
PF21410,
PF21530,
PF21711,
PF21720,
PF21771,
