Pfam_code,blosum62_global_mean
PF00287,2.5
PF00288,1.59
PF00289,2.79
PF00291,1.5
PF00292,4.07
PF00293,0.71
PF00294,2.45
PF00297,2.64
PF00298,2.01
PF00300,1.72
PF00303,
PF00305,2.54
PF00306,
PF00307,0.82
PF00312,0.39
PF00313,1.65
PF00316,4.36
PF00317,
PF00318,2.46
PF00319,4.79
PF00320,2.57
PF00322,5.3
PF00323,2.85
PF00324,2.63
PF00326,1.51
PF00327,2.51
PF00328,1.47
PF00329,
PF00330,4.06
PF00333,3.65
PF00334,2.03
PF00335,1.23
PF00337,1.8
PF00338,1.86
PF00339,1.42
PF00340,1.38
PF00341,2.9
PF00342,5.09
PF00343,4.54
PF00344,4.79
PF00346,5.16
PF00347,2.36
PF00348,1.7
PF00349,3.09
PF00350,1.48
PF00351,3.86
PF00352,2.19
PF00354,1.39
PF00355,1.94
PF00357,2.82
PF00361,0.59
PF00362,3.25
PF00363,
PF00364,2.05
PF00365,2.92
PF00366,2.45
PF00368,4.8
PF00370,1.61
PF00373,1.1
PF00375,3.35
PF00377,3.12
PF00378,1.18
PF00380,3.65
PF00382,1.83
PF00383,1.92
PF00384,5.09
PF00385,1.97
PF00386,1.41
PF00387,2.63
PF00388,2.93
PF00389,1.98
PF00390,4.6
PF00393,5.28
PF00394,3.56
PF00396,3.59
PF00397,2.46
PF00398,3.22
PF00400,1.06
PF00402,3.63
PF00403,2.32
PF00405,2.87
PF00406,1.44
PF00408,2.04
PF00410,4.49
PF00411,3.15
PF00412,1.42
PF00413,2.53
PF00414,2.63
PF00415,1.46
PF00416,5.42
PF00418,3.24
PF00420,
PF00428,2.39
PF00429,1.04
PF00431,1.38
PF00432,0.76
PF00433,1.6
PF00435,0.47
PF00436,5.25
PF00438,4.07
PF00439,1.49
PF00441,1.53
PF00443,1.1
PF00444,
PF00445,5.56
PF00446,4.5
PF00447,2.95
PF00448,4.17
PF00450,3.42
PF00452,1.85
PF00453,5.09
PF00454,1.16
PF00456,4.03
PF00458,2.29
PF00459,1.93
PF00462,1.51
PF00464,4.75
PF00465,4.94
PF00466,3.81
PF00467,2.2
PF00468,5.25
PF00471,
PF00472,2.08
PF00473,1.66
PF00474,1.73
PF00476,2.6
PF00478,2.78
PF00479,3.65
PF00480,5.08
PF00481,1.2
PF00483,2.56
PF00485,3.79
PF00487,1.51
PF00488,2.95
PF00489,5.05
PF00490,5.13
PF00491,2.78
PF00493,2.6
PF00494,2.22
PF00498,1.07
PF00499,
PF00501,0.75
PF00503,2.96
PF00505,1.59
PF00507,
PF00510,
PF00514,0.78
PF00515,1.14
PF00517,4.7
PF00520,0.72
PF00521,4.64
PF00525,3.18
PF00530,2.37
PF00531,2.44
PF00533,0.57
PF00534,0.94
PF00535,1.38
PF00536,0.99
PF00538,1.47
PF00542,4.2
PF00549,1.92
PF00550,1.36
PF00551,2.74
PF00552,5.95
PF00554,2.48
PF00557,1.19
PF00560,1.49
PF00561,0.7
PF00562,2.85
PF00564,1.32
PF00565,0.86
PF00566,0.89
PF00567,0.7
PF00568,1.88
PF00569,2.5
PF00570,1.71
PF00571,0.96
PF00572,2.95
PF00573,2.44
PF00574,4.66
PF00575,1.14
PF00576,5.14
PF00578,3.37
PF00579,1.45
PF00581,0.71
PF00583,0.61
PF00584,
PF00586,2.5
PF00587,2.18
PF00588,1.35
PF00590,
PF00591,4.87
PF00594,3.39
PF00595,1.24
PF00596,2.83
PF00605,2.81
PF00607,5.07
PF00609,2.51
PF00610,1.28
PF00611,1.22
PF00612,1.49
PF00613,1.88
PF00614,2.26
PF00615,1.09
PF00616,1.43
PF00617,1.4
PF00618,1.06
PF00619,0.78
PF00620,1.44
PF00621,0.92
PF00622,0.66
PF00623,2.89
PF00625,1.72
PF00626,0.78
PF00627,1.36
PF00628,2.08
PF00629,1.25
PF00630,1.51
PF00631,1.64
PF00632,1.61
PF00633,3.03
PF00634,1.81
PF00635,1.44
PF00636,3.16
PF00637,0.52
PF00638,2.95
PF00639,4.94
PF00640,0.96
PF00641,2.21
PF00642,2.22
PF00643,1.93
PF00644,1.35
PF00645,2.82
PF00646,1.24
PF00647,
PF00648,2.51
PF00650,1.4
PF00651,1.17
PF00652,1.14
PF00653,2.57
PF00654,2.32
PF00656,1.5
PF00657,1.87
PF00658,4.15
PF00659,1.32
PF00662,
PF00664,0.5
PF00665,5.47
PF00666,2.56
PF00667,2.05
PF00670,3.9
PF00673,5.29
PF00675,1.9
PF00676,1.62
PF00679,1.13
PF00681,1.51
PF00682,2.82
PF00683,2.58
PF00684,3.68
PF00685,1.13
PF00686,2.02
PF00687,2.58
PF00688,0.94
PF00689,1.4
PF00690,1.39
PF00692,3.79
PF00694,3.31
PF00696,
PF00698,2.42
PF00701,2.11
PF00702,0.99
PF00703,
PF00704,2.45
PF00705,
PF00708,4.03
PF00709,4.52
PF00710,5.1
PF00711,1.79
PF00714,
PF00715,
PF00717,3.91
PF00719,4.77
PF00723,3.22
PF00725,1.81
PF00726,1.9
PF00727,4.63
PF00728,3.42
PF00730,1.96
PF00731,5.29
PF00732,5.41
PF00733,2.42
PF00735,3.06
PF00736,5.01
PF00743,3.53
PF00748,2.5
PF00749,2.45
PF00750,2.37
PF00751,4.28
PF00752,1.71
PF00753,1.09
PF00754,1.84
PF00755,2.08
PF00756,5.41
PF00757,2.91
PF00758,3.1
PF00762,5.13
PF00763,2.59
PF00764,5.25
PF00766,4.75
PF00769,3.03
PF00773,2.16
PF00777,1.56
PF00778,3.13
PF00779,2.97
PF00780,1.35
PF00781,1.7
PF00782,1.25
PF00784,1.61
PF00786,2.07
PF00787,1.03
PF00788,0.56
PF00789,1.03
PF00790,2.29
PF00791,2.37
PF00792,1.75
PF00794,1.33
PF00795,1.77
PF00797,4.64
PF00801,0.75
PF00804,2.2
PF00805,1.27
PF00806,1.67
PF00808,1.48
PF00809,5.08
PF00810,4.28
PF00811,5.42
PF00812,2.42
PF00814,2.67
PF00817,2.47
PF00821,4.84
PF00822,1.12
PF00827,5.33
PF00828,2.39
PF00829,4.97
PF00830,5.3
PF00831,4.65
PF00832,5.1
PF00833,4.87
PF00834,5.06
PF00835,4.76
PF00836,3.2
PF00837,-inf
PF00838,4.64
PF00839,1.16
PF00841,
PF00849,1.72
PF00850,2.3
PF00852,2.78
PF00853,5.06
PF00854,2.58
PF00855,1.31
PF00856,1.12
PF00857,3.73
PF00858,1.86
PF00859,3.49
PF00860,2.77
PF00861,
PF00864,2.71
PF00865,5.27
PF00867,2.71
PF00868,1.77
PF00870,4.47
PF00875,4.36
PF00876,1.04
PF00878,1.35
PF00879,2.92
PF00880,1.55
PF00881,5.0
PF00882,
PF00883,2.34
PF00884,1.48
PF00886,5.61
PF00887,3.39
PF00888,2.2
PF00889,4.77
PF00890,4.96
PF00891,3.17
PF00892,0.3
PF00895,
PF00899,1.12
PF00900,4.89
PF00903,0.96
PF00904,3.09
PF00907,3.11
PF00909,2.57
PF00916,2.18
PF00917,2.71
PF00918,4.92
PF00919,1.32
PF00923,4.75
PF00927,0.7
PF00928,1.42
PF00929,0.82
PF00930,1.91
PF00931,5.15
PF00932,2.47
PF00935,5.33
PF00939,2.76
PF00940,4.83
PF00941,2.08
PF00953,5.14
PF00955,2.65
PF00956,2.59
PF00957,2.22
PF00958,
PF00962,2.07
PF00965,3.18
PF00969,3.08
PF00970,3.46
PF00975,2.44
PF00976,3.33
PF00984,
PF00988,3.57
PF00989,1.69
PF00992,1.9
PF00993,2.58
PF00994,1.81
PF00995,1.91
PF00996,3.22
PF00997,
PF00999,1.17
PF01000,4.38
PF01007,2.84
PF01008,1.52
PF01011,
PF01012,2.73
PF01015,5.06
PF01016,5.01
PF01017,2.41
PF01018,3.12
PF01019,3.42
PF01020,5.08
PF01023,1.89
PF01025,2.5
PF01026,2.43
PF01027,1.73
PF01028,4.48
PF01030,1.78
PF01031,2.46
PF01033,2.59
PF01034,3.31
PF01035,5.23
PF01039,2.38
PF01040,1.94
PF01042,4.67
PF01044,3.22
PF01048,1.63
PF01049,2.95
PF01053,
PF01055,2.56
PF01056,3.27
PF01058,5.36
PF01059,
PF01061,1.59
PF01062,3.77
PF01063,4.23
PF01064,1.58
PF01066,1.46
PF01067,1.86
PF01068,2.27
PF01070,3.01
PF01071,5.25
PF01073,2.02
PF01074,2.34
PF01079,2.29
PF01080,4.76
PF01082,2.07
PF01084,2.55
PF01085,4.97
PF01086,3.6
PF01087,5.38
PF01088,2.42
PF01090,4.87
PF01091,3.98
PF01092,5.18
PF01093,3.1
PF01094,0.75
PF01096,4.02
PF01099,1.1
PF01101,2.72
PF01102,3.84
PF01103,
PF01105,1.47
PF01106,5.15
PF01108,1.1
PF01109,
PF01110,
PF01111,5.02
PF01112,2.16
PF01114,5.5
PF01115,5.27
PF01119,2.11
PF01120,3.74
PF01121,2.71
PF01122,2.24
PF01124,1.22
PF01125,5.44
PF01126,4.1
PF01127,
PF01128,4.5
PF01129,2.45
PF01130,2.89
PF01131,3.11
PF01133,5.34
PF01134,5.1
PF01135,2.7
PF01137,2.16
PF01138,0.99
PF01139,
PF01142,2.9
PF01144,1.75
PF01145,1.17
PF01146,3.6
PF01148,4.45
PF01149,5.21
PF01150,1.96
PF01151,2.01
PF01153,2.16
PF01154,4.52
PF01157,5.05
PF01158,4.78
PF01159,
PF01160,3.28
PF01161,1.05
PF01163,2.51
PF01165,
PF01166,3.99
PF01167,3.72
PF01168,4.4
PF01169,2.65
PF01170,1.91
PF01171,
PF01172,4.94
PF01175,
PF01176,2.9
PF01179,3.26
PF01180,2.93
PF01182,2.43
PF01186,3.95
PF01187,3.48
PF01189,1.26
PF01191,4.99
PF01192,4.94
PF01193,2.93
PF01194,
PF01195,4.78
PF01196,5.11
PF01198,5.18
PF01199,
PF01200,
PF01201,2.54
PF01202,1.37
PF01204,
PF01205,5.29
PF01207,2.04
PF01208,5.0
PF01209,5.11
PF01210,4.41
PF01212,
PF01213,3.26
PF01214,5.33
PF01215,
PF01216,4.17
PF01217,1.35
PF01218,5.23
PF01221,3.72
PF01222,3.37
PF01223,1.59
PF01227,
PF01229,5.43
PF01230,2.6
PF01231,3.56
PF01233,5.08
PF01234,2.95
PF01237,2.4
PF01238,4.96
PF01239,1.42
PF01242,5.34
PF01243,4.48
PF01244,3.6
PF01245,4.18
PF01246,3.81
PF01247,5.27
PF01248,0.99
PF01249,3.82
PF01250,
PF01251,4.74
PF01253,2.27
PF01254,5.43
PF01255,4.57
PF01256,5.09
PF01257,5.2
PF01259,5.29
PF01261,4.78
PF01262,3.6
PF01263,5.16
PF01265,
PF01266,0.97
PF01267,3.74
PF01268,4.46
PF01269,5.0
PF01271,1.07
PF01273,0.53
PF01275,3.82
PF01279,4.11
PF01280,4.92
PF01281,4.85
PF01282,5.37
PF01283,4.94
PF01284,0.57
PF01285,5.04
PF01286,5.91
PF01287,4.37
PF01290,4.26
PF01291,2.16
PF01294,5.34
PF01296,5.29
PF01299,1.48
PF01300,
PF01301,3.3
PF01302,2.57
PF01315,2.36
PF01321,4.02
PF01323,5.23
PF01327,
PF01329,4.22
PF01331,
PF01335,1.37
PF01336,1.26
PF01342,2.29
PF01344,1.35
PF01347,1.44
PF01351,5.01
PF01352,3.05
PF01359,
PF01363,2.5
PF01365,1.64
PF01368,4.36
PF01369,2.5
PF01370,1.44
PF01379,4.79
PF01380,2.01
PF01381,
PF01384,3.31
PF01387,3.73
PF01388,2.15
PF01390,1.06
PF01391,1.88
PF01392,1.76
PF01393,4.91
PF01394,0.94
PF01396,
PF01398,0.97
PF01399,0.86
PF01400,2.74
PF01401,3.29
PF01403,1.24
PF01404,3.4
PF01406,3.58
PF01408,1.56
PF01409,3.17
PF01410,2.98
PF01411,4.95
PF01412,2.02
PF01413,2.95
PF01414,3.66
PF01415,4.71
PF01416,1.48
PF01417,3.48
PF01419,0.86
PF01421,1.56
PF01422,3.7
PF01423,1.1
PF01424,1.72
PF01425,1.34
PF01426,1.21
PF01428,2.51
PF01429,1.51
PF01431,3.16
PF01432,3.63
PF01433,2.21
PF01434,4.04
PF01435,2.45
PF01436,2.21
PF01437,1.82
PF01442,1.39
PF01448,1.72
PF01451,4.35
PF01454,2.59
PF01457,2.48
PF01459,2.75
PF01462,2.38
PF01463,1.68
PF01465,3.35
PF01466,5.18
PF01467,1.63
PF01470,3.36
PF01471,1.6
PF01472,2.14
PF01476,2.46
PF01477,1.29
PF01479,1.83
PF01480,2.18
PF01483,3.46
PF01485,1.59
PF01490,1.12
PF01491,5.17
PF01494,2.72
PF01496,3.17
PF01500,3.87
PF01501,2.18
PF01504,2.24
PF01505,2.61
PF01507,5.14
PF01509,2.27
PF01510,2.23
PF01512,4.93
PF01513,2.8
PF01521,2.83
PF01529,1.71
PF01530,4.52
PF01531,3.4
PF01532,2.5
PF01534,2.7
PF01535,0.9
PF01536,5.2
PF01541,5.36
PF01545,1.45
PF01546,1.85
PF01549,1.59
PF01551,
PF01553,0.88
PF01554,1.95
PF01556,2.31
PF01557,1.83
PF01562,1.21
PF01564,1.8
PF01565,2.28
PF01566,4.56
PF01569,1.03
PF01571,2.39
PF01575,3.78
PF01576,2.24
PF01582,1.0
PF01583,4.48
PF01585,1.86
PF01586,1.78
PF01588,3.98
PF01590,1.64
PF01591,4.21
PF01592,4.92
PF01593,1.14
PF01594,5.13
PF01595,2.57
PF01596,2.82
PF01597,4.54
PF01599,5.44
PF01602,1.31
PF01603,4.41
PF01607,3.91
PF01608,2.32
PF01612,0.78
PF01619,3.58
PF01624,1.88
PF01625,4.96
PF01630,2.58
PF01632,5.33
PF01633,2.78
PF01636,1.99
PF01641,-inf
PF01642,
PF01648,5.01
PF01650,3.56
PF01652,3.11
PF01655,5.23
PF01658,5.31
PF01661,1.32
PF01663,2.46
PF01667,5.43
PF01669,4.99
PF01687,5.33
PF01693,2.26
PF01694,0.88
PF01699,1.13
PF01702,2.51
PF01704,3.87
PF01709,
PF01712,2.89
PF01713,5.22
PF01715,5.17
PF01722,3.27
PF01725,
PF01728,1.62
PF01729,4.97
PF01731,4.08
PF01733,2.04
PF01734,0.94
PF01735,2.13
PF01738,
PF01740,1.03
PF01743,4.68
PF01746,2.08
PF01747,4.63
PF01749,2.46
PF01751,2.48
PF01753,2.57
PF01754,3.03
PF01755,3.71
PF01756,1.82
PF01758,1.8
PF01759,1.01
PF01762,1.62
PF01764,3.06
PF01765,4.84
PF01769,2.13
PF01770,3.42
PF01773,3.85
PF01775,5.31
PF01776,4.44
PF01777,5.18
PF01778,2.44
PF01779,5.41
PF01780,5.0
PF01781,4.94
PF01783,
PF01784,4.56
PF01791,4.85
PF01794,1.13
PF01795,4.86
PF01798,2.6
PF01799,4.71
PF01803,4.76
PF01805,2.03
PF01808,5.12
PF01812,2.23
PF01813,4.66
PF01814,
PF01821,3.14
PF01822,1.78
PF01823,1.07
PF01825,2.68
PF01826,2.27
PF01833,0.66
PF01834,3.34
PF01835,2.36
PF01839,2.51
PF01840,2.38
PF01841,2.25
PF01842,4.24
PF01843,2.28
PF01844,5.81
PF01846,1.22
PF01847,3.65
PF01849,2.91
PF01851,1.76
PF01852,1.1
PF01853,4.15
PF01857,2.86
PF01858,2.83
PF01866,3.26
PF01868,5.03
PF01869,4.92
PF01871,5.14
PF01873,4.11
PF01875,5.39
PF01876,4.64
PF01878,
PF01883,3.95
PF01885,5.26
PF01896,3.65
PF01900,0.36
PF01902,5.21
PF01907,5.4
PF01909,1.53
PF01912,5.19
PF01916,4.74
PF01918,2.8
PF01920,0.79
PF01922,5.01
PF01923,5.01
PF01926,1.16
PF01927,
PF01928,4.96
PF01929,5.28
PF01931,
PF01936,5.18
PF01937,2.32
PF01938,2.46
PF01940,4.84
PF01951,5.08
PF01956,2.14
PF01958,5.22
PF01963,2.25
PF01965,4.93
PF01966,5.12
PF01967,
PF01968,
PF01974,3.39
PF01979,1.48
PF01980,5.13
PF01981,2.4
PF01984,4.41
PF01990,
PF01991,4.04
PF01992,4.6
PF01997,2.52
PF02002,5.1
PF02005,2.35
PF02008,2.92
PF02010,0.98
PF02014,2.07
PF02017,2.23
PF02019,2.35
PF02020,2.13
PF02022,5.36
PF02023,3.03
PF02024,
PF02025,4.83
PF02026,2.16
PF02029,3.54
PF02033,
PF02036,2.53
PF02037,1.91
PF02038,2.81
PF02044,4.5
PF02045,
PF02046,3.84
PF02055,5.42
PF02057,5.43
PF02058,2.23
PF02059,
PF02060,2.28
PF02063,2.25
PF02064,2.88
PF02070,5.33
PF02072,
PF02077,5.19
PF02078,4.09
PF02079,
PF02083,
PF02089,3.32
PF02096,3.18
PF02099,3.88
PF02100,3.25
PF02101,5.25
PF02104,5.29
PF02106,5.3
PF02109,4.52
PF02114,2.39
PF02115,3.82
PF02121,3.25
PF02126,5.25
PF02127,5.19
PF02130,
PF02135,3.67
PF02136,2.61
PF02137,2.06
PF02138,3.33
PF02140,4.06
PF02141,1.62
PF02142,1.58
PF02144,4.79
PF02145,2.1
PF02146,2.3
PF02148,2.1
PF02149,4.47
PF02150,3.01
PF02155,4.99
PF02157,4.95
PF02158,4.22
PF02159,5.33
PF02161,5.22
PF02163,0.2
PF02165,5.47
PF02166,5.24
PF02167,
PF02170,1.64
PF02171,2.6
PF02172,4.96
PF02173,3.7
PF02174,1.64
PF02176,2.07
PF02177,3.83
PF02178,3.42
PF02179,1.23
PF02180,3.38
PF02181,1.48
PF02182,4.97
PF02184,3.55
PF02185,1.73
PF02186,5.26
PF02187,4.02
PF02188,2.78
PF02189,1.73
PF02190,1.32
PF02191,3.04
PF02192,3.02
PF02194,2.01
PF02195,
PF02196,1.95
PF02197,2.41
PF02198,1.87
PF02199,3.67
PF02201,2.48
PF02202,
PF02204,1.58
PF02205,1.9
PF02207,2.45
PF02208,4.15
PF02209,2.96
PF02210,0.79
PF02212,2.16
PF02213,4.74
PF02214,1.5
PF02218,3.5
PF02219,5.27
PF02221,3.43
PF02223,3.02
PF02225,0.96
PF02229,
PF02230,3.75
PF02233,4.97
PF02234,3.76
PF02237,
PF02238,3.28
PF02244,1.74
PF02245,5.17
PF02251,3.27
PF02252,3.11
PF02256,3.89
PF02257,2.57
PF02259,1.18
PF02260,2.4
PF02262,4.21
PF02263,2.41
PF02267,3.72
PF02268,4.86
PF02269,2.96
PF02270,
PF02271,4.92
PF02272,5.02
PF02274,
PF02275,4.18
PF02284,4.81
PF02285,2.33
PF02290,5.12
PF02291,5.11
PF02295,2.71
PF02296,4.64
PF02297,2.34
PF02301,2.25
PF02310,3.45
PF02312,5.13
PF02318,2.37
PF02319,2.26
PF02320,5.11
PF02330,5.23
PF02337,5.25
PF02338,1.18
PF02344,4.97
PF02347,3.37
PF02348,4.66
PF02350,5.09
PF02351,1.05
PF02354,3.62
PF02359,3.37
PF02366,4.39
PF02368,3.35
PF02372,0.73
PF02373,1.28
PF02374,
PF02375,3.1
PF02376,2.31
PF02377,3.6
PF02383,2.76
PF02389,4.65
PF02390,4.95
PF02391,
PF02394,3.58
PF02403,1.79
PF02404,5.16
PF02410,
PF02412,2.77
PF02423,4.95
PF02434,2.33
PF02436,
PF02437,2.21
PF02441,5.02
PF02450,3.75
PF02453,3.29
PF02460,1.42
PF02463,0.66
PF02466,0.91
PF02469,1.08
PF02475,0.57
PF02485,1.99
PF02487,4.8
PF02492,4.89
PF02493,1.63
PF02494,2.23
PF02513,2.61
PF02515,3.09
PF02516,4.01
PF02517,4.78
PF02518,1.64
PF02525,3.48
PF02535,0.85
PF02536,1.3
PF02538,
PF02540,2.64
PF02544,1.93
PF02545,
PF02567,5.18
PF02574,3.42
PF02578,5.2
PF02580,3.44
PF02582,5.18
PF02585,4.78
PF02586,5.42
PF02594,4.57
PF02597,5.0
PF02598,4.06
PF02602,4.78
PF02607,5.05
PF02617,3.43
PF02628,5.05
PF02629,2.08
PF02630,3.99
PF02636,4.86
PF02637,4.99
PF02661,
PF02666,5.37
PF02668,1.0
PF02671,1.82
PF02676,5.09
PF02678,
PF02686,4.74
PF02690,2.16
PF02696,5.19
PF02709,2.78
PF02714,3.99
PF02724,4.58
PF02727,3.3
PF02728,3.0
PF02729,2.72
PF02731,5.0
PF02732,1.14
PF02733,4.95
PF02734,5.02
PF02735,2.07
PF02736,2.09
PF02737,2.18
PF02738,2.68
PF02740,5.13
PF02744,
PF02746,5.01
PF02747,
PF02749,
PF02750,4.5
PF02751,5.57
PF02752,1.58
PF02755,2.2
PF02758,1.39
PF02759,0.92
PF02760,2.79
PF02761,4.42
PF02762,4.8
PF02765,5.24
PF02769,0.72
PF02770,2.21
PF02771,1.83
PF02772,4.82
PF02773,4.85
PF02775,2.68
PF02776,2.79
PF02777,5.27
PF02778,5.18
PF02779,1.52
PF02780,1.82
PF02781,3.25
PF02782,1.59
PF02784,3.34
PF02785,2.2
PF02786,1.94
PF02787,3.02
PF02789,
PF02790,
PF02791,2.34
PF02792,5.2
PF02793,1.67
PF02798,1.91
PF02799,4.68
PF02800,4.4
PF02801,2.45
PF02803,2.43
PF02806,2.92
PF02807,4.58
PF02809,2.43
PF02812,5.25
PF02815,1.52
PF02816,1.74
PF02817,3.64
PF02818,3.32
PF02820,2.12
PF02822,2.75
PF02823,4.85
PF02824,2.0
PF02825,1.48
PF02826,2.9
PF02827,2.07
PF02828,1.33
PF02833,2.97
PF02836,3.7
PF02837,4.51
PF02840,5.05
PF02841,2.45
PF02843,
PF02844,5.08
PF02845,1.58
PF02847,1.53
PF02852,3.4
PF02854,1.5
PF02862,2.21
PF02864,2.65
PF02865,2.52
PF02866,1.74
PF02867,5.16
PF02870,5.33
PF02872,5.13
PF02874,1.26
PF02877,2.51
PF02878,2.39
PF02879,1.9
PF02880,1.86
PF02881,3.63
PF02882,2.71
PF02883,1.08
PF02885,4.79
PF02886,1.04
PF02887,4.24
PF02888,3.77
PF02889,1.01
PF02891,4.08
PF02892,2.22
PF02893,1.02
PF02894,1.59
PF02897,2.06
PF02898,4.24
PF02902,2.09
PF02906,3.94
PF02910,5.11
PF02911,2.23
PF02913,2.44
PF02919,4.95
PF02921,4.83
PF02922,5.64
PF02926,1.48
PF02928,4.15
PF02931,1.63
PF02932,1.34
PF02933,3.73
PF02934,4.96
PF02935,5.25
PF02936,4.32
PF02937,
PF02938,5.05
PF02939,
PF02946,2.41
PF02947,5.15
PF02948,5.15
PF02953,1.79
PF02961,2.75
PF02965,5.25
PF02966,3.4
PF02969,3.81
PF02970,4.83
PF02971,5.07
PF02978,4.91
PF02984,0.73
PF02985,1.06
PF02988,
PF02990,3.16
PF02991,2.94
PF02994,2.17
PF02996,1.47
PF03002,4.86
PF03006,0.96
PF03009,1.28
PF03015,4.12
PF03016,1.66
PF03020,2.32
PF03024,2.68
PF03028,2.17
PF03029,2.37
PF03031,2.15
PF03034,3.21
PF03036,2.22
PF03039,5.0
PF03045,3.15
PF03051,5.25
PF03054,5.21
PF03055,2.65
PF03061,1.09
PF03062,0.28
PF03066,3.55
PF03068,3.28
PF03071,4.77
PF03073,3.26
PF03074,5.24
PF03079,5.44
PF03081,5.0
PF03083,2.6
PF03088,5.06
PF03089,5.44
PF03091,4.7
PF03095,5.01
PF03096,4.15
PF03097,1.58
PF03098,2.32
PF03099,5.02
PF03102,5.04
PF03104,1.73
PF03105,-0.52
PF03109,2.06
PF03114,1.1
PF03121,5.77
PF03124,
PF03126,5.29
PF03127,2.35
PF03128,4.04
PF03129,1.57
PF03131,2.02
PF03133,1.55
PF03134,3.91
PF03137,2.03
PF03142,3.93
PF03143,2.41
PF03144,1.17
PF03145,3.97
PF03146,
PF03147,2.59
PF03148,1.59
PF03151,0.97
PF03152,5.2
PF03153,3.86
PF03154,3.92
PF03155,4.34
PF03159,3.84
