fasta_file	n_sequences
PF00214.fasta	5
PF00215.fasta	1
PF00217.fasta	4
PF00219.fasta	19
PF00220.fasta	2
PF00221.fasta	1
PF00224.fasta	2
PF00225.fasta	46
PF00226.fasta	44
PF00227.fasta	19
PF00229.fasta	16
PF00230.fasta	15
PF00231.fasta	1
PF00232.fasta	12
PF00233.fasta	21
PF00235.fasta	4
PF00236.fasta	1
PF00237.fasta	2
PF00238.fasta	2
PF00240.fasta	55
PF00241.fasta	12
PF00243.fasta	4
PF00244.fasta	7
PF00245.fasta	4
PF00246.fasta	25
PF00248.fasta	18
PF00249.fasta	30
PF00250.fasta	51
PF00252.fasta	3
PF00253.fasta	2
PF00254.fasta	24
PF00255.fasta	8
PF00258.fasta	8
PF00260.fasta	1
PF00261.fasta	4
PF00262.fasta	6
PF00264.fasta	3
PF00265.fasta	1
PF00266.fasta	5
PF00268.fasta	2
PF00270.fasta	74
PF00271.fasta	107
PF00273.fasta	11
PF00274.fasta	3
PF00276.fasta	2
PF00277.fasta	3
PF00278.fasta	2
PF00281.fasta	1
PF00282.fasta	9
PF00285.fasta	2
PF00287.fasta	5
PF00288.fasta	4
PF00289.fasta	5
PF00291.fasta	5
PF00292.fasta	9
PF00293.fasta	20
PF00294.fasta	3
PF00297.fasta	4
PF00298.fasta	2
PF00300.fasta	15
PF00303.fasta	1
PF00305.fasta	6
PF00306.fasta	1
PF00307.fasta	98
PF00312.fasta	2
PF00313.fasta	12
PF00316.fasta	2
PF00317.fasta	1
PF00318.fasta	6
PF00319.fasta	5
PF00320.fasta	20
PF00322.fasta	3
PF00323.fasta	5
PF00324.fasta	13
PF00326.fasta	9
PF00327.fasta	3
PF00328.fasta	8
PF00329.fasta	1
PF00330.fasta	4
PF00333.fasta	2
PF00334.fasta	12
PF00335.fasta	33
PF00337.fasta	22
PF00338.fasta	3
PF00339.fasta	10
PF00340.fasta	9
PF00341.fasta	9
PF00342.fasta	1
PF00343.fasta	3
PF00344.fasta	2
PF00346.fasta	1
PF00347.fasta	2
PF00348.fasta	4
PF00349.fasta	9
PF00350.fasta	15
PF00351.fasta	4
PF00352.fasta	6
PF00354.fasta	12
PF00355.fasta	3
PF00357.fasta	8
PF00361.fasta	3
PF00362.fasta	8
PF00363.fasta	1
PF00364.fasta	10
PF00365.fasta	6
PF00366.fasta	2
PF00368.fasta	1
PF00370.fasta	7
PF00373.fasta	48
PF00375.fasta	7
PF00377.fasta	2
PF00378.fasta	14
PF00380.fasta	2
PF00382.fasta	4
PF00383.fasta	6
PF00384.fasta	1
PF00385.fasta	30
PF00386.fasta	32
PF00387.fasta	15
PF00388.fasta	16
PF00389.fasta	8
PF00390.fasta	3
PF00393.fasta	1
PF00394.fasta	1
PF00396.fasta	7
PF00397.fasta	70
PF00398.fasta	3
PF00400.fasta	710
PF00402.fasta	12
PF00403.fasta	14
PF00405.fasta	6
PF00406.fasta	14
PF00408.fasta	1
PF00410.fasta	1
PF00411.fasta	2
PF00412.fasta	159
PF00413.fasta	25
PF00414.fasta	6
PF00415.fasta	22
PF00416.fasta	1
PF00418.fasta	11
PF00420.fasta	1
PF00428.fasta	4
PF00429.fasta	11
PF00431.fasta	150
PF00432.fasta	3
PF00433.fasta	33
PF00435.fasta	251
PF00436.fasta	1
PF00438.fasta	2
PF00439.fasta	54
PF00441.fasta	11
PF00443.fasta	83
PF00444.fasta	1
PF00445.fasta	1
PF00446.fasta	2
PF00447.fasta	8
PF00448.fasta	2
PF00450.fasta	3
PF00452.fasta	10
PF00453.fasta	1
PF00454.fasta	19
PF00456.fasta	3
PF00458.fasta	7
PF00459.fasta	5
PF00462.fasta	8
PF00464.fasta	2
PF00465.fasta	1
PF00466.fasta	4
PF00467.fasta	9
PF00468.fasta	1
PF00471.fasta	1
PF00472.fasta	4
PF00473.fasta	4
PF00474.fasta	12
PF00476.fasta	2
PF00478.fasta	8
PF00479.fasta	2
PF00480.fasta	1
PF00481.fasta	23
PF00483.fasta	3
PF00485.fasta	3
PF00487.fasta	8
PF00488.fasta	5
PF00489.fasta	1
PF00490.fasta	1
PF00491.fasta	3
PF00493.fasta	8
PF00494.fasta	2
PF00498.fasta	32
PF00499.fasta	1
PF00501.fasta	33
PF00503.fasta	17
PF00505.fasta	52
PF00507.fasta	1
PF00510.fasta	1
PF00514.fasta	103
PF00515.fasta	25
PF00517.fasta	12
PF00520.fasta	169
PF00521.fasta	2
PF00525.fasta	4
PF00530.fasta	81
PF00531.fasta	30
PF00533.fasta	22
PF00534.fasta	7
PF00535.fasta	25
PF00536.fasta	72
PF00538.fasta	14
PF00542.fasta	1
PF00549.fasta	4
PF00550.fasta	5
PF00551.fasta	4
PF00552.fasta	8
PF00554.fasta	10
PF00557.fasta	9
PF00560.fasta	45
PF00561.fasta	27
PF00562.fasta	3
PF00564.fasta	14
PF00565.fasta	5
PF00566.fasta	54
PF00567.fasta	36
PF00568.fasta	11
PF00569.fasta	18
PF00570.fasta	3
PF00571.fasta	29
PF00572.fasta	2
PF00573.fasta	2
PF00574.fasta	1
PF00575.fasta	10
PF00576.fasta	1
PF00578.fasta	5
PF00579.fasta	4
PF00580.fasta	2
PF00581.fasta	26
PF00583.fasta	21
PF00584.fasta	1
PF00586.fasta	3
PF00587.fasta	8
PF00588.fasta	3
PF00590.fasta	1
PF00591.fasta	1
PF00594.fasta	12
PF00595.fasta	232
PF00596.fasta	4
PF00605.fasta	9
PF00607.fasta	11
PF00609.fasta	10
PF00610.fasta	25
PF00611.fasta	20
PF00612.fasta	133
PF00613.fasta	9
PF00614.fasta	2
PF00615.fasta	38
PF00616.fasta	21
PF00617.fasta	29
PF00618.fasta	20
PF00619.fasta	27
PF00620.fasta	66
PF00621.fasta	71
PF00622.fasta	100
PF00623.fasta	3
PF00625.fasta	25
PF00626.fasta	45
PF00627.fasta	24
PF00628.fasta	74
PF00629.fasta	36
PF00630.fasta	79
PF00631.fasta	17
PF00632.fasta	28
PF00633.fasta	2
PF00634.fasta	7
PF00635.fasta	5
PF00636.fasta	3
PF00637.fasta	14
PF00638.fasta	20
PF00639.fasta	1
PF00640.fasta	30
PF00641.fasta	30
PF00642.fasta	46
PF00643.fasta	71
PF00644.fasta	16
PF00645.fasta	3
PF00646.fasta	8
PF00647.fasta	1
PF00648.fasta	15
PF00650.fasta	13
PF00651.fasta	138
PF00652.fasta	22
PF00653.fasta	16
PF00654.fasta	9
PF00656.fasta	14
PF00657.fasta	5
PF00658.fasta	5
PF00659.fasta	6
PF00662.fasta	1
PF00664.fasta	39
PF00665.fasta	10
PF00666.fasta	2
PF00667.fasta	6
PF00670.fasta	3
PF00673.fasta	1
PF00675.fasta	7
PF00676.fasta	6
PF00679.fasta	6
PF00681.fasta	63
PF00682.fasta	3
PF00683.fasta	42
PF00684.fasta	4
PF00685.fasta	34
PF00686.fasta	3
PF00687.fasta	3
PF00688.fasta	21
PF00689.fasta	15
PF00690.fasta	18
PF00692.fasta	2
PF00694.fasta	3
PF00696.fasta	2
PF00698.fasta	2
PF00701.fasta	2
PF00702.fasta	14
PF00703.fasta	1
PF00704.fasta	7
PF00705.fasta	1
PF00708.fasta	2
PF00709.fasta	2
PF00710.fasta	1
PF00711.fasta	5
PF00714.fasta	1
PF00715.fasta	1
PF00717.fasta	2
PF00719.fasta	2
PF00723.fasta	3
PF00725.fasta	6
PF00726.fasta	4
PF00727.fasta	1
PF00728.fasta	3
PF00730.fasta	5
PF00731.fasta	1
PF00732.fasta	1
PF00733.fasta	3
PF00735.fasta	13
PF00736.fasta	2
PF00743.fasta	6
PF00748.fasta	4
PF00749.fasta	3
PF00750.fasta	2
PF00751.fasta	7
PF00752.fasta	5
PF00753.fasta	8
PF00754.fasta	30
PF00755.fasta	7
PF00756.fasta	1
PF00757.fasta	7
PF00758.fasta	2
PF00762.fasta	1
PF00763.fasta	4
PF00764.fasta	1
PF00766.fasta	1
PF00769.fasta	4
PF00773.fasta	4
PF00777.fasta	19
PF00778.fasta	7
PF00779.fasta	9
PF00780.fasta	15
PF00781.fasta	16
PF00782.fasta	34
PF00784.fasta	13
PF00786.fasta	14
PF00787.fasta	47
PF00788.fasta	29
PF00789.fasta	13
PF00790.fasta	9
PF00791.fasta	14
PF00792.fasta	8
PF00794.fasta	7
PF00795.fasta	7
PF00797.fasta	2
PF00801.fasta	20
PF00804.fasta	7
PF00805.fasta	2
PF00806.fasta	16
PF00808.fasta	6
PF00809.fasta	1
PF00810.fasta	3
PF00811.fasta	1
PF00812.fasta	8
PF00814.fasta	2
PF00817.fasta	5
PF00821.fasta	2
PF00822.fasta	35
PF00827.fasta	1
PF00828.fasta	2
PF00829.fasta	1
PF00830.fasta	1
PF00831.fasta	1
PF00832.fasta	3
PF00833.fasta	1
PF00834.fasta	2
PF00835.fasta	2
PF00836.fasta	5
PF00837.fasta	3
PF00838.fasta	3
PF00839.fasta	15
PF00841.fasta	1
PF00849.fasta	4
PF00850.fasta	12
PF00852.fasta	8
PF00853.fasta	3
PF00854.fasta	7
PF00855.fasta	24
PF00856.fasta	39
PF00857.fasta	2
PF00858.fasta	9
PF00859.fasta	4
PF00860.fasta	3
PF00861.fasta	1
PF00864.fasta	7
PF00865.fasta	1
PF00867.fasta	4
PF00868.fasta	9
PF00870.fasta	3
PF00875.fasta	2
PF00876.fasta	3
PF00878.fasta	15
PF00879.fasta	5
PF00880.fasta	174
PF00881.fasta	1
PF00882.fasta	1
PF00883.fasta	2
PF00884.fasta	17
PF00886.fasta	1
PF00887.fasta	7
PF00888.fasta	9
PF00889.fasta	1
PF00890.fasta	1
PF00891.fasta	2
PF00892.fasta	14
PF00895.fasta	1
PF00899.fasta	14
PF00900.fasta	3
PF00903.fasta	4
PF00904.fasta	17
PF00907.fasta	17
PF00909.fasta	5
PF00916.fasta	11
PF00918.fasta	2
PF00919.fasta	2
PF00923.fasta	1
PF00927.fasta	16
PF00928.fasta	10
PF00929.fasta	11
PF00930.fasta	6
PF00931.fasta	1
PF00932.fasta	5
PF00935.fasta	2
PF00939.fasta	5
PF00940.fasta	1
PF00941.fasta	2
PF00953.fasta	1
PF00955.fasta	12
PF00956.fasta	21
PF00957.fasta	10
PF00958.fasta	1
PF00962.fasta	3
PF00965.fasta	4
PF00969.fasta	9
PF00970.fasta	5
PF00975.fasta	2
PF00976.fasta	3
PF00984.fasta	1
PF00988.fasta	2
PF00989.fasta	19
PF00992.fasta	6
PF00993.fasta	6
PF00994.fasta	3
PF00995.fasta	8
PF00996.fasta	4
PF00997.fasta	1
PF00999.fasta	15
PF01000.fasta	2
PF01007.fasta	16
PF01008.fasta	4
PF01012.fasta	2
PF01015.fasta	1
PF01016.fasta	1
PF01017.fasta	7
PF01018.fasta	2
PF01019.fasta	9
PF01020.fasta	1
PF01023.fasta	27
PF01025.fasta	2
PF01026.fasta	3
PF01027.fasta	6
PF01028.fasta	2
PF01030.fasta	14
PF01031.fasta	6
PF01033.fasta	11
PF01034.fasta	8
PF01035.fasta	1
PF01039.fasta	4
PF01040.fasta	3
PF01042.fasta	1
PF01044.fasta	8
PF01048.fasta	4
PF01049.fasta	22
PF01053.fasta	1
PF01055.fasta	12
PF01056.fasta	6
PF01058.fasta	1
PF01059.fasta	1
PF01061.fasta	5
PF01062.fasta	4
PF01063.fasta	2
PF01064.fasta	9
PF01066.fasta	5
PF01067.fasta	14
PF01068.fasta	3
PF01070.fasta	2
PF01071.fasta	1
PF01073.fasta	6
PF01074.fasta	5
PF01079.fasta	3
PF01080.fasta	3
PF01082.fasta	4
PF01084.fasta	3
PF01085.fasta	3
PF01086.fasta	2
PF01087.fasta	1
PF01088.fasta	4
PF01090.fasta	1
PF01091.fasta	2
PF01092.fasta	1
PF01093.fasta	2
PF01094.fasta	37
PF01096.fasta	6
PF01099.fasta	9
PF01101.fasta	5
PF01102.fasta	2
PF01103.fasta	1
PF01105.fasta	9
PF01106.fasta	1
PF01108.fasta	13
PF01109.fasta	1
PF01110.fasta	1
PF01111.fasta	2
PF01112.fasta	3
PF01114.fasta	1
PF01115.fasta	1
PF01119.fasta	4
PF01120.fasta	2
PF01121.fasta	2
PF01122.fasta	3
PF01124.fasta	6
PF01125.fasta	1
PF01126.fasta	2
PF01127.fasta	1
PF01128.fasta	1
PF01129.fasta	4
PF01130.fasta	3
PF01131.fasta	2
PF01133.fasta	1
PF01134.fasta	1
PF01135.fasta	3
PF01137.fasta	4
PF01138.fasta	8
PF01139.fasta	1
PF01142.fasta	2
PF01144.fasta	4
PF01145.fasta	11
PF01146.fasta	3
PF01148.fasta	2
PF01149.fasta	1
PF01150.fasta	8
PF01151.fasta	7
PF01153.fasta	6
PF01154.fasta	2
PF01157.fasta	1
PF01158.fasta	1
PF01159.fasta	1
PF01160.fasta	3
PF01161.fasta	3
PF01163.fasta	3
PF01165.fasta	1
PF01166.fasta	4
PF01167.fasta	5
PF01168.fasta	1
PF01169.fasta	2
PF01170.fasta	3
PF01171.fasta	1
PF01172.fasta	1
PF01175.fasta	1
PF01176.fasta	3
PF01179.fasta	3
PF01180.fasta	2
PF01182.fasta	4
PF01186.fasta	5
PF01187.fasta	3
PF01189.fasta	9
PF01191.fasta	1
PF01192.fasta	1
PF01193.fasta	4
PF01194.fasta	1
PF01195.fasta	1
PF01196.fasta	1
PF01198.fasta	1
PF01199.fasta	1
PF01200.fasta	1
PF01201.fasta	2
PF01202.fasta	2
PF01204.fasta	1
PF01205.fasta	1
PF01207.fasta	4
PF01208.fasta	1
PF01209.fasta	1
PF01210.fasta	2
PF01212.fasta	1
PF01213.fasta	2
PF01214.fasta	1
PF01215.fasta	1
PF01216.fasta	2
PF01217.fasta	16
PF01218.fasta	1
PF01221.fasta	3
PF01222.fasta	3
PF01223.fasta	5
PF01227.fasta	1
PF01229.fasta	1
PF01230.fasta	3
PF01231.fasta	2
PF01233.fasta	2
PF01234.fasta	3
PF01237.fasta	15
PF01238.fasta	1
PF01239.fasta	14
PF01242.fasta	1
PF01243.fasta	1
PF01244.fasta	3
PF01245.fasta	1
PF01246.fasta	2
PF01247.fasta	1
PF01248.fasta	11
PF01249.fasta	1
PF01250.fasta	1
PF01251.fasta	1
PF01253.fasta	4
PF01254.fasta	1
PF01255.fasta	2
PF01256.fasta	1
PF01257.fasta	1
PF01259.fasta	1
PF01261.fasta	1
PF01262.fasta	1
PF01263.fasta	1
PF01265.fasta	1
PF01266.fasta	9
PF01267.fasta	3
PF01268.fasta	2
PF01269.fasta	2
PF01271.fasta	3
PF01273.fasta	14
PF01275.fasta	3
PF01279.fasta	2
PF01280.fasta	1
PF01281.fasta	1
PF01282.fasta	1
PF01283.fasta	2
PF01284.fasta	27
PF01285.fasta	4
PF01286.fasta	1
PF01287.fasta	3
PF01290.fasta	6
PF01291.fasta	2
PF01294.fasta	1
PF01296.fasta	2
PF01299.fasta	6
PF01300.fasta	1
PF01301.fasta	4
PF01302.fasta	16
PF01315.fasta	2
PF01321.fasta	2
PF01323.fasta	1
PF01327.fasta	1
PF01329.fasta	2
PF01331.fasta	1
PF01335.fasta	10
PF01336.fasta	7
PF01342.fasta	8
PF01344.fasta	97
PF01347.fasta	2
PF01351.fasta	1
PF01352.fasta	365
PF01359.fasta	1
PF01363.fasta	30
PF01365.fasta	12
PF01368.fasta	1
PF01369.fasta	15
PF01370.fasta	4
PF01379.fasta	1
PF01380.fasta	4
PF01381.fasta	1
PF01384.fasta	2
PF01387.fasta	3
PF01388.fasta	15
PF01390.fasta	37
PF01391.fasta	285
PF01392.fasta	24
PF01393.fasta	3
PF01394.fasta	10
PF01396.fasta	1
PF01398.fasta	12
PF01399.fasta	17
PF01400.fasta	6
PF01401.fasta	3
PF01403.fasta	30
PF01404.fasta	14
PF01406.fasta	2
PF01408.fasta	4
PF01409.fasta	3
PF01410.fasta	14
PF01411.fasta	2
PF01412.fasta	29
PF01413.fasta	12
PF01414.fasta	4
PF01415.fasta	1
PF01416.fasta	4
PF01417.fasta	6
PF01419.fasta	2
PF01421.fasta	38
PF01422.fasta	19
PF01423.fasta	19
PF01424.fasta	10
PF01425.fasta	3
PF01426.fasta	13
PF01428.fasta	11
PF01429.fasta	9
PF01431.fasta	8
PF01432.fasta	3
PF01433.fasta	13
PF01434.fasta	3
PF01435.fasta	2
PF01436.fasta	30
PF01437.fasta	33
PF01442.fasta	5
PF01448.fasta	13
PF01451.fasta	1
PF01454.fasta	36
PF01457.fasta	4
PF01459.fasta	5
PF01462.fasta	31
PF01463.fasta	20
PF01465.fasta	10
PF01466.fasta	1
PF01467.fasta	8
PF01470.fasta	2
PF01471.fasta	18
PF01472.fasta	3
PF01476.fasta	5
PF01477.fasta	35
PF01479.fasta	2
PF01480.fasta	5
PF01483.fasta	7
PF01485.fasta	10
PF01490.fasta	20
PF01491.fasta	1
PF01494.fasta	6
PF01496.fasta	4
PF01500.fasta	10
PF01501.fasta	10
PF01504.fasta	10
PF01505.fasta	4
PF01507.fasta	1
PF01509.fasta	3
PF01510.fasta	6
PF01512.fasta	1
PF01513.fasta	2
PF01521.fasta	2
PF01529.fasta	24
PF01530.fasta	22
PF01531.fasta	2
PF01532.fasta	7
PF01534.fasta	11
PF01535.fasta	3
PF01536.fasta	1
PF01541.fasta	1
PF01545.fasta	10
PF01546.fasta	10
PF01549.fasta	1
PF01551.fasta	1
PF01553.fasta	16
PF01554.fasta	4
PF01556.fasta	13
PF01557.fasta	4
PF01562.fasta	34
PF01564.fasta	3
PF01565.fasta	4
PF01566.fasta	2
PF01569.fasta	18
PF01571.fasta	4
PF01575.fasta	2
PF01576.fasta	19
PF01582.fasta	19
PF01583.fasta	2
PF01585.fasta	34
PF01586.fasta	4
PF01588.fasta	2
PF01590.fasta	14
PF01591.fasta	4
PF01592.fasta	1
PF01593.fasta	11
PF01594.fasta	1
PF01595.fasta	3
PF01596.fasta	3
PF01597.fasta	2
PF01599.fasta	1
PF01602.fasta	14
PF01603.fasta	5
PF01607.fasta	2
PF01608.fasta	5
PF01612.fasta	5
PF01619.fasta	2
PF01624.fasta	3
PF01625.fasta	1
PF01630.fasta	5
PF01632.fasta	1
PF01633.fasta	4
PF01636.fasta	3
PF01641.fasta	3
PF01642.fasta	1
PF01648.fasta	1
PF01650.fasta	2
PF01652.fasta	4
PF01655.fasta	1
PF01658.fasta	1
PF01661.fasta	13
PF01663.fasta	10
PF01667.fasta	2
PF01669.fasta	1
PF01687.fasta	1
PF01693.fasta	2
PF01694.fasta	9
PF01699.fasta	18
PF01702.fasta	2
PF01704.fasta	3
PF01709.fasta	1
PF01712.fasta	4
PF01713.fasta	1
PF01715.fasta	1
PF01722.fasta	3
PF01725.fasta	1
PF01728.fasta	5
PF01729.fasta	1
PF01731.fasta	3
PF01733.fasta	4
PF01734.fasta	9
PF01735.fasta	6
PF01738.fasta	1
PF01740.fasta	11
PF01743.fasta	1
PF01747.fasta	2
PF01749.fasta	7
PF01751.fasta	4
PF01753.fasta	19
PF01754.fasta	10
PF01755.fasta	3
PF01756.fasta	4
PF01758.fasta	6
PF01759.fasta	17
PF01762.fasta	16
PF01764.fasta	2
PF01765.fasta	1
PF01769.fasta	6
PF01770.fasta	4
PF01773.fasta	3
PF01775.fasta	1
PF01776.fasta	2
PF01777.fasta	1
PF01778.fasta	2
PF01779.fasta	1
PF01780.fasta	2
PF01781.fasta	1
PF01783.fasta	1
PF01784.fasta	1
PF01791.fasta	1
PF01794.fasta	12
PF01795.fasta	2
PF01798.fasta	3
PF01799.fasta	2
PF01803.fasta	2
PF01805.fasta	9
PF01808.fasta	1
PF01812.fasta	2
PF01813.fasta	1
PF01814.fasta	1
PF01821.fasta	8
PF01822.fasta	7
PF01823.fasta	11
PF01825.fasta	33
PF01826.fasta	45
PF01833.fasta	64
PF01834.fasta	2
PF01835.fasta	9
PF01839.fasta	40
PF01840.fasta	3
PF01841.fasta	11
PF01842.fasta	1
PF01843.fasta	6
PF01844.fasta	1
PF01846.fasta	16
PF01847.fasta	2
PF01849.fasta	7
PF01851.fasta	6
PF01852.fasta	15
PF01853.fasta	5
PF01857.fasta	3
PF01858.fasta	3
PF01866.fasta	2
PF01868.fasta	1
PF01869.fasta	1
PF01871.fasta	2
PF01873.fasta	2
PF01875.fasta	1
PF01876.fasta	1
PF01878.fasta	1
PF01883.fasta	2
PF01885.fasta	1
PF01896.fasta	2
PF01900.fasta	2
PF01902.fasta	1
PF01907.fasta	1
PF01909.fasta	4
PF01912.fasta	1
PF01916.fasta	1
PF01918.fasta	2
PF01920.fasta	5
PF01922.fasta	1
PF01923.fasta	1
PF01926.fasta	16
PF01927.fasta	1
PF01928.fasta	1
PF01929.fasta	1
PF01931.fasta	1
PF01936.fasta	1
PF01937.fasta	2
PF01938.fasta	2
PF01940.fasta	1
PF01946.fasta	1
PF01951.fasta	1
PF01956.fasta	2
PF01958.fasta	1
PF01963.fasta	3
PF01965.fasta	1
PF01966.fasta	1
PF01967.fasta	1
PF01968.fasta	1
PF01974.fasta	2
PF01979.fasta	10
PF01980.fasta	1
PF01981.fasta	2
PF01984.fasta	1
PF01990.fasta	1
PF01991.fasta	2
PF01992.fasta	2
PF01997.fasta	2
PF02002.fasta	1
PF02005.fasta	3
PF02008.fasta	14
PF02010.fasta	5
PF02014.fasta	4
PF02017.fasta	5
PF02019.fasta	2
PF02020.fasta	7
PF02022.fasta	9
PF02023.fasta	59
PF02024.fasta	1
PF02025.fasta	1
PF02026.fasta	12
PF02029.fasta	3
PF02033.fasta	1
PF02036.fasta	5
PF02037.fasta	20
PF02038.fasta	8
PF02044.fasta	2
PF02045.fasta	1
PF02046.fasta	2
PF02055.fasta	1
PF02057.fasta	1
PF02058.fasta	2
PF02059.fasta	1
PF02060.fasta	4
PF02063.fasta	3
PF02064.fasta	2
PF02070.fasta	1
PF02072.fasta	1
PF02077.fasta	1
PF02078.fasta	3
PF02079.fasta	1
PF02083.fasta	1
PF02089.fasta	2
PF02096.fasta	2
PF02099.fasta	4
PF02100.fasta	3
PF02101.fasta	1
PF02104.fasta	1
PF02106.fasta	1
PF02109.fasta	1
PF02114.fasta	4
PF02115.fasta	3
PF02121.fasta	5
PF02126.fasta	1
PF02127.fasta	1
PF02130.fasta	1
PF02135.fasta	4
PF02136.fasta	5
PF02137.fasta	6
PF02138.fasta	9
PF02140.fasta	6
PF02141.fasta	17
PF02142.fasta	3
PF02144.fasta	1
PF02145.fasta	10
PF02146.fasta	7
PF02148.fasta	14
PF02149.fasta	5
PF02150.fasta	2
PF02155.fasta	1
PF02157.fasta	1
PF02158.fasta	2
PF02159.fasta	1
PF02161.fasta	1
PF02163.fasta	1
PF02165.fasta	1
PF02166.fasta	1
PF02167.fasta	1
PF02170.fasta	9
PF02171.fasta	8
PF02172.fasta	2
PF02173.fasta	3
PF02174.fasta	15
PF02176.fasta	6
PF02177.fasta	3
PF02178.fasta	3
PF02179.fasta	7
PF02180.fasta	3
PF02181.fasta	15
PF02182.fasta	2
PF02185.fasta	11
PF02186.fasta	1
PF02187.fasta	7
PF02188.fasta	15
PF02189.fasta	7
PF02190.fasta	6
PF02191.fasta	13
PF02192.fasta	3
PF02194.fasta	4
PF02195.fasta	1
PF02196.fasta	6
PF02197.fasta	7
PF02198.fasta	11
PF02199.fasta	5
PF02201.fasta	4
PF02202.fasta	1
PF02204.fasta	10
PF02205.fasta	18
PF02207.fasta	6
PF02208.fasta	3
PF02209.fasta	8
PF02210.fasta	95
PF02212.fasta	7
PF02213.fasta	3
PF02214.fasta	50
PF02218.fasta	11
PF02219.fasta	1
PF02221.fasta	4
PF02223.fasta	2
PF02225.fasta	19
PF02229.fasta	1
PF02230.fasta	3
PF02233.fasta	1
PF02234.fasta	3
PF02237.fasta	1
PF02238.fasta	4
PF02244.fasta	8
PF02245.fasta	1
PF02251.fasta	3
PF02252.fasta	3
PF02256.fasta	2
PF02257.fasta	9
PF02259.fasta	5
