Pfam_code,mean_%conservation,blosum62_global_mean,perc_gaps
PF00125,0.41,1.71,0.25
PF00128,0.5,2.91,0.36
PF00129,0.51,1.65,0.04
PF00130,0.43,1.83,0.05
PF00131,0.82,5.27,0.07
PF00133,0.29,0.91,0.39
PF00134,0.35,0.84,0.12
PF00135,0.53,2.03,0.06
PF00136,0.57,1.33,0.04
PF00137,0.59,1.79,0.01
PF00143,0.78,3.2,0.01
PF00144,0.4,0.62,0.37
PF00145,0.38,1.02,0.34
PF00146,1.0,,0.0
PF00147,0.53,2.32,0.04
PF00149,0.34,0.61,0.13
PF00151,0.55,2.08,0.06
PF00152,0.47,0.93,0.05
PF00153,0.34,0.83,0.09
PF00155,0.32,0.33,0.07
PF00156,0.4,0.9,0.25
PF00157,0.71,3.27,0.06
PF00159,0.73,3.04,0.01
PF00160,0.62,2.67,0.06
PF00162,0.94,4.63,0.0
PF00163,0.59,0.53,0.09
PF00164,0.65,1.95,0.14
PF00166,1.0,,0.0
PF00167,0.51,1.94,0.06
PF00168,0.33,0.8,0.1
PF00169,0.29,0.59,0.11
PF00170,0.45,1.58,0.07
PF00171,0.45,1.44,0.09
PF00173,0.43,1.28,0.07
PF00174,1.0,,0.0
PF00175,0.44,1.08,0.03
PF00176,0.4,1.62,0.17
PF00177,0.61,0.8,0.01
PF00178,0.62,2.81,0.02
PF00179,0.44,1.62,0.09
PF00180,0.51,1.36,0.06
PF00181,0.63,0.87,0.04
PF00183,0.3,2.87,0.58
PF00184,0.91,5.08,0.0
PF00185,0.61,0.87,0.04
PF00186,0.92,4.92,0.06
PF00188,0.47,1.71,0.05
PF00189,1.0,,0.0
PF00191,0.48,1.51,0.01
PF00193,0.54,2.11,0.04
PF00194,0.48,1.87,0.08
PF00198,0.56,1.48,0.02
PF00199,1.0,,0.0
PF00200,0.59,3.09,0.04
PF00201,0.63,2.66,0.01
PF00202,0.52,1.39,0.05
PF00203,1.0,,0.0
PF00204,0.9,4.44,0.01
PF00205,0.64,1.11,0.04
PF00206,0.46,0.22,0.13
PF00207,0.53,2.07,0.02
PF00208,0.99,5.21,0.0
PF00209,0.57,2.42,0.02
PF00210,0.75,3.34,0.03
PF00211,0.49,1.83,0.05
PF00212,0.67,2.71,0.05
PF00213,1.0,,0.0
PF00214,0.56,2.0,0.21
PF00215,1.0,,0.0
PF00217,0.84,4.14,0.0
PF00219,0.55,2.76,0.07
PF00220,0.89,5.22,0.0
PF00221,1.0,,0.0
PF00224,0.88,3.88,0.0
PF00225,0.48,1.78,0.08
PF00226,0.58,2.37,0.04
PF00227,0.39,0.78,0.04
PF00229,0.37,0.77,0.08
PF00230,0.45,1.33,0.1
PF00231,1.0,,0.0
PF00232,0.43,2.22,0.26
PF00233,0.5,1.83,0.03
PF00235,0.59,1.63,0.03
PF00236,1.0,,0.0
PF00237,0.6,0.44,0.01
PF00238,0.58,0.51,0.07
PF00240,0.48,1.38,0.07
PF00241,0.38,0.8,0.08
PF00243,0.72,3.31,0.02
PF00244,0.83,3.8,0.0
PF00245,0.87,4.07,0.0
PF00246,0.38,1.3,0.17
PF00248,0.46,1.64,0.14
PF00249,0.42,1.43,0.04
PF00250,0.62,2.93,0.06
PF00252,0.71,1.88,0.03
PF00253,0.62,0.76,0.07
PF00254,0.51,1.87,0.06
PF00255,0.63,-inf,0.0
PF00258,0.5,1.59,0.07
PF00260,1.0,,0.0
PF00261,0.89,3.96,0.0
PF00262,0.4,2.59,0.4
PF00264,0.63,2.15,0.04
PF00265,1.0,,0.0
PF00266,0.45,0.56,0.06
PF00268,0.92,4.64,0.0
PF00270,0.36,0.93,0.08
PF00271,0.35,0.83,0.07
PF00273,0.4,1.04,0.02
PF00274,0.86,3.88,0.0
PF00276,0.56,1.3,0.24
PF00277,0.83,3.63,0.01
PF00278,1.0,,0.0
PF00281,1.0,,0.0
PF00282,0.43,1.71,0.24
PF00285,0.55,0.71,0.25
PF00287,0.55,2.11,0.07
PF00288,0.52,0.88,0.08
PF00289,0.62,2.19,0.0
PF00291,0.47,0.74,0.05
PF00292,0.83,3.91,0.01
PF00293,0.35,0.64,0.14
PF00294,0.47,0.26,0.04
PF00297,0.49,1.81,0.3
PF00298,0.63,0.97,0.01
PF00300,0.35,1.28,0.33
PF00303,1.0,,0.0
PF00305,0.59,2.42,0.08
PF00306,1.0,,0.0
PF00307,0.33,0.72,0.06
PF00312,0.59,0.44,0.06
PF00313,0.49,1.53,0.05
PF00316,0.89,4.06,0.0
PF00317,1.0,,0.0
PF00318,0.3,0.6,0.52
PF00319,0.85,3.71,0.0
PF00320,0.58,2.77,0.05
PF00322,0.87,4.89,0.0
PF00323,0.66,2.85,0.01
PF00324,0.39,2.24,0.37
PF00326,0.45,1.03,0.04
PF00327,0.6,1.27,0.02
PF00328,0.38,0.56,0.15
PF00329,1.0,,0.0
PF00330,0.42,1.13,0.37
PF00333,0.6,0.63,0.0
PF00334,0.56,1.76,0.03
PF00335,0.36,0.96,0.07
PF00337,0.46,1.54,0.05
PF00338,0.52,0.71,0.03
PF00339,0.45,0.98,0.05
PF00340,0.43,1.24,0.12
PF00341,0.5,1.76,0.02
PF00342,1.0,,0.0
PF00343,0.9,4.47,0.0
PF00344,0.98,4.87,0.01
PF00346,1.0,,0.0
PF00347,0.59,0.03,0.05
PF00348,0.44,0.5,0.1
PF00349,0.68,2.99,0.01
PF00350,0.43,1.08,0.06
PF00351,0.78,3.55,0.0
PF00352,0.57,1.84,0.04
PF00354,0.42,1.26,0.1
PF00355,0.67,2.12,0.07
PF00357,0.62,2.68,0.03
PF00361,0.49,0.6,0.05
PF00362,0.66,2.74,0.01
PF00363,1.0,,0.0
PF00364,0.44,1.07,0.05
PF00365,0.63,2.47,0.02
PF00366,0.62,0.66,0.0
PF00368,1.0,,0.0
PF00370,0.53,1.46,0.08
PF00373,0.37,0.88,0.08
PF00375,0.71,2.95,0.0
PF00377,0.59,0.89,0.03
PF00378,0.42,1.15,0.08
PF00380,0.67,1.29,0.0
PF00382,0.45,0.58,0.01
PF00383,0.42,0.72,0.09
PF00384,1.0,,0.0
PF00385,0.44,1.79,0.08
PF00386,0.46,1.41,0.03
PF00387,0.59,2.42,0.03
PF00388,0.67,2.95,0.0
PF00389,0.57,1.31,0.04
PF00390,0.85,4.07,0.0
PF00393,1.0,,0.0
PF00394,1.0,,0.0
PF00396,0.64,3.32,0.01
PF00397,0.54,2.49,0.05
PF00398,0.5,0.68,0.11
PF00400,0.36,1.26,0.11
PF00402,0.78,3.38,0.0
PF00403,0.52,1.94,0.06
PF00405,0.61,2.44,0.03
PF00406,0.46,1.35,0.03
PF00408,1.0,,0.0
PF00410,1.0,,0.0
PF00411,0.64,1.18,0.01
PF00412,0.37,1.44,0.06
PF00413,0.61,2.59,0.02
PF00414,0.67,2.63,0.01
PF00415,0.48,1.65,0.04
PF00416,1.0,,0.0
PF00418,0.65,3.01,0.06
PF00420,1.0,,0.0
PF00428,0.62,1.44,0.01
PF00429,0.25,1.49,0.53
PF00431,0.41,1.36,0.04
PF00432,0.41,0.77,0.04
PF00433,0.41,1.39,0.11
PF00435,0.29,0.47,0.05
PF00436,1.0,,0.0
PF00438,0.93,4.64,0.0
PF00439,0.42,1.46,0.08
PF00441,0.48,1.22,0.02
PF00443,0.42,1.51,0.14
PF00444,1.0,,0.0
PF00445,1.0,,0.0
PF00446,0.85,4.5,0.0
PF00447,0.6,2.37,0.02
PF00448,0.64,1.4,0.01
PF00450,0.53,1.05,0.05
PF00452,0.44,1.24,0.02
PF00453,1.0,,0.0
PF00454,0.35,1.04,0.2
PF00456,0.72,4.06,0.15
PF00458,0.58,1.92,0.07
PF00459,0.46,0.85,0.06
PF00462,0.47,1.37,0.01
PF00464,0.85,3.75,0.0
PF00465,1.0,,0.0
PF00466,0.57,1.3,0.06
PF00467,0.49,1.39,0.05
PF00468,1.0,,0.0
PF00471,1.0,,0.0
PF00472,0.53,1.42,0.09
PF00473,0.58,1.66,0.01
PF00474,0.54,1.62,0.01
PF00476,0.68,1.73,0.01
PF00478,0.63,2.32,0.03
PF00479,0.64,1.4,0.02
PF00480,1.0,,0.0
PF00481,0.32,1.06,0.29
PF00483,0.49,1.22,0.22
PF00485,0.78,3.38,0.02
PF00487,0.4,0.68,0.1
PF00488,0.61,2.05,0.01
PF00489,1.0,,0.0
PF00490,1.0,,0.0
PF00491,0.8,3.37,0.02
PF00493,0.63,2.48,0.02
PF00494,0.55,-0.17,0.04
PF00498,0.38,0.83,0.05
PF00499,1.0,,0.0
PF00501,0.34,0.55,0.07
PF00503,0.62,2.65,0.04
PF00505,0.47,1.7,0.03
PF00507,1.0,,0.0
PF00510,1.0,,0.0
PF00514,0.36,0.84,0.06
PF00515,0.43,1.1,0.05
PF00517,0.92,4.86,0.04
PF00520,0.31,0.66,0.09
PF00521,0.9,4.38,0.0
PF00525,0.6,2.48,0.12
PF00530,0.55,2.25,0.04
PF00531,0.33,0.76,0.11
PF00533,0.31,0.42,0.08
PF00534,0.42,0.42,0.07
PF00535,0.5,1.69,0.08
PF00536,0.38,0.94,0.07
PF00538,0.58,1.9,0.06
PF00542,1.0,,0.0
PF00549,0.5,0.52,0.04
PF00550,0.44,0.85,0.1
PF00551,0.53,1.42,0.12
PF00552,0.99,5.9,0.0
PF00554,0.51,1.8,0.08
PF00557,0.4,0.66,0.05
PF00560,0.6,1.91,0.08
PF00561,0.23,0.3,0.34
PF00562,0.63,1.99,0.03
PF00564,0.34,0.57,0.09
PF00565,0.45,0.93,0.14
PF00566,0.38,1.0,0.11
PF00567,0.33,0.61,0.08
PF00568,0.45,1.5,0.1
PF00569,0.44,2.06,0.1
PF00570,0.47,0.13,0.05
PF00571,0.36,0.97,0.12
PF00572,0.62,0.77,0.06
PF00573,0.58,0.13,0.02
PF00574,1.0,,0.0
PF00575,0.39,0.74,0.1
PF00576,1.0,,0.0
PF00578,0.7,2.76,0.0
PF00579,0.41,0.09,0.05
PF00581,0.32,0.53,0.11
PF00583,0.3,0.59,0.2
PF00584,1.0,,0.0
PF00586,0.62,1.81,0.12
PF00587,0.43,0.92,0.12
PF00588,0.51,0.76,0.02
PF00590,1.0,,0.0
PF00591,1.0,,0.0
PF00594,0.68,3.17,0.01
PF00595,0.37,1.15,0.09
PF00596,0.63,1.97,0.04
PF00605,0.61,2.59,0.01
PF00607,0.98,5.06,0.0
PF00609,0.59,2.27,0.02
PF00610,0.42,1.25,0.05
PF00611,0.41,1.13,0.04
PF00612,0.43,1.58,0.09
PF00613,0.5,1.49,0.07
PF00614,0.88,4.43,0.0
PF00615,0.42,1.14,0.04
PF00616,0.29,1.36,0.39
PF00617,0.43,1.31,0.07
PF00618,0.35,0.89,0.13
PF00619,0.36,0.69,0.05
PF00620,0.42,1.3,0.03
PF00621,0.35,0.89,0.06
PF00622,0.35,0.79,0.11
PF00623,0.69,2.29,0.0
PF00625,0.38,1.41,0.18
PF00626,0.34,0.65,0.05
PF00627,0.42,1.15,0.05
PF00628,0.41,2.03,0.09
PF00629,0.37,1.08,0.06
PF00630,0.4,1.54,0.17
PF00631,0.48,1.74,0.1
PF00632,0.46,1.47,0.06
PF00633,0.67,1.71,0.1
PF00634,0.52,1.47,0.02
PF00635,0.51,1.32,0.08
PF00636,0.55,1.32,0.08
PF00637,0.33,0.34,0.05
PF00638,0.65,2.92,0.03
PF00639,1.0,,0.0
PF00640,0.33,0.81,0.14
PF00641,0.48,2.27,0.06
PF00642,0.43,2.17,0.09
PF00643,0.42,1.96,0.09
PF00644,0.36,1.11,0.19
PF00645,0.57,1.7,0.04
PF00646,0.38,0.99,0.21
PF00647,1.0,,0.0
PF00648,0.53,2.16,0.07
PF00650,0.45,1.3,0.04
PF00651,0.38,1.14,0.08
PF00652,0.37,1.06,0.07
PF00653,0.53,2.54,0.1
PF00654,0.57,1.98,0.02
PF00656,0.45,1.47,0.1
PF00657,0.55,1.15,0.02
PF00658,0.83,3.56,0.02
PF00659,0.47,1.0,0.04
PF00662,1.0,,0.0
PF00664,0.29,0.25,0.04
PF00665,0.98,5.47,0.02
PF00666,0.57,0.59,0.16
PF00667,0.55,1.52,0.02
PF00670,0.81,3.45,0.0
PF00673,1.0,,0.0
PF00675,0.43,0.92,0.1
PF00676,0.48,1.03,0.03
PF00679,0.49,1.19,0.03
PF00681,0.5,1.56,0.03
PF00682,0.64,1.54,0.03
PF00683,0.49,2.52,0.08
PF00684,0.68,3.0,0.03
PF00685,0.35,0.85,0.14
PF00686,0.48,1.24,0.22
PF00687,0.47,0.47,0.08
PF00688,0.32,0.84,0.22
PF00689,0.46,1.33,0.03
PF00690,0.42,1.1,0.06
PF00692,0.6,1.03,0.16
PF00694,0.62,0.64,0.01
PF00696,1.0,,0.0
PF00698,0.59,0.64,0.1
PF00701,0.62,0.81,0.01
PF00702,0.38,0.44,0.12
PF00703,1.0,,0.0
PF00704,0.54,1.83,0.07
PF00705,1.0,,0.0
PF00708,0.8,3.4,0.0
PF00709,0.9,4.33,0.0
PF00710,1.0,,0.0
PF00711,0.57,2.04,0.04
PF00714,1.0,,0.0
PF00715,1.0,,0.0
PF00717,0.93,4.56,0.01
PF00719,0.88,4.49,0.0
PF00723,0.75,2.91,0.01
PF00725,0.46,0.88,0.07
PF00726,0.46,1.28,0.19
PF00727,1.0,,0.0
PF00728,0.58,2.24,0.2
PF00730,0.48,0.48,0.1
PF00731,1.0,,0.0
PF00732,1.0,,0.0
PF00733,0.36,0.9,0.58
PF00735,0.63,2.83,0.03
PF00736,0.93,4.61,0.0
PF00743,0.7,3.02,0.0
PF00748,0.53,1.53,0.13
PF00749,0.54,0.8,0.02
PF00750,0.66,1.51,0.04
PF00751,0.83,4.26,0.0
PF00752,0.46,0.87,0.05
PF00753,0.3,0.4,0.33
PF00754,0.44,1.47,0.05
PF00755,0.53,1.59,0.03
PF00756,1.0,,0.0
PF00757,0.54,2.53,0.09
PF00758,0.62,0.76,0.05
PF00762,1.0,,0.0
PF00763,0.59,1.93,0.04
PF00764,1.0,,0.0
PF00766,1.0,,0.0
PF00769,0.73,2.69,0.0
PF00773,0.57,1.6,0.04
PF00777,0.36,0.97,0.13
PF00778,0.67,2.81,0.01
PF00779,0.56,2.6,0.03
PF00780,0.39,0.81,0.04
PF00781,0.49,1.74,0.11
PF00782,0.45,1.34,0.05
PF00784,0.46,1.34,0.07
PF00786,0.42,1.55,0.17
PF00787,0.38,0.99,0.07
PF00788,0.32,0.46,0.08
PF00789,0.41,0.83,0.05
PF00790,0.52,1.82,0.03
PF00791,0.42,1.17,0.11
PF00792,0.42,1.23,0.17
PF00794,0.44,0.88,0.05
PF00795,0.38,0.77,0.22
PF00797,0.92,4.54,0.0
PF00801,0.36,0.6,0.07
PF00804,0.64,2.31,0.01
PF00805,0.55,1.27,0.05
PF00806,0.45,1.48,0.06
PF00808,0.47,1.08,0.02
PF00809,1.0,,0.0
PF00810,0.88,4.22,0.0
PF00811,1.0,,0.0
PF00812,0.55,2.2,0.08
PF00814,1.0,,0.0
PF00817,0.59,1.87,0.03
PF00821,0.87,4.18,0.0
PF00822,0.42,1.1,0.05
PF00827,1.0,,0.0
PF00828,0.58,0.61,0.08
PF00829,1.0,,0.0
PF00830,1.0,,0.0
PF00831,1.0,,0.0
PF00832,0.96,5.08,0.0
PF00833,1.0,,0.0
PF00834,0.98,5.06,0.0
PF00835,0.72,2.65,0.04
PF00836,0.69,3.07,0.12
PF00837,0.62,-inf,0.0
PF00838,0.74,3.63,0.16
PF00839,0.38,1.08,0.04
PF00841,1.0,,0.0
PF00849,0.49,0.67,0.04
PF00850,0.51,1.77,0.05
PF00852,0.72,3.18,0.03
PF00853,0.97,5.0,0.0
PF00854,0.36,0.91,0.27
PF00855,0.38,1.1,0.09
PF00856,0.28,1.18,0.34
PF00857,0.75,2.46,0.01
PF00858,0.48,1.57,0.06
PF00859,0.64,2.6,0.1
PF00860,0.7,2.44,0.0
PF00861,1.0,,0.0
PF00864,0.6,2.49,0.04
PF00865,1.0,,0.0
PF00867,0.58,1.64,0.03
PF00868,0.49,1.51,0.03
PF00870,0.83,3.79,0.0
PF00875,0.88,4.33,0.01
PF00876,0.54,1.54,0.13
PF00878,0.38,1.18,0.12
PF00879,0.78,2.92,0.01
PF00880,0.46,1.46,0.05
PF00881,1.0,,0.0
PF00882,1.0,,0.0
PF00883,0.65,1.28,0.02
PF00884,0.45,1.34,0.05
PF00886,1.0,,0.0
PF00887,0.56,2.03,0.06
PF00888,0.4,1.3,0.18
PF00889,1.0,,0.0
PF00890,1.0,,0.0
PF00891,0.73,2.32,0.0
PF00892,0.37,0.18,0.05
PF00895,1.0,,0.0
PF00899,0.42,0.95,0.07
PF00900,0.96,4.8,0.0
PF00903,0.47,0.27,0.05
PF00904,0.74,3.09,0.03
PF00907,0.67,3.04,0.02
PF00909,0.58,2.06,0.08
PF00916,0.54,1.81,0.01
PF00918,0.55,4.92,0.44
PF00919,0.62,1.32,0.09
PF00923,1.0,,0.0
PF00927,0.35,0.48,0.07
PF00928,0.43,1.03,0.05
PF00929,0.39,0.55,0.06
PF00930,0.5,1.37,0.02
PF00931,1.0,,0.0
PF00932,0.57,1.92,0.06
PF00935,0.99,5.3,0.0
PF00939,0.67,2.8,0.02
PF00940,1.0,,0.0
PF00941,0.7,2.07,0.0
PF00953,1.0,,0.0
PF00955,0.57,2.55,0.12
PF00956,0.33,2.31,0.45
PF00957,0.48,1.66,0.11
PF00958,1.0,,0.0
PF00962,0.5,0.74,0.06
PF00965,0.64,2.72,0.04
PF00969,0.7,2.92,0.02
PF00970,0.65,2.43,0.02
PF00975,0.57,0.04,0.06
PF00976,0.67,2.64,0.04
PF00984,1.0,,0.0
PF00988,0.75,2.69,0.0
PF00989,0.34,1.78,0.32
PF00992,0.49,1.31,0.1
PF00993,0.62,2.1,0.02
PF00994,0.47,0.46,0.06
PF00995,0.37,0.79,0.15
PF00996,0.4,2.47,0.4
PF00997,1.0,,0.0
PF00999,0.43,1.14,0.07
PF01000,0.7,1.93,0.01
PF01007,0.62,2.81,0.01
PF01008,0.5,0.78,0.01
PF01012,0.56,-0.16,0.06
PF01015,1.0,,0.0
PF01016,1.0,,0.0
PF01017,0.48,1.51,0.11
PF01018,0.61,1.47,0.18
PF01019,0.54,2.84,0.29
PF01020,1.0,,0.0
PF01023,0.49,1.74,0.05
PF01025,0.73,2.9,0.05
PF01026,0.51,0.73,0.02
PF01027,0.5,1.09,0.03
PF01028,0.89,4.17,0.0
PF01030,0.48,1.47,0.03
PF01031,0.6,1.77,0.01
PF01033,0.53,2.49,0.03
PF01034,0.53,2.65,0.18
PF01035,1.0,,0.0
PF01039,0.55,1.17,0.03
PF01040,0.48,0.01,0.02
PF01042,1.0,,0.0
PF01044,0.26,1.84,0.6
PF01048,0.5,0.67,0.04
PF01049,0.68,2.91,0.02
PF01053,1.0,,0.0
PF01055,0.57,2.11,0.03
PF01056,0.36,1.97,0.45
PF01058,1.0,,0.0
PF01059,1.0,,0.0
PF01061,0.53,1.2,0.01
PF01062,0.79,3.66,0.02
PF01063,0.8,3.09,0.01
PF01064,0.42,1.29,0.12
PF01066,0.43,0.93,0.13
PF01067,0.49,1.65,0.07
PF01068,0.55,1.18,0.02
PF01070,0.73,2.43,0.02
PF01071,1.0,,0.0
PF01073,0.56,1.63,0.04
PF01074,0.54,1.39,0.03
PF01079,0.69,2.3,0.02
PF01080,0.55,4.45,0.41
PF01082,0.53,1.77,0.06
PF01084,0.62,1.78,0.01
PF01085,0.91,4.6,0.0
PF01086,0.8,3.35,0.04
PF01087,1.0,,0.0
PF01088,0.54,1.63,0.05
PF01090,1.0,,0.0
PF01091,0.75,3.12,0.04
PF01092,1.0,,0.0
PF01093,0.61,1.02,0.03
PF01094,0.32,0.6,0.11
PF01096,0.68,2.99,0.02
PF01099,0.46,1.08,0.03
PF01101,0.64,2.32,0.04
PF01102,0.65,2.22,0.21
PF01103,1.0,,0.0
PF01105,0.46,1.23,0.03
PF01106,1.0,,0.0
PF01108,0.4,0.87,0.07
PF01109,1.0,,0.0
PF01110,1.0,,0.0
PF01111,0.92,4.78,0.0
PF01112,0.55,1.27,0.1
PF01114,1.0,,0.0
PF01115,1.0,,0.0
PF01119,0.48,1.04,0.07
PF01120,0.8,3.67,0.01
PF01121,0.65,1.3,0.01
PF01122,0.54,1.01,0.03
PF01124,0.45,0.78,0.09
PF01125,1.0,,0.0
PF01126,0.78,3.18,0.0
PF01127,1.0,,0.0
PF01128,1.0,,0.0
PF01129,0.58,1.66,0.02
PF01130,0.59,1.77,0.03
PF01131,0.7,1.91,0.01
PF01133,1.0,,0.0
PF01134,1.0,,0.0
PF01135,0.68,2.1,0.03
PF01137,0.64,1.14,0.01
PF01138,0.41,0.62,0.05
PF01139,1.0,,0.0
PF01142,0.66,1.58,0.03
PF01144,0.55,1.41,0.06
PF01145,0.42,0.86,0.05
PF01146,0.71,2.78,0.02
PF01148,0.92,4.68,0.0
PF01149,1.0,,0.0
PF01150,0.48,1.44,0.06
PF01151,0.53,1.78,0.04
PF01153,0.53,1.73,0.05
PF01154,0.89,4.32,0.0
PF01157,1.0,,0.0
PF01158,1.0,,0.0
PF01159,1.0,,0.0
PF01160,0.55,1.6,0.01
PF01161,0.51,1.87,0.24
PF01163,0.58,1.52,0.03
PF01165,1.0,,0.0
PF01166,0.82,3.73,0.03
PF01167,0.62,3.3,0.18
PF01168,1.0,,0.0
PF01169,0.61,0.68,0.01
PF01170,0.49,0.95,0.23
PF01171,1.0,,0.0
PF01172,1.0,,0.0
PF01175,1.0,,0.0
PF01176,0.74,2.55,0.02
PF01179,0.72,2.84,0.02
PF01180,0.61,0.63,0.03
PF01182,0.56,1.38,0.06
PF01186,0.73,3.55,0.02
PF01187,0.71,2.58,0.06
PF01189,0.45,1.27,0.17
PF01191,1.0,,0.0
PF01192,1.0,,0.0
PF01193,0.65,1.32,0.0
PF01194,1.0,,0.0
PF01195,1.0,,0.0
PF01196,1.0,,0.0
PF01198,1.0,,0.0
PF01199,1.0,,0.0
PF01200,1.0,,0.0
PF01201,0.61,0.61,0.01
PF01202,0.56,0.12,0.16
PF01204,1.0,,0.0
PF01205,1.0,,0.0
PF01207,0.55,1.17,0.04
PF01208,1.0,,0.0
PF01209,1.0,,0.0
PF01210,0.84,3.7,0.0
PF01212,1.0,,0.0
PF01213,0.73,1.75,0.02
PF01214,1.0,,0.0
PF01215,1.0,,0.0
PF01216,0.83,3.7,0.01
PF01217,0.41,1.1,0.05
PF01218,1.0,,0.0
PF01221,0.76,3.16,0.02
PF01222,0.64,2.37,0.09
PF01223,0.43,0.9,0.15
PF01227,1.0,,0.0
PF01229,1.0,,0.0
PF01230,0.6,1.75,0.04
PF01231,0.71,2.26,0.01
PF01233,0.94,4.8,0.0
PF01234,0.67,2.12,0.01
PF01237,0.36,1.91,0.33
PF01238,1.0,,0.0
PF01239,0.4,1.12,0.06
PF01242,1.0,,0.0
PF01243,1.0,,0.0
PF01244,0.79,3.28,0.01
PF01245,1.0,,0.0
PF01246,0.71,2.4,0.01
PF01247,1.0,,0.0
PF01248,0.38,0.63,0.05
PF01249,1.0,,0.0
PF01250,1.0,,0.0
PF01251,1.0,,0.0
PF01253,0.6,1.58,0.05
PF01254,1.0,,0.0
PF01255,0.55,0.45,0.26
PF01256,1.0,,0.0
PF01257,1.0,,0.0
PF01259,1.0,,0.0
PF01261,1.0,,0.0
PF01262,1.0,,0.0
PF01263,1.0,,0.0
PF01265,1.0,,0.0
PF01266,0.37,0.41,0.07
PF01267,0.75,2.91,0.02
PF01268,0.88,4.0,0.0
PF01269,0.95,4.71,0.0
PF01271,0.33,-0.03,0.32
PF01273,0.33,0.43,0.09
PF01275,0.72,2.92,0.01
PF01279,0.57,1.94,0.31
PF01280,1.0,,0.0
PF01281,1.0,,0.0
PF01282,1.0,,0.0
PF01283,0.97,4.95,0.0
PF01284,0.31,0.44,0.1
PF01285,1.0,5.18,0.0
