Pfam_code,REC_blosum,FULL_blosum,REC_vs_FULL_blosum_diff,REC_vs_FULL_blosum_%_improvement
PF00111,0.97,0.99,-0.02,-2.02
PF00112,1.87,1.85,0.02,1.08
PF00113,2.79,2.76,0.03,1.09
PF00115,,,,
PF00116,,,,
PF00117,1.02,0.97,0.05,5.15
PF00118,1.02,0.92,0.10,10.87
PF00119,,,,
PF00120,0.21,0.30,-0.09,-30.00
PF00121,,,,
PF00122,1.52,0.97,0.55,56.70
PF00123,1.92,1.76,0.16,9.09
PF00125,1.76,1.66,0.10,6.02
PF00128,3.17,3.21,-0.04,-1.25
PF00129,1.69,1.64,0.05,3.05
PF00130,1.87,1.76,0.11,6.25
PF00131,5.29,5.27,0.02,0.38
PF00133,0.56,0.86,-0.30,-34.88
PF00134,0.86,0.76,0.10,13.16
PF00135,2.02,2.00,0.02,1.00
PF00136,1.35,1.32,0.03,2.27
PF00137,1.81,1.81,0.00,0.00
PF00143,3.21,3.20,0.01,0.31
PF00144,0.57,0.48,0.09,18.75
PF00145,1.03,0.96,0.07,7.29
PF00146,,,,
PF00147,2.32,2.29,0.03,1.31
PF00149,0.58,0.57,0.01,1.75
PF00151,2.11,2.06,0.05,2.43
PF00152,0.90,0.85,0.05,5.88
PF00153,0.81,0.75,0.06,8.00
PF00155,0.31,0.32,-0.01,-3.13
PF00156,0.97,0.74,0.23,31.08
PF00157,3.28,3.20,0.08,2.50
PF00159,3.14,3.04,0.10,3.29
PF00160,2.70,2.64,0.06,2.27
PF00162,4.64,4.60,0.04,0.87
PF00163,0.89,0.65,0.24,36.92
PF00164,2.01,1.95,0.06,3.08
PF00166,,,,
PF00167,1.94,1.92,0.02,1.04
PF00168,0.80,0.71,0.09,12.68
PF00169,0.60,0.54,0.06,11.11
PF00170,1.60,1.51,0.09,5.96
PF00171,1.45,1.43,0.02,1.40
PF00173,1.31,1.24,0.07,5.65
PF00174,,,,
PF00175,1.08,1.05,0.03,2.86
PF00176,1.57,1.52,0.05,3.29
PF00177,0.85,0.67,0.18,26.87
PF00178,2.80,2.80,0.00,0.00
PF00179,1.66,1.58,0.08,5.06
PF00180,1.33,1.39,-0.06,-4.32
PF00181,1.05,0.87,0.18,20.69
PF00183,2.84,2.79,0.05,1.79
PF00184,5.08,5.08,0.00,0.00
PF00185,0.87,0.87,0.00,0.00
PF00186,4.93,4.79,0.14,2.92
PF00188,1.69,1.70,-0.01,-0.59
PF00189,,,,
PF00191,1.53,1.51,0.02,1.32
PF00193,2.10,2.08,0.02,0.96
PF00194,1.85,1.83,0.02,1.09
PF00198,1.46,1.45,0.01,0.69
PF00199,,,,
PF00200,3.08,3.08,0.00,0.00
PF00201,2.65,2.66,-0.01,-0.38
PF00202,1.39,1.38,0.01,0.72
PF00203,,,,
PF00204,4.37,4.44,-0.07,-1.58
PF00205,1.17,1.11,0.06,5.41
PF00206,0.24,0.23,0.01,4.35
PF00207,2.08,2.07,0.01,0.48
PF00208,5.20,5.20,0.00,0.00
PF00209,2.40,2.39,0.01,0.42
PF00210,3.36,3.35,0.01,0.30
PF00211,1.84,1.79,0.05,2.79
PF00212,2.72,2.71,0.01,0.37
PF00213,,,,
PF00214,1.98,2.03,-0.05,-2.46
PF00215,,,,
PF00217,4.10,4.10,0.00,0.00
PF00219,2.67,2.74,-0.07,-2.55
PF00220,5.22,5.22,0.00,0.00
PF00221,,,,
PF00224,3.87,3.90,-0.03,-0.77
PF00225,1.77,1.76,0.01,0.57
PF00226,2.40,2.37,0.03,1.27
PF00227,0.79,0.78,0.01,1.28
PF00229,0.79,0.75,0.04,5.33
PF00230,1.35,1.30,0.05,3.85
PF00231,,,,
PF00232,2.20,2.15,0.05,2.33
PF00233,1.83,1.82,0.01,0.55
PF00235,1.61,1.63,-0.02,-1.23
PF00236,,,,
PF00237,0.50,0.43,0.07,16.28
PF00238,0.51,0.50,0.01,2.00
PF00240,1.42,1.34,0.08,5.97
PF00241,0.78,0.78,0.00,0.00
PF00243,3.26,3.24,0.02,0.62
PF00244,3.80,3.80,0.00,0.00
PF00245,4.02,4.02,0.00,0.00
PF00246,1.35,1.24,0.11,8.87
PF00248,1.66,1.62,0.04,2.47
PF00249,1.38,1.40,-0.02,-1.43
PF00250,2.98,2.88,0.10,3.47
PF00252,2.15,2.08,0.07,3.37
PF00253,0.84,0.66,0.18,27.27
PF00254,1.89,1.84,0.05,2.72
PF00255,,,,
PF00258,1.61,1.56,0.05,3.21
PF00260,,,,
PF00261,4.07,3.96,0.11,2.78
PF00262,2.60,2.60,0.00,0.00
PF00264,2.05,2.08,-0.03,-1.44
PF00265,,,,
PF00266,0.55,0.54,0.01,1.85
PF00268,4.65,4.64,0.01,0.22
PF00270,0.91,0.89,0.02,2.25
PF00271,0.86,0.78,0.08,10.26
PF00273,1.04,1.03,0.01,0.97
PF00274,3.88,3.89,-0.01,-0.26
PF00276,0.97,1.24,-0.27,-21.77
PF00277,3.63,3.59,0.04,1.11
PF00278,,,,
PF00281,,,,
PF00282,1.75,1.69,0.06,3.55
PF00285,0.63,0.69,-0.06,-8.70
PF00287,2.09,2.11,-0.02,-0.95
PF00288,0.89,0.78,0.11,14.10
PF00289,2.22,2.19,0.03,1.37
PF00291,0.73,0.72,0.01,1.39
PF00292,3.91,3.90,0.01,0.26
PF00293,0.65,0.54,0.11,20.37
PF00294,0.25,0.22,0.03,13.64
PF00297,2.29,1.81,0.48,26.52
PF00298,0.97,0.91,0.06,6.59
PF00300,1.29,1.11,0.18,16.22
PF00303,,,,
PF00305,2.41,2.23,0.18,8.07
PF00306,,,,
PF00307,0.73,0.68,0.05,7.35
PF00312,0.44,0.39,0.05,12.82
PF00313,1.55,1.47,0.08,5.44
PF00316,4.06,4.03,0.03,0.74
PF00317,,,,
PF00318,0.65,0.46,0.19,41.30
PF00319,3.71,3.71,0.00,0.00
PF00320,2.82,2.69,0.13,4.83
PF00322,4.89,4.89,0.00,0.00
PF00323,2.85,2.85,0.00,0.00
PF00324,2.16,2.15,0.01,0.47
PF00326,1.03,1.00,0.03,3.00
PF00327,1.29,1.27,0.02,1.57
PF00328,0.62,0.59,0.03,5.08
PF00329,,,,
PF00330,1.21,1.06,0.15,14.15
PF00333,0.63,0.63,0.00,0.00
PF00334,1.50,1.72,-0.22,-12.79
PF00335,0.91,0.93,-0.02,-2.15
PF00337,1.55,1.52,0.03,1.97
PF00338,0.71,0.71,0.00,0.00
PF00339,1.03,1.00,0.03,3.00
PF00340,1.31,1.17,0.14,11.97
PF00341,1.76,1.76,0.00,0.00
PF00342,,,,
PF00343,4.45,4.45,0.00,0.00
PF00344,4.84,4.86,-0.02,-0.41
PF00346,,,,
PF00347,0.22,0.03,0.19,633.33
PF00348,0.50,0.47,0.03,6.38
PF00349,2.97,2.95,0.02,0.68
PF00350,1.09,1.08,0.01,0.93
PF00351,3.55,3.54,0.01,0.28
PF00352,1.86,1.83,0.03,1.64
PF00354,1.27,1.21,0.06,4.96
PF00355,2.35,2.04,0.31,15.20
PF00357,2.75,2.65,0.10,3.77
PF00361,0.58,0.59,-0.01,-1.69
PF00362,2.74,2.73,0.01,0.37
PF00363,,,,
PF00364,1.10,1.05,0.05,4.76
PF00365,2.45,2.46,-0.01,-0.41
PF00366,0.68,0.66,0.02,3.03
PF00368,,,,
PF00370,1.49,1.47,0.02,1.36
PF00373,0.85,0.84,0.01,1.19
PF00375,2.69,2.67,0.02,0.75
PF00377,0.89,0.89,0.00,0.00
PF00378,1.15,1.12,0.03,2.68
PF00380,1.35,1.29,0.06,4.65
PF00382,0.59,0.54,0.05,9.26
PF00383,0.68,0.63,0.05,7.94
PF00384,,,,
PF00385,1.80,1.73,0.07,4.05
PF00386,1.41,1.41,0.00,0.00
PF00387,2.42,2.40,0.02,0.83
PF00388,2.95,2.95,0.00,0.00
PF00389,1.38,0.72,0.66,91.67
PF00390,4.07,4.07,0.00,0.00
PF00393,,,,
PF00394,,,,
PF00396,3.32,3.32,0.00,0.00
PF00397,2.50,2.48,0.02,0.81
PF00398,0.61,0.54,0.07,12.96
PF00400,1.11,1.12,-0.01,-0.89
PF00402,3.38,3.38,0.00,0.00
PF00403,1.96,1.91,0.05,2.62
PF00405,2.44,2.44,0.00,0.00
PF00406,1.30,1.26,0.04,3.17
PF00408,,,,
PF00410,,,,
PF00411,1.18,1.18,0.00,0.00
PF00412,1.45,1.40,0.05,3.57
PF00413,2.57,2.58,-0.01,-0.39
PF00414,2.61,2.63,-0.02,-0.76
PF00415,1.59,1.65,-0.06,-3.64
PF00416,,,,
PF00418,3.08,2.97,0.11,3.70
PF00420,,,,
PF00428,1.45,1.44,0.01,0.69
PF00429,1.53,1.04,0.49,47.12
PF00431,1.38,1.35,0.03,2.22
PF00432,1.38,0.76,0.62,81.58
PF00433,1.37,1.37,0.00,0.00
PF00435,0.48,0.45,0.03,6.67
PF00436,,,,
PF00438,4.64,4.60,0.04,0.87
PF00439,1.50,1.38,0.12,8.70
PF00441,1.22,1.21,0.01,0.83
PF00443,1.29,1.30,-0.01,-0.77
PF00444,,,,
PF00445,,,,
PF00446,4.50,4.50,0.00,0.00
PF00447,2.30,2.29,0.01,0.44
PF00448,1.42,1.40,0.02,1.43
PF00450,0.99,1.01,-0.02,-1.98
PF00452,1.25,1.24,0.01,0.81
PF00453,,,,
PF00454,1.04,1.01,0.03,2.97
PF00456,3.95,3.74,0.21,5.61
PF00458,1.98,1.88,0.10,5.32
PF00459,0.86,0.79,0.07,8.86
PF00462,1.36,1.34,0.02,1.49
PF00464,3.76,3.76,0.00,0.00
PF00465,,,,
PF00466,1.32,1.21,0.11,9.09
PF00467,1.50,1.39,0.11,7.91
PF00468,,,,
PF00471,,,,
PF00472,1.52,1.40,0.12,8.57
PF00473,1.73,1.66,0.07,4.22
PF00474,1.64,1.64,0.00,0.00
PF00476,1.62,1.62,0.00,0.00
PF00478,2.27,2.43,-0.16,-6.58
PF00479,1.38,1.40,-0.02,-1.43
PF00480,,,,
PF00481,1.09,0.94,0.15,15.96
PF00483,1.18,1.13,0.05,4.42
PF00485,3.37,3.37,0.00,0.00
PF00487,0.74,0.65,0.09,13.85
PF00488,2.02,2.01,0.01,0.50
PF00489,,,,
PF00490,,,,
PF00491,3.24,3.18,0.06,1.89
PF00493,2.49,2.47,0.02,0.81
PF00494,-0.17,-0.17,0.00,0.00
PF00498,0.79,0.81,-0.02,-2.47
PF00499,,,,
PF00501,0.51,0.53,-0.02,-3.77
PF00503,2.67,2.65,0.02,0.75
PF00505,1.72,1.70,0.02,1.18
PF00507,,,,
PF00510,,,,
PF00514,0.88,0.80,0.08,10.00
PF00515,1.15,1.07,0.08,7.48
PF00517,4.88,4.70,0.18,3.83
PF00520,0.63,0.60,0.03,5.00
PF00521,4.29,4.28,0.01,0.23
PF00525,2.59,2.45,0.14,5.71
PF00530,2.27,2.23,0.04,1.79
PF00531,0.76,0.70,0.06,8.57
PF00533,0.43,0.39,0.04,10.26
PF00534,0.43,0.35,0.08,22.86
PF00535,1.57,1.55,0.02,1.29
PF00536,0.97,0.89,0.08,8.99
PF00538,1.93,1.87,0.06,3.21
PF00542,,,,
PF00549,0.50,0.52,-0.02,-3.85
PF00550,0.88,0.84,0.04,4.76
PF00551,1.42,1.41,0.01,0.71
PF00552,5.87,5.95,-0.08,-1.34
PF00554,1.85,1.82,0.03,1.65
PF00557,0.64,0.60,0.04,6.67
PF00560,1.76,1.87,-0.11,-5.88
PF00561,0.18,0.25,-0.07,-28.00
PF00562,1.99,1.98,0.01,0.51
PF00564,0.61,0.54,0.07,12.96
PF00565,0.88,0.86,0.02,2.33
PF00566,1.02,0.98,0.04,4.08
PF00567,0.62,0.57,0.05,8.77
PF00568,1.53,1.46,0.07,4.79
PF00569,2.21,1.92,0.29,15.10
PF00570,0.14,0.17,-0.03,-17.65
PF00571,0.98,0.84,0.14,16.67
PF00572,0.80,0.74,0.06,8.11
PF00573,0.06,0.12,-0.06,-50.00
PF00574,,,,
PF00575,0.69,0.70,-0.01,-1.43
PF00576,,,,
PF00578,2.73,2.72,0.01,0.37
PF00579,0.09,0.07,0.02,28.57
PF00581,0.47,0.42,0.05,11.90
PF00583,0.54,0.34,0.20,58.82
PF00584,,,,
PF00586,2.16,1.55,0.61,39.35
PF00587,0.97,0.94,0.03,3.19
PF00588,0.68,0.71,-0.03,-4.23
PF00590,,,,
PF00591,,,,
PF00594,3.18,3.16,0.02,0.63
PF00595,1.13,1.08,0.05,4.63
PF00596,1.89,1.97,-0.08,-4.06
PF00605,2.60,2.59,0.01,0.39
PF00607,5.08,5.07,0.01,0.20
PF00609,2.27,2.27,0.00,0.00
PF00610,1.26,1.23,0.03,2.44
PF00611,1.15,1.13,0.02,1.77
PF00612,1.69,1.51,0.18,11.92
PF00613,1.49,1.42,0.07,4.93
PF00614,4.69,4.43,0.26,5.87
PF00615,1.12,1.14,-0.02,-1.75
PF00616,1.40,1.33,0.07,5.26
PF00617,1.33,1.28,0.05,3.91
PF00618,0.93,0.84,0.09,10.71
PF00619,0.69,0.65,0.04,6.15
PF00620,1.31,1.28,0.03,2.34
PF00621,0.89,0.88,0.01,1.14
PF00622,0.78,0.72,0.06,8.33
PF00623,2.31,2.30,0.01,0.43
PF00625,1.43,1.39,0.04,2.88
PF00626,0.64,0.60,0.04,6.67
PF00627,1.19,1.12,0.07,6.25
PF00628,2.09,1.97,0.12,6.09
PF00629,1.06,1.07,-0.01,-0.93
PF00630,1.51,1.50,0.01,0.67
PF00631,1.74,1.65,0.09,5.45
PF00632,1.47,1.44,0.03,2.08
PF00633,1.87,1.71,0.16,9.36
PF00634,1.48,1.45,0.03,2.07
PF00635,1.36,1.26,0.10,7.94
PF00636,1.43,1.26,0.17,13.49
PF00637,0.36,0.34,0.02,5.88
PF00638,2.98,2.90,0.08,2.76
PF00639,,,,
PF00640,0.83,0.79,0.04,5.06
PF00641,2.34,2.21,0.13,5.88
PF00642,2.29,2.07,0.22,10.63
PF00643,1.98,1.82,0.16,8.79
PF00644,1.15,1.08,0.07,6.48
PF00645,1.60,1.69,-0.09,-5.33
PF00646,0.95,0.85,0.10,11.76
PF00647,,,,
PF00648,2.17,2.15,0.02,0.93
PF00650,1.32,1.29,0.03,2.33
PF00651,1.17,1.10,0.07,6.36
PF00652,1.03,1.03,0.00,0.00
PF00653,2.54,2.51,0.03,1.20
PF00654,1.89,1.85,0.04,2.16
PF00656,1.30,1.19,0.11,9.24
PF00657,1.07,1.06,0.01,0.94
PF00658,3.65,3.55,0.10,2.82
PF00659,1.02,1.01,0.01,0.99
PF00662,,,,
PF00664,0.24,0.24,0.00,0.00
PF00665,5.49,5.47,0.02,0.37
PF00666,0.72,0.59,0.13,22.03
PF00667,1.52,1.50,0.02,1.33
PF00670,3.45,3.45,0.00,0.00
PF00673,,,,
PF00675,0.96,0.91,0.05,5.49
PF00676,1.17,1.03,0.14,13.59
PF00679,1.17,1.13,0.04,3.54
PF00681,1.94,1.56,0.38,24.36
PF00682,2.81,1.56,1.25,80.13
PF00683,2.59,2.47,0.12,4.86
PF00684,3.00,3.00,0.00,0.00
PF00685,0.87,0.83,0.04,4.82
PF00686,1.21,0.97,0.24,24.74
PF00687,0.43,0.44,-0.01,-2.27
PF00688,0.84,0.76,0.08,10.53
PF00689,1.29,1.34,-0.05,-3.73
PF00690,1.16,1.08,0.08,7.41
PF00692,1.08,1.00,0.08,8.00
PF00694,0.61,0.67,-0.06,-8.96
PF00696,,,,
PF00698,0.63,0.62,0.01,1.61
PF00701,0.81,0.78,0.03,3.85
PF00702,0.47,0.39,0.08,20.51
PF00703,,,,
PF00704,1.83,1.76,0.07,3.98
PF00705,,,,
PF00708,3.36,3.36,0.00,0.00
PF00709,4.34,4.34,0.00,0.00
PF00710,,,,
PF00711,2.09,2.06,0.03,1.46
PF00714,,,,
PF00715,,,,
PF00717,4.23,3.92,0.31,7.91
PF00719,4.32,4.32,0.00,0.00
PF00723,2.14,2.20,-0.06,-2.73
PF00725,0.90,0.85,0.05,5.88
PF00726,1.28,1.14,0.14,12.28
PF00727,,,,
PF00728,2.27,2.25,0.02,0.89
PF00730,0.42,0.64,-0.22,-34.38
PF00731,,,,
PF00732,,,,
PF00733,0.66,0.23,0.43,186.96
PF00735,2.83,2.79,0.04,1.43
PF00736,4.63,4.61,0.02,0.43
PF00743,3.03,3.01,0.02,0.66
PF00748,1.40,1.50,-0.10,-6.67
PF00749,0.80,0.81,-0.01,-1.23
PF00750,1.52,1.51,0.01,0.66
PF00751,4.26,4.26,0.00,0.00
PF00752,0.86,0.84,0.02,2.38
PF00753,0.41,0.34,0.07,20.59
PF00754,1.43,1.42,0.01,0.70
PF00755,1.55,1.57,-0.02,-1.27
PF00756,,,,
PF00757,2.51,2.47,0.04,1.62
PF00758,0.76,0.80,-0.04,-5.00
PF00762,,,,
PF00763,1.93,1.90,0.03,1.58
PF00764,,,,
PF00766,,,,
PF00769,2.73,2.66,0.07,2.63
PF00773,1.50,1.50,0.00,0.00
PF00777,0.98,0.92,0.06,6.52
PF00778,2.83,2.81,0.02,0.71
PF00779,2.66,2.56,0.10,3.91
PF00780,0.79,0.78,0.01,1.28
PF00781,1.75,1.60,0.15,9.37
PF00782,1.40,1.32,0.08,6.06
PF00784,1.37,1.33,0.04,3.01
PF00786,1.57,1.47,0.10,6.80
PF00787,0.96,0.92,0.04,4.35
PF00788,0.45,0.42,0.03,7.14
PF00789,0.81,0.78,0.03,3.85
PF00790,1.82,1.79,0.03,1.68
PF00791,1.12,1.13,-0.01,-0.88
PF00792,1.24,1.13,0.11,9.73
PF00794,0.90,0.84,0.06,7.14
PF00795,0.75,0.74,0.01,1.35
PF00797,4.37,4.38,-0.01,-0.23
PF00801,0.75,0.53,0.22,41.51
PF00804,2.13,2.31,-0.18,-7.79
PF00805,0.82,1.27,-0.45,-35.43
PF00806,1.51,1.47,0.04,2.72
PF00808,1.11,1.07,0.04,3.74
PF00809,,,,
PF00810,4.22,4.22,0.00,0.00
PF00811,,,,
PF00812,2.22,2.17,0.05,2.30
PF00814,,,,
PF00817,1.60,1.55,0.05,3.23
PF00821,4.17,4.17,0.00,0.00
PF00822,1.07,1.06,0.01,0.94
PF00827,,,,
PF00828,0.45,0.57,-0.12,-21.05
PF00829,,,,
PF00830,,,,
PF00831,,,,
PF00832,5.08,5.10,-0.02,-0.39
PF00833,,,,
PF00834,5.06,5.06,0.00,0.00
PF00835,2.65,2.65,0.00,0.00
PF00836,3.06,2.99,0.07,2.34
PF00837,,,,
PF00838,3.80,3.64,0.16,4.40
PF00839,1.07,1.01,0.06,5.94
PF00841,,,,
PF00849,0.62,0.64,-0.02,-3.13
PF00850,1.80,1.78,0.02,1.12
PF00852,3.18,3.19,-0.01,-0.31
PF00853,5.00,5.00,0.00,0.00
PF00854,0.90,0.85,0.05,5.88
PF00855,1.16,1.07,0.09,8.41
PF00856,1.15,0.98,0.17,17.35
PF00857,2.54,2.44,0.10,4.10
PF00858,1.53,1.54,-0.01,-0.65
PF00859,2.59,2.61,-0.02,-0.77
PF00860,2.15,2.26,-0.11,-4.87
PF00861,,,,
PF00864,2.50,2.49,0.01,0.40
PF00865,,,,
PF00867,1.61,1.64,-0.03,-1.83
PF00868,1.52,1.48,0.04,2.70
PF00870,3.69,3.73,-0.04,-1.07
PF00875,4.29,3.91,0.38,9.72
PF00876,1.11,1.04,0.07,6.73
PF00878,1.18,1.12,0.06,5.36
PF00879,2.94,2.92,0.02,0.68
PF00880,1.39,1.44,-0.05,-3.47
PF00881,,,,
PF00882,,,,
PF00883,1.29,1.28,0.01,0.78
PF00884,1.24,1.27,-0.03,-2.36
PF00886,,,,
PF00887,2.06,2.03,0.03,1.48
PF00888,1.34,1.27,0.07,5.51
PF00889,,,,
PF00890,,,,
PF00891,2.34,2.34,0.00,0.00
PF00892,0.19,0.15,0.04,26.67
PF00895,,,,
PF00899,0.81,0.34,0.47,138.24
PF00900,4.80,4.80,0.00,0.00
PF00903,0.17,0.26,-0.09,-34.62
PF00904,3.05,3.09,-0.04,-1.29
PF00907,3.04,3.04,0.00,0.00
PF00909,2.02,2.01,0.01,0.50
PF00916,1.75,1.75,0.00,0.00
PF00918,4.92,4.92,0.00,0.00
PF00919,1.34,1.32,0.02,1.52
PF00923,,,,
PF00927,0.48,0.47,0.01,2.13
PF00928,1.02,1.01,0.01,0.99
PF00929,0.56,0.53,0.03,5.66
PF00930,1.35,1.35,0.00,0.00
PF00931,,,,
PF00932,1.82,1.75,0.07,4.00
PF00935,5.33,5.33,0.00,0.00
PF00939,2.39,2.39,0.00,0.00
PF00940,,,,
PF00941,2.07,2.08,-0.01,-0.48
PF00953,,,,
PF00955,2.56,2.53,0.03,1.19
PF00956,2.36,2.02,0.34,16.83
PF00957,1.73,1.61,0.12,7.45
PF00958,,,,
PF00962,0.74,0.72,0.02,2.78
PF00965,2.70,2.71,-0.01,-0.37
PF00969,2.93,2.88,0.05,1.74
PF00970,2.49,2.46,0.03,1.22
PF00975,0.07,-0.04,0.11,275.00
PF00976,2.71,2.64,0.07,2.65
PF00984,,,,
PF00988,2.63,2.65,-0.02,-0.75
PF00989,1.83,1.46,0.37,25.34
PF00992,1.45,1.31,0.14,10.69
PF00993,2.10,2.10,0.00,0.00
PF00994,0.50,0.46,0.04,8.70
PF00995,0.81,0.77,0.04,5.19
PF00996,3.82,2.25,1.57,69.78
PF00997,,,,
PF00999,1.13,1.09,0.04,3.67
PF01000,1.84,1.82,0.02,1.10
PF01007,2.81,2.80,0.01,0.36
PF01008,0.77,0.77,0.00,0.00
PF01012,-0.19,-0.17,-0.02,-11.76
PF01015,,,,
PF01016,,,,
PF01017,1.56,1.50,0.06,4.00
PF01018,1.45,1.47,-0.02,-1.36
PF01019,2.87,2.84,0.03,1.06
PF01020,,,,
PF01023,1.77,1.70,0.07,4.12
PF01025,2.82,2.50,0.32,12.80
PF01026,0.74,0.73,0.01,1.37
PF01027,1.07,1.10,-0.03,-2.73
PF01028,4.13,4.11,0.02,0.49
PF01030,1.44,1.42,0.02,1.41
PF01031,1.78,1.77,0.01,0.56
PF01033,2.54,2.44,0.10,4.10
PF01034,2.69,2.73,-0.04,-1.47
PF01035,,,,
PF01039,1.23,1.22,0.01,0.82
PF01040,-0.03,-0.03,0.00,0.00
PF01042,,,,
PF01044,1.88,1.80,0.08,4.44
PF01048,0.58,0.64,-0.06,-9.38
PF01049,2.96,2.90,0.06,2.07
PF01053,,,,
PF01055,2.24,2.06,0.18,8.74
PF01056,2.25,1.88,0.37,19.68
PF01058,,,,
PF01059,,,,
PF01061,1.20,1.18,0.02,1.69
PF01062,3.58,3.53,0.05,1.42
PF01063,2.84,2.95,-0.11,-3.73
PF01064,1.26,1.24,0.02,1.61
PF01066,1.03,0.69,0.34,49.28
PF01067,1.64,1.64,0.00,0.00
PF01068,1.18,1.18,0.00,0.00
PF01070,2.46,2.41,0.05,2.07
PF01071,,,,
PF01073,1.63,1.63,0.00,0.00
PF01074,1.35,1.34,0.01,0.75
PF01079,2.29,2.29,0.00,0.00
PF01080,4.44,4.44,0.00,0.00
PF01082,1.77,1.71,0.06,3.51
PF01084,1.87,1.68,0.19,11.31
PF01085,4.59,4.59,0.00,0.00
PF01086,3.02,3.11,-0.09,-2.89
PF01087,,,,
PF01088,1.64,1.63,0.01,0.61
PF01090,,,,
PF01091,3.12,3.12,0.00,0.00
PF01092,,,,
PF01093,0.95,1.02,-0.07,-6.86
PF01094,0.58,0.57,0.01,1.75
PF01096,3.02,2.97,0.05,1.68
