Pfam_code,HMMER_gaps,FULL_gaps,HMMER_vs_FULL_gaps_diff,HMMER_vs_FULL_gaps_%_improvement
PF00204,0.02,0.01,-0.01,-100.00
PF00205,0.08,0.07,-0.01,-14.29
PF00206,0.20,0.26,0.06,23.08
PF00207,0.11,0.11,0.00,0.00
PF00208,0.00,0.01,0.01,100.00
PF00209,0.19,0.19,0.00,0.00
PF00210,0.04,0.03,-0.01,-33.33
PF00211,0.28,0.35,0.07,20.00
PF00212,0.11,0.14,0.03,21.43
PF00213,0.00,0.00,0.00,
PF00214,0.29,0.35,0.06,17.14
PF00215,0.00,0.00,0.00,
PF00217,0.01,0.00,-0.01,
PF00219,0.33,0.39,0.06,15.38
PF00220,0.00,0.00,0.00,
PF00221,0.00,0.00,0.00,
PF00224,0.00,0.00,0.00,
PF00225,0.46,0.47,0.01,2.13
PF00226,0.30,0.33,0.03,9.09
PF00227,0.16,0.16,0.00,0.00
PF00229,0.26,0.30,0.04,13.33
PF00230,0.21,0.21,0.00,0.00
PF00231,0.00,0.00,0.00,
PF00232,0.36,0.37,0.01,2.70
PF00233,0.23,0.22,-0.01,-4.55
PF00235,0.08,0.07,-0.01,-14.29
PF00236,0.00,0.00,0.00,
PF00237,0.13,0.14,0.01,7.14
PF00238,0.11,0.12,0.01,8.33
PF00240,0.32,0.45,0.13,28.89
PF00241,0.33,0.28,-0.05,-17.86
PF00243,0.09,0.08,-0.01,-12.50
PF00244,0.01,0.01,0.00,0.00
PF00245,0.01,0.01,0.00,0.00
PF00246,0.46,0.55,0.09,16.36
PF00248,0.26,0.30,0.04,13.33
PF00249,0.28,0.35,0.07,20.00
PF00250,0.20,0.19,-0.01,-5.26
PF00252,0.09,0.10,0.01,10.00
PF00253,0.09,0.09,0.00,0.00
PF00254,0.19,0.20,0.01,5.00
PF00255,0.03,0.03,0.00,0.00
PF00258,0.25,0.28,0.03,10.71
PF00260,0.00,0.00,0.00,
PF00261,0.08,0.00,-0.08,
PF00262,0.42,0.42,0.00,0.00
PF00264,0.12,0.09,-0.03,-33.33
PF00265,0.00,0.00,0.00,
PF00266,0.20,0.20,0.00,0.00
PF00268,0.01,0.00,-0.01,
PF00270,0.61,0.66,0.05,7.58
PF00271,0.56,0.68,0.12,17.65
PF00273,0.05,0.06,0.01,16.67
PF00274,0.00,0.00,0.00,
PF00276,0.29,0.29,0.00,0.00
PF00277,0.05,0.05,0.00,0.00
PF00278,0.50,0.00,-0.50,
PF00281,0.00,0.00,0.00,
PF00282,0.29,0.36,0.07,19.44
PF00285,0.29,0.28,-0.01,-3.57
PF00287,0.10,0.11,0.01,9.09
PF00288,0.24,0.26,0.02,7.69
PF00289,0.06,0.07,0.01,14.29
PF00291,0.23,0.26,0.03,11.54
PF00292,0.03,0.04,0.01,25.00
PF00293,0.42,0.40,-0.02,-5.00
PF00294,0.09,0.09,0.00,0.00
PF00297,0.39,0.35,-0.04,-11.43
PF00298,0.04,0.04,0.00,0.00
PF00300,0.38,0.43,0.05,11.63
PF00303,0.00,0.00,0.00,
PF00305,0.10,0.13,0.03,23.08
PF00306,0.00,0.00,0.00,
PF00307,0.49,0.49,0.00,0.00
PF00312,0.10,0.11,0.01,9.09
PF00313,0.22,0.19,-0.03,-15.79
PF00316,0.00,0.00,0.00,
PF00317,0.00,0.00,0.00,
PF00318,0.52,0.52,0.00,0.00
PF00319,0.00,0.00,0.00,
PF00320,0.12,0.11,-0.01,-9.09
PF00322,0.00,0.00,0.00,
PF00323,0.01,0.01,0.00,0.00
PF00324,0.42,0.45,0.03,6.67
PF00326,0.17,0.17,0.00,0.00
PF00327,0.04,0.04,0.00,0.00
PF00328,0.33,0.34,0.01,2.94
PF00329,0.00,0.00,0.00,
PF00330,0.40,0.41,0.01,2.44
PF00333,0.01,0.01,0.00,0.00
PF00334,0.12,0.08,-0.04,-50.00
PF00335,0.33,0.34,0.01,2.94
PF00337,0.13,0.15,0.02,13.33
PF00338,0.04,0.06,0.02,33.33
PF00339,0.17,0.21,0.04,19.05
PF00340,0.24,0.25,0.01,4.00
PF00341,0.16,0.16,0.00,0.00
PF00342,0.00,0.00,0.00,
PF00343,0.00,0.00,0.00,
PF00344,0.00,0.01,0.01,100.00
PF00346,0.00,0.00,0.00,
PF00347,0.10,0.10,0.00,0.00
PF00348,0.16,0.18,0.02,11.11
PF00349,0.05,0.06,0.01,16.67
PF00350,0.38,0.44,0.06,13.64
PF00351,0.00,0.00,0.00,
PF00352,0.07,0.07,0.00,0.00
PF00354,0.27,0.27,0.00,0.00
PF00355,0.26,0.30,0.04,13.33
PF00357,0.09,0.12,0.03,25.00
PF00361,0.07,0.06,-0.01,-16.67
PF00362,0.03,0.03,0.00,0.00
PF00363,0.00,0.00,0.00,
PF00364,0.09,0.07,-0.02,-28.57
PF00365,0.07,0.06,-0.01,-16.67
PF00366,0.04,0.02,-0.02,-100.00
PF00368,0.00,0.00,0.00,
PF00370,0.27,0.24,-0.03,-12.50
PF00373,0.59,0.65,0.06,9.23
PF00375,0.08,0.07,-0.01,-14.29
PF00377,0.04,0.05,0.01,20.00
PF00378,0.23,0.23,0.00,0.00
PF00380,0.05,0.06,0.01,16.67
PF00382,0.04,0.04,0.00,0.00
PF00383,0.43,0.42,-0.01,-2.38
PF00384,0.00,0.00,0.00,
PF00385,0.38,0.55,0.17,30.91
PF00386,0.23,0.21,-0.02,-9.52
PF00387,0.07,0.14,0.07,50.00
PF00388,0.05,0.07,0.02,28.57
PF00389,0.55,0.06,-0.49,-816.67
PF00390,0.00,0.00,0.00,
PF00393,0.00,0.00,0.00,
PF00394,0.00,0.00,0.00,
PF00396,0.01,0.03,0.02,66.67
PF00397,0.08,0.14,0.06,42.86
PF00398,0.21,0.23,0.02,8.70
PF00400,0.65,0.79,0.14,17.72
PF00402,0.00,0.00,0.00,
PF00403,0.15,0.25,0.10,40.00
PF00405,0.12,0.12,0.00,0.00
PF00406,0.44,0.32,-0.12,-37.50
PF00408,0.00,0.00,0.00,
PF00410,0.00,0.00,0.00,
PF00411,0.05,0.05,0.00,0.00
PF00412,0.41,0.47,0.06,12.77
PF00413,0.22,0.51,0.29,56.86
PF00414,0.01,0.01,0.00,0.00
PF00415,0.23,0.55,0.32,58.18
PF00416,0.00,0.00,0.00,
PF00418,0.18,0.20,0.02,10.00
PF00420,0.00,0.00,0.00,
PF00428,0.08,0.09,0.01,11.11
PF00429,0.58,0.55,-0.03,-5.45
PF00431,0.43,0.54,0.11,20.37
PF00432,0.12,0.13,0.01,7.69
PF00433,0.25,0.32,0.07,21.88
PF00435,0.40,0.50,0.10,20.00
PF00436,0.00,0.00,0.00,
PF00438,0.00,0.00,0.00,
PF00439,0.26,0.46,0.20,43.48
PF00441,0.05,0.05,0.00,0.00
PF00443,0.79,0.77,-0.02,-2.60
PF00444,0.00,0.00,0.00,
PF00445,0.00,0.00,0.00,
PF00446,0.00,0.00,0.00,
PF00447,0.19,0.18,-0.01,-5.56
PF00448,0.06,0.06,0.00,0.00
PF00450,0.10,0.11,0.01,9.09
PF00452,0.18,0.21,0.03,14.29
PF00453,0.00,0.00,0.00,
PF00454,0.36,0.41,0.05,12.20
PF00456,0.16,0.16,0.00,0.00
PF00458,0.14,0.20,0.06,30.00
PF00459,0.29,0.24,-0.05,-20.83
PF00462,0.16,0.18,0.02,11.11
PF00464,0.00,0.00,0.00,
PF00465,0.00,0.00,0.00,
PF00466,0.10,0.11,0.01,9.09
PF00467,0.21,0.29,0.08,27.59
PF00468,0.00,0.00,0.00,
PF00471,0.00,0.00,0.00,
PF00472,0.25,0.28,0.03,10.71
PF00473,0.03,0.05,0.02,40.00
PF00474,0.09,0.09,0.00,0.00
PF00476,0.12,0.13,0.01,7.69
PF00478,0.53,0.17,-0.36,-211.76
PF00479,0.04,0.04,0.00,0.00
PF00480,0.00,0.00,0.00,
PF00481,0.53,0.58,0.05,8.62
PF00483,0.23,0.24,0.01,4.17
PF00485,0.02,0.02,0.00,0.00
PF00487,0.22,0.22,0.00,0.00
PF00488,0.08,0.08,0.00,0.00
PF00489,0.00,0.00,0.00,
PF00490,0.00,0.00,0.00,
PF00491,0.04,0.03,-0.01,-33.33
PF00493,0.05,0.07,0.02,28.57
PF00494,0.07,0.08,0.01,12.50
PF00498,0.40,0.45,0.05,11.11
PF00499,0.00,0.00,0.00,
PF00501,0.43,0.41,-0.02,-4.88
PF00503,0.13,0.13,0.00,0.00
PF00505,0.12,0.10,-0.02,-20.00
PF00507,0.00,0.00,0.00,
PF00510,0.00,0.00,0.00,
PF00514,0.28,0.30,0.02,6.67
PF00515,0.15,0.16,0.01,6.25
PF00517,0.05,0.08,0.03,37.50
PF00520,0.56,0.58,0.02,3.45
PF00521,0.00,0.01,0.01,100.00
PF00525,0.19,0.24,0.05,20.83
PF00530,0.40,0.39,-0.01,-2.56
PF00531,0.24,0.26,0.02,7.69
PF00533,0.28,0.34,0.06,17.65
PF00534,0.18,0.18,0.00,0.00
PF00535,0.26,0.33,0.07,21.21
PF00536,0.31,0.30,-0.01,-3.33
PF00538,0.13,0.30,0.17,56.67
PF00542,0.00,0.00,0.00,
PF00549,0.06,0.06,0.00,0.00
PF00550,0.23,0.29,0.06,20.69
PF00551,0.13,0.19,0.06,31.58
PF00552,0.00,0.00,0.00,
PF00554,0.32,0.26,-0.06,-23.08
PF00557,0.34,0.47,0.13,27.66
PF00560,0.22,0.22,0.00,0.00
PF00561,0.46,0.63,0.17,26.98
PF00562,0.04,0.04,0.00,0.00
PF00564,0.27,0.35,0.08,22.86
PF00565,0.35,0.28,-0.07,-25.00
PF00566,0.43,0.53,0.10,18.87
PF00567,0.33,0.45,0.12,26.67
PF00568,0.24,0.21,-0.03,-14.29
PF00569,0.30,0.28,-0.02,-7.14
PF00570,0.08,0.10,0.02,20.00
PF00571,0.35,0.43,0.08,18.60
PF00572,0.06,0.08,0.02,25.00
PF00573,0.15,0.14,-0.01,-7.14
PF00574,0.00,0.00,0.00,
PF00575,0.28,0.27,-0.01,-3.70
PF00576,0.00,0.00,0.00,
PF00578,0.09,0.08,-0.01,-12.50
PF00579,0.15,0.15,0.00,0.00
PF00581,0.47,0.46,-0.01,-2.17
PF00583,0.41,0.42,0.01,2.38
PF00584,0.00,0.00,0.00,
PF00586,0.20,0.18,-0.02,-11.11
PF00587,0.35,0.58,0.23,39.66
PF00588,0.20,0.19,-0.01,-5.26
PF00590,0.00,0.00,0.00,
PF00591,0.00,0.00,0.00,
PF00594,0.01,0.05,0.04,80.00
PF00595,0.40,0.44,0.04,9.09
PF00596,0.11,0.13,0.02,15.38
PF00605,0.09,0.09,0.00,0.00
PF00607,0.01,0.00,-0.01,
PF00609,0.12,0.13,0.01,7.69
PF00610,0.28,0.29,0.01,3.45
PF00611,0.18,0.17,-0.01,-5.88
PF00612,0.24,0.26,0.02,7.69
PF00613,0.32,0.35,0.03,8.57
PF00614,0.05,0.00,-0.05,
PF00615,0.32,0.43,0.11,25.58
PF00616,0.48,0.46,-0.02,-4.35
PF00617,0.47,0.50,0.03,6.00
PF00618,0.43,0.50,0.07,14.00
PF00619,0.21,0.22,0.01,4.55
PF00620,0.38,0.44,0.06,13.64
PF00621,0.29,0.33,0.04,12.12
PF00622,0.49,0.54,0.05,9.26
PF00623,0.07,0.07,0.00,0.00
PF00625,0.41,0.43,0.02,4.65
PF00626,0.28,0.34,0.06,17.65
PF00627,0.17,0.16,-0.01,-6.25
PF00628,0.26,0.35,0.09,25.71
PF00629,0.30,0.39,0.09,23.08
PF00630,0.38,0.47,0.09,19.15
PF00631,0.15,0.16,0.01,6.25
PF00632,0.41,0.44,0.03,6.82
PF00633,0.13,0.18,0.05,27.78
PF00634,0.02,0.06,0.04,66.67
PF00635,0.11,0.17,0.06,35.29
PF00636,0.31,0.44,0.13,29.55
PF00637,0.15,0.16,0.01,6.25
PF00638,0.19,0.25,0.06,24.00
PF00639,0.00,0.00,0.00,
PF00640,0.47,0.46,-0.01,-2.17
PF00641,0.22,0.25,0.03,12.00
PF00642,0.26,0.30,0.04,13.33
PF00643,0.35,0.40,0.05,12.50
PF00644,0.44,0.42,-0.02,-4.76
PF00645,0.06,0.06,0.00,0.00
PF00646,0.27,0.39,0.12,30.77
PF00647,0.00,0.00,0.00,
PF00648,0.32,0.34,0.02,5.88
PF00650,0.09,0.08,-0.01,-12.50
PF00651,0.58,0.59,0.01,1.69
PF00652,0.26,0.27,0.01,3.70
PF00653,0.10,0.10,0.00,0.00
PF00654,0.21,0.22,0.01,4.55
PF00656,0.30,0.31,0.01,3.23
PF00657,0.12,0.10,-0.02,-20.00
PF00658,0.04,0.06,0.02,33.33
PF00659,0.13,0.16,0.03,18.75
PF00662,0.00,0.00,0.00,
PF00664,0.29,0.38,0.09,23.68
PF00665,0.03,0.13,0.10,76.92
PF00666,0.21,0.22,0.01,4.55
PF00667,0.06,0.06,0.00,0.00
PF00670,0.00,0.01,0.01,100.00
PF00673,0.00,0.00,0.00,
PF00675,0.15,0.18,0.03,16.67
PF00676,0.16,0.14,-0.02,-14.29
PF00679,0.07,0.07,0.00,0.00
PF00681,0.12,0.32,0.20,62.50
PF00682,0.27,0.08,-0.19,-237.50
PF00683,0.32,0.36,0.04,11.11
PF00684,0.04,0.04,0.00,0.00
PF00685,0.48,0.47,-0.01,-2.13
PF00686,0.31,0.37,0.06,16.22
PF00687,0.11,0.26,0.15,57.69
PF00688,0.52,0.58,0.06,10.34
PF00689,0.18,0.18,0.00,0.00
PF00690,0.18,0.24,0.06,25.00
PF00692,0.17,0.20,0.03,15.00
PF00694,0.01,0.01,0.00,0.00
PF00696,0.00,0.00,0.00,
PF00698,0.13,0.14,0.01,7.14
PF00701,0.03,0.03,0.00,0.00
PF00702,0.40,0.53,0.13,24.53
PF00703,0.00,0.00,0.00,
PF00704,0.19,0.26,0.07,26.92
PF00705,0.00,0.00,0.00,
PF00708,0.00,0.00,0.00,
PF00709,0.00,0.00,0.00,
PF00710,0.00,0.00,0.00,
PF00711,0.04,0.05,0.01,20.00
PF00714,0.00,0.00,0.00,
PF00715,0.00,0.00,0.00,
PF00717,0.03,0.02,-0.01,-50.00
PF00719,0.00,0.00,0.00,
PF00723,0.07,0.06,-0.01,-16.67
PF00725,0.19,0.19,0.00,0.00
PF00726,0.27,0.31,0.04,12.90
PF00727,0.00,0.00,0.00,
PF00728,0.22,0.24,0.02,8.33
PF00730,0.59,0.19,-0.40,-210.53
PF00731,0.00,0.00,0.00,
PF00732,0.00,0.00,0.00,
PF00733,0.59,0.58,-0.01,-1.72
PF00735,0.04,0.04,0.00,0.00
PF00736,0.03,0.00,-0.03,
PF00743,0.01,0.01,0.00,0.00
PF00748,0.17,0.44,0.27,61.36
PF00749,0.04,0.05,0.01,20.00
PF00750,0.05,0.07,0.02,28.57
PF00751,0.00,0.00,0.00,
PF00752,0.15,0.13,-0.02,-15.38
PF00753,0.36,0.49,0.13,26.53
PF00754,0.34,0.37,0.03,8.11
PF00755,0.12,0.12,0.00,0.00
PF00756,0.00,0.00,0.00,
PF00757,0.20,0.22,0.02,9.09
PF00758,0.07,0.09,0.02,22.22
PF00762,0.00,0.00,0.00,
PF00763,0.12,0.14,0.02,14.29
PF00764,0.00,0.00,0.00,
PF00766,0.00,0.00,0.00,
PF00769,0.02,0.01,-0.01,-100.00
PF00773,0.14,0.15,0.01,6.67
PF00777,0.29,0.30,0.01,3.33
PF00778,0.06,0.06,0.00,0.00
PF00779,0.06,0.12,0.06,50.00
PF00780,0.35,0.39,0.04,10.26
PF00781,0.36,0.39,0.03,7.69
PF00782,0.30,0.30,0.00,0.00
PF00784,0.21,0.19,-0.02,-10.53
PF00786,0.33,0.37,0.04,10.81
PF00787,0.42,0.46,0.04,8.70
PF00788,0.36,0.43,0.07,16.28
PF00789,0.19,0.20,0.01,5.00
PF00790,0.05,0.06,0.01,16.67
PF00791,0.19,0.20,0.01,5.00
PF00792,0.33,0.31,-0.02,-6.45
PF00794,0.22,0.19,-0.03,-15.79
PF00795,0.38,0.42,0.04,9.52
PF00797,0.01,0.00,-0.01,
PF00801,0.39,0.35,-0.04,-11.43
PF00804,0.04,0.02,-0.02,-100.00
PF00805,0.01,0.05,0.04,80.00
PF00806,0.10,0.22,0.12,54.55
PF00808,0.06,0.06,0.00,0.00
PF00809,0.00,0.00,0.00,
PF00810,0.00,0.01,0.01,100.00
PF00811,0.00,0.00,0.00,
PF00812,0.15,0.18,0.03,16.67
PF00814,0.00,0.00,0.00,
PF00817,0.36,0.29,-0.07,-24.14
PF00821,0.00,0.00,0.00,
PF00822,0.29,0.28,-0.01,-3.57
PF00827,0.00,0.00,0.00,
PF00828,0.08,0.13,0.05,38.46
PF00829,0.00,0.00,0.00,
PF00830,0.00,0.00,0.00,
PF00831,0.00,0.00,0.00,
PF00832,0.00,0.00,0.00,
PF00833,0.00,0.00,0.00,
PF00834,0.00,0.00,0.00,
PF00835,0.09,0.09,0.00,0.00
PF00836,0.17,0.19,0.02,10.53
PF00837,0.10,0.10,0.00,0.00
PF00838,0.18,0.18,0.00,0.00
PF00839,0.19,0.27,0.08,29.63
PF00841,0.00,0.00,0.00,
PF00849,0.12,0.12,0.00,0.00
PF00850,0.12,0.11,-0.01,-9.09
PF00852,0.04,0.06,0.02,33.33
PF00853,0.00,0.00,0.00,
PF00854,0.39,0.39,0.00,0.00
PF00855,0.26,0.35,0.09,25.71
PF00856,0.77,0.75,-0.02,-2.67
PF00857,0.01,0.01,0.00,0.00
PF00858,0.20,0.20,0.00,0.00
PF00859,0.14,0.14,0.00,0.00
PF00860,0.04,0.03,-0.01,-33.33
PF00861,0.00,0.00,0.00,
PF00864,0.08,0.10,0.02,20.00
PF00865,0.00,0.00,0.00,
PF00867,0.05,0.05,0.00,0.00
PF00868,0.07,0.11,0.04,36.36
PF00870,0.02,0.01,-0.01,-100.00
PF00875,0.02,0.02,0.00,0.00
PF00876,0.26,0.30,0.04,13.33
PF00878,0.35,0.36,0.01,2.78
PF00879,0.13,0.12,-0.01,-8.33
PF00880,0.16,0.23,0.07,30.43
PF00881,0.00,0.00,0.00,
PF00882,0.00,0.00,0.00,
PF00883,0.04,0.04,0.00,0.00
PF00884,0.30,0.30,0.00,0.00
PF00886,0.00,0.00,0.00,
PF00887,0.14,0.10,-0.04,-40.00
PF00888,0.39,0.43,0.04,9.30
PF00889,0.00,0.00,0.00,
PF00890,0.00,0.00,0.00,
PF00891,0.01,0.01,0.00,0.00
PF00892,0.20,0.25,0.05,20.00
PF00895,0.00,0.00,0.00,
PF00899,0.63,0.39,-0.24,-61.54
PF00900,0.00,0.00,0.00,
PF00903,0.24,0.21,-0.03,-14.29
PF00904,0.01,0.25,0.24,96.00
PF00907,0.16,0.16,0.00,0.00
PF00909,0.13,0.14,0.01,7.14
PF00916,0.13,0.14,0.01,7.14
PF00918,0.44,0.45,0.01,2.22
PF00919,0.12,0.14,0.02,14.29
PF00923,0.00,0.00,0.00,
PF00927,0.13,0.12,-0.01,-8.33
PF00928,0.26,0.29,0.03,10.34
PF00929,0.28,0.24,-0.04,-16.67
PF00930,0.16,0.16,0.00,0.00
PF00931,0.00,0.00,0.00,
PF00932,0.10,0.15,0.05,33.33
PF00935,0.00,0.00,0.00,
PF00939,0.13,0.12,-0.01,-8.33
PF00940,0.00,0.00,0.00,
PF00941,0.01,0.00,-0.01,
PF00953,0.00,0.00,0.00,
PF00955,0.26,0.22,-0.04,-18.18
PF00956,0.65,0.58,-0.07,-12.07
PF00957,0.12,0.16,0.04,25.00
PF00958,0.00,0.00,0.00,
PF00962,0.13,0.14,0.01,7.14
PF00965,0.05,0.05,0.00,0.00
PF00969,0.10,0.10,0.00,0.00
PF00970,0.13,0.14,0.01,7.14
PF00975,0.13,0.13,0.00,0.00
PF00976,0.08,0.10,0.02,20.00
PF00984,0.00,0.00,0.00,
PF00988,0.08,0.07,-0.01,-14.29
PF00989,0.43,0.44,0.01,2.27
PF00992,0.08,0.17,0.09,52.94
PF00993,0.05,0.05,0.00,0.00
PF00994,0.22,0.21,-0.01,-4.76
PF00995,0.31,0.34,0.03,8.82
PF00996,0.44,0.45,0.01,2.22
PF00997,0.00,0.00,0.00,
PF00999,0.27,0.29,0.02,6.90
PF01000,0.19,0.13,-0.06,-46.15
PF01007,0.11,0.11,0.00,0.00
PF01008,0.14,0.14,0.00,0.00
PF01012,0.11,0.11,0.00,0.00
PF01015,0.00,0.00,0.00,
PF01016,0.00,0.00,0.00,
PF01017,0.17,0.36,0.19,52.78
PF01018,0.23,0.22,-0.01,-4.55
