Pfam_code,HMMER_conservation,FULL_conservation,HMMER_vs_FULL_conservation_diff,HMMER_vs_FULL_conservation_%_improvement
PF00080,0.64,0.65,-0.01,-1.54
PF00081,,,,
PF00082,0.31,0.28,0.03,10.71
PF00083,0.21,0.20,0.01,5.00
PF00084,0.16,0.16,0.00,0.00
PF00085,0.27,0.25,0.02,8.00
PF00086,0.29,0.22,0.07,31.82
PF00087,0.64,0.60,0.04,6.67
PF00088,0.42,0.39,0.03,7.69
PF00089,0.26,0.22,0.04,18.18
PF00090,0.25,0.20,0.05,25.00
PF00091,0.57,0.55,0.02,3.64
PF00092,0.22,0.21,0.01,4.76
PF00093,0.30,0.28,0.02,7.14
PF00094,0.28,0.28,0.00,0.00
PF00095,0.33,0.33,0.00,0.00
PF00096,0.38,0.32,0.06,18.75
PF00097,0.35,0.34,0.01,2.94
PF00098,0.55,0.53,0.02,3.77
PF00100,0.31,0.26,0.05,19.23
PF00102,0.38,0.35,0.03,8.57
PF00103,0.75,0.75,0.00,0.00
PF00104,0.28,0.25,0.03,12.00
PF00105,0.57,0.57,0.00,0.00
PF00106,0.21,0.18,0.03,16.67
PF00107,0.37,0.35,0.02,5.71
PF00108,0.48,0.48,0.00,0.00
PF00109,0.60,0.60,0.00,0.00
PF00110,0.45,0.44,0.01,2.27
PF00111,0.45,0.46,-0.01,-2.17
PF00112,0.38,0.36,0.02,5.56
PF00113,0.70,0.69,0.01,1.45
PF00115,,,,
PF00116,,,,
PF00117,0.44,0.44,0.00,0.00
PF00118,0.29,0.27,0.02,7.41
PF00119,,,,
PF00120,0.55,0.55,0.00,0.00
PF00121,,,,
PF00122,0.21,0.23,-0.02,-8.70
PF00123,0.51,0.47,0.04,8.51
PF00125,0.47,0.36,0.11,30.56
PF00128,0.28,0.49,-0.21,-42.86
PF00129,0.48,0.46,0.02,4.35
PF00130,0.34,0.32,0.02,6.25
PF00131,0.76,0.76,0.00,0.00
PF00133,0.24,0.24,0.00,0.00
PF00134,0.25,0.20,0.05,25.00
PF00135,0.45,0.45,0.00,0.00
PF00136,0.54,0.55,-0.01,-1.82
PF00137,0.58,0.57,0.01,1.75
PF00143,0.71,0.70,0.01,1.43
PF00144,0.57,0.39,0.18,46.15
PF00145,0.35,0.35,0.00,0.00
PF00146,,,,
PF00147,0.42,0.40,0.02,5.00
PF00149,0.17,0.16,0.01,6.25
PF00151,0.49,0.48,0.01,2.08
PF00152,0.33,0.37,-0.04,-10.81
PF00153,0.22,0.17,0.05,29.41
PF00155,0.26,0.25,0.01,4.00
PF00156,0.38,0.33,0.05,15.15
PF00157,0.68,0.57,0.11,19.30
PF00159,0.73,0.72,0.01,1.39
PF00160,0.54,0.53,0.01,1.89
PF00162,0.94,0.93,0.01,1.08
PF00163,0.59,0.58,0.01,1.72
PF00164,0.64,0.63,0.01,1.59
PF00166,,,,
PF00167,0.42,0.38,0.04,10.53
PF00168,0.12,0.09,0.03,33.33
PF00169,0.13,0.12,0.01,8.33
PF00170,0.41,0.32,0.09,28.12
PF00171,0.41,0.38,0.03,7.89
PF00173,0.33,0.29,0.04,13.79
PF00174,,,,
PF00175,0.37,0.37,0.00,0.00
PF00176,0.17,0.16,0.01,6.25
PF00177,0.59,0.59,0.00,0.00
PF00178,0.58,0.58,0.00,0.00
PF00179,0.27,0.23,0.04,17.39
PF00180,0.47,0.48,-0.01,-2.08
PF00181,0.61,0.61,0.00,0.00
PF00183,0.31,0.28,0.03,10.71
PF00184,0.91,0.91,0.00,0.00
PF00185,0.61,0.60,0.01,1.67
PF00186,0.89,0.86,0.03,3.49
PF00188,0.42,0.41,0.01,2.44
PF00189,,,,
PF00191,0.45,0.43,0.02,4.65
PF00193,0.45,0.44,0.01,2.27
PF00194,0.44,0.38,0.06,15.79
PF00198,0.55,0.55,0.00,0.00
PF00199,,,,
PF00200,0.50,0.51,-0.01,-1.96
PF00201,0.57,0.59,-0.02,-3.39
PF00202,0.47,0.47,0.00,0.00
PF00203,,,,
PF00204,0.89,0.90,-0.01,-1.11
PF00205,0.63,0.63,0.00,0.00
PF00206,0.44,0.43,0.01,2.33
PF00207,0.49,0.49,0.00,0.00
PF00208,0.99,0.98,0.01,1.02
PF00209,0.46,0.46,0.00,0.00
PF00210,0.75,0.75,0.00,0.00
PF00211,0.37,0.33,0.04,12.12
PF00212,0.63,0.62,0.01,1.61
PF00213,,,,
PF00214,0.51,0.47,0.04,8.51
PF00215,,,,
PF00217,0.83,0.84,-0.01,-1.19
PF00219,0.40,0.36,0.04,11.11
PF00220,0.89,0.89,0.00,0.00
PF00221,,,,
PF00224,0.87,0.87,0.00,0.00
PF00225,0.28,0.27,0.01,3.70
PF00226,0.43,0.40,0.03,7.50
PF00227,0.34,0.34,0.00,0.00
PF00229,0.30,0.28,0.02,7.14
PF00230,0.40,0.40,0.00,0.00
PF00231,,,,
PF00232,0.38,0.37,0.01,2.70
PF00233,0.40,0.40,0.00,0.00
PF00235,0.56,0.57,-0.01,-1.75
PF00236,,,,
PF00237,0.58,0.58,0.00,0.00
PF00238,0.57,0.57,0.00,0.00
PF00240,0.36,0.28,0.08,28.57
PF00241,0.29,0.31,-0.02,-6.45
PF00243,0.67,0.68,-0.01,-1.47
PF00244,0.82,0.82,0.00,0.00
PF00245,0.86,0.86,0.00,0.00
PF00246,0.25,0.21,0.04,19.05
PF00248,0.40,0.38,0.02,5.26
PF00249,0.31,0.29,0.02,6.90
PF00250,0.53,0.52,0.01,1.92
PF00252,0.70,0.69,0.01,1.45
PF00253,0.61,0.61,0.00,0.00
PF00254,0.45,0.44,0.01,2.27
PF00255,0.62,0.61,0.01,1.64
PF00258,0.41,0.39,0.02,5.13
PF00260,,,,
PF00261,0.84,0.89,-0.05,-5.62
PF00262,0.40,0.39,0.01,2.56
PF00264,0.58,0.60,-0.02,-3.33
PF00265,,,,
PF00266,0.41,0.41,0.00,0.00
PF00268,0.92,0.92,0.00,0.00
PF00270,0.16,0.14,0.02,14.29
PF00271,0.16,0.12,0.04,33.33
PF00273,0.39,0.39,0.00,0.00
PF00274,0.85,0.86,-0.01,-1.16
PF00276,0.54,0.55,-0.01,-1.82
PF00277,0.79,0.79,0.00,0.00
PF00278,0.50,,,
PF00281,,,,
PF00282,0.40,0.37,0.03,8.11
PF00285,0.54,0.55,-0.01,-1.82
PF00287,0.54,0.53,0.01,1.89
PF00288,0.44,0.43,0.01,2.33
PF00289,0.60,0.59,0.01,1.69
PF00291,0.40,0.39,0.01,2.56
PF00292,0.80,0.80,0.00,0.00
PF00293,0.24,0.24,0.00,0.00
PF00294,0.46,0.45,0.01,2.22
PF00297,0.46,0.46,0.00,0.00
PF00298,0.62,0.62,0.00,0.00
PF00300,0.32,0.29,0.03,10.34
PF00303,,,,
PF00305,0.58,0.54,0.04,7.41
PF00306,,,,
PF00307,0.18,0.18,0.00,0.00
PF00312,0.58,0.58,0.00,0.00
PF00313,0.41,0.42,-0.01,-2.38
PF00316,0.89,0.89,0.00,0.00
PF00317,,,,
PF00318,0.30,0.30,0.00,0.00
PF00319,0.85,0.85,0.00,0.00
PF00320,0.55,0.54,0.01,1.85
PF00322,0.87,0.87,0.00,0.00
PF00323,0.66,0.66,0.00,0.00
PF00324,0.35,0.33,0.02,6.06
PF00326,0.40,0.39,0.01,2.56
PF00327,0.59,0.59,0.00,0.00
PF00328,0.32,0.32,0.00,0.00
PF00329,,,,
PF00330,0.41,0.41,0.00,0.00
PF00333,0.60,0.60,0.00,0.00
PF00334,0.46,0.53,-0.07,-13.21
PF00335,0.26,0.25,0.01,4.00
PF00337,0.43,0.41,0.02,4.88
PF00338,0.52,0.51,0.01,1.96
PF00339,0.41,0.39,0.02,5.13
PF00340,0.38,0.37,0.01,2.70
PF00341,0.43,0.43,0.00,0.00
PF00342,,,,
PF00343,0.90,0.90,0.00,0.00
PF00344,0.97,0.97,0.00,0.00
PF00346,,,,
PF00347,0.58,0.58,0.00,0.00
PF00348,0.42,0.42,0.00,0.00
PF00349,0.66,0.64,0.02,3.13
PF00350,0.30,0.28,0.02,7.14
PF00351,0.78,0.78,0.00,0.00
PF00352,0.55,0.55,0.00,0.00
PF00354,0.35,0.35,0.00,0.00
PF00355,0.58,0.54,0.04,7.41
PF00357,0.59,0.57,0.02,3.51
PF00361,0.49,0.49,0.00,0.00
PF00362,0.64,0.64,0.00,0.00
PF00363,,,,
PF00364,0.43,0.43,0.00,0.00
PF00365,0.59,0.60,-0.01,-1.67
PF00366,0.62,0.62,0.00,0.00
PF00368,,,,
PF00370,0.44,0.45,-0.01,-2.22
PF00373,0.17,0.14,0.03,21.43
PF00375,0.62,0.63,-0.01,-1.59
PF00377,0.59,0.59,0.00,0.00
PF00378,0.36,0.35,0.01,2.86
PF00380,0.66,0.65,0.01,1.54
PF00382,0.45,0.44,0.01,2.27
PF00383,0.29,0.30,-0.01,-3.33
PF00384,,,,
PF00385,0.30,0.22,0.08,36.36
PF00386,0.36,0.37,-0.01,-2.70
PF00387,0.57,0.52,0.05,9.62
PF00388,0.64,0.63,0.01,1.59
PF00389,0.27,0.53,-0.26,-49.06
PF00390,0.85,0.85,0.00,0.00
PF00393,,,,
PF00394,,,,
PF00396,0.64,0.62,0.02,3.23
PF00397,0.52,0.48,0.04,8.33
PF00398,0.46,0.45,0.01,2.22
PF00400,0.13,0.08,0.05,62.50
PF00402,0.78,0.78,0.00,0.00
PF00403,0.48,0.42,0.06,14.29
PF00405,0.57,0.56,0.01,1.79
PF00406,0.27,0.34,-0.07,-20.59
PF00408,,,,
PF00410,,,,
PF00411,0.63,0.63,0.00,0.00
PF00412,0.23,0.21,0.02,9.52
PF00413,0.48,0.31,0.17,54.84
PF00414,0.66,0.67,-0.01,-1.49
PF00415,0.39,0.23,0.16,69.57
PF00416,,,,
PF00418,0.58,0.55,0.03,5.45
PF00420,,,,
PF00428,0.58,0.58,0.00,0.00
PF00429,0.23,0.23,0.00,0.00
PF00431,0.25,0.20,0.05,25.00
PF00432,0.53,0.37,0.16,43.24
PF00433,0.35,0.32,0.03,9.37
PF00435,0.18,0.15,0.03,20.00
PF00436,,,,
PF00438,0.93,0.92,0.01,1.09
PF00439,0.34,0.24,0.10,41.67
PF00441,0.47,0.46,0.01,2.17
PF00443,0.09,0.10,-0.01,-10.00
PF00444,,,,
PF00445,,,,
PF00446,0.85,0.85,0.00,0.00
PF00447,0.50,0.50,0.00,0.00
PF00448,0.62,0.62,0.00,0.00
PF00450,0.51,0.51,0.00,0.00
PF00452,0.38,0.36,0.02,5.56
PF00453,,,,
PF00454,0.29,0.26,0.03,11.54
PF00456,0.71,0.70,0.01,1.43
PF00458,0.54,0.49,0.05,10.20
PF00459,0.38,0.39,-0.01,-2.56
PF00462,0.41,0.41,0.00,0.00
PF00464,0.85,0.85,0.00,0.00
PF00465,,,,
PF00466,0.56,0.54,0.02,3.70
PF00467,0.43,0.40,0.03,7.50
PF00468,,,,
PF00471,,,,
PF00472,0.47,0.45,0.02,4.44
PF00473,0.57,0.56,0.01,1.79
PF00474,0.49,0.49,0.00,0.00
PF00476,0.64,0.63,0.01,1.59
PF00478,0.31,0.58,-0.27,-46.55
PF00479,0.64,0.64,0.00,0.00
PF00480,,,,
PF00481,0.22,0.19,0.03,15.79
PF00483,0.48,0.47,0.01,2.13
PF00485,0.77,0.78,-0.01,-1.28
PF00487,0.37,0.35,0.02,5.71
PF00488,0.56,0.56,0.00,0.00
PF00489,,,,
PF00490,,,,
PF00491,0.78,0.78,0.00,0.00
PF00493,0.61,0.59,0.02,3.39
PF00494,0.54,0.54,0.00,0.00
PF00498,0.24,0.22,0.02,9.09
PF00499,,,,
PF00501,0.21,0.22,-0.01,-4.55
PF00503,0.56,0.56,0.00,0.00
PF00505,0.43,0.43,0.00,0.00
PF00507,,,,
PF00510,,,,
PF00514,0.28,0.26,0.02,7.69
PF00515,0.39,0.37,0.02,5.41
PF00517,0.91,0.87,0.04,4.60
PF00520,0.14,0.14,0.00,0.00
PF00521,0.89,0.89,0.00,0.00
PF00525,0.56,0.52,0.04,7.69
PF00530,0.34,0.35,-0.01,-2.86
PF00531,0.28,0.27,0.01,3.70
PF00533,0.25,0.23,0.02,8.70
PF00534,0.38,0.38,0.00,0.00
PF00535,0.39,0.35,0.04,11.43
PF00536,0.29,0.28,0.01,3.57
PF00538,0.54,0.44,0.10,22.73
PF00542,,,,
PF00549,0.49,0.49,0.00,0.00
PF00550,0.38,0.37,0.01,2.70
PF00551,0.53,0.50,0.03,6.00
PF00552,1.00,0.99,0.01,1.01
PF00554,0.40,0.42,-0.02,-4.76
PF00557,0.30,0.25,0.05,20.00
PF00560,0.48,0.52,-0.04,-7.69
PF00561,0.19,0.14,0.05,35.71
PF00562,0.62,0.62,0.00,0.00
PF00564,0.29,0.25,0.04,16.00
PF00565,0.36,0.39,-0.03,-7.69
PF00566,0.25,0.20,0.05,25.00
PF00567,0.25,0.20,0.05,25.00
PF00568,0.39,0.40,-0.01,-2.50
PF00569,0.36,0.35,0.01,2.86
PF00570,0.46,0.46,0.00,0.00
PF00571,0.28,0.23,0.05,21.74
PF00572,0.61,0.61,0.00,0.00
PF00573,0.56,0.56,0.00,0.00
PF00574,,,,
PF00575,0.33,0.33,0.00,0.00
PF00576,,,,
PF00578,0.65,0.66,-0.01,-1.52
PF00579,0.39,0.38,0.01,2.63
PF00581,0.20,0.20,0.00,0.00
PF00583,0.22,0.21,0.01,4.76
PF00584,,,,
PF00586,0.59,0.57,0.02,3.51
PF00587,0.34,0.25,0.09,36.00
PF00588,0.46,0.46,0.00,0.00
PF00590,,,,
PF00591,,,,
PF00594,0.68,0.66,0.02,3.03
PF00595,0.24,0.22,0.02,9.09
PF00596,0.59,0.58,0.01,1.72
PF00605,0.56,0.56,0.00,0.00
PF00607,0.97,0.98,-0.01,-1.02
PF00609,0.53,0.53,0.00,0.00
PF00610,0.32,0.31,0.01,3.23
PF00611,0.36,0.36,0.00,0.00
PF00612,0.37,0.34,0.03,8.82
PF00613,0.38,0.36,0.02,5.56
PF00614,0.84,0.88,-0.04,-4.55
PF00615,0.29,0.25,0.04,16.00
PF00616,0.25,0.26,-0.01,-3.85
PF00617,0.25,0.23,0.02,8.70
PF00618,0.24,0.21,0.03,14.29
PF00619,0.30,0.29,0.01,3.45
PF00620,0.27,0.24,0.03,12.50
PF00621,0.27,0.25,0.02,8.00
PF00622,0.20,0.17,0.03,17.65
PF00623,0.65,0.65,0.00,0.00
PF00625,0.28,0.27,0.01,3.70
PF00626,0.26,0.24,0.02,8.33
PF00627,0.37,0.37,0.00,0.00
PF00628,0.34,0.28,0.06,21.43
PF00629,0.28,0.25,0.03,12.00
PF00630,0.30,0.25,0.05,20.00
PF00631,0.45,0.44,0.01,2.27
PF00632,0.29,0.27,0.02,7.41
PF00633,0.66,0.64,0.02,3.13
PF00634,0.52,0.50,0.02,4.00
PF00635,0.50,0.46,0.04,8.70
PF00636,0.47,0.41,0.06,14.63
PF00637,0.30,0.30,0.00,0.00
PF00638,0.55,0.50,0.05,10.00
PF00639,,,,
PF00640,0.21,0.22,-0.01,-4.55
PF00641,0.41,0.38,0.03,7.89
PF00642,0.37,0.33,0.04,12.12
PF00643,0.30,0.26,0.04,15.38
PF00644,0.26,0.27,-0.01,-3.70
PF00645,0.56,0.56,0.00,0.00
PF00646,0.36,0.31,0.05,16.13
PF00647,,,,
PF00648,0.40,0.38,0.02,5.26
PF00650,0.44,0.44,0.00,0.00
PF00651,0.18,0.17,0.01,5.88
PF00652,0.30,0.30,0.00,0.00
PF00653,0.53,0.53,0.00,0.00
PF00654,0.46,0.45,0.01,2.22
PF00656,0.34,0.33,0.01,3.03
PF00657,0.50,0.51,-0.01,-1.96
PF00658,0.82,0.79,0.03,3.80
PF00659,0.44,0.43,0.01,2.33
PF00662,,,,
PF00664,0.22,0.19,0.03,15.79
PF00665,0.96,0.86,0.10,11.63
PF00666,0.56,0.56,0.00,0.00
PF00667,0.52,0.52,0.00,0.00
PF00670,0.81,0.81,0.00,0.00
PF00673,,,,
PF00675,0.41,0.40,0.01,2.50
PF00676,0.44,0.44,0.00,0.00
PF00679,0.47,0.47,0.00,0.00
PF00681,0.50,0.36,0.14,38.89
PF00682,0.59,0.62,-0.03,-4.84
PF00683,0.37,0.34,0.03,8.82
PF00684,0.68,0.68,0.00,0.00
PF00685,0.22,0.22,0.00,0.00
PF00686,0.45,0.42,0.03,7.14
PF00687,0.46,0.42,0.04,9.52
PF00688,0.20,0.18,0.02,11.11
PF00689,0.39,0.40,-0.01,-2.50
PF00690,0.38,0.34,0.04,11.76
PF00692,0.59,0.59,0.00,0.00
PF00694,0.62,0.62,0.00,0.00
PF00696,,,,
PF00698,0.59,0.58,0.01,1.72
PF00701,0.62,0.62,0.00,0.00
PF00702,0.29,0.25,0.04,16.00
PF00703,,,,
PF00704,0.48,0.44,0.04,9.09
PF00705,,,,
PF00708,0.80,0.80,0.00,0.00
PF00709,0.90,0.90,0.00,0.00
PF00710,,,,
PF00711,0.57,0.57,0.00,0.00
PF00714,,,,
PF00715,,,,
PF00717,0.89,0.87,0.02,2.30
PF00719,0.87,0.87,0.00,0.00
PF00723,0.65,0.66,-0.01,-1.52
PF00725,0.41,0.40,0.01,2.50
PF00726,0.42,0.41,0.01,2.44
PF00727,,,,
PF00728,0.57,0.56,0.01,1.79
PF00730,0.25,0.46,-0.21,-45.65
PF00731,,,,
PF00732,,,,
PF00733,0.36,0.36,0.00,0.00
PF00735,0.63,0.62,0.01,1.61
PF00736,0.90,0.93,-0.03,-3.23
PF00743,0.70,0.70,0.00,0.00
PF00748,0.50,0.39,0.11,28.21
PF00749,0.54,0.54,0.00,0.00
PF00750,0.66,0.65,0.01,1.54
PF00751,0.83,0.83,0.00,0.00
PF00752,0.43,0.43,0.00,0.00
PF00753,0.28,0.24,0.04,16.67
PF00754,0.30,0.29,0.01,3.45
PF00755,0.48,0.48,0.00,0.00
PF00756,,,,
PF00757,0.48,0.47,0.01,2.13
PF00758,0.61,0.61,0.00,0.00
PF00762,,,,
PF00763,0.55,0.54,0.01,1.85
PF00764,,,,
PF00766,,,,
PF00769,0.71,0.71,0.00,0.00
PF00773,0.52,0.51,0.01,1.96
PF00777,0.30,0.29,0.01,3.45
PF00778,0.65,0.65,0.00,0.00
PF00779,0.54,0.51,0.03,5.88
PF00780,0.28,0.26,0.02,7.69
PF00781,0.35,0.33,0.02,6.06
PF00782,0.34,0.32,0.02,6.25
PF00784,0.39,0.40,-0.01,-2.50
PF00786,0.34,0.32,0.02,6.25
PF00787,0.24,0.22,0.02,9.09
PF00788,0.23,0.20,0.03,15.00
PF00789,0.35,0.35,0.00,0.00
PF00790,0.51,0.51,0.00,0.00
PF00791,0.37,0.38,-0.01,-2.63
PF00792,0.35,0.35,0.00,0.00
PF00794,0.38,0.39,-0.01,-2.56
PF00795,0.32,0.30,0.02,6.67
PF00797,0.90,0.91,-0.01,-1.10
PF00801,0.26,0.26,0.00,0.00
PF00804,0.60,0.64,-0.04,-6.25
PF00805,0.64,0.55,0.09,16.36
PF00806,0.44,0.38,0.06,15.79
PF00808,0.46,0.45,0.01,2.22
PF00809,,,,
PF00810,0.88,0.88,0.00,0.00
PF00811,,,,
PF00812,0.51,0.49,0.02,4.08
PF00814,,,,
PF00817,0.38,0.44,-0.06,-13.64
PF00821,0.87,0.87,0.00,0.00
PF00822,0.31,0.31,0.00,0.00
PF00827,,,,
PF00828,0.57,0.57,0.00,0.00
PF00829,,,,
PF00830,,,,
PF00831,,,,
PF00832,0.96,0.96,0.00,0.00
PF00833,,,,
PF00834,0.98,0.98,0.00,0.00
PF00835,0.70,0.70,0.00,0.00
PF00836,0.65,0.63,0.02,3.17
PF00837,0.57,0.57,0.00,0.00
PF00838,0.73,0.72,0.01,1.39
PF00839,0.33,0.30,0.03,10.00
PF00841,,,,
PF00849,0.45,0.46,-0.01,-2.17
PF00850,0.48,0.48,0.00,0.00
PF00852,0.71,0.70,0.01,1.43
PF00853,0.97,0.97,0.00,0.00
PF00854,0.31,0.31,0.00,0.00
PF00855,0.33,0.28,0.05,17.86
PF00856,0.10,0.10,0.00,0.00
PF00857,0.75,0.74,0.01,1.35
PF00858,0.41,0.41,0.00,0.00
PF00859,0.61,0.61,0.00,0.00
PF00860,0.66,0.67,-0.01,-1.49
PF00861,,,,
PF00864,0.58,0.57,0.01,1.75
PF00865,,,,
PF00867,0.57,0.57,0.00,0.00
PF00868,0.47,0.45,0.02,4.44
PF00870,0.81,0.82,-0.01,-1.22
PF00875,0.88,0.85,0.03,3.53
PF00876,0.47,0.45,0.02,4.44
PF00878,0.29,0.28,0.01,3.57
PF00879,0.69,0.69,0.00,0.00
PF00880,0.39,0.36,0.03,8.33
PF00881,,,,
PF00882,,,,
PF00883,0.65,0.65,0.00,0.00
PF00884,0.33,0.34,-0.01,-2.94
PF00886,,,,
PF00887,0.53,0.54,-0.01,-1.85
PF00888,0.32,0.30,0.02,6.67
PF00889,,,,
PF00890,,,,
PF00891,0.73,0.73,0.00,0.00
PF00892,0.33,0.32,0.01,3.13
PF00895,,,,
PF00899,0.17,0.24,-0.07,-29.17
PF00900,0.96,0.96,0.00,0.00
PF00903,0.37,0.43,-0.06,-13.95
PF00904,0.76,0.58,0.18,31.03
PF00907,0.57,0.57,0.00,0.00
PF00909,0.55,0.55,0.00,0.00
PF00916,0.47,0.47,0.00,0.00
PF00918,0.55,0.55,0.00,0.00
PF00919,0.61,0.60,0.01,1.67
PF00923,,,,
PF00927,0.33,0.33,0.00,0.00
PF00928,0.34,0.33,0.01,3.03
PF00929,0.31,0.33,-0.02,-6.06
PF00930,0.44,0.44,0.00,0.00
PF00931,,,,
PF00932,0.54,0.50,0.04,8.00
PF00935,0.99,0.99,0.00,0.00
PF00939,0.56,0.57,-0.01,-1.75
PF00940,,,,
PF00941,0.70,0.70,0.00,0.00
PF00953,,,,
PF00955,0.48,0.50,-0.02,-4.00
PF00956,0.22,0.24,-0.02,-8.33
PF00957,0.47,0.45,0.02,4.44
PF00958,,,,
PF00962,0.48,0.48,0.00,0.00
PF00965,0.63,0.63,0.00,0.00
PF00969,0.65,0.65,0.00,0.00
PF00970,0.59,0.58,0.01,1.72
PF00975,0.56,0.55,0.01,1.82
PF00976,0.65,0.63,0.02,3.17
PF00984,,,,
PF00988,0.71,0.71,0.00,0.00
PF00989,0.29,0.27,0.02,7.41
PF00992,0.52,0.45,0.07,15.56
PF00993,0.61,0.61,0.00,0.00
PF00994,0.44,0.44,0.00,0.00
PF00995,0.32,0.30,0.02,6.67
PF00996,0.49,0.36,0.13,36.11
PF00997,,,,
PF00999,0.34,0.33,0.01,3.03
PF01000,0.63,0.64,-0.01,-1.56
PF01007,0.55,0.56,-0.01,-1.79
PF01008,0.45,0.45,0.00,0.00
PF01012,0.55,0.55,0.00,0.00
PF01015,,,,
PF01016,,,,
PF01017,0.46,0.37,0.09,24.32
PF01018,0.59,0.60,-0.01,-1.67
PF01019,0.53,0.51,0.02,3.92
PF01020,,,,
PF01023,0.46,0.43,0.03,6.98
PF01025,0.72,0.69,0.03,4.35
PF01026,0.47,0.48,-0.01,-2.08
PF01027,0.45,0.46,-0.01,-2.17
PF01028,0.89,0.89,0.00,0.00
PF01030,0.40,0.39,0.01,2.56
PF01031,0.59,0.58,0.01,1.72
PF01033,0.49,0.48,0.01,2.08
PF01034,0.51,0.45,0.06,13.33
PF01035,,,,
PF01039,0.52,0.52,0.00,0.00
PF01040,0.46,0.46,0.00,0.00
PF01042,,,,
PF01044,0.33,0.25,0.08,32.00
PF01048,0.45,0.45,0.00,0.00
PF01049,0.61,0.59,0.02,3.39
PF01053,,,,
PF01055,0.46,0.48,-0.02,-4.17
PF01056,0.27,0.32,-0.05,-15.62
PF01058,,,,
PF01059,,,,
PF01061,0.52,0.51,0.01,1.96
PF01062,0.77,0.74,0.03,4.05
PF01063,0.76,0.78,-0.02,-2.56
PF01064,0.35,0.32,0.03,9.37
PF01066,0.36,0.33,0.03,9.09
PF01067,0.37,0.35,0.02,5.71
PF01068,0.54,0.54,0.00,0.00
PF01070,0.73,0.72,0.01,1.39
PF01071,,,,
PF01073,0.54,0.54,0.00,0.00
PF01074,0.50,0.50,0.00,0.00
PF01079,0.62,0.62,0.00,0.00
PF01080,0.55,0.53,0.02,3.77
PF01082,0.52,0.51,0.01,1.96
PF01084,0.62,0.60,0.02,3.33
PF01085,0.90,0.90,0.00,0.00
PF01086,0.77,0.75,0.02,2.67
PF01087,,,,
PF01088,0.52,0.52,0.00,0.00
PF01090,,,,
PF01091,0.75,0.74,0.01,1.35
PF01092,,,,
PF01093,0.61,0.61,0.00,0.00
PF01094,0.20,0.18,0.02,11.11
