Pfam_code,mean_%conservation,blosum62_global_mean,perc_gaps
PF00206,0.58,0.2,0.06
PF00207,0.52,1.83,0.05
PF00209,0.74,2.66,0.01
PF00211,0.58,2.14,0.07
PF00213,,,0.0
PF00215,,,0.0
PF00217,,,0.0
PF00220,0.89,5.22,0.0
PF00224,,,0.0
PF00225,0.39,1.64,0.3
PF00226,0.64,2.56,0.08
PF00229,0.36,0.72,0.18
PF00230,0.74,2.63,0.02
PF00232,0.72,2.54,0.01
PF00236,,,0.0
PF00240,0.38,0.71,0.13
PF00245,,,0.0
PF00246,0.54,1.55,0.09
PF00249,0.43,0.98,0.06
PF00254,0.54,1.14,0.05
PF00255,0.69,-inf,0.03
PF00258,0.45,1.51,0.23
PF00261,,,0.0
PF00270,0.39,1.04,0.23
PF00271,0.31,1.04,0.28
PF00282,,,0.0
PF00287,,,0.0
PF00288,0.45,0.72,0.19
PF00289,,,0.0
PF00292,0.87,3.99,0.0
PF00293,0.35,0.15,0.21
PF00297,,,0.0
PF00307,0.28,0.61,0.24
PF00313,,,0.0
PF00320,0.54,1.32,0.04
PF00324,,,0.0
PF00328,0.86,3.94,0.02
PF00334,,,0.0
PF00335,0.34,0.89,0.25
PF00337,0.49,1.44,0.08
PF00340,0.58,0.37,0.09
PF00341,,,0.0
PF00342,,,0.0
PF00350,,,0.0
PF00354,0.76,2.84,0.01
PF00357,0.72,3.0,0.0
PF00364,0.59,1.57,0.01
PF00370,,,0.0
PF00373,0.47,0.99,0.09
PF00378,0.6,0.63,0.03
PF00382,0.56,0.01,0.02
PF00383,0.56,0.24,0.14
PF00384,,,0.0
PF00385,0.36,1.54,0.28
PF00386,0.43,1.13,0.08
PF00388,0.69,2.94,0.02
PF00389,,,0.0
PF00390,0.84,3.8,0.0
PF00394,,,0.0
PF00396,0.64,3.29,0.0
PF00397,0.58,1.7,0.02
PF00400,0.18,0.7,0.47
PF00405,0.69,2.69,0.05
PF00406,,,0.0
PF00412,0.41,1.26,0.06
PF00413,0.64,2.73,0.06
PF00415,0.61,0.67,0.06
PF00420,,,0.0
PF00431,0.45,1.49,0.09
PF00432,0.42,0.65,0.03
PF00435,0.28,0.57,0.15
PF00439,0.46,0.6,0.07
PF00443,0.35,0.7,0.39
PF00447,,,0.0
PF00448,,,0.0
PF00450,,,0.0
PF00454,0.56,2.11,0.13
PF00459,,,0.0
PF00462,0.84,3.85,0.0
PF00464,0.85,3.76,0.0
PF00467,0.42,0.75,0.04
PF00473,,,0.0
PF00474,0.83,3.79,0.0
PF00481,0.43,0.59,0.16
PF00487,,,0.0
PF00488,,,0.0
PF00491,,,0.0
PF00498,0.3,0.63,0.26
PF00501,0.44,1.26,0.22
PF00503,0.7,2.55,0.03
PF00505,0.52,1.22,0.0
PF00514,0.3,0.56,0.14
PF00515,0.4,0.82,0.0
PF00520,0.19,0.68,0.48
PF00530,0.44,1.7,0.17
PF00531,0.35,0.56,0.11
PF00533,0.27,0.27,0.2
PF00535,0.44,0.2,0.07
PF00536,0.37,0.92,0.13
PF00554,,,0.0
PF00560,0.31,0.28,0.13
PF00561,0.41,-0.37,0.1
PF00564,0.38,0.66,0.09
PF00567,0.41,0.64,0.07
PF00568,0.57,0.33,0.05
PF00571,0.37,0.33,0.23
PF00573,,,0.0
PF00579,,,0.0
PF00583,0.37,-0.17,0.16
PF00587,,,0.0
PF00588,,,0.0
PF00591,,,0.0
PF00595,0.39,0.86,0.13
PF00596,,,0.0
PF00607,,,0.0
PF00609,0.62,1.99,0.08
PF00610,0.39,0.88,0.15
PF00612,0.44,1.21,0.0
PF00613,0.53,1.02,0.08
PF00615,0.44,1.23,0.06
PF00616,,,0.0
PF00618,0.42,0.19,0.26
PF00619,0.33,0.49,0.1
PF00620,0.33,1.18,0.26
PF00621,0.36,0.89,0.21
PF00622,0.33,0.66,0.24
PF00623,0.7,2.19,0.05
PF00625,0.57,0.37,0.09
PF00626,0.31,0.53,0.14
PF00627,0.43,1.02,0.04
PF00628,0.36,1.93,0.22
PF00629,0.33,0.95,0.22
PF00630,0.5,0.99,0.12
PF00631,0.57,1.71,0.01
PF00632,0.65,1.54,0.07
PF00633,,,0.0
PF00634,,,0.0
PF00635,0.53,0.91,0.09
PF00637,0.54,-0.39,0.04
PF00638,0.69,2.88,0.02
PF00640,0.44,1.29,0.18
PF00641,0.5,2.21,0.08
PF00642,0.45,1.55,0.04
PF00643,0.51,1.65,0.04
PF00644,0.57,0.54,0.15
PF00646,0.61,0.69,0.05
PF00650,,,0.0
PF00651,0.34,1.11,0.22
PF00652,0.36,0.81,0.19
PF00653,,,0.0
PF00656,0.41,1.18,0.22
PF00657,,,0.0
PF00664,0.4,-0.02,0.05
PF00665,,,0.0
PF00666,,,0.0
PF00667,0.77,2.95,0.02
PF00670,,,0.0
PF00675,0.58,0.49,0.05
PF00676,0.57,0.25,0.05
PF00679,,,0.0
PF00681,0.53,1.26,0.0
PF00682,,,0.0
PF00685,0.46,1.14,0.16
PF00689,,,0.0
PF00692,,,0.0
PF00694,,,0.0
PF00698,,,0.0
PF00702,0.38,0.34,0.27
PF00704,0.76,2.99,0.01
PF00705,,,0.0
PF00725,0.56,1.4,0.07
PF00730,0.48,0.54,0.13
PF00733,,,0.0
PF00743,0.73,2.88,0.0
PF00749,0.7,1.93,0.01
PF00750,,,0.0
PF00752,0.67,1.75,0.05
PF00754,0.44,1.68,0.17
PF00755,0.61,1.14,0.09
PF00756,,,0.0
PF00757,0.72,3.01,0.03
PF00780,0.44,0.33,0.18
PF00781,0.43,1.14,0.18
PF00782,0.61,2.17,0.06
PF00786,0.49,0.89,0.06
PF00787,0.27,0.88,0.33
PF00788,0.33,0.2,0.14
PF00789,0.48,0.81,0.05
PF00790,0.65,2.04,0.03
PF00792,0.46,1.07,0.15
PF00794,0.52,0.9,0.03
PF00797,,,0.0
PF00801,0.29,0.53,0.28
PF00808,,,0.0
PF00811,,,0.0
PF00822,0.46,1.33,0.12
PF00837,0.66,-inf,0.08
PF00839,0.49,0.84,0.09
PF00850,,,0.0
PF00852,0.98,5.26,0.0
PF00854,,,0.0
PF00856,0.52,-0.37,0.28
PF00865,,,0.0
PF00867,0.69,1.7,0.02
PF00870,0.8,3.28,0.01
PF00878,0.63,1.32,0.07
PF00879,,,0.0
PF00880,0.66,1.11,0.0
PF00884,0.54,1.52,0.16
PF00887,,,0.0
PF00891,,,0.0
PF00899,0.36,0.38,0.33
PF00903,,,0.0
PF00909,,,0.0
PF00916,0.68,1.88,0.01
PF00927,0.33,0.36,0.08
PF00928,0.44,0.36,0.18
PF00929,,,0.0
PF00930,0.58,0.51,0.11
PF00931,,,0.0
PF00932,,,0.0
PF00939,,,0.0
PF00941,,,0.0
PF00957,0.63,1.79,0.0
PF00965,,,0.0
PF00969,0.74,3.34,0.01
PF00970,0.79,3.39,0.0
PF00975,,,0.0
PF00989,0.6,0.93,0.07
PF00997,,,0.0
PF00999,0.59,1.95,0.07
PF01008,,,0.0
PF01019,0.58,1.44,0.06
PF01023,,,0.0
PF01026,,,0.0
PF01030,0.42,1.48,0.17
PF01039,0.65,1.9,0.08
PF01044,,,0.0
PF01049,,,0.0
PF01053,,,0.0
PF01064,0.62,1.72,0.06
PF01068,0.54,1.21,0.05
PF01071,,,0.0
PF01073,,,0.0
PF01074,0.64,1.45,0.06
PF01079,,,0.0
PF01093,0.61,1.02,0.06
PF01094,0.31,0.65,0.32
PF01099,0.54,1.13,0.06
PF01102,,,0.0
PF01105,0.67,2.28,0.05
PF01108,0.38,0.81,0.24
PF01109,,,0.0
PF01110,,,0.0
PF01112,,,0.0
PF01114,,,0.0
PF01119,,,0.0
PF01122,,,0.0
PF01124,,,0.0
PF01126,,,0.0
PF01129,0.65,1.54,0.07
PF01144,0.56,-0.15,0.09
PF01148,,,0.0
PF01150,,,0.0
PF01151,0.61,0.93,0.04
PF01153,,,0.0
PF01163,0.57,1.47,0.06
PF01166,,,0.0
PF01167,,,0.0
PF01182,,,0.0
PF01187,,,0.0
PF01189,,,0.0
PF01202,,,0.0
PF01204,,,0.0
PF01213,,,0.0
PF01216,,,0.0
PF01217,,,0.0
PF01230,,,0.0
PF01231,,,0.0
PF01234,0.69,1.87,0.02
PF01238,,,0.0
PF01244,,,0.0
PF01248,0.43,0.57,0.09
PF01254,,,0.0
PF01271,0.57,0.61,0.17
PF01273,0.32,0.44,0.17
PF01284,0.36,0.51,0.14
PF01287,,,0.0
PF01291,,,0.0
PF01299,,,0.0
PF01323,,,0.0
PF01331,,,0.0
PF01344,0.43,1.29,0.1
PF01347,,,0.0
PF01352,,,0.0
PF01363,0.58,2.38,0.03
PF01380,0.56,-0.13,0.03
PF01387,,,0.0
PF01390,0.5,1.03,0.08
PF01391,0.56,2.09,0.0
PF01394,0.57,-0.31,0.03
PF01396,,,0.0
PF01398,0.34,0.3,0.25
PF01399,0.26,0.3,0.27
PF01400,0.63,2.08,0.02
PF01401,0.77,3.09,0.0
PF01410,0.89,4.56,0.0
PF01411,,,0.0
PF01412,0.56,1.22,0.02
PF01417,,,0.0
PF01421,0.51,1.62,0.05
PF01425,,,0.0
PF01426,0.36,0.1,0.29
PF01429,0.53,1.16,0.02
PF01431,,,0.0
PF01432,,,0.0
PF01433,0.67,2.61,0.03
PF01434,,,0.0
PF01435,,,0.0
PF01436,0.39,0.98,0.09
PF01437,0.22,1.48,0.48
PF01442,,,0.0
PF01451,,,0.0
PF01459,,,0.0
PF01462,0.39,1.36,0.2
PF01463,0.43,0.89,0.04
PF01467,,,0.0
PF01471,0.43,1.11,0.13
PF01472,,,0.0
PF01477,0.34,0.78,0.22
PF01483,,,0.0
PF01485,,,0.0
PF01490,,,0.0
PF01496,,,0.0
PF01500,0.86,5.4,0.09
PF01510,0.67,2.06,0.05
PF01529,,,0.0
PF01531,,,0.0
PF01532,0.58,2.05,0.1
PF01535,0.44,0.74,0.0
PF01551,,,0.0
PF01553,0.49,0.95,0.11
PF01562,,,0.0
PF01564,0.62,0.83,0.06
PF01575,,,0.0
PF01582,0.41,0.85,0.15
PF01583,,,0.0
PF01585,0.51,1.71,0.07
PF01588,0.81,3.39,0.02
PF01590,0.57,0.29,0.09
PF01591,,,0.0
PF01593,,,0.0
PF01602,0.44,0.88,0.15
PF01612,,,0.0
PF01624,0.55,-0.08,0.09
PF01630,,,0.0
PF01650,,,0.0
PF01661,0.55,1.06,0.03
PF01663,0.64,2.25,0.05
PF01667,,,0.0
PF01694,0.52,0.76,0.07
PF01699,0.57,0.17,0.05
PF01712,0.61,2.22,0.09
PF01729,,,0.0
PF01731,0.86,4.07,0.0
PF01733,0.69,2.2,0.07
PF01740,0.54,1.27,0.08
PF01751,,,0.0
PF01753,0.45,2.49,0.24
PF01755,,,0.0
PF01756,,,0.0
PF01758,0.65,1.35,0.02
PF01759,0.35,0.46,0.12
PF01762,,,0.0
PF01770,0.7,2.29,0.04
PF01812,,,0.0
PF01822,0.52,1.22,0.12
PF01823,,,0.0
PF01825,,,0.0
PF01826,0.53,2.49,0.11
PF01833,0.28,0.34,0.29
PF01835,0.68,2.19,0.02
PF01839,0.46,2.35,0.15
PF01842,,,0.0
PF01846,0.47,1.21,0.09
PF01852,0.45,0.41,0.08
PF01878,,,0.0
PF01896,,,0.0
PF01909,0.47,0.23,0.14
PF01920,0.46,0.26,0.01
PF01926,0.39,0.9,0.28
PF01963,,,0.0
PF01966,,,0.0
PF01991,,,0.0
PF02002,,,0.0
PF02005,,,0.0
PF02022,,,0.0
PF02023,0.62,0.69,0.0
PF02024,,,0.0
PF02037,0.72,2.41,0.0
PF02038,0.63,1.85,0.0
PF02055,,,0.0
PF02058,0.68,2.23,0.07
PF02063,,,0.0
PF02077,,,0.0
PF02083,,,0.0
PF02101,,,0.0
PF02106,,,0.0
PF02136,,,0.0
PF02140,,,0.0
PF02141,0.59,1.67,0.04
PF02142,0.56,-0.26,0.1
PF02148,0.65,1.9,0.11
PF02171,,,0.0
PF02172,,,0.0
PF02173,,,0.0
PF02174,0.73,2.14,0.0
PF02176,0.5,1.52,0.05
PF02181,0.44,1.16,0.08
PF02197,0.68,1.55,0.0
PF02198,0.46,1.21,0.07
PF02204,,,0.0
PF02205,0.52,1.27,0.06
PF02210,0.2,0.71,0.44
PF02212,,,0.0
PF02214,0.56,2.08,0.05
PF02219,,,0.0
PF02221,,,0.0
PF02223,,,0.0
PF02230,,,0.0
PF02259,,,0.0
PF02263,0.59,2.24,0.08
PF02269,0.64,1.34,0.02
PF02272,,,0.0
PF02275,,,0.0
PF02295,0.59,0.78,0.01
PF02297,,,0.0
PF02301,,,0.0
PF02319,,,0.0
PF02337,,,0.0
PF02338,0.43,0.37,0.25
PF02344,,,0.0
PF02347,,,0.0
PF02351,,,0.0
PF02366,0.66,1.74,0.05
PF02368,,,0.0
PF02373,0.54,1.46,0.05
PF02374,,,0.0
PF02389,,,0.0
PF02423,,,0.0
PF02434,0.61,1.79,0.07
PF02441,,,0.0
PF02469,0.36,0.82,0.14
PF02485,0.71,2.39,0.03
PF02493,0.47,1.43,0.01
PF02494,0.79,3.3,0.0
PF02516,,,0.0
PF02518,0.78,3.47,0.1
PF02535,0.52,1.2,0.15
PF02544,0.79,3.19,0.0
PF02597,,,0.0
PF02636,,,0.0
PF02637,,,0.0
PF02678,,,0.0
PF02709,,,0.0
PF02727,0.72,2.06,0.0
PF02728,,,0.0
PF02732,,,0.0
PF02744,,,0.0
PF02750,,,0.0
PF02752,0.51,1.27,0.07
PF02758,0.63,1.23,0.06
PF02759,0.43,0.82,0.24
PF02760,,,0.0
PF02769,0.43,-0.21,0.12
PF02771,0.62,1.06,0.03
PF02779,0.55,1.1,0.16
PF02780,,,0.0
PF02781,,,0.0
PF02784,,,0.0
PF02785,,,0.0
PF02786,0.61,0.63,0.03
PF02793,0.53,1.57,0.11
PF02798,0.47,0.18,0.09
PF02801,,,0.0
PF02803,0.73,2.3,0.01
PF02806,,,0.0
PF02815,0.6,0.66,0.05
PF02816,,,0.0
PF02818,0.72,2.54,0.01
PF02824,0.59,0.62,0.09
PF02827,,,0.0
PF02836,,,0.0
PF02841,0.89,3.95,0.0
PF02845,0.6,0.71,0.0
PF02847,,,0.0
PF02852,0.7,2.18,0.02
PF02854,0.35,0.4,0.2
PF02870,,,0.0
PF02872,,,0.0
PF02880,,,0.0
PF02882,,,0.0
PF02883,0.55,-0.24,0.08
PF02886,0.57,1.21,0.0
PF02889,0.48,0.6,0.08
PF02892,0.59,2.52,0.11
PF02893,0.36,0.09,0.17
PF02897,,,0.0
PF02902,,,0.0
PF02922,,,0.0
PF02931,0.44,1.23,0.08
PF02932,0.79,3.0,0.04
PF02969,0.69,2.06,0.01
PF02984,0.55,0.04,0.1
PF02985,0.38,0.49,0.03
PF02994,,,0.0
PF03016,,,0.0
PF03024,0.47,1.13,0.18
PF03031,,,0.0
PF03051,,,0.0
PF03054,,,0.0
PF03061,0.5,0.62,0.06
PF03062,0.43,0.37,0.12
PF03068,0.73,3.15,0.04
PF03071,,,0.0
PF03083,0.61,0.74,0.0
PF03096,,,0.0
PF03098,,,0.0
PF03099,,,0.0
PF03104,,,0.0
PF03109,,,0.0
PF03114,0.47,0.38,0.11
PF03129,0.4,0.17,0.09
PF03131,,,0.0
PF03133,0.44,0.7,0.14
PF03137,,,0.0
PF03143,,,0.0
PF03144,0.55,1.06,0.05
PF03151,,,0.0
PF03153,,,0.0
PF03155,0.6,1.04,0.11
PF03160,,,0.0
PF03165,0.65,1.68,0.07
PF03171,0.77,3.44,0.07
PF03179,0.75,2.92,0.0
PF03184,0.53,0.98,0.06
PF03185,,,0.0
PF03188,0.71,2.18,0.01
PF03190,,,0.0
PF03200,,,0.0
PF03215,,,0.0
PF03221,0.49,1.48,0.1
PF03226,,,0.0
PF03259,,,0.0
PF03281,0.57,1.06,0.2
PF03299,,,0.0
PF03332,0.84,3.74,0.01
PF03351,0.48,0.49,0.06
PF03357,0.4,0.79,0.1
PF03364,,,0.0
PF03370,0.56,1.69,0.17
PF03372,0.27,-0.03,0.37
PF03378,,,0.0
PF03388,,,0.0
PF03399,,,0.0
PF03402,,,0.0
PF03403,0.71,2.27,0.02
PF03404,,,0.0
PF03414,,,0.0
PF03435,,,0.0
PF03446,,,0.0
PF03450,,,0.0
PF03454,,,0.0
PF03464,,,0.0
PF03465,,,0.0
PF03487,,,0.0
PF03516,0.7,2.54,0.04
PF03533,,,0.0
PF03567,0.39,0.89,0.32
PF03572,,,0.0
PF03607,0.65,1.32,0.04
PF03630,,,0.0
PF03643,,,0.0
PF03656,,,0.0
PF03670,,,0.0
PF03700,,,0.0
PF03725,,,0.0
PF03731,0.56,0.14,0.09
PF03770,0.45,1.15,0.31
PF03798,0.37,-0.11,0.14
PF03803,0.72,2.84,0.01
PF03807,0.58,0.61,0.06
PF03810,0.61,0.99,0.05
PF03815,0.73,2.26,0.0
PF03828,0.75,2.77,0.02
PF03847,,,0.0
PF03901,,,0.0
PF03908,,,0.0
PF03921,0.59,1.55,0.02
PF03931,,,0.0
PF03949,0.76,2.84,0.01
PF03953,0.61,1.04,0.03
PF03954,,,0.0
PF03957,,,0.0
PF03959,,,0.0
PF03992,0.64,2.11,0.0
PF03999,,,0.0
PF04006,,,0.0
PF04053,,,0.0
PF04055,0.33,-0.06,0.25
PF04057,,,0.0
PF04072,,,0.0
PF04095,,,0.0
PF04099,,,0.0
PF04100,,,0.0
PF04103,0.39,0.67,0.12
PF04110,,,0.0
PF04114,,,0.0
PF04140,,,0.0
PF04142,0.72,2.23,0.02
PF04177,,,0.0
PF04188,,,0.0
PF04191,,,0.0
PF04193,0.61,0.25,0.0
PF04209,,,0.0
PF04218,,,0.0
PF04258,,,0.0
PF04266,,,0.0
PF04280,,,0.0
PF04300,,,0.0
PF04326,,,0.0
PF04360,,,0.0
PF04434,,,0.0
PF04438,,,0.0
PF04488,,,0.0
PF04499,,,0.0
PF04500,,,0.0
PF04503,,,0.0
PF04538,0.54,0.08,0.22
PF04547,,,0.0
PF04548,0.56,1.98,0.07
PF04549,,,0.0
PF04560,0.74,2.83,0.03
PF04564,0.57,1.6,0.07
PF04579,,,0.0
PF04588,,,0.0
PF04593,,,0.0
PF04598,0.5,0.99,0.05
PF04603,,,0.0
PF04628,,,0.0
PF04629,,,0.0
PF04680,,,0.0
PF04691,,,0.0
PF04707,0.54,1.14,0.04
PF04712,,,0.0
PF04732,0.5,0.71,0.16
PF04750,,,0.0
PF04757,,,0.0
PF04790,,,0.0
PF04802,,,0.0
PF04803,,,0.0
PF04811,0.65,2.64,0.02
PF04815,,,0.0
PF04819,,,0.0
PF04824,,,0.0
PF04826,,,0.0
PF04841,,,0.0
PF04845,0.78,3.54,0.08
PF04847,0.82,3.61,0.02
PF04849,,,0.0
PF04857,,,0.0
PF04908,0.7,2.75,0.04
PF04909,,,0.0
PF04912,,,0.0
PF04952,,,0.0
PF04969,0.56,0.06,0.16
PF04970,0.79,3.08,0.0
PF04983,,,0.0
PF04997,,,0.0
PF04998,,,0.0
PF05000,,,0.0
PF05001,,,0.0
PF05004,,,0.0
PF05008,,,0.0
PF05039,,,0.0
PF05063,0.64,1.56,0.06
PF05066,,,0.0
PF05083,,,0.0
PF05147,,,0.0
PF05148,,,0.0
PF05185,,,0.0
PF05186,0.7,2.14,0.0
PF05188,0.44,0.21,0.08
PF05190,0.37,0.11,0.15
PF05193,0.34,0.05,0.16
PF05205,,,0.0
PF05217,,,0.0
PF05219,,,0.0
PF05225,,,0.0
PF05250,,,0.0
PF05279,,,0.0
PF05287,0.45,0.82,0.2
PF05296,0.49,1.41,0.04
PF05300,,,0.0
PF05308,,,0.0
PF05337,,,0.0
PF05347,,,0.0
PF05350,,,0.0
PF05399,,,0.0
PF05406,0.75,2.86,0.01
PF05454,,,0.0
PF05458,,,0.0
PF05461,0.62,1.93,0.03
PF05470,,,0.0
PF05474,,,0.0
PF05477,,,0.0
PF05478,0.63,1.22,0.01
PF05483,,,0.0
PF05507,,,0.0
PF05510,,,0.0
PF05544,,,0.0
PF05577,,,0.0
PF05602,,,0.0
PF05609,0.81,3.36,0.01
PF05622,,,0.0
PF05648,0.6,0.7,0.09
PF05653,,,0.0
PF05686,,,0.0
PF05693,,,0.0
PF05699,0.53,-0.41,0.08
PF05706,,,0.0
PF05716,,,0.0
PF05721,0.56,0.55,0.17
PF05726,,,0.0
PF05729,0.39,1.02,0.16
PF05739,0.49,1.1,0.0
PF05741,,,0.0
PF05743,,,0.0
PF05760,,,0.0
PF05770,,,0.0
PF05773,0.37,0.42,0.31
PF05781,,,0.0
PF05782,,,0.0
PF05790,0.54,-0.27,0.1
PF05793,,,0.0
PF05804,,,0.0
PF05805,,,0.0
PF05817,,,0.0
PF05831,0.65,1.95,0.05
PF05889,,,0.0
PF05903,,,0.0
PF05916,,,0.0
PF05922,,,0.0
PF05934,,,0.0
PF05937,,,0.0
PF05956,,,0.0
PF05970,,,0.0
PF05971,,,0.0
PF05986,0.44,1.39,0.1
PF05995,,,0.0
PF05997,,,0.0
PF06008,0.45,0.41,0.02
PF06009,,,0.0
PF06021,0.62,1.98,0.04
PF06027,,,0.0
PF06046,0.51,0.84,0.05
PF06052,,,0.0
PF06060,,,0.0
PF06148,,,0.0
PF06159,,,0.0
PF06202,,,0.0
PF06209,,,0.0
PF06211,,,0.0
PF06220,,,0.0
PF06248,,,0.0
PF06268,0.38,0.75,0.13
PF06309,0.73,2.64,0.01
PF06337,0.7,2.71,0.08
PF06367,0.88,3.95,0.0
PF06388,,,0.0
PF06393,,,0.0
PF06396,,,0.0
PF06407,,,0.0
PF06409,,,0.0
PF06456,0.85,3.84,0.0
PF06463,,,0.0
PF06464,0.64,1.96,0.05
PF06467,0.42,0.65,0.07
PF06472,0.6,0.63,0.01
PF06473,0.46,0.83,0.17
PF06546,,,0.0
PF06581,,,0.0
PF06602,,,0.0
PF06607,,,0.0
PF06637,,,0.0
PF06679,,,0.0
PF06730,,,0.0
PF06733,0.58,1.92,0.12
PF06747,0.57,0.44,0.04
PF06758,,,0.0
PF06777,,,0.0
PF06809,,,0.0
PF06817,,,0.0
PF06839,0.72,2.67,0.03
PF06888,,,0.0
PF06907,,,0.0
PF06954,,,0.0
PF06959,,,0.0
PF06963,,,0.0
PF06990,0.59,1.81,0.08
PF07002,0.75,3.19,0.02
PF07004,0.53,0.03,0.16
PF07010,,,0.0
PF07034,,,0.0
PF07096,,,0.0
PF07106,,,0.0
PF07139,,,0.0
PF07140,,,0.0
PF07145,,,0.0
PF07163,,,0.0
PF07225,,,0.0
PF07263,,,0.0
PF07292,0.65,1.11,0.02
PF07326,,,0.0
PF07334,,,0.0
PF07354,,,0.0
PF07458,0.74,2.57,0.01
PF07521,,,0.0
PF07522,,,0.0
PF07524,0.62,1.25,0.04
PF07525,,,0.0
PF07562,,,0.0
PF07565,0.57,1.91,0.09
PF07645,0.65,2.29,0.1
PF07646,,,0.0
PF07647,0.35,0.4,0.11
PF07648,0.48,1.83,0.1
PF07651,0.82,3.52,0.0
PF07653,0.43,0.08,0.15
PF07654,0.4,1.14,0.09
PF07670,0.87,4.21,0.0
PF07678,0.58,1.63,0.07
PF07679,0.45,1.32,0.04
PF07686,0.26,0.3,0.2
PF07699,0.53,1.8,0.05
PF07707,0.48,1.31,0.02
PF07714,0.32,1.8,0.35
PF07716,0.57,1.38,0.01
PF07717,0.5,1.3,0.19
PF07728,,,0.0
PF07738,0.56,1.52,0.07
PF07744,,,0.0
PF07748,0.64,1.35,0.06
PF07773,0.63,1.26,0.08
PF07776,,,0.0
PF07819,,,0.0
PF07842,,,0.0
PF07847,,,0.0
PF07857,,,0.0
PF07885,,,0.0
PF07888,,,0.0
PF07894,,,0.0
PF07915,0.63,1.65,0.08
PF07942,,,0.0
PF07947,,,0.0
PF07959,,,0.0
PF07974,,,0.0
PF07984,,,0.0
PF07986,,,0.0
PF08007,0.7,2.06,0.03
PF08016,,,0.0
PF08032,,,0.0
PF08033,0.49,0.91,0.13
PF08038,,,0.0
PF08040,,,0.0
PF08070,,,0.0
PF08081,,,0.0
PF08180,,,0.0
PF08190,,,0.0
PF08202,,,0.0
PF08204,,,0.0
PF08205,0.33,0.35,0.14
PF08238,0.45,0.71,0.09
PF08264,0.54,-0.15,0.12
PF08266,0.67,2.61,0.0
PF08271,0.61,0.6,0.07
PF08327,,,0.0
PF08357,0.44,0.58,0.07
