Pfam_code,HMMER_blosum,SEED_blosum,HMMER_vs_SEED_blosum_diff,HMMER_vs_SEED_blosum_%_improvement
PF02205,1.51,1.27,0.24,18.90
PF02210,0.71,0.71,0.00,0.00
PF02212,,,,
PF02214,2.12,2.08,0.04,1.92
PF02219,,,,
PF02221,,,,
PF02223,,,,
PF02230,,,,
PF02259,,,,
PF02263,2.28,2.24,0.04,1.79
PF02269,1.43,1.34,0.09,6.72
PF02272,,,,
PF02275,,,,
PF02295,0.83,0.78,0.05,6.41
PF02297,,,,
PF02301,,,,
PF02319,,,,
PF02337,,,,
PF02338,0.33,0.37,-0.04,-10.81
PF02344,,,,
PF02347,,,,
PF02351,-0.25,,,
PF02366,1.81,1.74,0.07,4.02
PF02368,,,,
PF02373,1.46,1.46,0.00,0.00
PF02374,,,,
PF02389,,,,
PF02423,,,,
PF02434,1.38,1.79,-0.41,-22.91
PF02441,,,,
PF02469,0.86,0.82,0.04,4.88
PF02485,2.39,2.39,0.00,0.00
PF02493,1.92,1.43,0.49,34.27
PF02494,3.30,3.30,0.00,0.00
PF02516,,,,
PF02518,3.99,3.47,0.52,14.99
PF02535,0.97,1.20,-0.23,-19.17
PF02544,3.17,3.19,-0.02,-0.63
PF02597,,,,
PF02636,,,,
PF02637,,,,
PF02678,,,,
PF02709,,,,
PF02727,2.06,2.06,0.00,0.00
PF02728,,,,
PF02732,,,,
PF02744,,,,
PF02750,,,,
PF02752,1.31,1.27,0.04,3.15
PF02758,1.14,1.23,-0.09,-7.32
PF02759,0.86,0.82,0.04,4.88
PF02760,,,,
PF02769,-0.13,-0.21,0.08,38.10
PF02771,1.10,1.06,0.04,3.77
PF02779,1.15,1.10,0.05,4.55
PF02780,,,,
PF02781,,,,
PF02784,,,,
PF02785,,,,
PF02786,0.86,0.63,0.23,36.51
PF02793,1.86,1.57,0.29,18.47
PF02798,0.21,0.18,0.03,16.67
PF02801,,,,
PF02803,2.34,2.30,0.04,1.74
PF02806,,,,
PF02815,0.68,0.66,0.02,3.03
PF02816,,,,
PF02818,3.25,2.54,0.71,27.95
PF02824,0.62,0.62,0.00,0.00
PF02827,,,,
PF02836,,,,
PF02841,3.95,3.95,0.00,0.00
PF02845,0.90,0.71,0.19,26.76
PF02847,,,,
PF02852,2.15,2.18,-0.03,-1.38
PF02854,0.27,0.40,-0.13,-32.50
PF02870,,,,
PF02872,,,,
PF02880,,,,
PF02882,,,,
PF02883,-0.22,-0.24,0.02,8.33
PF02886,1.22,1.21,0.01,0.83
PF02889,0.85,0.60,0.25,41.67
PF02892,2.53,2.52,0.01,0.40
PF02893,0.19,0.09,0.10,111.11
PF02897,,,,
PF02902,,,,
PF02922,,,,
PF02931,1.25,1.23,0.02,1.63
PF02932,3.29,3.00,0.29,9.67
PF02969,2.17,2.06,0.11,5.34
PF02984,0.11,0.04,0.07,175.00
PF02985,0.95,0.49,0.46,93.88
PF02994,,,,
PF03016,,,,
PF03024,1.09,1.13,-0.04,-3.54
PF03031,,,,
PF03051,,,,
PF03054,,,,
PF03061,0.92,0.62,0.30,48.39
PF03062,0.44,0.37,0.07,18.92
PF03068,3.15,3.15,0.00,0.00
PF03071,,,,
PF03083,0.81,0.74,0.07,9.46
PF03096,,,,
PF03098,,,,
PF03099,,,,
PF03104,,,,
PF03109,,,,
PF03114,0.39,0.38,0.01,2.63
PF03129,0.19,0.17,0.02,11.76
PF03131,,,,
PF03133,0.77,0.70,0.07,10.00
PF03137,,,,
PF03143,,,,
PF03144,1.09,1.06,0.03,2.83
PF03151,,,,
PF03153,,,,
PF03155,1.04,1.04,0.00,0.00
PF03160,,,,
PF03165,1.71,1.68,0.03,1.79
PF03171,4.40,3.44,0.96,27.91
PF03179,2.92,2.92,0.00,0.00
PF03184,0.99,0.98,0.01,1.02
PF03185,,,,
PF03188,2.23,2.18,0.05,2.29
PF03190,,,,
PF03200,,,,
PF03215,,,,
PF03221,1.63,1.48,0.15,10.14
PF03226,,,,
PF03259,,,,
PF03281,0.84,1.06,-0.22,-20.75
PF03299,,,,
PF03332,3.77,3.74,0.03,0.80
PF03351,0.54,0.49,0.05,10.20
PF03357,0.82,0.79,0.03,3.80
PF03364,,,,
PF03370,2.11,1.69,0.42,24.85
PF03372,0.00,-0.03,0.03,100.00
PF03378,,,,
PF03388,,,,
PF03399,,,,
PF03402,,,,
PF03403,2.25,2.27,-0.02,-0.88
PF03404,,,,
PF03414,,,,
PF03435,,,,
PF03446,,,,
PF03450,,,,
PF03454,,,,
PF03464,,,,
PF03465,,,,
PF03487,,,,
PF03516,2.88,2.54,0.34,13.39
PF03533,,,,
PF03567,0.85,0.89,-0.04,-4.49
PF03572,1.62,,,
PF03607,1.34,1.32,0.02,1.52
PF03630,,,,
PF03643,,,,
PF03656,,,,
PF03670,,,,
PF03700,,,,
PF03725,,,,
PF03731,0.15,0.14,0.01,7.14
PF03770,1.10,1.15,-0.05,-4.35
PF03798,-0.11,-0.11,0.00,0.00
PF03803,2.85,2.84,0.01,0.35
PF03807,0.60,0.61,-0.01,-1.64
PF03810,1.03,0.99,0.04,4.04
PF03815,2.47,2.26,0.21,9.29
PF03828,2.86,2.77,0.09,3.25
PF03847,,,,
PF03901,,,,
PF03908,,,,
PF03921,1.54,1.55,-0.01,-0.65
PF03931,,,,
PF03949,2.84,2.84,0.00,0.00
PF03953,1.08,1.04,0.04,3.85
PF03954,,,,
PF03957,,,,
PF03959,,,,
PF03992,2.19,2.11,0.08,3.79
PF03999,,,,
PF04006,,,,
PF04053,,,,
PF04055,-0.03,-0.06,0.03,50.00
PF04057,,,,
PF04072,,,,
PF04095,,,,
PF04099,,,,
PF04100,,,,
PF04103,0.68,0.67,0.01,1.49
PF04110,,,,
PF04114,,,,
PF04140,,,,
PF04142,2.23,2.23,0.00,0.00
PF04177,,,,
PF04188,,,,
PF04191,,,,
PF04193,0.22,0.25,-0.03,-12.00
PF04209,,,,
PF04218,,,,
PF04258,,,,
PF04266,,,,
PF04280,,,,
PF04300,,,,
PF04326,,,,
PF04360,,,,
PF04434,,,,
PF04438,,,,
PF04488,,,,
PF04499,,,,
PF04500,4.31,,,
PF04503,,,,
PF04538,0.17,0.08,0.09,112.50
PF04547,,,,
PF04548,2.08,1.98,0.10,5.05
PF04549,,,,
PF04560,2.99,2.83,0.16,5.65
PF04564,1.64,1.60,0.04,2.50
PF04579,,,,
PF04588,,,,
PF04593,,,,
PF04598,0.99,0.99,0.00,0.00
PF04603,,,,
PF04628,,,,
PF04629,,,,
PF04680,5.03,,,
PF04691,,,,
PF04707,1.12,1.14,-0.02,-1.75
PF04712,,,,
PF04732,0.72,0.71,0.01,1.41
PF04750,,,,
PF04757,,,,
PF04790,,,,
PF04802,,,,
PF04803,,,,
PF04811,2.65,2.64,0.01,0.38
PF04815,,,,
PF04819,,,,
PF04824,,,,
PF04826,,,,
PF04841,,,,
PF04845,3.54,3.54,0.00,0.00
PF04847,3.67,3.61,0.06,1.66
PF04849,,,,
PF04857,,,,
PF04908,2.74,2.75,-0.01,-0.36
PF04909,,,,
PF04912,,,,
PF04952,,,,
PF04969,0.11,0.06,0.05,83.33
PF04970,3.09,3.08,0.01,0.32
PF04983,,,,
PF04997,,,,
PF04998,,,,
PF05000,,,,
PF05001,4.88,,,
PF05004,,,,
PF05008,,,,
PF05039,,,,
PF05063,1.56,1.56,0.00,0.00
PF05066,,,,
PF05083,,,,
PF05147,,,,
PF05148,,,,
PF05185,,,,
PF05186,2.30,2.14,0.16,7.48
PF05188,0.32,0.21,0.11,52.38
PF05190,0.05,0.11,-0.06,-54.55
PF05193,0.08,0.05,0.03,60.00
PF05205,,,,
PF05217,,,,
PF05219,,,,
PF05225,1.90,,,
PF05250,,,,
PF05279,,,,
PF05287,0.84,0.82,0.02,2.44
PF05296,1.43,1.41,0.02,1.42
PF05300,,,,
PF05308,,,,
PF05337,,,,
PF05347,,,,
PF05350,,,,
PF05399,,,,
PF05406,2.97,2.86,0.11,3.85
PF05454,,,,
PF05458,,,,
PF05461,1.96,1.93,0.03,1.55
PF05470,,,,
PF05474,,,,
PF05477,,,,
PF05478,1.23,1.22,0.01,0.82
PF05483,,,,
PF05507,,,,
PF05510,,,,
PF05544,,,,
PF05577,,,,
PF05602,,,,
PF05609,3.39,3.36,0.03,0.89
PF05622,,,,
PF05648,0.79,0.70,0.09,12.86
PF05653,,,,
PF05686,,,,
PF05693,,,,
PF05699,-0.38,-0.41,0.03,7.32
PF05706,,,,
PF05716,,,,
PF05721,0.60,0.55,0.05,9.09
PF05726,,,,
PF05729,1.06,1.02,0.04,3.92
PF05739,1.16,1.10,0.06,5.45
PF05741,,,,
PF05743,,,,
PF05760,,,,
PF05770,,,,
PF05773,0.46,0.42,0.04,9.52
PF05781,,,,
PF05782,,,,
PF05790,1.04,-0.27,1.31,485.19
PF05793,,,,
PF05804,,,,
PF05805,,,,
PF05817,,,,
PF05831,1.93,1.95,-0.02,-1.03
PF05889,,,,
PF05903,,,,
PF05916,,,,
PF05922,,,,
PF05934,,,,
PF05937,,,,
PF05956,,,,
PF05970,,,,
PF05971,,,,
PF05986,1.41,1.39,0.02,1.44
PF05995,,,,
PF05997,,,,
PF06008,0.42,0.41,0.01,2.44
PF06009,,,,
PF06021,1.98,1.98,0.00,0.00
PF06027,,,,
PF06046,0.83,0.84,-0.01,-1.19
PF06052,,,,
PF06060,,,,
PF06148,,,,
PF06159,,,,
PF06202,,,,
PF06209,,,,
PF06211,,,,
PF06220,,,,
PF06248,,,,
PF06268,0.69,0.75,-0.06,-8.00
PF06309,2.64,2.64,0.00,0.00
PF06337,2.57,2.71,-0.14,-5.17
PF06367,3.99,3.95,0.04,1.01
PF06388,,,,
PF06393,,,,
PF06396,,,,
PF06407,,,,
PF06409,,,,
PF06456,3.75,3.84,-0.09,-2.34
PF06463,,,,
PF06464,1.91,1.96,-0.05,-2.55
PF06467,1.17,0.65,0.52,80.00
PF06472,0.63,0.63,0.00,0.00
PF06473,0.90,0.83,0.07,8.43
PF06546,,,,
PF06581,,,,
PF06602,,,,
PF06607,,,,
PF06637,,,,
PF06679,,,,
PF06730,,,,
PF06733,1.88,1.92,-0.04,-2.08
