Pfam_code,HMMER_conservation,SEED_conservation,HMMER_vs_SEED_conservation_diff,HMMER_vs_SEED_conservation_%_improvement
PF00135,0.48,0.47,0.01,2.13
PF00136,,,,
PF00143,0.69,0.69,0.00,0.00
PF00146,,,,
PF00147,0.77,0.77,0.00,0.00
PF00149,0.24,0.24,0.00,0.00
PF00151,,,,
PF00152,,,,
PF00153,0.34,0.37,-0.03,-8.11
PF00155,,,,
PF00167,0.68,0.68,0.00,0.00
PF00168,0.16,0.21,-0.05,-23.81
PF00169,0.19,0.21,-0.02,-9.52
PF00170,0.55,0.56,-0.01,-1.79
PF00171,,,,
PF00173,0.63,0.63,0.00,0.00
PF00175,,,,
PF00176,0.54,0.54,0.00,0.00
PF00179,0.57,0.57,0.00,0.00
PF00188,,,,
PF00191,0.46,0.48,-0.02,-4.17
PF00194,0.58,0.56,0.02,3.57
PF00201,0.70,0.70,0.00,0.00
PF00202,,,,
PF00206,0.58,0.58,0.00,0.00
PF00207,0.51,0.52,-0.01,-1.92
PF00209,0.74,0.74,0.00,0.00
PF00211,0.50,0.58,-0.08,-13.79
PF00213,,,,
PF00215,,,,
PF00217,,,,
PF00220,0.89,0.89,0.00,0.00
PF00224,,,,
PF00225,0.39,0.39,0.00,0.00
PF00226,0.62,0.64,-0.02,-3.13
PF00229,0.36,0.36,0.00,0.00
PF00230,0.74,0.74,0.00,0.00
PF00232,0.52,0.72,-0.20,-27.78
PF00236,,,,
PF00240,0.36,0.38,-0.02,-5.26
PF00245,,,,
PF00246,0.53,0.54,-0.01,-1.85
PF00249,0.40,0.43,-0.03,-6.98
PF00254,0.49,0.54,-0.05,-9.26
PF00255,0.69,0.69,0.00,0.00
PF00258,0.45,0.45,0.00,0.00
PF00261,,,,
PF00270,0.36,0.39,-0.03,-7.69
PF00271,0.32,0.31,0.01,3.23
PF00282,,,,
PF00287,,,,
PF00288,0.44,0.45,-0.01,-2.22
PF00289,,,,
PF00292,0.87,0.87,0.00,0.00
PF00293,0.34,0.35,-0.01,-2.86
PF00297,0.50,,,
PF00307,0.26,0.28,-0.02,-7.14
PF00313,0.51,,,
PF00320,0.52,0.54,-0.02,-3.70
PF00324,,,,
PF00328,0.86,0.86,0.00,0.00
PF00334,,,,
PF00335,0.37,0.34,0.03,8.82
PF00337,0.48,0.49,-0.01,-2.04
PF00340,0.58,0.58,0.00,0.00
PF00341,,,,
PF00342,,,,
PF00350,,,,
PF00354,0.76,0.76,0.00,0.00
PF00357,0.68,0.72,-0.04,-5.56
PF00364,0.59,0.59,0.00,0.00
PF00370,,,,
PF00373,0.46,0.47,-0.01,-2.13
PF00378,0.60,0.60,0.00,0.00
PF00382,0.56,0.56,0.00,0.00
PF00383,0.56,0.56,0.00,0.00
PF00384,,,,
PF00385,0.31,0.36,-0.05,-13.89
PF00386,0.43,0.43,0.00,0.00
PF00388,0.69,0.69,0.00,0.00
PF00389,0.50,,,
PF00390,0.84,0.84,0.00,0.00
PF00394,,,,
PF00396,0.64,0.64,0.00,0.00
PF00397,0.56,0.58,-0.02,-3.45
PF00400,0.19,0.18,0.01,5.56
PF00405,0.57,0.69,-0.12,-17.39
PF00406,0.50,,,
PF00412,0.39,0.41,-0.02,-4.88
PF00413,0.64,0.64,0.00,0.00
PF00415,0.49,0.61,-0.12,-19.67
PF00420,,,,
PF00431,0.39,0.45,-0.06,-13.33
PF00432,0.63,0.42,0.21,50.00
PF00435,0.23,0.28,-0.05,-17.86
PF00439,0.40,0.46,-0.06,-13.04
PF00443,0.17,0.35,-0.18,-51.43
PF00447,,,,
PF00448,,,,
PF00450,,,,
PF00454,0.55,0.56,-0.01,-1.79
PF00459,,,,
PF00462,0.84,0.84,0.00,0.00
PF00464,0.85,0.85,0.00,0.00
PF00467,0.49,0.42,0.07,16.67
PF00473,,,,
PF00474,0.83,0.83,0.00,0.00
PF00481,0.44,0.43,0.01,2.33
PF00487,,,,
PF00488,,,,
PF00491,,,,
PF00498,0.31,0.30,0.01,3.33
PF00501,0.37,0.44,-0.07,-15.91
PF00503,0.69,0.70,-0.01,-1.43
PF00505,0.45,0.52,-0.07,-13.46
PF00514,0.30,0.30,0.00,0.00
PF00515,0.41,0.40,0.01,2.50
PF00520,0.21,0.19,0.02,10.53
PF00530,0.40,0.44,-0.04,-9.09
PF00531,0.34,0.35,-0.01,-2.86
PF00533,0.26,0.27,-0.01,-3.70
PF00535,0.42,0.44,-0.02,-4.55
PF00536,0.33,0.37,-0.04,-10.81
PF00554,,,,
PF00560,0.41,0.31,0.10,32.26
PF00561,0.41,0.41,0.00,0.00
PF00564,0.36,0.38,-0.02,-5.26
PF00567,0.30,0.41,-0.11,-26.83
PF00568,0.57,0.57,0.00,0.00
PF00571,0.60,0.37,0.23,62.16
PF00573,,,,
PF00579,,,,
PF00583,0.36,0.37,-0.01,-2.70
PF00587,,,,
PF00588,,,,
PF00591,,,,
PF00595,0.37,0.39,-0.02,-5.13
PF00596,,,,
PF00607,,,,
PF00609,0.62,0.62,0.00,0.00
PF00610,0.40,0.39,0.01,2.56
PF00612,0.40,0.44,-0.04,-9.09
PF00613,0.52,0.53,-0.01,-1.89
PF00615,0.43,0.44,-0.01,-2.27
PF00616,,,,
PF00618,0.42,0.42,0.00,0.00
PF00619,0.32,0.33,-0.01,-3.03
PF00620,0.30,0.33,-0.03,-9.09
PF00621,0.38,0.36,0.02,5.56
PF00622,0.27,0.33,-0.06,-18.18
PF00623,0.70,0.70,0.00,0.00
PF00625,0.57,0.57,0.00,0.00
PF00626,0.30,0.31,-0.01,-3.23
PF00627,0.41,0.43,-0.02,-4.65
PF00628,0.37,0.36,0.01,2.78
PF00629,0.32,0.33,-0.01,-3.03
PF00630,0.33,0.50,-0.17,-34.00
PF00631,0.57,0.57,0.00,0.00
PF00632,0.65,0.65,0.00,0.00
PF00633,,,,
PF00634,0.52,,,
PF00635,0.55,0.53,0.02,3.77
PF00637,0.30,0.54,-0.24,-44.44
PF00638,0.69,0.69,0.00,0.00
PF00640,0.41,0.44,-0.03,-6.82
PF00641,0.50,0.50,0.00,0.00
PF00642,0.45,0.45,0.00,0.00
PF00643,0.48,0.51,-0.03,-5.88
PF00644,0.57,0.57,0.00,0.00
PF00646,0.60,0.61,-0.01,-1.64
PF00650,,,,
PF00651,0.30,0.34,-0.04,-11.76
PF00652,0.36,0.36,0.00,0.00
PF00653,0.61,,,
PF00656,0.42,0.41,0.01,2.44
PF00657,,,,
PF00664,0.44,0.40,0.04,10.00
PF00665,,,,
PF00666,,,,
PF00667,0.77,0.77,0.00,0.00
PF00670,,,,
PF00675,0.58,0.58,0.00,0.00
PF00676,0.58,0.57,0.01,1.75
PF00679,,,,
PF00681,0.64,0.53,0.11,20.75
PF00682,,,,
PF00685,0.46,0.46,0.00,0.00
PF00689,,,,
PF00692,,,,
PF00694,,,,
PF00698,,,,
PF00702,0.38,0.38,0.00,0.00
PF00704,0.74,0.76,-0.02,-2.63
PF00705,,,,
PF00725,0.44,0.56,-0.12,-21.43
PF00730,0.25,0.48,-0.23,-47.92
PF00733,0.50,,,
PF00743,0.73,0.73,0.00,0.00
PF00749,0.70,0.70,0.00,0.00
PF00750,,,,
PF00752,0.66,0.67,-0.01,-1.49
PF00754,0.45,0.44,0.01,2.27
PF00755,0.62,0.61,0.01,1.64
PF00756,,,,
PF00757,0.72,0.72,0.00,0.00
PF00780,0.44,0.44,0.00,0.00
PF00781,0.42,0.43,-0.01,-2.33
PF00782,0.61,0.61,0.00,0.00
PF00786,0.48,0.49,-0.01,-2.04
PF00787,0.26,0.27,-0.01,-3.70
PF00788,0.31,0.33,-0.02,-6.06
PF00789,0.48,0.48,0.00,0.00
PF00790,0.65,0.65,0.00,0.00
PF00792,0.43,0.46,-0.03,-6.52
PF00794,0.52,0.52,0.00,0.00
PF00797,,,,
PF00801,0.28,0.29,-0.01,-3.45
PF00808,,,,
PF00811,,,,
PF00822,0.46,0.46,0.00,0.00
PF00837,0.66,0.66,0.00,0.00
PF00839,0.33,0.49,-0.16,-32.65
PF00850,,,,
PF00852,0.95,0.98,-0.03,-3.06
PF00854,0.50,,,
PF00856,0.52,0.52,0.00,0.00
PF00865,,,,
PF00867,0.68,0.69,-0.01,-1.45
PF00870,0.79,0.80,-0.01,-1.25
PF00878,0.29,0.63,-0.34,-53.97
PF00879,,,,
PF00880,0.42,0.66,-0.24,-36.36
PF00884,0.54,0.54,0.00,0.00
PF00887,,,,
PF00891,,,,
PF00899,0.26,0.36,-0.10,-27.78
PF00903,,,,
PF00909,,,,
PF00916,0.68,0.68,0.00,0.00
PF00927,0.32,0.33,-0.01,-3.03
PF00928,0.44,0.44,0.00,0.00
PF00929,,,,
PF00930,0.58,0.58,0.00,0.00
PF00931,,,,
PF00932,,,,
PF00939,,,,
PF00941,,,,
PF00957,0.63,0.63,0.00,0.00
PF00965,,,,
PF00969,0.74,0.74,0.00,0.00
PF00970,0.79,0.79,0.00,0.00
PF00975,,,,
PF00989,0.61,0.60,0.01,1.67
PF00997,,,,
PF00999,0.58,0.59,-0.01,-1.69
PF01008,,,,
PF01019,0.59,0.58,0.01,1.72
PF01023,,,,
PF01026,,,,
PF01030,0.41,0.42,-0.01,-2.38
PF01039,0.64,0.65,-0.01,-1.54
PF01044,,,,
PF01049,,,,
PF01053,,,,
PF01064,0.61,0.62,-0.01,-1.61
PF01068,0.54,0.54,0.00,0.00
PF01071,,,,
PF01073,,,,
PF01074,0.64,0.64,0.00,0.00
PF01079,,,,
PF01093,0.61,0.61,0.00,0.00
PF01094,0.33,0.31,0.02,6.45
PF01099,0.54,0.54,0.00,0.00
PF01102,,,,
PF01105,0.67,0.67,0.00,0.00
PF01108,0.35,0.38,-0.03,-7.89
PF01109,,,,
PF01110,,,,
PF01112,,,,
PF01114,,,,
PF01119,,,,
PF01122,,,,
PF01124,,,,
PF01126,,,,
PF01129,0.65,0.65,0.00,0.00
PF01144,0.56,0.56,0.00,0.00
PF01148,,,,
PF01150,,,,
PF01151,0.61,0.61,0.00,0.00
PF01153,,,,
PF01163,0.56,0.57,-0.01,-1.75
PF01166,,,,
PF01167,,,,
PF01182,,,,
PF01187,,,,
PF01189,,,,
PF01202,,,,
PF01204,,,,
PF01213,,,,
PF01216,,,,
PF01217,,,,
PF01230,,,,
PF01231,,,,
PF01234,0.69,0.69,0.00,0.00
PF01238,,,,
PF01244,,,,
PF01248,0.40,0.43,-0.03,-6.98
PF01254,,,,
PF01271,0.56,0.57,-0.01,-1.75
PF01273,0.31,0.32,-0.01,-3.13
PF01284,0.35,0.36,-0.01,-2.78
PF01287,,,,
PF01291,,,,
PF01299,,,,
PF01323,,,,
PF01331,,,,
PF01344,0.38,0.43,-0.05,-11.63
PF01347,,,,
PF01352,0.70,,,
PF01363,0.57,0.58,-0.01,-1.72
PF01380,0.55,0.56,-0.01,-1.79
PF01387,,,,
PF01390,0.67,0.50,0.17,34.00
PF01391,0.55,0.56,-0.01,-1.79
PF01394,0.35,0.57,-0.22,-38.60
PF01396,,,,
PF01398,0.35,0.34,0.01,2.94
PF01399,0.28,0.26,0.02,7.69
PF01400,0.63,0.63,0.00,0.00
PF01401,0.77,0.77,0.00,0.00
PF01410,0.89,0.89,0.00,0.00
PF01411,,,,
PF01412,0.55,0.56,-0.01,-1.79
PF01417,,,,
PF01421,0.51,0.51,0.00,0.00
PF01425,,,,
PF01426,0.36,0.36,0.00,0.00
PF01429,0.52,0.53,-0.01,-1.89
PF01431,,,,
PF01432,,,,
PF01433,0.67,0.67,0.00,0.00
PF01434,,,,
PF01435,,,,
PF01436,0.43,0.39,0.04,10.26
PF01437,0.29,0.22,0.07,31.82
PF01442,0.52,,,
PF01451,,,,
PF01459,,,,
PF01462,0.38,0.39,-0.01,-2.56
PF01463,0.37,0.43,-0.06,-13.95
PF01467,,,,
PF01471,0.43,0.43,0.00,0.00
PF01472,,,,
PF01477,0.34,0.34,0.00,0.00
PF01483,,,,
PF01485,,,,
PF01490,,,,
PF01496,,,,
PF01500,0.62,0.86,-0.24,-27.91
PF01510,0.57,0.67,-0.10,-14.93
PF01529,,,,
PF01531,,,,
PF01532,0.58,0.58,0.00,0.00
PF01535,0.45,0.44,0.01,2.27
PF01551,,,,
PF01553,0.48,0.49,-0.01,-2.04
PF01562,,,,
PF01564,0.62,0.62,0.00,0.00
PF01575,,,,
PF01582,0.39,0.41,-0.02,-4.88
PF01583,,,,
PF01585,0.50,0.51,-0.01,-1.96
PF01588,0.81,0.81,0.00,0.00
PF01590,0.56,0.57,-0.01,-1.75
PF01591,,,,
PF01593,,,,
PF01602,0.44,0.44,0.00,0.00
PF01612,,,,
PF01624,0.56,0.55,0.01,1.82
PF01630,,,,
PF01650,,,,
PF01661,0.49,0.55,-0.06,-10.91
PF01663,0.63,0.64,-0.01,-1.56
PF01667,,,,
PF01694,0.53,0.52,0.01,1.92
PF01699,0.40,0.57,-0.17,-29.82
PF01712,0.60,0.61,-0.01,-1.64
PF01729,,,,
PF01731,0.86,0.86,0.00,0.00
PF01733,0.70,0.69,0.01,1.45
PF01740,0.54,0.54,0.00,0.00
PF01751,,,,
PF01753,0.46,0.45,0.01,2.22
PF01755,,,,
PF01756,,,,
PF01758,0.65,0.65,0.00,0.00
PF01759,0.32,0.35,-0.03,-8.57
PF01762,,,,
PF01770,0.70,0.70,0.00,0.00
PF01812,,,,
PF01822,0.48,0.52,-0.04,-7.69
PF01823,,,,
PF01825,,,,
PF01826,0.41,0.53,-0.12,-22.64
PF01833,0.20,0.28,-0.08,-28.57
PF01835,0.68,0.68,0.00,0.00
PF01839,0.38,0.46,-0.08,-17.39
PF01842,,,,
PF01846,0.35,0.47,-0.12,-25.53
PF01852,0.46,0.45,0.01,2.22
PF01878,,,,
PF01896,,,,
PF01909,0.47,0.47,0.00,0.00
PF01920,0.46,0.46,0.00,0.00
PF01926,0.40,0.39,0.01,2.56
PF01963,,,,
PF01966,,,,
PF01991,,,,
PF02002,,,,
PF02005,,,,
PF02022,,,,
PF02023,0.62,0.62,0.00,0.00
PF02024,,,,
PF02037,0.70,0.72,-0.02,-2.78
PF02038,0.62,0.63,-0.01,-1.59
PF02055,,,,
PF02058,0.68,0.68,0.00,0.00
PF02063,,,,
PF02077,,,,
PF02083,,,,
PF02101,,,,
PF02106,,,,
PF02136,,,,
PF02140,,,,
PF02141,0.58,0.59,-0.01,-1.69
PF02142,0.56,0.56,0.00,0.00
PF02148,0.65,0.65,0.00,0.00
PF02171,,,,
PF02172,,,,
PF02173,,,,
PF02174,0.73,0.73,0.00,0.00
PF02176,0.50,0.50,0.00,0.00
PF02181,0.44,0.44,0.00,0.00
PF02197,0.68,0.68,0.00,0.00
PF02198,0.46,0.46,0.00,0.00
PF02204,,,,
PF02205,0.48,0.52,-0.04,-7.69
PF02210,0.20,0.20,0.00,0.00
PF02212,,,,
PF02214,0.56,0.56,0.00,0.00
PF02219,,,,
PF02221,,,,
PF02223,,,,
PF02230,,,,
PF02259,,,,
PF02263,0.59,0.59,0.00,0.00
PF02269,0.64,0.64,0.00,0.00
PF02272,,,,
PF02275,,,,
PF02295,0.59,0.59,0.00,0.00
PF02297,,,,
PF02301,,,,
PF02319,,,,
PF02337,,,,
PF02338,0.43,0.43,0.00,0.00
PF02344,,,,
PF02347,,,,
PF02351,0.53,,,
PF02366,0.67,0.66,0.01,1.52
PF02368,,,,
PF02373,0.54,0.54,0.00,0.00
PF02374,,,,
PF02389,,,,
PF02423,,,,
PF02434,0.47,0.61,-0.14,-22.95
PF02441,,,,
PF02469,0.30,0.36,-0.06,-16.67
PF02485,0.71,0.71,0.00,0.00
PF02493,0.40,0.47,-0.07,-14.89
PF02494,0.79,0.79,0.00,0.00
PF02516,,,,
PF02518,0.82,0.78,0.04,5.13
PF02535,0.39,0.52,-0.13,-25.00
PF02544,0.78,0.79,-0.01,-1.27
PF02597,,,,
PF02636,,,,
PF02637,,,,
PF02678,,,,
PF02709,,,,
PF02727,0.72,0.72,0.00,0.00
PF02728,,,,
PF02732,,,,
PF02744,,,,
PF02750,,,,
PF02752,0.51,0.51,0.00,0.00
PF02758,0.62,0.63,-0.01,-1.59
PF02759,0.43,0.43,0.00,0.00
PF02760,,,,
PF02769,0.35,0.43,-0.08,-18.60
PF02771,0.64,0.62,0.02,3.23
PF02779,0.55,0.55,0.00,0.00
PF02780,,,,
PF02781,,,,
PF02784,,,,
PF02785,,,,
PF02786,0.52,0.61,-0.09,-14.75
PF02793,0.53,0.53,0.00,0.00
PF02798,0.46,0.47,-0.01,-2.13
PF02801,,,,
PF02803,0.73,0.73,0.00,0.00
PF02806,,,,
PF02815,0.60,0.60,0.00,0.00
PF02816,,,,
PF02818,0.76,0.72,0.04,5.56
PF02824,0.59,0.59,0.00,0.00
PF02827,,,,
PF02836,,,,
PF02841,0.89,0.89,0.00,0.00
PF02845,0.60,0.60,0.00,0.00
PF02847,,,,
PF02852,0.70,0.70,0.00,0.00
PF02854,0.30,0.35,-0.05,-14.29
PF02870,,,,
PF02872,,,,
PF02880,,,,
PF02882,,,,
PF02883,0.55,0.55,0.00,0.00
PF02886,0.57,0.57,0.00,0.00
PF02889,0.41,0.48,-0.07,-14.58
PF02892,0.59,0.59,0.00,0.00
PF02893,0.35,0.36,-0.01,-2.78
PF02897,,,,
PF02902,,,,
PF02922,,,,
PF02931,0.42,0.44,-0.02,-4.55
PF02932,0.81,0.79,0.02,2.53
PF02969,0.69,0.69,0.00,0.00
PF02984,0.55,0.55,0.00,0.00
PF02985,0.45,0.38,0.07,18.42
PF02994,,,,
PF03016,,,,
PF03024,0.47,0.47,0.00,0.00
PF03031,,,,
PF03051,,,,
PF03054,,,,
PF03061,0.45,0.50,-0.05,-10.00
PF03062,0.43,0.43,0.00,0.00
PF03068,0.73,0.73,0.00,0.00
PF03071,,,,
PF03083,0.61,0.61,0.00,0.00
PF03096,,,,
PF03098,,,,
PF03099,,,,
PF03104,,,,
PF03109,,,,
PF03114,0.46,0.47,-0.01,-2.13
PF03129,0.40,0.40,0.00,0.00
PF03131,,,,
PF03133,0.44,0.44,0.00,0.00
PF03137,0.50,,,
PF03143,,,,
PF03144,0.55,0.55,0.00,0.00
PF03151,,,,
PF03153,,,,
PF03155,0.61,0.60,0.01,1.67
PF03160,,,,
PF03165,0.65,0.65,0.00,0.00
PF03171,0.85,0.77,0.08,10.39
PF03179,0.75,0.75,0.00,0.00
PF03184,0.52,0.53,-0.01,-1.89
PF03185,,,,
PF03188,0.71,0.71,0.00,0.00
PF03190,,,,
PF03200,,,,
PF03215,,,,
PF03221,0.48,0.49,-0.01,-2.04
PF03226,,,,
PF03259,,,,
PF03281,0.59,0.57,0.02,3.51
PF03299,,,,
PF03332,0.83,0.84,-0.01,-1.19
PF03351,0.48,0.48,0.00,0.00
PF03357,0.39,0.40,-0.01,-2.50
PF03364,,,,
PF03370,0.56,0.56,0.00,0.00
PF03372,0.27,0.27,0.00,0.00
PF03378,,,,
PF03388,,,,
PF03399,,,,
PF03402,,,,
PF03403,0.71,0.71,0.00,0.00
PF03404,,,,
PF03414,,,,
PF03435,,,,
PF03446,,,,
PF03450,,,,
PF03454,,,,
PF03464,,,,
PF03465,,,,
PF03487,,,,
PF03516,0.67,0.70,-0.03,-4.29
PF03533,,,,
PF03567,0.41,0.39,0.02,5.13
PF03572,0.53,,,
PF03607,0.66,0.65,0.01,1.54
PF03630,,,,
PF03643,,,,
PF03656,,,,
PF03670,,,,
PF03700,,,,
PF03725,,,,
PF03731,0.56,0.56,0.00,0.00
PF03770,0.44,0.45,-0.01,-2.22
PF03798,0.38,0.37,0.01,2.70
PF03803,0.71,0.72,-0.01,-1.39
PF03807,0.58,0.58,0.00,0.00
PF03810,0.61,0.61,0.00,0.00
PF03815,0.70,0.73,-0.03,-4.11
PF03828,0.75,0.75,0.00,0.00
PF03847,,,,
PF03901,,,,
PF03908,,,,
PF03921,0.59,0.59,0.00,0.00
PF03931,,,,
PF03949,0.76,0.76,0.00,0.00
PF03953,0.61,0.61,0.00,0.00
PF03954,,,,
PF03957,,,,
PF03959,,,,
PF03992,0.63,0.64,-0.01,-1.56
PF03999,,,,
PF04006,,,,
PF04053,,,,
PF04055,0.32,0.33,-0.01,-3.03
PF04057,,,,
PF04072,,,,
PF04095,,,,
PF04099,,,,
PF04100,,,,
PF04103,0.39,0.39,0.00,0.00
PF04110,,,,
PF04114,,,,
PF04140,,,,
PF04142,0.73,0.72,0.01,1.39
PF04177,,,,
PF04188,,,,
PF04191,,,,
PF04193,0.42,0.61,-0.19,-31.15
PF04209,,,,
PF04218,,,,
PF04258,,,,
PF04266,,,,
PF04280,,,,
PF04300,,,,
PF04326,,,,
PF04360,,,,
PF04434,,,,
PF04438,,,,
PF04488,,,,
PF04499,,,,
PF04500,0.86,,,
PF04503,,,,
PF04538,0.54,0.54,0.00,0.00
PF04547,,,,
PF04548,0.56,0.56,0.00,0.00
PF04549,,,,
PF04560,0.74,0.74,0.00,0.00
PF04564,0.57,0.57,0.00,0.00
PF04579,,,,
PF04588,,,,
PF04593,,,,
PF04598,0.50,0.50,0.00,0.00
PF04603,,,,
PF04628,,,,
PF04629,,,,
PF04680,0.94,,,
PF04691,,,,
PF04707,0.54,0.54,0.00,0.00
PF04712,,,,
PF04732,0.49,0.50,-0.01,-2.00
PF04750,,,,
PF04757,,,,
PF04790,,,,
PF04802,,,,
PF04803,,,,
PF04811,0.65,0.65,0.00,0.00
PF04815,,,,
PF04819,,,,
PF04824,,,,
PF04826,,,,
PF04841,,,,
PF04845,0.78,0.78,0.00,0.00
PF04847,0.83,0.82,0.01,1.22
PF04849,,,,
PF04857,,,,
PF04908,0.70,0.70,0.00,0.00
PF04909,,,,
PF04912,,,,
PF04952,,,,
PF04969,0.44,0.56,-0.12,-21.43
PF04970,0.79,0.79,0.00,0.00
PF04983,,,,
PF04997,,,,
PF04998,,,,
PF05000,,,,
PF05001,0.84,,,
PF05004,,,,
PF05008,,,,
PF05039,,,,
PF05063,0.65,0.64,0.01,1.56
PF05066,,,,
PF05083,,,,
PF05147,,,,
PF05148,,,,
PF05185,,,,
PF05186,0.70,0.70,0.00,0.00
PF05188,0.44,0.44,0.00,0.00
PF05190,0.36,0.37,-0.01,-2.70
PF05193,0.36,0.34,0.02,5.88
PF05205,,,,
PF05217,,,,
PF05219,,,,
PF05225,0.61,,,
PF05250,,,,
PF05279,,,,
PF05287,0.45,0.45,0.00,0.00
PF05296,0.48,0.49,-0.01,-2.04
PF05300,,,,
PF05308,,,,
PF05337,,,,
PF05347,,,,
PF05350,,,,
PF05399,,,,
PF05406,0.76,0.75,0.01,1.33
PF05454,,,,
PF05458,,,,
PF05461,0.62,0.62,0.00,0.00
PF05470,,,,
PF05474,,,,
PF05477,,,,
PF05478,0.63,0.63,0.00,0.00
PF05483,,,,
PF05507,,,,
PF05510,,,,
PF05544,,,,
PF05577,,,,
PF05602,,,,
PF05609,0.81,0.81,0.00,0.00
PF05622,,,,
PF05648,0.59,0.60,-0.01,-1.67
PF05653,,,,
PF05686,,,,
PF05693,,,,
PF05699,0.53,0.53,0.00,0.00
PF05706,,,,
PF05716,,,,
PF05721,0.58,0.56,0.02,3.57
PF05726,,,,
PF05729,0.39,0.39,0.00,0.00
PF05739,0.49,0.49,0.00,0.00
PF05741,,,,
PF05743,,,,
PF05760,0.50,,,
PF05770,,,,
PF05773,0.31,0.37,-0.06,-16.22
PF05781,,,,
PF05782,,,,
PF05790,0.57,0.54,0.03,5.56
PF05793,,,,
PF05804,,,,
PF05805,,,,
PF05817,,,,
PF05831,0.65,0.65,0.00,0.00
PF05889,,,,
PF05903,,,,
PF05916,,,,
PF05922,,,,
PF05934,,,,
PF05937,,,,
PF05956,,,,
PF05970,,,,
PF05971,,,,
PF05986,0.44,0.44,0.00,0.00
PF05995,,,,
PF05997,,,,
PF06008,0.45,0.45,0.00,0.00
PF06009,,,,
PF06021,0.62,0.62,0.00,0.00
PF06027,,,,
PF06046,0.51,0.51,0.00,0.00
PF06052,,,,
PF06060,,,,
PF06148,,,,
PF06159,,,,
PF06202,,,,
PF06209,,,,
PF06211,,,,
PF06220,,,,
PF06248,,,,
PF06268,0.35,0.38,-0.03,-7.89
PF06309,0.73,0.73,0.00,0.00
PF06337,0.72,0.70,0.02,2.86
PF06367,0.88,0.88,0.00,0.00
PF06388,,,,
PF06393,,,,
PF06396,,,,
PF06407,,,,
PF06409,,,,
