Pfam_code,HMMER_gaps,SEED_gaps,HMMER_vs_SEED_gaps_diff,HMMER_vs_SEED_gaps_%_improvement
PF00400,0.52,0.47,-0.05,-10.64
PF00405,0.12,0.05,-0.07,-140.00
PF00406,0.50,0.00,-0.50,
PF00412,0.12,0.06,-0.06,-100.00
PF00413,0.05,0.06,0.01,16.67
PF00415,0.14,0.06,-0.08,-133.33
PF00420,0.00,0.00,0.00,
PF00431,0.18,0.09,-0.09,-100.00
PF00432,0.05,0.03,-0.02,-66.67
PF00435,0.33,0.15,-0.18,-120.00
PF00439,0.20,0.07,-0.13,-185.71
PF00443,0.68,0.39,-0.29,-74.36
PF00447,0.00,0.00,0.00,
PF00448,0.00,0.00,0.00,
PF00450,0.00,0.00,0.00,
PF00454,0.14,0.13,-0.01,-7.69
PF00459,0.00,0.00,0.00,
PF00462,0.01,0.00,-0.01,
PF00464,0.00,0.00,0.00,
PF00467,0.13,0.04,-0.09,-225.00
PF00473,0.00,0.00,0.00,
PF00474,0.01,0.00,-0.01,
PF00481,0.16,0.16,0.00,0.00
PF00487,0.00,0.00,0.00,
PF00488,0.00,0.00,0.00,
PF00491,0.00,0.00,0.00,
PF00498,0.24,0.26,0.02,7.69
PF00501,0.29,0.22,-0.07,-31.82
PF00503,0.03,0.03,0.00,0.00
PF00505,0.08,0.00,-0.08,
PF00514,0.22,0.14,-0.08,-57.14
PF00515,0.17,0.00,-0.17,
PF00520,0.44,0.48,0.04,8.33
PF00530,0.26,0.17,-0.09,-52.94
PF00531,0.16,0.11,-0.05,-45.45
PF00533,0.28,0.20,-0.08,-40.00
PF00535,0.21,0.07,-0.14,-200.00
PF00536,0.24,0.13,-0.11,-84.62
PF00554,0.00,0.00,0.00,
PF00560,0.22,0.13,-0.09,-69.23
PF00561,0.11,0.10,-0.01,-10.00
PF00564,0.14,0.09,-0.05,-55.56
PF00567,0.23,0.07,-0.16,-228.57
PF00568,0.07,0.05,-0.02,-40.00
PF00571,0.13,0.23,0.10,43.48
PF00573,0.00,0.00,0.00,
PF00579,0.00,0.00,0.00,
PF00583,0.26,0.16,-0.10,-62.50
PF00587,0.00,0.00,0.00,
PF00588,0.00,0.00,0.00,
PF00591,0.00,0.00,0.00,
PF00595,0.19,0.13,-0.06,-46.15
PF00596,0.00,0.00,0.00,
PF00607,0.00,0.00,0.00,
PF00609,0.08,0.08,0.00,0.00
PF00610,0.22,0.15,-0.07,-46.67
PF00612,0.16,0.00,-0.16,
PF00613,0.14,0.08,-0.06,-75.00
PF00615,0.08,0.06,-0.02,-33.33
PF00616,0.00,0.00,0.00,
PF00618,0.29,0.26,-0.03,-11.54
PF00619,0.16,0.10,-0.06,-60.00
PF00620,0.33,0.26,-0.07,-26.92
PF00621,0.16,0.21,0.05,23.81
PF00622,0.37,0.24,-0.13,-54.17
PF00623,0.05,0.05,0.00,0.00
PF00625,0.09,0.09,0.00,0.00
PF00626,0.20,0.14,-0.06,-42.86
PF00627,0.12,0.04,-0.08,-200.00
PF00628,0.22,0.22,0.00,0.00
PF00629,0.22,0.22,0.00,0.00
PF00630,0.33,0.12,-0.21,-175.00
PF00631,0.05,0.01,-0.04,-400.00
PF00632,0.07,0.07,0.00,0.00
PF00633,0.00,0.00,0.00,
PF00634,0.02,0.00,-0.02,
PF00635,0.11,0.09,-0.02,-22.22
PF00637,0.15,0.04,-0.11,-275.00
PF00638,0.03,0.02,-0.01,-50.00
PF00640,0.20,0.18,-0.02,-11.11
PF00641,0.15,0.08,-0.07,-87.50
PF00642,0.16,0.04,-0.12,-300.00
PF00643,0.11,0.04,-0.07,-175.00
PF00644,0.15,0.15,0.00,0.00
PF00646,0.06,0.05,-0.01,-20.00
PF00650,0.00,0.00,0.00,
PF00651,0.34,0.22,-0.12,-54.55
PF00652,0.22,0.19,-0.03,-15.79
PF00653,0.06,0.00,-0.06,
PF00656,0.20,0.22,0.02,9.09
PF00657,0.00,0.00,0.00,
PF00664,0.08,0.05,-0.03,-60.00
PF00665,0.00,0.00,0.00,
PF00666,0.00,0.00,0.00,
PF00667,0.02,0.02,0.00,0.00
PF00670,0.00,0.00,0.00,
PF00675,0.05,0.05,0.00,0.00
PF00676,0.05,0.05,0.00,0.00
PF00679,0.00,0.00,0.00,
PF00681,0.00,0.00,0.00,
PF00682,0.00,0.00,0.00,
PF00685,0.19,0.16,-0.03,-18.75
PF00689,0.00,0.00,0.00,
PF00692,0.00,0.00,0.00,
PF00694,0.00,0.00,0.00,
PF00698,0.00,0.00,0.00,
PF00702,0.27,0.27,0.00,0.00
PF00704,0.03,0.01,-0.02,-200.00
PF00705,0.00,0.00,0.00,
PF00725,0.18,0.07,-0.11,-157.14
PF00730,0.59,0.13,-0.46,-353.85
PF00733,0.50,0.00,-0.50,
PF00743,0.01,0.00,-0.01,
PF00749,0.01,0.01,0.00,0.00
PF00750,0.00,0.00,0.00,
PF00752,0.07,0.05,-0.02,-40.00
PF00754,0.19,0.17,-0.02,-11.76
PF00755,0.07,0.09,0.02,22.22
PF00756,0.00,0.00,0.00,
PF00757,0.03,0.03,0.00,0.00
PF00780,0.16,0.18,0.02,11.11
PF00781,0.26,0.18,-0.08,-44.44
PF00782,0.06,0.06,0.00,0.00
PF00786,0.10,0.06,-0.04,-66.67
PF00787,0.37,0.33,-0.04,-12.12
PF00788,0.22,0.14,-0.08,-57.14
PF00789,0.06,0.05,-0.01,-20.00
PF00790,0.04,0.03,-0.01,-33.33
PF00792,0.24,0.15,-0.09,-60.00
PF00794,0.05,0.03,-0.02,-66.67
PF00797,0.00,0.00,0.00,
PF00801,0.34,0.28,-0.06,-21.43
PF00808,0.00,0.00,0.00,
PF00811,0.00,0.00,0.00,
PF00822,0.12,0.12,0.00,0.00
PF00837,0.08,0.08,0.00,0.00
PF00839,0.19,0.09,-0.10,-111.11
PF00850,0.00,0.00,0.00,
PF00852,0.03,0.00,-0.03,
PF00854,0.42,0.00,-0.42,
PF00856,0.38,0.28,-0.10,-35.71
PF00865,0.00,0.00,0.00,
PF00867,0.02,0.02,0.00,0.00
PF00870,0.01,0.01,0.00,0.00
PF00878,0.35,0.07,-0.28,-400.00
PF00879,0.00,0.00,0.00,
PF00880,0.10,0.00,-0.10,
PF00884,0.16,0.16,0.00,0.00
PF00887,0.00,0.00,0.00,
PF00891,0.00,0.00,0.00,
PF00899,0.51,0.33,-0.18,-54.55
PF00903,0.00,0.00,0.00,
PF00909,0.00,0.00,0.00,
PF00916,0.01,0.01,0.00,0.00
PF00927,0.13,0.08,-0.05,-62.50
PF00928,0.17,0.18,0.01,5.56
PF00929,0.00,0.00,0.00,
PF00930,0.11,0.11,0.00,0.00
PF00931,0.00,0.00,0.00,
PF00932,0.00,0.00,0.00,
PF00939,0.00,0.00,0.00,
PF00941,0.00,0.00,0.00,
PF00957,0.02,0.00,-0.02,
PF00965,0.00,0.00,0.00,
PF00969,0.02,0.01,-0.01,-100.00
PF00970,0.00,0.00,0.00,
PF00975,0.00,0.00,0.00,
PF00989,0.08,0.07,-0.01,-14.29
PF00997,0.00,0.00,0.00,
PF00999,0.10,0.07,-0.03,-42.86
PF01008,0.00,0.00,0.00,
PF01019,0.05,0.06,0.01,16.67
PF01023,0.00,0.00,0.00,
PF01026,0.00,0.00,0.00,
PF01030,0.18,0.17,-0.01,-5.88
PF01039,0.10,0.08,-0.02,-25.00
PF01044,0.00,0.00,0.00,
PF01049,0.00,0.00,0.00,
PF01053,0.00,0.00,0.00,
PF01064,0.06,0.06,0.00,0.00
PF01068,0.05,0.05,0.00,0.00
PF01071,0.00,0.00,0.00,
PF01073,0.00,0.00,0.00,
PF01074,0.06,0.06,0.00,0.00
PF01079,0.00,0.00,0.00,
PF01093,0.03,0.06,0.03,50.00
PF01094,0.25,0.32,0.07,21.88
PF01099,0.02,0.06,0.04,66.67
PF01102,0.00,0.00,0.00,
PF01105,0.05,0.05,0.00,0.00
PF01108,0.28,0.24,-0.04,-16.67
PF01109,0.00,0.00,0.00,
PF01110,0.00,0.00,0.00,
PF01112,0.00,0.00,0.00,
PF01114,0.00,0.00,0.00,
PF01119,0.00,0.00,0.00,
PF01122,0.00,0.00,0.00,
PF01124,0.00,0.00,0.00,
PF01126,0.00,0.00,0.00,
PF01129,0.07,0.07,0.00,0.00
PF01144,0.10,0.09,-0.01,-11.11
PF01148,0.00,0.00,0.00,
PF01150,0.00,0.00,0.00,
PF01151,0.06,0.04,-0.02,-50.00
PF01153,0.00,0.00,0.00,
PF01163,0.09,0.06,-0.03,-50.00
PF01166,0.00,0.00,0.00,
PF01167,0.00,0.00,0.00,
PF01182,0.00,0.00,0.00,
PF01187,0.00,0.00,0.00,
PF01189,0.00,0.00,0.00,
PF01202,0.00,0.00,0.00,
PF01204,0.00,0.00,0.00,
PF01213,0.00,0.00,0.00,
PF01216,0.00,0.00,0.00,
PF01217,0.00,0.00,0.00,
PF01230,0.00,0.00,0.00,
PF01231,0.00,0.00,0.00,
PF01234,0.01,0.02,0.01,50.00
PF01238,0.00,0.00,0.00,
PF01244,0.00,0.00,0.00,
PF01248,0.23,0.09,-0.14,-155.56
PF01254,0.00,0.00,0.00,
PF01271,0.22,0.17,-0.05,-29.41
PF01273,0.21,0.17,-0.04,-23.53
PF01284,0.17,0.14,-0.03,-21.43
PF01287,0.00,0.00,0.00,
PF01291,0.00,0.00,0.00,
PF01299,0.00,0.00,0.00,
PF01323,0.00,0.00,0.00,
PF01331,0.00,0.00,0.00,
PF01344,0.23,0.10,-0.13,-130.00
PF01347,0.00,0.00,0.00,
PF01352,0.05,0.00,-0.05,
PF01363,0.08,0.03,-0.05,-166.67
PF01380,0.05,0.03,-0.02,-66.67
PF01387,0.00,0.00,0.00,
PF01390,0.11,0.08,-0.03,-37.50
PF01391,0.06,0.00,-0.06,
PF01394,0.12,0.03,-0.09,-300.00
PF01396,0.00,0.00,0.00,
PF01398,0.23,0.25,0.02,8.00
PF01399,0.23,0.27,0.04,14.81
PF01400,0.03,0.02,-0.01,-50.00
PF01401,0.01,0.00,-0.01,
PF01410,0.00,0.00,0.00,
PF01411,0.00,0.00,0.00,
PF01412,0.03,0.02,-0.01,-50.00
PF01417,0.00,0.00,0.00,
PF01421,0.05,0.05,0.00,0.00
PF01425,0.00,0.00,0.00,
PF01426,0.38,0.29,-0.09,-31.03
PF01429,0.05,0.02,-0.03,-150.00
PF01431,0.00,0.00,0.00,
PF01432,0.00,0.00,0.00,
PF01433,0.03,0.03,0.00,0.00
PF01434,0.00,0.00,0.00,
PF01435,0.00,0.00,0.00,
PF01436,0.09,0.09,0.00,0.00
PF01437,0.37,0.48,0.11,22.92
PF01442,0.37,0.00,-0.37,
PF01451,0.00,0.00,0.00,
PF01459,0.00,0.00,0.00,
PF01462,0.23,0.20,-0.03,-15.00
PF01463,0.11,0.04,-0.07,-175.00
PF01467,0.00,0.00,0.00,
PF01471,0.12,0.13,0.01,7.69
PF01472,0.00,0.00,0.00,
PF01477,0.23,0.22,-0.01,-4.55
PF01483,0.00,0.00,0.00,
PF01485,0.00,0.00,0.00,
PF01490,0.00,0.00,0.00,
PF01496,0.00,0.00,0.00,
PF01500,0.35,0.09,-0.26,-288.89
PF01510,0.16,0.05,-0.11,-220.00
PF01529,0.00,0.00,0.00,
PF01531,0.00,0.00,0.00,
PF01532,0.09,0.10,0.01,10.00
PF01535,0.24,0.00,-0.24,
PF01551,0.00,0.00,0.00,
PF01553,0.16,0.11,-0.05,-45.45
PF01562,0.00,0.00,0.00,
PF01564,0.06,0.06,0.00,0.00
PF01575,0.00,0.00,0.00,
PF01582,0.22,0.15,-0.07,-46.67
PF01583,0.00,0.00,0.00,
PF01585,0.12,0.07,-0.05,-71.43
PF01588,0.02,0.02,0.00,0.00
PF01590,0.11,0.09,-0.02,-22.22
PF01591,0.00,0.00,0.00,
PF01593,0.00,0.00,0.00,
PF01602,0.15,0.15,0.00,0.00
PF01612,0.00,0.00,0.00,
PF01624,0.11,0.09,-0.02,-22.22
PF01630,0.00,0.00,0.00,
PF01650,0.00,0.00,0.00,
PF01661,0.06,0.03,-0.03,-100.00
PF01663,0.05,0.05,0.00,0.00
PF01667,0.00,0.00,0.00,
PF01694,0.07,0.07,0.00,0.00
PF01699,0.18,0.05,-0.13,-260.00
PF01712,0.10,0.09,-0.01,-11.11
PF01729,0.00,0.00,0.00,
PF01731,0.00,0.00,0.00,
PF01733,0.05,0.07,0.02,28.57
PF01740,0.13,0.08,-0.05,-62.50
PF01751,0.00,0.00,0.00,
PF01753,0.21,0.24,0.03,12.50
PF01755,0.00,0.00,0.00,
PF01756,0.00,0.00,0.00,
PF01758,0.02,0.02,0.00,0.00
PF01759,0.24,0.12,-0.12,-100.00
PF01762,0.00,0.00,0.00,
PF01770,0.04,0.04,0.00,0.00
PF01812,0.00,0.00,0.00,
PF01822,0.12,0.12,0.00,0.00
PF01823,0.00,0.00,0.00,
PF01825,0.00,0.00,0.00,
PF01826,0.23,0.11,-0.12,-109.09
PF01833,0.48,0.29,-0.19,-65.52
PF01835,0.02,0.02,0.00,0.00
PF01839,0.29,0.15,-0.14,-93.33
PF01842,0.00,0.00,0.00,
PF01846,0.24,0.09,-0.15,-166.67
PF01852,0.09,0.08,-0.01,-12.50
PF01878,0.00,0.00,0.00,
PF01896,0.00,0.00,0.00,
PF01909,0.24,0.14,-0.10,-71.43
PF01920,0.02,0.01,-0.01,-100.00
PF01926,0.31,0.28,-0.03,-10.71
PF01963,0.00,0.00,0.00,
PF01966,0.00,0.00,0.00,
PF01991,0.00,0.00,0.00,
PF02002,0.00,0.00,0.00,
PF02005,0.00,0.00,0.00,
PF02022,0.00,0.00,0.00,
PF02023,0.03,0.00,-0.03,
PF02024,0.00,0.00,0.00,
PF02037,0.04,0.00,-0.04,
PF02038,0.07,0.00,-0.07,
PF02055,0.00,0.00,0.00,
PF02058,0.07,0.07,0.00,0.00
PF02063,0.00,0.00,0.00,
PF02077,0.00,0.00,0.00,
PF02083,0.00,0.00,0.00,
PF02101,0.00,0.00,0.00,
PF02106,0.00,0.00,0.00,
PF02136,0.00,0.00,0.00,
PF02140,0.00,0.00,0.00,
PF02141,0.05,0.04,-0.01,-25.00
PF02142,0.12,0.10,-0.02,-20.00
PF02148,0.13,0.11,-0.02,-18.18
PF02171,0.00,0.00,0.00,
PF02172,0.00,0.00,0.00,
PF02173,0.00,0.00,0.00,
PF02174,0.03,0.00,-0.03,
PF02176,0.05,0.05,0.00,0.00
PF02181,0.09,0.08,-0.01,-12.50
PF02197,0.03,0.00,-0.03,
PF02198,0.09,0.07,-0.02,-28.57
PF02204,0.00,0.00,0.00,
PF02205,0.17,0.06,-0.11,-183.33
PF02210,0.43,0.44,0.01,2.27
PF02212,0.00,0.00,0.00,
PF02214,0.07,0.05,-0.02,-40.00
PF02219,0.00,0.00,0.00,
PF02221,0.00,0.00,0.00,
PF02223,0.00,0.00,0.00,
PF02230,0.00,0.00,0.00,
PF02259,0.00,0.00,0.00,
PF02263,0.10,0.08,-0.02,-25.00
PF02269,0.03,0.02,-0.01,-50.00
PF02272,0.00,0.00,0.00,
PF02275,0.00,0.00,0.00,
PF02295,0.03,0.01,-0.02,-200.00
PF02297,0.00,0.00,0.00,
PF02301,0.00,0.00,0.00,
PF02319,0.00,0.00,0.00,
PF02337,0.00,0.00,0.00,
PF02338,0.24,0.25,0.01,4.00
PF02344,0.00,0.00,0.00,
PF02347,0.00,0.00,0.00,
PF02351,0.29,0.00,-0.29,
PF02366,0.05,0.05,0.00,0.00
PF02368,0.00,0.00,0.00,
PF02373,0.05,0.05,0.00,0.00
PF02374,0.00,0.00,0.00,
PF02389,0.00,0.00,0.00,
PF02423,0.00,0.00,0.00,
PF02434,0.23,0.07,-0.16,-228.57
PF02441,0.00,0.00,0.00,
PF02469,0.28,0.14,-0.14,-100.00
PF02485,0.03,0.03,0.00,0.00
PF02493,0.22,0.01,-0.21,-2100.00
PF02494,0.00,0.00,0.00,
PF02516,0.00,0.00,0.00,
PF02518,0.07,0.10,0.03,30.00
PF02535,0.37,0.15,-0.22,-146.67
PF02544,0.01,0.00,-0.01,
PF02597,0.00,0.00,0.00,
PF02636,0.00,0.00,0.00,
PF02637,0.00,0.00,0.00,
PF02678,0.00,0.00,0.00,
PF02709,0.00,0.00,0.00,
PF02727,0.00,0.00,0.00,
PF02728,0.00,0.00,0.00,
PF02732,0.00,0.00,0.00,
PF02744,0.00,0.00,0.00,
PF02750,0.00,0.00,0.00,
PF02752,0.10,0.07,-0.03,-42.86
PF02758,0.06,0.06,0.00,0.00
PF02759,0.25,0.24,-0.01,-4.17
PF02760,0.00,0.00,0.00,
PF02769,0.26,0.12,-0.14,-116.67
PF02771,0.01,0.03,0.02,66.67
PF02779,0.17,0.16,-0.01,-6.25
PF02780,0.00,0.00,0.00,
PF02781,0.00,0.00,0.00,
PF02784,0.00,0.00,0.00,
PF02785,0.00,0.00,0.00,
PF02786,0.04,0.03,-0.01,-33.33
PF02793,0.14,0.11,-0.03,-27.27
PF02798,0.12,0.09,-0.03,-33.33
PF02801,0.00,0.00,0.00,
PF02803,0.01,0.01,0.00,0.00
PF02806,0.00,0.00,0.00,
PF02815,0.05,0.05,0.00,0.00
PF02816,0.00,0.00,0.00,
PF02818,0.01,0.01,0.00,0.00
PF02824,0.09,0.09,0.00,0.00
PF02827,0.00,0.00,0.00,
PF02836,0.00,0.00,0.00,
PF02841,0.00,0.00,0.00,
PF02845,0.02,0.00,-0.02,
PF02847,0.00,0.00,0.00,
PF02852,0.01,0.02,0.01,50.00
PF02854,0.26,0.20,-0.06,-30.00
PF02870,0.00,0.00,0.00,
PF02872,0.00,0.00,0.00,
PF02880,0.00,0.00,0.00,
PF02882,0.00,0.00,0.00,
PF02883,0.09,0.08,-0.01,-12.50
PF02886,0.00,0.00,0.00,
PF02889,0.17,0.08,-0.09,-112.50
PF02892,0.11,0.11,0.00,0.00
PF02893,0.24,0.17,-0.07,-41.18
PF02897,0.00,0.00,0.00,
PF02902,0.00,0.00,0.00,
PF02922,0.00,0.00,0.00,
PF02931,0.13,0.08,-0.05,-62.50
PF02932,0.04,0.04,0.00,0.00
PF02969,0.02,0.01,-0.01,-100.00
PF02984,0.10,0.10,0.00,0.00
PF02985,0.12,0.03,-0.09,-300.00
PF02994,0.00,0.00,0.00,
PF03016,0.00,0.00,0.00,
PF03024,0.17,0.18,0.01,5.56
PF03031,0.00,0.00,0.00,
PF03051,0.00,0.00,0.00,
PF03054,0.00,0.00,0.00,
PF03061,0.11,0.06,-0.05,-83.33
PF03062,0.14,0.12,-0.02,-16.67
PF03068,0.04,0.04,0.00,0.00
PF03071,0.00,0.00,0.00,
PF03083,0.03,0.00,-0.03,
PF03096,0.00,0.00,0.00,
PF03098,0.00,0.00,0.00,
PF03099,0.00,0.00,0.00,
PF03104,0.00,0.00,0.00,
PF03109,0.00,0.00,0.00,
PF03114,0.12,0.11,-0.01,-9.09
PF03129,0.10,0.09,-0.01,-11.11
PF03131,0.00,0.00,0.00,
PF03133,0.15,0.14,-0.01,-7.14
PF03137,0.50,0.00,-0.50,
PF03143,0.00,0.00,0.00,
PF03144,0.05,0.05,0.00,0.00
PF03151,0.00,0.00,0.00,
PF03153,0.00,0.00,0.00,
PF03155,0.10,0.11,0.01,9.09
PF03160,0.00,0.00,0.00,
PF03165,0.07,0.07,0.00,0.00
PF03171,0.04,0.07,0.03,42.86
PF03179,0.01,0.00,-0.01,
PF03184,0.07,0.06,-0.01,-16.67
PF03185,0.00,0.00,0.00,
PF03188,0.01,0.01,0.00,0.00
PF03190,0.00,0.00,0.00,
PF03200,0.00,0.00,0.00,
PF03215,0.00,0.00,0.00,
PF03221,0.15,0.10,-0.05,-50.00
PF03226,0.00,0.00,0.00,
PF03259,0.00,0.00,0.00,
PF03281,0.13,0.20,0.07,35.00
PF03299,0.00,0.00,0.00,
PF03332,0.01,0.01,0.00,0.00
PF03351,0.09,0.06,-0.03,-50.00
PF03357,0.12,0.10,-0.02,-20.00
PF03364,0.00,0.00,0.00,
PF03370,0.21,0.17,-0.04,-23.53
PF03372,0.37,0.37,0.00,0.00
PF03378,0.00,0.00,0.00,
PF03388,0.00,0.00,0.00,
PF03399,0.00,0.00,0.00,
PF03402,0.00,0.00,0.00,
PF03403,0.02,0.02,0.00,0.00
PF03404,0.00,0.00,0.00,
PF03414,0.00,0.00,0.00,
PF03435,0.00,0.00,0.00,
PF03446,0.00,0.00,0.00,
PF03450,0.00,0.00,0.00,
PF03454,0.00,0.00,0.00,
PF03464,0.00,0.00,0.00,
PF03465,0.00,0.00,0.00,
PF03487,0.00,0.00,0.00,
