Pfam_code,HMMER_conservation,FULL_conservation,HMMER_vs_FULL_conservation_diff,HMMER_vs_FULL_conservation_%_improvement
PF00056,0.64,0.64,0.00,0.00
PF00057,0.53,0.53,0.00,0.00
PF00058,0.45,0.45,0.00,0.00
PF00059,0.33,0.32,0.01,3.13
PF00060,0.54,0.54,0.00,0.00
PF00061,0.31,0.31,0.00,0.00
PF00062,0.61,0.61,0.00,0.00
PF00063,0.49,0.49,0.00,0.00
PF00066,0.52,0.52,0.00,0.00
PF00067,0.34,0.35,-0.01,-2.86
PF00068,0.51,0.51,0.00,0.00
PF00069,0.36,0.36,0.00,0.00
PF00071,0.45,0.45,0.00,0.00
PF00074,0.40,0.40,0.00,0.00
PF00075,0.80,0.81,-0.01,-1.23
PF00076,0.36,0.36,0.00,0.00
PF00077,0.99,0.99,0.00,0.00
PF00078,0.76,0.70,0.06,8.57
PF00079,0.43,0.43,0.00,0.00
PF00080,0.65,0.65,0.00,0.00
PF00081,1.00,1.00,0.00,0.00
PF00082,0.48,0.49,-0.01,-2.04
PF00083,0.29,0.29,0.00,0.00
PF00084,0.37,0.38,-0.01,-2.63
PF00085,0.37,0.38,-0.01,-2.63
PF00086,0.41,0.41,0.00,0.00
PF00087,0.65,0.61,0.04,6.56
PF00088,0.48,0.49,-0.01,-2.04
PF00089,0.45,0.45,0.00,0.00
PF00090,0.47,0.46,0.01,2.17
PF00091,0.67,0.67,0.00,0.00
PF00092,0.36,0.36,0.00,0.00
PF00093,0.45,0.45,0.00,0.00
PF00094,0.37,0.37,0.00,0.00
PF00095,0.48,0.46,0.02,4.35
PF00096,0.58,0.58,0.00,0.00
PF00097,0.48,0.47,0.01,2.13
PF00098,0.60,0.60,0.00,0.00
PF00100,0.37,0.34,0.03,8.82
PF00102,0.50,0.50,0.00,0.00
PF00103,0.76,0.76,0.00,0.00
PF00104,0.33,0.33,0.00,0.00
PF00105,0.64,0.64,0.00,0.00
PF00106,0.37,0.37,0.00,0.00
PF00107,0.47,0.46,0.01,2.17
PF00108,0.51,0.51,0.00,0.00
PF00109,0.61,0.61,0.00,0.00
PF00110,0.56,0.56,0.00,0.00
PF00111,0.47,0.48,-0.01,-2.08
PF00112,0.50,0.50,0.00,0.00
PF00113,0.74,0.74,0.00,0.00
PF00115,1.00,1.00,0.00,0.00
PF00116,1.00,1.00,0.00,0.00
PF00117,0.48,0.48,0.00,0.00
PF00118,0.38,0.36,0.02,5.56
PF00119,1.00,1.00,0.00,0.00
PF00120,0.55,0.56,-0.01,-1.79
PF00121,1.00,1.00,0.00,0.00
PF00122,0.43,0.37,0.06,16.22
PF00123,0.52,0.51,0.01,1.96
PF00125,0.50,0.41,0.09,21.95
PF00128,0.29,0.50,-0.21,-42.00
PF00129,0.51,0.51,0.00,0.00
PF00130,0.43,0.43,0.00,0.00
PF00131,0.83,0.82,0.01,1.22
PF00133,0.30,0.29,0.01,3.45
PF00134,0.33,0.35,-0.02,-5.71
PF00135,0.53,0.53,0.00,0.00
PF00136,0.57,0.57,0.00,0.00
PF00137,0.59,0.59,0.00,0.00
PF00143,0.78,0.78,0.00,0.00
PF00144,0.60,0.40,0.20,50.00
PF00145,0.38,0.38,0.00,0.00
PF00146,1.00,1.00,0.00,0.00
PF00147,0.53,0.53,0.00,0.00
PF00149,0.35,0.34,0.01,2.94
PF00151,0.55,0.55,0.00,0.00
PF00152,0.39,0.47,-0.08,-17.02
PF00153,0.34,0.34,0.00,0.00
PF00155,0.32,0.32,0.00,0.00
PF00156,0.40,0.40,0.00,0.00
PF00157,0.72,0.71,0.01,1.41
PF00159,0.73,0.73,0.00,0.00
PF00160,0.61,0.62,-0.01,-1.61
PF00162,0.95,0.94,0.01,1.06
PF00163,0.60,0.59,0.01,1.69
PF00164,0.65,0.65,0.00,0.00
PF00166,1.00,1.00,0.00,0.00
PF00167,0.51,0.51,0.00,0.00
PF00168,0.32,0.33,-0.01,-3.03
PF00169,0.28,0.29,-0.01,-3.45
PF00170,0.44,0.45,-0.01,-2.22
PF00171,0.45,0.45,0.00,0.00
PF00173,0.42,0.43,-0.01,-2.33
PF00174,1.00,1.00,0.00,0.00
PF00175,0.44,0.44,0.00,0.00
PF00176,0.45,0.40,0.05,12.50
PF00177,0.62,0.61,0.01,1.64
PF00178,0.62,0.62,0.00,0.00
PF00179,0.43,0.44,-0.01,-2.27
PF00180,0.51,0.51,0.00,0.00
PF00181,0.63,0.63,0.00,0.00
PF00183,0.33,0.30,0.03,10.00
PF00184,0.91,0.91,0.00,0.00
PF00185,0.61,0.61,0.00,0.00
PF00186,0.90,0.92,-0.02,-2.17
PF00188,0.47,0.47,0.00,0.00
PF00189,1.00,1.00,0.00,0.00
PF00191,0.48,0.48,0.00,0.00
PF00193,0.54,0.54,0.00,0.00
PF00194,0.48,0.48,0.00,0.00
PF00198,0.57,0.56,0.01,1.79
PF00199,1.00,1.00,0.00,0.00
PF00200,0.59,0.59,0.00,0.00
PF00201,0.60,0.63,-0.03,-4.76
PF00202,0.52,0.52,0.00,0.00
PF00203,1.00,1.00,0.00,0.00
PF00204,0.90,0.90,0.00,0.00
PF00205,0.64,0.64,0.00,0.00
PF00206,0.45,0.46,-0.01,-2.17
PF00207,0.53,0.53,0.00,0.00
PF00208,0.99,0.99,0.00,0.00
PF00209,0.57,0.57,0.00,0.00
PF00210,0.75,0.75,0.00,0.00
PF00211,0.48,0.49,-0.01,-2.04
PF00212,0.65,0.67,-0.02,-2.99
PF00213,1.00,1.00,0.00,0.00
PF00214,0.58,0.56,0.02,3.57
PF00215,1.00,1.00,0.00,0.00
PF00217,0.84,0.84,0.00,0.00
PF00219,0.55,0.55,0.00,0.00
PF00220,0.89,0.89,0.00,0.00
PF00221,1.00,1.00,0.00,0.00
PF00224,0.87,0.88,-0.01,-1.14
PF00225,0.49,0.48,0.01,2.08
PF00226,0.58,0.58,0.00,0.00
PF00227,0.39,0.39,0.00,0.00
PF00229,0.37,0.37,0.00,0.00
PF00230,0.45,0.45,0.00,0.00
PF00231,1.00,1.00,0.00,0.00
PF00232,0.43,0.43,0.00,0.00
PF00233,0.50,0.50,0.00,0.00
PF00235,0.59,0.59,0.00,0.00
PF00236,1.00,1.00,0.00,0.00
PF00237,0.60,0.60,0.00,0.00
PF00238,0.58,0.58,0.00,0.00
PF00240,0.48,0.48,0.00,0.00
PF00241,0.38,0.38,0.00,0.00
PF00243,0.72,0.72,0.00,0.00
PF00244,0.83,0.83,0.00,0.00
PF00245,0.87,0.87,0.00,0.00
PF00246,0.37,0.38,-0.01,-2.63
PF00248,0.48,0.46,0.02,4.35
PF00249,0.40,0.42,-0.02,-4.76
PF00250,0.62,0.62,0.00,0.00
PF00252,0.72,0.71,0.01,1.41
PF00253,0.62,0.62,0.00,0.00
PF00254,0.52,0.51,0.01,1.96
PF00255,0.63,0.63,0.00,0.00
PF00258,0.50,0.50,0.00,0.00
PF00260,1.00,1.00,0.00,0.00
PF00261,0.84,0.89,-0.05,-5.62
PF00262,0.40,0.40,0.00,0.00
PF00264,0.61,0.63,-0.02,-3.17
PF00265,1.00,1.00,0.00,0.00
PF00266,0.45,0.45,0.00,0.00
PF00268,0.92,0.92,0.00,0.00
PF00270,0.37,0.36,0.01,2.78
PF00271,0.34,0.35,-0.01,-2.86
PF00273,0.40,0.40,0.00,0.00
PF00274,0.86,0.86,0.00,0.00
PF00276,0.54,0.56,-0.02,-3.57
PF00277,0.83,0.83,0.00,0.00
PF00278,0.50,1.00,-0.50,-50.00
PF00281,1.00,1.00,0.00,0.00
PF00282,0.42,0.43,-0.01,-2.33
PF00285,0.55,0.55,0.00,0.00
PF00287,0.57,0.55,0.02,3.64
PF00288,0.49,0.52,-0.03,-5.77
PF00289,0.62,0.62,0.00,0.00
PF00291,0.47,0.47,0.00,0.00
PF00292,0.83,0.83,0.00,0.00
PF00293,0.34,0.35,-0.01,-2.86
PF00294,0.47,0.47,0.00,0.00
PF00297,0.48,0.49,-0.01,-2.04
PF00298,0.63,0.63,0.00,0.00
PF00300,0.36,0.35,0.01,2.86
PF00303,1.00,1.00,0.00,0.00
PF00305,0.59,0.59,0.00,0.00
PF00306,1.00,1.00,0.00,0.00
PF00307,0.33,0.33,0.00,0.00
PF00312,0.59,0.59,0.00,0.00
PF00313,0.48,0.49,-0.01,-2.04
PF00316,0.89,0.89,0.00,0.00
PF00317,1.00,1.00,0.00,0.00
PF00318,0.30,0.30,0.00,0.00
PF00319,0.85,0.85,0.00,0.00
PF00320,0.58,0.58,0.00,0.00
PF00322,0.87,0.87,0.00,0.00
PF00323,0.66,0.66,0.00,0.00
PF00324,0.39,0.39,0.00,0.00
PF00326,0.45,0.45,0.00,0.00
PF00327,0.60,0.60,0.00,0.00
PF00328,0.40,0.38,0.02,5.26
PF00329,1.00,1.00,0.00,0.00
PF00330,0.42,0.42,0.00,0.00
PF00333,0.60,0.60,0.00,0.00
PF00334,0.48,0.56,-0.08,-14.29
PF00335,0.36,0.36,0.00,0.00
PF00337,0.47,0.46,0.01,2.17
PF00338,0.52,0.52,0.00,0.00
PF00339,0.45,0.45,0.00,0.00
PF00340,0.43,0.43,0.00,0.00
PF00341,0.50,0.50,0.00,0.00
PF00342,1.00,1.00,0.00,0.00
PF00343,0.90,0.90,0.00,0.00
PF00344,0.98,0.98,0.00,0.00
PF00346,1.00,1.00,0.00,0.00
PF00347,0.59,0.59,0.00,0.00
PF00348,0.44,0.44,0.00,0.00
PF00349,0.68,0.68,0.00,0.00
PF00350,0.43,0.43,0.00,0.00
PF00351,0.78,0.78,0.00,0.00
PF00352,0.56,0.57,-0.01,-1.75
PF00354,0.42,0.42,0.00,0.00
PF00355,0.58,0.67,-0.09,-13.43
PF00357,0.62,0.62,0.00,0.00
PF00361,0.49,0.49,0.00,0.00
PF00362,0.66,0.66,0.00,0.00
PF00363,1.00,1.00,0.00,0.00
PF00364,0.44,0.44,0.00,0.00
PF00365,0.63,0.63,0.00,0.00
PF00366,0.62,0.62,0.00,0.00
PF00368,1.00,1.00,0.00,0.00
PF00370,0.53,0.53,0.00,0.00
PF00373,0.35,0.37,-0.02,-5.41
PF00375,0.71,0.71,0.00,0.00
PF00377,0.59,0.59,0.00,0.00
PF00378,0.41,0.42,-0.01,-2.38
PF00380,0.67,0.67,0.00,0.00
PF00382,0.46,0.45,0.01,2.22
PF00383,0.41,0.42,-0.01,-2.38
PF00384,1.00,1.00,0.00,0.00
PF00385,0.44,0.44,0.00,0.00
PF00386,0.46,0.46,0.00,0.00
PF00387,0.60,0.59,0.01,1.69
PF00388,0.68,0.67,0.01,1.49
PF00389,0.28,0.57,-0.29,-50.88
PF00390,0.85,0.85,0.00,0.00
PF00393,1.00,1.00,0.00,0.00
PF00394,1.00,1.00,0.00,0.00
PF00396,0.64,0.64,0.00,0.00
PF00397,0.54,0.54,0.00,0.00
PF00398,0.49,0.50,-0.01,-2.00
PF00400,0.33,0.36,-0.03,-8.33
PF00402,0.78,0.78,0.00,0.00
PF00403,0.52,0.52,0.00,0.00
PF00405,0.61,0.61,0.00,0.00
PF00406,0.36,0.46,-0.10,-21.74
PF00408,1.00,1.00,0.00,0.00
PF00410,1.00,1.00,0.00,0.00
PF00411,0.64,0.64,0.00,0.00
PF00412,0.37,0.37,0.00,0.00
PF00413,0.56,0.61,-0.05,-8.20
PF00414,0.66,0.67,-0.01,-1.49
PF00415,0.48,0.48,0.00,0.00
PF00416,1.00,1.00,0.00,0.00
PF00418,0.65,0.65,0.00,0.00
PF00420,1.00,1.00,0.00,0.00
PF00428,0.62,0.62,0.00,0.00
PF00429,0.26,0.25,0.01,4.00
PF00431,0.41,0.41,0.00,0.00
PF00432,0.57,0.41,0.16,39.02
PF00433,0.43,0.41,0.02,4.88
PF00435,0.29,0.29,0.00,0.00
PF00436,1.00,1.00,0.00,0.00
PF00438,0.93,0.93,0.00,0.00
PF00439,0.41,0.42,-0.01,-2.38
PF00441,0.48,0.48,0.00,0.00
PF00443,0.41,0.42,-0.01,-2.38
PF00444,1.00,1.00,0.00,0.00
PF00445,1.00,1.00,0.00,0.00
PF00446,0.85,0.85,0.00,0.00
PF00447,0.60,0.60,0.00,0.00
PF00448,0.64,0.64,0.00,0.00
PF00450,0.53,0.53,0.00,0.00
PF00452,0.44,0.44,0.00,0.00
PF00453,1.00,1.00,0.00,0.00
PF00454,0.39,0.35,0.04,11.43
PF00456,0.72,0.72,0.00,0.00
PF00458,0.58,0.58,0.00,0.00
PF00459,0.46,0.46,0.00,0.00
PF00462,0.47,0.47,0.00,0.00
PF00464,0.85,0.85,0.00,0.00
PF00465,1.00,1.00,0.00,0.00
PF00466,0.57,0.57,0.00,0.00
PF00467,0.49,0.49,0.00,0.00
PF00468,1.00,1.00,0.00,0.00
PF00471,1.00,1.00,0.00,0.00
PF00472,0.53,0.53,0.00,0.00
PF00473,0.58,0.58,0.00,0.00
PF00474,0.54,0.54,0.00,0.00
PF00476,0.68,0.68,0.00,0.00
PF00478,0.32,0.63,-0.31,-49.21
PF00479,0.64,0.64,0.00,0.00
PF00480,1.00,1.00,0.00,0.00
PF00481,0.31,0.32,-0.01,-3.13
PF00483,0.49,0.49,0.00,0.00
PF00485,0.77,0.78,-0.01,-1.28
PF00487,0.41,0.40,0.01,2.50
PF00488,0.61,0.61,0.00,0.00
PF00489,1.00,1.00,0.00,0.00
PF00490,1.00,1.00,0.00,0.00
PF00491,0.80,0.80,0.00,0.00
PF00493,0.63,0.63,0.00,0.00
PF00494,0.55,0.55,0.00,0.00
PF00498,0.38,0.38,0.00,0.00
PF00499,1.00,1.00,0.00,0.00
PF00501,0.32,0.34,-0.02,-5.88
PF00503,0.64,0.62,0.02,3.23
PF00505,0.47,0.47,0.00,0.00
PF00507,1.00,1.00,0.00,0.00
PF00510,1.00,1.00,0.00,0.00
PF00514,0.36,0.36,0.00,0.00
PF00515,0.42,0.43,-0.01,-2.33
PF00517,0.92,0.92,0.00,0.00
PF00520,0.31,0.31,0.00,0.00
PF00521,0.90,0.90,0.00,0.00
PF00525,0.60,0.60,0.00,0.00
PF00530,0.55,0.55,0.00,0.00
PF00531,0.33,0.33,0.00,0.00
PF00533,0.33,0.31,0.02,6.45
PF00534,0.42,0.42,0.00,0.00
PF00535,0.50,0.50,0.00,0.00
PF00536,0.38,0.38,0.00,0.00
PF00538,0.58,0.58,0.00,0.00
PF00542,1.00,1.00,0.00,0.00
PF00549,0.50,0.50,0.00,0.00
PF00550,0.41,0.44,-0.03,-6.82
PF00551,0.53,0.53,0.00,0.00
PF00552,1.00,0.99,0.01,1.01
PF00554,0.50,0.51,-0.01,-1.96
PF00557,0.40,0.40,0.00,0.00
PF00560,0.51,0.60,-0.09,-15.00
PF00561,0.25,0.23,0.02,8.70
PF00562,0.63,0.63,0.00,0.00
PF00564,0.34,0.34,0.00,0.00
PF00565,0.43,0.45,-0.02,-4.44
PF00566,0.37,0.38,-0.01,-2.63
PF00567,0.33,0.33,0.00,0.00
PF00568,0.44,0.45,-0.01,-2.22
PF00569,0.43,0.44,-0.01,-2.27
PF00570,0.47,0.47,0.00,0.00
PF00571,0.35,0.36,-0.01,-2.78
PF00572,0.62,0.62,0.00,0.00
PF00573,0.57,0.58,-0.01,-1.72
PF00574,1.00,1.00,0.00,0.00
PF00575,0.39,0.39,0.00,0.00
PF00576,1.00,1.00,0.00,0.00
PF00578,0.70,0.70,0.00,0.00
PF00579,0.41,0.41,0.00,0.00
PF00581,0.31,0.32,-0.01,-3.13
PF00583,0.30,0.30,0.00,0.00
PF00584,1.00,1.00,0.00,0.00
PF00586,0.62,0.62,0.00,0.00
PF00587,0.43,0.43,0.00,0.00
PF00588,0.51,0.51,0.00,0.00
PF00590,1.00,1.00,0.00,0.00
PF00591,1.00,1.00,0.00,0.00
PF00594,0.68,0.68,0.00,0.00
PF00595,0.37,0.37,0.00,0.00
PF00596,0.63,0.63,0.00,0.00
PF00605,0.61,0.61,0.00,0.00
PF00607,0.98,0.98,0.00,0.00
PF00609,0.59,0.59,0.00,0.00
PF00610,0.42,0.42,0.00,0.00
PF00611,0.41,0.41,0.00,0.00
PF00612,0.43,0.43,0.00,0.00
PF00613,0.50,0.50,0.00,0.00
PF00614,0.86,0.88,-0.02,-2.27
PF00615,0.41,0.42,-0.01,-2.38
PF00616,0.29,0.29,0.00,0.00
PF00617,0.42,0.43,-0.01,-2.33
PF00618,0.34,0.35,-0.01,-2.86
PF00619,0.35,0.36,-0.01,-2.78
PF00620,0.42,0.42,0.00,0.00
PF00621,0.36,0.35,0.01,2.86
PF00622,0.35,0.35,0.00,0.00
PF00623,0.69,0.69,0.00,0.00
PF00625,0.38,0.38,0.00,0.00
PF00626,0.34,0.34,0.00,0.00
PF00627,0.42,0.42,0.00,0.00
PF00628,0.44,0.41,0.03,7.32
PF00629,0.38,0.37,0.01,2.70
PF00630,0.43,0.40,0.03,7.50
PF00631,0.48,0.48,0.00,0.00
PF00632,0.46,0.46,0.00,0.00
PF00633,0.67,0.67,0.00,0.00
PF00634,0.52,0.52,0.00,0.00
PF00635,0.51,0.51,0.00,0.00
PF00636,0.52,0.55,-0.03,-5.45
PF00637,0.33,0.33,0.00,0.00
PF00638,0.65,0.65,0.00,0.00
PF00639,1.00,1.00,0.00,0.00
PF00640,0.33,0.33,0.00,0.00
PF00641,0.48,0.48,0.00,0.00
PF00642,0.43,0.43,0.00,0.00
PF00643,0.41,0.42,-0.01,-2.38
PF00644,0.32,0.36,-0.04,-11.11
PF00645,0.56,0.57,-0.01,-1.75
PF00646,0.39,0.38,0.01,2.63
PF00647,1.00,1.00,0.00,0.00
PF00648,0.54,0.53,0.01,1.89
PF00650,0.46,0.45,0.01,2.22
PF00651,0.38,0.38,0.00,0.00
PF00652,0.37,0.37,0.00,0.00
PF00653,0.55,0.53,0.02,3.77
PF00654,0.58,0.57,0.01,1.75
PF00656,0.44,0.45,-0.01,-2.22
PF00657,0.56,0.55,0.01,1.82
PF00658,0.83,0.83,0.00,0.00
PF00659,0.47,0.47,0.00,0.00
PF00662,1.00,1.00,0.00,0.00
PF00664,0.28,0.29,-0.01,-3.45
PF00665,0.97,0.98,-0.01,-1.02
PF00666,0.57,0.57,0.00,0.00
PF00667,0.55,0.55,0.00,0.00
PF00670,0.81,0.81,0.00,0.00
PF00673,1.00,1.00,0.00,0.00
PF00675,0.43,0.43,0.00,0.00
PF00676,0.48,0.48,0.00,0.00
PF00679,0.49,0.49,0.00,0.00
PF00681,0.54,0.50,0.04,8.00
PF00682,0.61,0.64,-0.03,-4.69
PF00683,0.49,0.49,0.00,0.00
PF00684,0.68,0.68,0.00,0.00
PF00685,0.35,0.35,0.00,0.00
PF00686,0.48,0.48,0.00,0.00
PF00687,0.48,0.47,0.01,2.13
PF00688,0.31,0.32,-0.01,-3.13
PF00689,0.47,0.46,0.01,2.17
PF00690,0.42,0.42,0.00,0.00
PF00692,0.60,0.60,0.00,0.00
PF00694,0.62,0.62,0.00,0.00
PF00696,1.00,1.00,0.00,0.00
PF00698,0.59,0.59,0.00,0.00
PF00701,0.63,0.62,0.01,1.61
PF00702,0.38,0.38,0.00,0.00
PF00703,1.00,1.00,0.00,0.00
PF00704,0.53,0.54,-0.01,-1.85
PF00705,1.00,1.00,0.00,0.00
PF00708,0.80,0.80,0.00,0.00
PF00709,0.90,0.90,0.00,0.00
PF00710,1.00,1.00,0.00,0.00
PF00711,0.57,0.57,0.00,0.00
PF00714,1.00,1.00,0.00,0.00
PF00715,1.00,1.00,0.00,0.00
PF00717,0.92,0.93,-0.01,-1.08
PF00719,0.88,0.88,0.00,0.00
PF00723,0.74,0.75,-0.01,-1.33
PF00725,0.45,0.46,-0.01,-2.17
PF00726,0.45,0.46,-0.01,-2.17
PF00727,1.00,1.00,0.00,0.00
PF00728,0.58,0.58,0.00,0.00
PF00730,0.28,0.48,-0.20,-41.67
PF00731,1.00,1.00,0.00,0.00
PF00732,1.00,1.00,0.00,0.00
PF00733,0.36,0.36,0.00,0.00
PF00735,0.64,0.63,0.01,1.59
PF00736,0.91,0.93,-0.02,-2.15
PF00743,0.70,0.70,0.00,0.00
PF00748,0.54,0.53,0.01,1.89
PF00749,0.54,0.54,0.00,0.00
PF00750,0.66,0.66,0.00,0.00
PF00751,0.83,0.83,0.00,0.00
PF00752,0.46,0.46,0.00,0.00
PF00753,0.32,0.30,0.02,6.67
PF00754,0.44,0.44,0.00,0.00
PF00755,0.52,0.53,-0.01,-1.89
PF00756,1.00,1.00,0.00,0.00
PF00757,0.54,0.54,0.00,0.00
PF00758,0.62,0.62,0.00,0.00
PF00762,1.00,1.00,0.00,0.00
PF00763,0.59,0.59,0.00,0.00
PF00764,1.00,1.00,0.00,0.00
PF00766,1.00,1.00,0.00,0.00
PF00769,0.72,0.73,-0.01,-1.37
PF00773,0.57,0.57,0.00,0.00
PF00777,0.35,0.36,-0.01,-2.78
PF00778,0.67,0.67,0.00,0.00
PF00779,0.56,0.56,0.00,0.00
PF00780,0.39,0.39,0.00,0.00
PF00781,0.45,0.49,-0.04,-8.16
PF00782,0.44,0.45,-0.01,-2.22
PF00784,0.46,0.46,0.00,0.00
PF00786,0.42,0.42,0.00,0.00
PF00787,0.38,0.38,0.00,0.00
PF00788,0.31,0.32,-0.01,-3.13
PF00789,0.41,0.41,0.00,0.00
PF00790,0.53,0.52,0.01,1.92
PF00791,0.40,0.42,-0.02,-4.76
PF00792,0.42,0.42,0.00,0.00
PF00794,0.44,0.44,0.00,0.00
PF00795,0.38,0.38,0.00,0.00
PF00797,0.91,0.92,-0.01,-1.09
PF00801,0.37,0.36,0.01,2.78
PF00804,0.61,0.64,-0.03,-4.69
PF00805,0.64,0.55,0.09,16.36
PF00806,0.45,0.45,0.00,0.00
PF00808,0.47,0.47,0.00,0.00
PF00809,1.00,1.00,0.00,0.00
PF00810,0.88,0.88,0.00,0.00
PF00811,1.00,1.00,0.00,0.00
PF00812,0.56,0.55,0.01,1.82
PF00814,1.00,1.00,0.00,0.00
PF00817,0.48,0.59,-0.11,-18.64
PF00821,0.87,0.87,0.00,0.00
PF00822,0.41,0.42,-0.01,-2.38
PF00827,1.00,1.00,0.00,0.00
PF00828,0.58,0.58,0.00,0.00
PF00829,1.00,1.00,0.00,0.00
PF00830,1.00,1.00,0.00,0.00
PF00831,1.00,1.00,0.00,0.00
PF00832,0.96,0.96,0.00,0.00
PF00833,1.00,1.00,0.00,0.00
PF00834,0.98,0.98,0.00,0.00
PF00835,0.72,0.72,0.00,0.00
PF00836,0.68,0.69,-0.01,-1.45
PF00837,0.62,0.62,0.00,0.00
PF00838,0.74,0.74,0.00,0.00
PF00839,0.38,0.38,0.00,0.00
PF00841,1.00,1.00,0.00,0.00
PF00849,0.49,0.49,0.00,0.00
PF00850,0.52,0.51,0.01,1.96
PF00852,0.72,0.72,0.00,0.00
PF00853,0.97,0.97,0.00,0.00
PF00854,0.36,0.36,0.00,0.00
PF00855,0.39,0.38,0.01,2.63
PF00856,0.36,0.28,0.08,28.57
PF00857,0.75,0.75,0.00,0.00
PF00858,0.48,0.48,0.00,0.00
PF00859,0.63,0.64,-0.01,-1.56
PF00860,0.69,0.70,-0.01,-1.43
PF00861,1.00,1.00,0.00,0.00
PF00864,0.62,0.60,0.02,3.33
PF00865,1.00,1.00,0.00,0.00
PF00867,0.58,0.58,0.00,0.00
PF00868,0.49,0.49,0.00,0.00
PF00870,0.82,0.83,-0.01,-1.20
PF00875,0.89,0.88,0.01,1.14
PF00876,0.53,0.54,-0.01,-1.85
PF00878,0.38,0.38,0.00,0.00
PF00879,0.78,0.78,0.00,0.00
PF00880,0.44,0.46,-0.02,-4.35
PF00881,1.00,1.00,0.00,0.00
PF00882,1.00,1.00,0.00,0.00
PF00883,0.65,0.65,0.00,0.00
PF00884,0.46,0.45,0.01,2.22
PF00886,1.00,1.00,0.00,0.00
PF00887,0.59,0.56,0.03,5.36
PF00888,0.38,0.40,-0.02,-5.00
PF00889,1.00,1.00,0.00,0.00
PF00890,1.00,1.00,0.00,0.00
PF00891,0.73,0.73,0.00,0.00
PF00892,0.38,0.37,0.01,2.70
PF00895,1.00,1.00,0.00,0.00
PF00899,0.33,0.42,-0.09,-21.43
PF00900,0.96,0.96,0.00,0.00
PF00903,0.40,0.47,-0.07,-14.89
PF00904,0.76,0.74,0.02,2.70
PF00907,0.67,0.67,0.00,0.00
PF00909,0.57,0.58,-0.01,-1.72
PF00916,0.54,0.54,0.00,0.00
PF00918,0.55,0.55,0.00,0.00
PF00919,0.62,0.62,0.00,0.00
PF00923,1.00,1.00,0.00,0.00
PF00927,0.35,0.35,0.00,0.00
PF00928,0.44,0.43,0.01,2.33
PF00929,0.36,0.39,-0.03,-7.69
PF00930,0.50,0.50,0.00,0.00
PF00931,1.00,1.00,0.00,0.00
PF00932,0.56,0.57,-0.01,-1.75
PF00935,0.99,0.99,0.00,0.00
PF00939,0.67,0.67,0.00,0.00
PF00940,1.00,1.00,0.00,0.00
PF00941,0.70,0.70,0.00,0.00
PF00953,1.00,1.00,0.00,0.00
PF00955,0.52,0.57,-0.05,-8.77
PF00956,0.31,0.33,-0.02,-6.06
PF00957,0.49,0.48,0.01,2.08
PF00958,1.00,1.00,0.00,0.00
PF00962,0.50,0.50,0.00,0.00
PF00965,0.64,0.64,0.00,0.00
PF00969,0.70,0.70,0.00,0.00
PF00970,0.64,0.65,-0.01,-1.54
