Pfam_code,REC_gaps,FULL_gaps,REC_vs_FULL_gaps_diff,REC_vs_FULL_gaps_%_improvement
PF00081,0.00,0.00,0.00,
PF00082,0.15,0.14,-0.01,-7.14
PF00083,0.29,0.28,-0.01,-3.57
PF00084,0.07,0.05,-0.02,-40.00
PF00085,0.12,0.09,-0.03,-33.33
PF00086,0.18,0.14,-0.04,-28.57
PF00087,0.01,0.03,0.02,66.67
PF00088,0.07,0.06,-0.01,-16.67
PF00089,0.05,0.05,0.00,0.00
PF00090,0.06,0.06,0.00,0.00
PF00091,0.02,0.02,0.00,0.00
PF00092,0.07,0.06,-0.01,-16.67
PF00093,0.04,0.04,0.00,0.00
PF00094,0.04,0.05,0.01,20.00
PF00095,0.06,0.07,0.01,14.29
PF00096,0.01,0.01,0.00,0.00
PF00097,0.02,0.03,0.01,33.33
PF00098,0.09,0.07,-0.02,-28.57
PF00100,0.12,0.14,0.02,14.29
PF00102,0.03,0.04,0.01,25.00
PF00103,0.05,0.05,0.00,0.00
PF00104,0.19,0.18,-0.01,-5.56
PF00105,0.03,0.02,-0.01,-50.00
PF00106,0.10,0.09,-0.01,-11.11
PF00107,0.07,0.06,-0.01,-16.67
PF00108,0.04,0.04,0.00,0.00
PF00109,0.03,0.03,0.00,0.00
PF00110,0.02,0.03,0.01,33.33
PF00111,0.10,0.07,-0.03,-42.86
PF00112,0.05,0.05,0.00,0.00
PF00113,0.02,0.02,0.00,0.00
PF00115,0.00,0.00,0.00,
PF00116,0.00,0.00,0.00,
PF00117,0.07,0.05,-0.02,-40.00
PF00118,0.14,0.15,0.01,6.67
PF00119,0.00,0.00,0.00,
PF00120,0.21,0.20,-0.01,-5.00
PF00121,0.00,0.00,0.00,
PF00122,0.16,0.16,0.00,0.00
PF00123,0.04,0.02,-0.02,-100.00
PF00125,0.08,0.25,0.17,68.00
PF00128,0.64,0.36,-0.28,-77.78
PF00129,0.04,0.04,0.00,0.00
PF00130,0.07,0.05,-0.02,-40.00
PF00131,0.06,0.07,0.01,14.29
PF00133,0.38,0.39,0.01,2.56
PF00134,0.17,0.12,-0.05,-41.67
PF00135,0.06,0.06,0.00,0.00
PF00136,0.05,0.04,-0.01,-25.00
PF00137,0.01,0.01,0.00,0.00
PF00143,0.01,0.01,0.00,0.00
PF00144,0.05,0.37,0.32,86.49
PF00145,0.34,0.34,0.00,0.00
PF00146,0.00,0.00,0.00,
PF00147,0.05,0.04,-0.01,-25.00
PF00149,0.12,0.13,0.01,7.69
PF00151,0.07,0.06,-0.01,-16.67
PF00152,0.21,0.05,-0.16,-320.00
PF00153,0.10,0.09,-0.01,-11.11
PF00155,0.08,0.07,-0.01,-14.29
PF00156,0.26,0.25,-0.01,-4.00
PF00157,0.06,0.06,0.00,0.00
PF00159,0.02,0.01,-0.01,-100.00
PF00160,0.08,0.06,-0.02,-33.33
PF00162,0.00,0.00,0.00,
PF00163,0.13,0.09,-0.04,-44.44
PF00164,0.14,0.14,0.00,0.00
PF00166,0.00,0.00,0.00,
PF00167,0.06,0.06,0.00,0.00
PF00168,0.15,0.10,-0.05,-50.00
PF00169,0.13,0.11,-0.02,-18.18
PF00170,0.09,0.07,-0.02,-28.57
PF00171,0.10,0.09,-0.01,-11.11
PF00173,0.11,0.07,-0.04,-57.14
PF00174,0.00,0.00,0.00,
PF00175,0.04,0.03,-0.01,-33.33
PF00176,0.08,0.17,0.09,52.94
PF00177,0.01,0.01,0.00,0.00
PF00178,0.03,0.02,-0.01,-50.00
PF00179,0.12,0.09,-0.03,-33.33
PF00180,0.06,0.06,0.00,0.00
PF00181,0.07,0.04,-0.03,-75.00
PF00183,0.54,0.58,0.04,6.90
PF00184,0.00,0.00,0.00,
PF00185,0.04,0.04,0.00,0.00
PF00186,0.07,0.06,-0.01,-16.67
PF00188,0.05,0.05,0.00,0.00
PF00189,0.00,0.00,0.00,
PF00191,0.01,0.01,0.00,0.00
PF00193,0.04,0.04,0.00,0.00
PF00194,0.09,0.08,-0.01,-12.50
PF00198,0.02,0.02,0.00,0.00
PF00199,0.00,0.00,0.00,
PF00200,0.03,0.04,0.01,25.00
PF00201,0.06,0.01,-0.05,-500.00
PF00202,0.06,0.05,-0.01,-20.00
PF00203,0.00,0.00,0.00,
PF00204,0.01,0.01,0.00,0.00
PF00205,0.05,0.04,-0.01,-25.00
PF00206,0.14,0.13,-0.01,-7.69
PF00207,0.02,0.02,0.00,0.00
PF00208,0.00,0.00,0.00,
PF00209,0.02,0.02,0.00,0.00
PF00210,0.04,0.03,-0.01,-33.33
PF00211,0.06,0.05,-0.01,-20.00
PF00212,0.08,0.05,-0.03,-60.00
PF00213,0.00,0.00,0.00,
PF00214,0.17,0.21,0.04,19.05
PF00215,0.00,0.00,0.00,
PF00217,0.01,0.00,-0.01,
PF00219,0.06,0.07,0.01,14.29
PF00220,0.00,0.00,0.00,
PF00221,0.00,0.00,0.00,
PF00224,0.00,0.00,0.00,
PF00225,0.07,0.08,0.01,12.50
PF00226,0.04,0.04,0.00,0.00
PF00227,0.04,0.04,0.00,0.00
PF00229,0.08,0.08,0.00,0.00
PF00230,0.10,0.10,0.00,0.00
PF00231,0.00,0.00,0.00,
PF00232,0.27,0.26,-0.01,-3.85
PF00233,0.03,0.03,0.00,0.00
PF00235,0.02,0.03,0.01,33.33
PF00236,0.00,0.00,0.00,
PF00237,0.01,0.01,0.00,0.00
PF00238,0.06,0.07,0.01,14.29
PF00240,0.09,0.07,-0.02,-28.57
PF00241,0.07,0.08,0.01,12.50
PF00243,0.01,0.02,0.01,50.00
PF00244,0.01,0.00,-0.01,
PF00245,0.00,0.00,0.00,
PF00246,0.19,0.17,-0.02,-11.76
PF00248,0.11,0.14,0.03,21.43
PF00249,0.06,0.04,-0.02,-50.00
PF00250,0.07,0.06,-0.01,-16.67
PF00252,0.03,0.03,0.00,0.00
PF00253,0.07,0.07,0.00,0.00
PF00254,0.06,0.06,0.00,0.00
PF00255,0.00,0.00,0.00,
PF00258,0.07,0.07,0.00,0.00
PF00260,0.00,0.00,0.00,
PF00261,0.07,0.00,-0.07,
PF00262,0.40,0.40,0.00,0.00
PF00264,0.05,0.04,-0.01,-25.00
PF00265,0.00,0.00,0.00,
PF00266,0.06,0.06,0.00,0.00
PF00268,0.01,0.00,-0.01,
PF00270,0.08,0.08,0.00,0.00
PF00271,0.10,0.07,-0.03,-42.86
PF00273,0.02,0.02,0.00,0.00
PF00274,0.00,0.00,0.00,
PF00276,0.27,0.24,-0.03,-12.50
PF00277,0.01,0.01,0.00,0.00
PF00278,0.50,0.00,-0.50,
PF00281,0.00,0.00,0.00,
PF00282,0.25,0.24,-0.01,-4.17
PF00285,0.26,0.25,-0.01,-4.00
PF00287,0.04,0.07,0.03,42.86
PF00288,0.11,0.08,-0.03,-37.50
PF00289,0.00,0.00,0.00,
PF00291,0.07,0.05,-0.02,-40.00
PF00292,0.01,0.01,0.00,0.00
PF00293,0.18,0.14,-0.04,-28.57
PF00294,0.05,0.04,-0.01,-25.00
PF00297,0.37,0.30,-0.07,-23.33
PF00298,0.00,0.01,0.01,100.00
PF00300,0.31,0.33,0.02,6.06
PF00303,0.00,0.00,0.00,
PF00305,0.08,0.08,0.00,0.00
PF00306,0.00,0.00,0.00,
PF00307,0.08,0.06,-0.02,-33.33
PF00312,0.08,0.06,-0.02,-33.33
PF00313,0.06,0.05,-0.01,-20.00
PF00316,0.00,0.00,0.00,
PF00317,0.00,0.00,0.00,
PF00318,0.52,0.52,0.00,0.00
PF00319,0.00,0.00,0.00,
PF00320,0.06,0.05,-0.01,-20.00
PF00322,0.00,0.00,0.00,
PF00323,0.01,0.01,0.00,0.00
PF00324,0.37,0.37,0.00,0.00
PF00326,0.05,0.04,-0.01,-25.00
PF00327,0.03,0.02,-0.01,-50.00
PF00328,0.10,0.15,0.05,33.33
PF00329,0.00,0.00,0.00,
PF00330,0.37,0.37,0.00,0.00
PF00333,0.00,0.00,0.00,
PF00334,0.07,0.03,-0.04,-133.33
PF00335,0.07,0.07,0.00,0.00
PF00337,0.05,0.05,0.00,0.00
PF00338,0.03,0.03,0.00,0.00
PF00339,0.06,0.05,-0.01,-20.00
PF00340,0.15,0.12,-0.03,-25.00
PF00341,0.02,0.02,0.00,0.00
PF00342,0.00,0.00,0.00,
PF00343,0.00,0.00,0.00,
PF00344,0.00,0.01,0.01,100.00
PF00346,0.00,0.00,0.00,
PF00347,0.08,0.05,-0.03,-60.00
PF00348,0.11,0.10,-0.01,-10.00
PF00349,0.01,0.01,0.00,0.00
PF00350,0.06,0.06,0.00,0.00
PF00351,0.00,0.00,0.00,
PF00352,0.05,0.04,-0.01,-25.00
PF00354,0.13,0.10,-0.03,-30.00
PF00355,0.26,0.07,-0.19,-271.43
PF00357,0.04,0.03,-0.01,-33.33
PF00361,0.06,0.05,-0.01,-20.00
PF00362,0.01,0.01,0.00,0.00
PF00363,0.00,0.00,0.00,
PF00364,0.06,0.05,-0.01,-20.00
PF00365,0.02,0.02,0.00,0.00
PF00366,0.01,0.00,-0.01,
PF00368,0.00,0.00,0.00,
PF00370,0.09,0.08,-0.01,-12.50
PF00373,0.11,0.08,-0.03,-37.50
PF00375,0.01,0.00,-0.01,
PF00377,0.02,0.03,0.01,33.33
PF00378,0.10,0.08,-0.02,-25.00
PF00380,0.00,0.00,0.00,
PF00382,0.01,0.01,0.00,0.00
PF00383,0.14,0.09,-0.05,-55.56
PF00384,0.00,0.00,0.00,
PF00385,0.09,0.08,-0.01,-12.50
PF00386,0.03,0.03,0.00,0.00
PF00387,0.02,0.03,0.01,33.33
PF00388,0.00,0.00,0.00,
PF00389,0.53,0.04,-0.49,-1225.00
PF00390,0.00,0.00,0.00,
PF00393,0.00,0.00,0.00,
PF00394,0.00,0.00,0.00,
PF00396,0.01,0.01,0.00,0.00
PF00397,0.05,0.05,0.00,0.00
PF00398,0.12,0.11,-0.01,-9.09
PF00400,0.15,0.11,-0.04,-36.36
PF00402,0.00,0.00,0.00,
PF00403,0.07,0.06,-0.01,-16.67
PF00405,0.03,0.03,0.00,0.00
PF00406,0.25,0.03,-0.22,-733.33
PF00408,0.00,0.00,0.00,
PF00410,0.00,0.00,0.00,
PF00411,0.01,0.01,0.00,0.00
PF00412,0.07,0.06,-0.01,-16.67
PF00413,0.09,0.02,-0.07,-350.00
PF00414,0.01,0.01,0.00,0.00
PF00415,0.04,0.04,0.00,0.00
PF00416,0.00,0.00,0.00,
PF00418,0.06,0.06,0.00,0.00
PF00420,0.00,0.00,0.00,
PF00428,0.01,0.01,0.00,0.00
PF00429,0.53,0.53,0.00,0.00
PF00431,0.05,0.04,-0.01,-25.00
PF00432,0.02,0.04,0.02,50.00
PF00433,0.08,0.11,0.03,27.27
PF00435,0.06,0.05,-0.01,-20.00
PF00436,0.00,0.00,0.00,
PF00438,0.00,0.00,0.00,
PF00439,0.11,0.08,-0.03,-37.50
PF00441,0.02,0.02,0.00,0.00
PF00443,0.17,0.14,-0.03,-21.43
PF00444,0.00,0.00,0.00,
PF00445,0.00,0.00,0.00,
PF00446,0.00,0.00,0.00,
PF00447,0.02,0.02,0.00,0.00
PF00448,0.01,0.01,0.00,0.00
PF00450,0.05,0.05,0.00,0.00
PF00452,0.02,0.02,0.00,0.00
PF00453,0.00,0.00,0.00,
PF00454,0.11,0.20,0.09,45.00
PF00456,0.15,0.15,0.00,0.00
PF00458,0.08,0.07,-0.01,-14.29
PF00459,0.09,0.06,-0.03,-50.00
PF00462,0.01,0.01,0.00,0.00
PF00464,0.00,0.00,0.00,
PF00465,0.00,0.00,0.00,
PF00466,0.08,0.06,-0.02,-33.33
PF00467,0.07,0.05,-0.02,-40.00
PF00468,0.00,0.00,0.00,
PF00471,0.00,0.00,0.00,
PF00472,0.11,0.09,-0.02,-22.22
PF00473,0.01,0.01,0.00,0.00
PF00474,0.01,0.01,0.00,0.00
PF00476,0.02,0.01,-0.01,-100.00
PF00478,0.52,0.03,-0.49,-1633.33
PF00479,0.03,0.02,-0.01,-50.00
PF00480,0.00,0.00,0.00,
PF00481,0.32,0.29,-0.03,-10.34
PF00483,0.22,0.22,0.00,0.00
PF00485,0.02,0.02,0.00,0.00
PF00487,0.11,0.10,-0.01,-10.00
PF00488,0.01,0.01,0.00,0.00
PF00489,0.00,0.00,0.00,
PF00490,0.00,0.00,0.00,
PF00491,0.03,0.02,-0.01,-50.00
PF00493,0.02,0.02,0.00,0.00
PF00494,0.04,0.04,0.00,0.00
PF00498,0.04,0.05,0.01,20.00
PF00499,0.00,0.00,0.00,
PF00501,0.12,0.07,-0.05,-71.43
PF00503,0.01,0.04,0.03,75.00
PF00505,0.03,0.03,0.00,0.00
PF00507,0.00,0.00,0.00,
PF00510,0.00,0.00,0.00,
PF00514,0.09,0.06,-0.03,-50.00
PF00515,0.07,0.05,-0.02,-40.00
PF00517,0.04,0.04,0.00,0.00
PF00520,0.10,0.09,-0.01,-11.11
PF00521,0.00,0.00,0.00,
PF00525,0.13,0.12,-0.01,-8.33
PF00530,0.05,0.04,-0.01,-25.00
PF00531,0.12,0.11,-0.01,-9.09
PF00533,0.05,0.08,0.03,37.50
PF00534,0.06,0.07,0.01,14.29
PF00535,0.07,0.08,0.01,12.50
PF00536,0.09,0.07,-0.02,-28.57
PF00538,0.07,0.06,-0.01,-16.67
PF00542,0.00,0.00,0.00,
PF00549,0.04,0.04,0.00,0.00
PF00550,0.17,0.10,-0.07,-70.00
PF00551,0.12,0.12,0.00,0.00
PF00552,0.00,0.00,0.00,
PF00554,0.11,0.08,-0.03,-37.50
PF00557,0.08,0.05,-0.03,-60.00
PF00560,0.16,0.08,-0.08,-100.00
PF00561,0.24,0.34,0.10,29.41
PF00562,0.03,0.03,0.00,0.00
PF00564,0.12,0.09,-0.03,-33.33
PF00565,0.17,0.14,-0.03,-21.43
PF00566,0.14,0.11,-0.03,-27.27
PF00567,0.09,0.08,-0.01,-12.50
PF00568,0.13,0.10,-0.03,-30.00
PF00569,0.16,0.10,-0.06,-60.00
PF00570,0.06,0.05,-0.01,-20.00
PF00571,0.15,0.12,-0.03,-25.00
PF00572,0.06,0.06,0.00,0.00
PF00573,0.03,0.02,-0.01,-50.00
PF00574,0.00,0.00,0.00,
PF00575,0.13,0.10,-0.03,-30.00
PF00576,0.00,0.00,0.00,
PF00578,0.01,0.00,-0.01,
PF00579,0.05,0.05,0.00,0.00
PF00581,0.17,0.11,-0.06,-54.55
PF00583,0.22,0.20,-0.02,-10.00
PF00584,0.00,0.00,0.00,
PF00586,0.16,0.12,-0.04,-33.33
PF00587,0.13,0.12,-0.01,-8.33
PF00588,0.02,0.02,0.00,0.00
PF00590,0.00,0.00,0.00,
PF00591,0.00,0.00,0.00,
PF00594,0.01,0.01,0.00,0.00
PF00595,0.12,0.09,-0.03,-33.33
PF00596,0.03,0.04,0.01,25.00
PF00605,0.01,0.01,0.00,0.00
PF00607,0.00,0.00,0.00,
PF00609,0.02,0.02,0.00,0.00
PF00610,0.06,0.05,-0.01,-20.00
PF00611,0.05,0.04,-0.01,-25.00
PF00612,0.12,0.09,-0.03,-33.33
PF00613,0.08,0.07,-0.01,-14.29
PF00614,0.04,0.00,-0.04,
PF00615,0.05,0.04,-0.01,-25.00
PF00616,0.41,0.39,-0.02,-5.13
PF00617,0.09,0.07,-0.02,-28.57
PF00618,0.17,0.13,-0.04,-30.77
PF00619,0.06,0.05,-0.01,-20.00
PF00620,0.03,0.03,0.00,0.00
PF00621,0.05,0.06,0.01,16.67
PF00622,0.12,0.11,-0.01,-9.09
PF00623,0.01,0.00,-0.01,
PF00625,0.19,0.18,-0.01,-5.56
PF00626,0.07,0.05,-0.02,-40.00
PF00627,0.06,0.05,-0.01,-20.00
PF00628,0.05,0.09,0.04,44.44
PF00629,0.05,0.06,0.01,16.67
PF00630,0.10,0.17,0.07,41.18
PF00631,0.11,0.10,-0.01,-10.00
PF00632,0.06,0.06,0.00,0.00
PF00633,0.10,0.10,0.00,0.00
PF00634,0.02,0.02,0.00,0.00
PF00635,0.09,0.08,-0.01,-12.50
PF00636,0.17,0.08,-0.09,-112.50
PF00637,0.06,0.05,-0.01,-20.00
PF00638,0.05,0.03,-0.02,-66.67
PF00639,0.00,0.00,0.00,
PF00640,0.17,0.14,-0.03,-21.43
PF00641,0.09,0.06,-0.03,-50.00
PF00642,0.12,0.09,-0.03,-33.33
PF00643,0.13,0.09,-0.04,-44.44
PF00644,0.29,0.19,-0.10,-52.63
PF00645,0.06,0.04,-0.02,-50.00
PF00646,0.20,0.21,0.01,4.76
PF00647,0.00,0.00,0.00,
PF00648,0.07,0.07,0.00,0.00
PF00650,0.03,0.04,0.01,25.00
PF00651,0.10,0.08,-0.02,-25.00
PF00652,0.08,0.07,-0.01,-14.29
PF00653,0.07,0.10,0.03,30.00
PF00654,0.02,0.02,0.00,0.00
PF00656,0.08,0.10,0.02,20.00
PF00657,0.02,0.02,0.00,0.00
PF00658,0.03,0.02,-0.01,-50.00
PF00659,0.05,0.04,-0.01,-25.00
PF00662,0.00,0.00,0.00,
PF00664,0.05,0.04,-0.01,-25.00
PF00665,0.02,0.02,0.00,0.00
PF00666,0.18,0.16,-0.02,-12.50
PF00667,0.02,0.02,0.00,0.00
PF00670,0.00,0.00,0.00,
PF00673,0.00,0.00,0.00,
PF00675,0.11,0.10,-0.01,-10.00
PF00676,0.07,0.03,-0.04,-133.33
PF00679,0.04,0.03,-0.01,-33.33
PF00681,0.04,0.03,-0.01,-33.33
PF00682,0.22,0.03,-0.19,-633.33
PF00683,0.09,0.08,-0.01,-12.50
PF00684,0.03,0.03,0.00,0.00
PF00685,0.16,0.14,-0.02,-14.29
PF00686,0.23,0.22,-0.01,-4.55
PF00687,0.06,0.08,0.02,25.00
PF00688,0.24,0.22,-0.02,-9.09
PF00689,0.03,0.03,0.00,0.00
PF00690,0.07,0.06,-0.01,-16.67
PF00692,0.16,0.16,0.00,0.00
PF00694,0.01,0.01,0.00,0.00
PF00696,0.00,0.00,0.00,
PF00698,0.10,0.10,0.00,0.00
PF00701,0.01,0.01,0.00,0.00
PF00702,0.12,0.12,0.00,0.00
PF00703,0.00,0.00,0.00,
PF00704,0.10,0.07,-0.03,-42.86
PF00705,0.00,0.00,0.00,
PF00708,0.00,0.00,0.00,
PF00709,0.00,0.00,0.00,
PF00710,0.00,0.00,0.00,
PF00711,0.04,0.04,0.00,0.00
PF00714,0.00,0.00,0.00,
PF00715,0.00,0.00,0.00,
PF00717,0.03,0.01,-0.02,-200.00
PF00719,0.00,0.00,0.00,
PF00723,0.02,0.01,-0.01,-100.00
PF00725,0.09,0.07,-0.02,-28.57
PF00726,0.23,0.19,-0.04,-21.05
PF00727,0.00,0.00,0.00,
PF00728,0.21,0.20,-0.01,-5.00
PF00730,0.47,0.10,-0.37,-370.00
PF00731,0.00,0.00,0.00,
PF00732,0.00,0.00,0.00,
PF00733,0.58,0.58,0.00,0.00
PF00735,0.02,0.03,0.01,33.33
PF00736,0.03,0.00,-0.03,
PF00743,0.00,0.00,0.00,
PF00748,0.09,0.13,0.04,30.77
PF00749,0.02,0.02,0.00,0.00
PF00750,0.04,0.04,0.00,0.00
PF00751,0.00,0.00,0.00,
PF00752,0.06,0.05,-0.01,-20.00
PF00753,0.27,0.33,0.06,18.18
PF00754,0.07,0.05,-0.02,-40.00
PF00755,0.03,0.03,0.00,0.00
PF00756,0.00,0.00,0.00,
PF00757,0.09,0.09,0.00,0.00
PF00758,0.06,0.05,-0.01,-20.00
PF00762,0.00,0.00,0.00,
PF00763,0.05,0.04,-0.01,-25.00
PF00764,0.00,0.00,0.00,
PF00766,0.00,0.00,0.00,
PF00769,0.01,0.00,-0.01,
PF00773,0.03,0.04,0.01,25.00
PF00777,0.15,0.13,-0.02,-15.38
PF00778,0.02,0.01,-0.01,-100.00
PF00779,0.04,0.03,-0.01,-33.33
PF00780,0.05,0.04,-0.01,-25.00
PF00781,0.21,0.11,-0.10,-90.91
PF00782,0.07,0.05,-0.02,-40.00
PF00784,0.06,0.07,0.01,14.29
PF00786,0.18,0.17,-0.01,-5.88
PF00787,0.06,0.07,0.01,14.29
PF00788,0.12,0.08,-0.04,-50.00
PF00789,0.07,0.05,-0.02,-40.00
PF00790,0.03,0.03,0.00,0.00
PF00791,0.14,0.11,-0.03,-27.27
PF00792,0.20,0.17,-0.03,-17.65
PF00794,0.07,0.05,-0.02,-40.00
PF00795,0.22,0.22,0.00,0.00
PF00797,0.00,0.00,0.00,
PF00801,0.11,0.07,-0.04,-57.14
PF00804,0.03,0.01,-0.02,-200.00
PF00805,0.01,0.05,0.04,80.00
PF00806,0.07,0.06,-0.01,-16.67
PF00808,0.03,0.02,-0.01,-50.00
PF00809,0.00,0.00,0.00,
PF00810,0.00,0.00,0.00,
PF00811,0.00,0.00,0.00,
PF00812,0.07,0.08,0.01,12.50
PF00814,0.00,0.00,0.00,
PF00817,0.22,0.03,-0.19,-633.33
PF00821,0.00,0.00,0.00,
PF00822,0.05,0.05,0.00,0.00
PF00827,0.00,0.00,0.00,
PF00828,0.04,0.08,0.04,50.00
PF00829,0.00,0.00,0.00,
PF00830,0.00,0.00,0.00,
PF00831,0.00,0.00,0.00,
PF00832,0.00,0.00,0.00,
PF00833,0.00,0.00,0.00,
PF00834,0.00,0.00,0.00,
PF00835,0.04,0.04,0.00,0.00
PF00836,0.12,0.12,0.00,0.00
PF00837,0.00,0.00,0.00,
PF00838,0.17,0.16,-0.01,-6.25
PF00839,0.05,0.04,-0.01,-25.00
PF00841,0.00,0.00,0.00,
PF00849,0.03,0.04,0.01,25.00
PF00850,0.03,0.05,0.02,40.00
PF00852,0.03,0.03,0.00,0.00
PF00853,0.00,0.00,0.00,
PF00854,0.28,0.27,-0.01,-3.70
PF00855,0.11,0.09,-0.02,-22.22
PF00856,0.22,0.34,0.12,35.29
PF00857,0.01,0.01,0.00,0.00
PF00858,0.06,0.06,0.00,0.00
PF00859,0.11,0.10,-0.01,-10.00
PF00860,0.01,0.00,-0.01,
PF00861,0.00,0.00,0.00,
PF00864,0.02,0.04,0.02,50.00
PF00865,0.00,0.00,0.00,
PF00867,0.03,0.03,0.00,0.00
PF00868,0.04,0.03,-0.01,-33.33
PF00870,0.01,0.00,-0.01,
PF00875,0.01,0.01,0.00,0.00
PF00876,0.12,0.13,0.01,7.69
PF00878,0.13,0.12,-0.01,-8.33
PF00879,0.01,0.01,0.00,0.00
PF00880,0.05,0.05,0.00,0.00
PF00881,0.00,0.00,0.00,
PF00882,0.00,0.00,0.00,
PF00883,0.02,0.02,0.00,0.00
PF00884,0.05,0.05,0.00,0.00
PF00886,0.00,0.00,0.00,
PF00887,0.02,0.06,0.04,66.67
PF00888,0.26,0.18,-0.08,-44.44
PF00889,0.00,0.00,0.00,
PF00890,0.00,0.00,0.00,
PF00891,0.00,0.00,0.00,
PF00892,0.03,0.05,0.02,40.00
PF00895,0.00,0.00,0.00,
PF00899,0.29,0.07,-0.22,-314.29
PF00900,0.00,0.00,0.00,
PF00903,0.10,0.05,-0.05,-100.00
PF00904,0.01,0.03,0.02,66.67
PF00907,0.01,0.02,0.01,50.00
PF00909,0.09,0.08,-0.01,-12.50
PF00916,0.02,0.01,-0.01,-100.00
PF00918,0.44,0.44,0.00,0.00
PF00919,0.09,0.09,0.00,0.00
PF00923,0.00,0.00,0.00,
PF00927,0.08,0.07,-0.01,-14.29
PF00928,0.04,0.05,0.01,20.00
PF00929,0.15,0.06,-0.09,-150.00
PF00930,0.02,0.02,0.00,0.00
PF00931,0.00,0.00,0.00,
PF00932,0.07,0.06,-0.01,-16.67
PF00935,0.00,0.00,0.00,
PF00939,0.03,0.02,-0.01,-50.00
PF00940,0.00,0.00,0.00,
PF00941,0.00,0.00,0.00,
PF00953,0.00,0.00,0.00,
PF00955,0.19,0.12,-0.07,-58.33
PF00956,0.50,0.45,-0.05,-11.11
PF00957,0.09,0.11,0.02,18.18
PF00958,0.00,0.00,0.00,
PF00962,0.07,0.06,-0.01,-16.67
PF00965,0.04,0.04,0.00,0.00
PF00969,0.03,0.02,-0.01,-50.00
PF00970,0.03,0.02,-0.01,-50.00
PF00975,0.06,0.06,0.00,0.00
PF00976,0.05,0.04,-0.01,-25.00
PF00984,0.00,0.00,0.00,
PF00988,0.01,0.00,-0.01,
PF00989,0.36,0.32,-0.04,-12.50
PF00992,0.03,0.10,0.07,70.00
PF00993,0.03,0.02,-0.01,-50.00
PF00994,0.09,0.06,-0.03,-50.00
