Pfam_code,REC_blosum,FULL_blosum,REC_vs_FULL_blosum_diff,REC_vs_FULL_blosum_%_improvement
PF00244,3.80,3.80,0.00,0.00
PF00245,4.06,4.07,-0.01,-0.25
PF00246,1.38,1.30,0.08,6.15
PF00248,1.67,1.64,0.03,1.83
PF00249,1.39,1.43,-0.04,-2.80
PF00250,3.00,2.93,0.07,2.39
PF00252,1.95,1.88,0.07,3.72
PF00253,0.84,0.76,0.08,10.53
PF00254,1.90,1.87,0.03,1.60
PF00255,,,,
PF00258,1.63,1.59,0.04,2.52
PF00260,,,,
PF00261,4.08,3.96,0.12,3.03
PF00262,2.60,2.59,0.01,0.39
PF00264,2.14,2.15,-0.01,-0.47
PF00265,,,,
PF00266,0.57,0.56,0.01,1.79
PF00268,4.65,4.64,0.01,0.22
PF00270,0.95,0.93,0.02,2.15
PF00271,0.89,0.83,0.06,7.23
PF00273,1.04,1.04,0.00,0.00
PF00274,3.88,3.88,0.00,0.00
PF00276,0.97,1.30,-0.33,-25.38
PF00277,3.63,3.63,0.00,0.00
PF00278,,,,
PF00281,,,,
PF00282,1.76,1.71,0.05,2.92
PF00285,0.68,0.71,-0.03,-4.23
PF00287,2.09,2.11,-0.02,-0.95
PF00288,0.89,0.88,0.01,1.14
PF00289,2.19,2.19,0.00,0.00
PF00291,0.75,0.74,0.01,1.35
PF00292,3.91,3.91,0.00,0.00
PF00293,0.71,0.64,0.07,10.94
PF00294,0.26,0.26,0.00,0.00
PF00297,2.30,1.81,0.49,27.07
PF00298,0.97,0.97,0.00,0.00
PF00300,1.32,1.28,0.04,3.13
PF00303,,,,
PF00305,2.43,2.42,0.01,0.41
PF00306,,,,
PF00307,0.77,0.72,0.05,6.94
PF00312,0.48,0.44,0.04,9.09
PF00313,1.57,1.53,0.04,2.61
PF00316,4.08,4.06,0.02,0.49
PF00317,,,,
PF00318,0.58,0.60,-0.02,-3.33
PF00319,3.71,3.71,0.00,0.00
PF00320,2.83,2.77,0.06,2.17
PF00322,4.89,4.89,0.00,0.00
PF00323,2.85,2.85,0.00,0.00
PF00324,2.22,2.24,-0.02,-0.89
PF00326,1.05,1.03,0.02,1.94
PF00327,1.29,1.27,0.02,1.57
PF00328,0.60,0.56,0.04,7.14
PF00329,,,,
PF00330,1.25,1.13,0.12,10.62
PF00333,0.63,0.63,0.00,0.00
PF00334,1.52,1.76,-0.24,-13.64
PF00335,0.96,0.96,0.00,0.00
PF00337,1.57,1.54,0.03,1.95
PF00338,0.71,0.71,0.00,0.00
PF00339,0.99,0.98,0.01,1.02
PF00340,1.34,1.24,0.10,8.06
PF00341,1.76,1.76,0.00,0.00
PF00342,,,,
PF00343,4.47,4.47,0.00,0.00
PF00344,4.85,4.87,-0.02,-0.41
PF00346,,,,
PF00347,0.22,0.03,0.19,633.33
PF00348,0.54,0.50,0.04,8.00
PF00349,2.99,2.99,0.00,0.00
PF00350,1.09,1.08,0.01,0.93
PF00351,3.55,3.55,0.00,0.00
PF00352,1.87,1.84,0.03,1.63
PF00354,1.30,1.26,0.04,3.17
PF00355,2.46,2.12,0.34,16.04
PF00357,2.75,2.68,0.07,2.61
PF00361,0.59,0.60,-0.01,-1.67
PF00362,2.74,2.74,0.00,0.00
PF00363,,,,
PF00364,1.10,1.07,0.03,2.80
PF00365,2.51,2.47,0.04,1.62
PF00366,0.68,0.66,0.02,3.03
PF00368,,,,
PF00370,1.49,1.46,0.03,2.05
PF00373,0.88,0.88,0.00,0.00
PF00375,2.99,2.95,0.04,1.36
PF00377,0.89,0.89,0.00,0.00
PF00378,1.17,1.15,0.02,1.74
PF00380,1.32,1.29,0.03,2.33
PF00382,0.63,0.58,0.05,8.62
PF00383,0.75,0.72,0.03,4.17
PF00384,,,,
PF00385,1.82,1.79,0.03,1.68
PF00386,1.41,1.41,0.00,0.00
PF00387,2.43,2.42,0.01,0.41
PF00388,2.96,2.95,0.01,0.34
PF00389,1.33,1.31,0.02,1.53
PF00390,4.07,4.07,0.00,0.00
PF00393,,,,
PF00394,,,,
PF00396,3.32,3.32,0.00,0.00
PF00397,2.50,2.49,0.01,0.40
PF00398,0.68,0.68,0.00,0.00
PF00400,1.14,1.26,-0.12,-9.52
PF00402,3.38,3.38,0.00,0.00
PF00403,1.96,1.94,0.02,1.03
PF00405,2.45,2.44,0.01,0.41
PF00406,1.36,1.35,0.01,0.74
PF00408,,,,
PF00410,,,,
PF00411,1.18,1.18,0.00,0.00
PF00412,1.47,1.44,0.03,2.08
PF00413,2.58,2.59,-0.01,-0.39
PF00414,2.61,2.63,-0.02,-0.76
PF00415,1.59,1.65,-0.06,-3.64
PF00416,,,,
PF00418,3.08,3.01,0.07,2.33
PF00420,,,,
PF00428,1.45,1.44,0.01,0.69
PF00429,1.62,1.49,0.13,8.72
PF00431,1.38,1.36,0.02,1.47
PF00432,1.38,0.77,0.61,79.22
PF00433,1.38,1.39,-0.01,-0.72
PF00435,0.49,0.47,0.02,4.26
PF00436,,,,
PF00438,4.64,4.64,0.00,0.00
PF00439,1.53,1.46,0.07,4.79
PF00441,1.22,1.22,0.00,0.00
PF00443,1.50,1.51,-0.01,-0.66
PF00444,,,,
PF00445,,,,
PF00446,4.50,4.50,0.00,0.00
PF00447,2.35,2.37,-0.02,-0.84
PF00448,1.42,1.40,0.02,1.43
PF00450,1.03,1.05,-0.02,-1.90
PF00452,1.25,1.24,0.01,0.81
PF00453,,,,
PF00454,1.06,1.04,0.02,1.92
PF00456,4.06,4.06,0.00,0.00
PF00458,1.99,1.92,0.07,3.65
PF00459,0.91,0.85,0.06,7.06
PF00462,1.38,1.37,0.01,0.73
PF00464,3.75,3.75,0.00,0.00
PF00465,,,,
PF00466,1.35,1.30,0.05,3.85
PF00467,1.48,1.39,0.09,6.47
PF00468,,,,
PF00471,,,,
PF00472,1.53,1.42,0.11,7.75
PF00473,1.73,1.66,0.07,4.22
PF00474,1.62,1.62,0.00,0.00
PF00476,1.73,1.73,0.00,0.00
PF00478,2.32,2.32,0.00,0.00
PF00479,1.38,1.40,-0.02,-1.43
PF00480,,,,
PF00481,1.15,1.06,0.09,8.49
PF00483,1.22,1.22,0.00,0.00
PF00485,3.38,3.38,0.00,0.00
PF00487,0.76,0.68,0.08,11.76
PF00488,2.06,2.05,0.01,0.49
PF00489,,,,
PF00490,,,,
PF00491,3.40,3.37,0.03,0.89
PF00493,2.50,2.48,0.02,0.81
PF00494,-0.16,-0.17,0.01,5.88
PF00498,0.84,0.83,0.01,1.20
PF00499,,,,
PF00501,0.53,0.55,-0.02,-3.64
PF00503,2.67,2.65,0.02,0.75
PF00505,1.72,1.70,0.02,1.18
PF00507,,,,
PF00510,,,,
PF00514,0.89,0.84,0.05,5.95
PF00515,1.16,1.10,0.06,5.45
PF00517,4.87,4.86,0.01,0.21
PF00520,0.67,0.66,0.01,1.52
PF00521,4.37,4.38,-0.01,-0.23
PF00525,2.62,2.48,0.14,5.65
PF00530,2.28,2.25,0.03,1.33
PF00531,0.78,0.76,0.02,2.63
PF00533,0.45,0.42,0.03,7.14
PF00534,0.47,0.42,0.05,11.90
PF00535,1.64,1.69,-0.05,-2.96
PF00536,0.99,0.94,0.05,5.32
PF00538,1.93,1.90,0.03,1.58
PF00542,,,,
PF00549,0.50,0.52,-0.02,-3.85
PF00550,0.93,0.85,0.08,9.41
PF00551,1.42,1.42,0.00,0.00
PF00552,5.91,5.90,0.01,0.17
PF00554,1.84,1.80,0.04,2.22
PF00557,0.68,0.66,0.02,3.03
PF00560,1.79,1.91,-0.12,-6.28
PF00561,0.19,0.30,-0.11,-36.67
PF00562,2.01,1.99,0.02,1.01
PF00564,0.61,0.57,0.04,7.02
PF00565,0.91,0.93,-0.02,-2.15
PF00566,1.02,1.00,0.02,2.00
PF00567,0.64,0.61,0.03,4.92
PF00568,1.55,1.50,0.05,3.33
PF00569,2.27,2.06,0.21,10.19
PF00570,0.16,0.13,0.03,23.08
PF00571,1.00,0.97,0.03,3.09
PF00572,0.81,0.77,0.04,5.19
PF00573,0.09,0.13,-0.04,-30.77
PF00574,,,,
PF00575,0.73,0.74,-0.01,-1.35
PF00576,,,,
PF00578,2.77,2.76,0.01,0.36
PF00579,0.10,0.09,0.01,11.11
PF00581,0.58,0.53,0.05,9.43
PF00583,0.65,0.59,0.06,10.17
PF00584,,,,
PF00586,2.06,1.81,0.25,13.81
PF00587,0.90,0.92,-0.02,-2.17
PF00588,0.71,0.76,-0.05,-6.58
PF00590,,,,
PF00591,,,,
PF00594,3.18,3.17,0.01,0.32
PF00595,1.17,1.15,0.02,1.74
PF00596,1.92,1.97,-0.05,-2.54
PF00605,2.61,2.59,0.02,0.77
PF00607,5.07,5.06,0.01,0.20
PF00609,2.28,2.27,0.01,0.44
PF00610,1.28,1.25,0.03,2.40
PF00611,1.16,1.13,0.03,2.65
PF00612,1.70,1.58,0.12,7.59
PF00613,1.53,1.49,0.04,2.68
PF00614,4.69,4.43,0.26,5.87
PF00615,1.13,1.14,-0.01,-0.88
PF00616,1.41,1.36,0.05,3.68
PF00617,1.34,1.31,0.03,2.29
PF00618,0.96,0.89,0.07,7.87
PF00619,0.71,0.69,0.02,2.90
PF00620,1.32,1.30,0.02,1.54
PF00621,0.90,0.89,0.01,1.12
PF00622,0.81,0.79,0.02,2.53
PF00623,2.32,2.29,0.03,1.31
PF00625,1.44,1.41,0.03,2.13
PF00626,0.68,0.65,0.03,4.62
PF00627,1.20,1.15,0.05,4.35
PF00628,2.11,2.03,0.08,3.94
PF00629,1.07,1.08,-0.01,-0.93
PF00630,1.52,1.54,-0.02,-1.30
PF00631,1.77,1.74,0.03,1.72
PF00632,1.47,1.47,0.00,0.00
PF00633,1.87,1.71,0.16,9.36
PF00634,1.48,1.47,0.01,0.68
PF00635,1.37,1.32,0.05,3.79
PF00636,1.43,1.32,0.11,8.33
PF00637,0.37,0.34,0.03,8.82
PF00638,2.99,2.92,0.07,2.40
PF00639,,,,
PF00640,0.84,0.81,0.03,3.70
PF00641,2.35,2.27,0.08,3.52
PF00642,2.32,2.17,0.15,6.91
PF00643,2.06,1.96,0.10,5.10
PF00644,1.17,1.11,0.06,5.41
PF00645,1.60,1.70,-0.10,-5.88
PF00646,1.00,0.99,0.01,1.01
PF00647,,,,
PF00648,2.17,2.16,0.01,0.46
PF00650,1.31,1.30,0.01,0.77
PF00651,1.20,1.14,0.06,5.26
PF00652,1.06,1.06,0.00,0.00
PF00653,2.54,2.54,0.00,0.00
PF00654,2.05,1.98,0.07,3.54
PF00656,1.34,1.47,-0.13,-8.84
PF00657,1.28,1.15,0.13,11.30
PF00658,3.65,3.56,0.09,2.53
PF00659,1.02,1.00,0.02,2.00
PF00662,,,,
PF00664,0.25,0.25,0.00,0.00
PF00665,5.49,5.47,0.02,0.37
PF00666,0.76,0.59,0.17,28.81
PF00667,1.54,1.52,0.02,1.32
PF00670,3.45,3.45,0.00,0.00
PF00673,,,,
PF00675,0.97,0.92,0.05,5.43
PF00676,1.17,1.03,0.14,13.59
PF00679,1.21,1.19,0.02,1.68
PF00681,1.94,1.56,0.38,24.36
PF00682,2.73,1.54,1.19,77.27
PF00683,2.60,2.52,0.08,3.17
PF00684,2.99,3.00,-0.01,-0.33
PF00685,0.90,0.85,0.05,5.88
PF00686,1.30,1.24,0.06,4.84
PF00687,0.44,0.47,-0.03,-6.38
PF00688,0.87,0.84,0.03,3.57
PF00689,1.37,1.33,0.04,3.01
PF00690,1.16,1.10,0.06,5.45
PF00692,1.08,1.03,0.05,4.85
PF00694,0.66,0.64,0.02,3.13
PF00696,,,,
PF00698,0.64,0.64,0.00,0.00
PF00701,0.82,0.81,0.01,1.23
PF00702,0.48,0.44,0.04,9.09
PF00703,,,,
PF00704,1.89,1.83,0.06,3.28
PF00705,,,,
PF00708,3.37,3.40,-0.03,-0.88
PF00709,4.33,4.33,0.00,0.00
PF00710,,,,
PF00711,2.09,2.04,0.05,2.45
PF00714,,,,
PF00715,,,,
PF00717,4.56,4.56,0.00,0.00
PF00719,4.50,4.49,0.01,0.22
PF00723,2.89,2.91,-0.02,-0.69
PF00725,0.93,0.88,0.05,5.68
PF00726,1.32,1.28,0.04,3.13
PF00727,,,,
PF00728,2.27,2.24,0.03,1.34
PF00730,0.51,0.48,0.03,6.25
PF00731,,,,
PF00732,,,,
PF00733,0.86,0.90,-0.04,-4.44
PF00735,2.85,2.83,0.02,0.71
PF00736,4.63,4.61,0.02,0.43
PF00743,3.03,3.02,0.01,0.33
PF00748,1.41,1.53,-0.12,-7.84
PF00749,0.80,0.80,0.00,0.00
PF00750,1.52,1.51,0.01,0.66
PF00751,4.26,4.26,0.00,0.00
PF00752,0.86,0.87,-0.01,-1.15
PF00753,0.44,0.40,0.04,10.00
PF00754,1.48,1.47,0.01,0.68
PF00755,1.57,1.59,-0.02,-1.26
PF00756,,,,
PF00757,2.54,2.53,0.01,0.40
PF00758,0.78,0.76,0.02,2.63
PF00762,,,,
PF00763,1.95,1.93,0.02,1.04
PF00764,,,,
PF00766,,,,
PF00769,2.74,2.69,0.05,1.86
PF00773,1.58,1.60,-0.02,-1.25
PF00777,1.01,0.97,0.04,4.12
PF00778,2.82,2.81,0.01,0.36
PF00779,2.67,2.60,0.07,2.69
PF00780,0.81,0.81,0.00,0.00
PF00781,1.89,1.74,0.15,8.62
PF00782,1.40,1.34,0.06,4.48
PF00784,1.38,1.34,0.04,2.99
PF00786,1.57,1.55,0.02,1.29
PF00787,1.01,0.99,0.02,2.02
PF00788,0.48,0.46,0.02,4.35
PF00789,0.83,0.83,0.00,0.00
PF00790,1.83,1.82,0.01,0.55
PF00791,1.13,1.17,-0.04,-3.42
PF00792,1.32,1.23,0.09,7.32
PF00794,0.93,0.88,0.05,5.68
PF00795,0.76,0.77,-0.01,-1.30
PF00797,4.54,4.54,0.00,0.00
PF00801,0.78,0.60,0.18,30.00
PF00804,2.14,2.31,-0.17,-7.36
PF00805,0.82,1.27,-0.45,-35.43
PF00806,1.51,1.48,0.03,2.03
PF00808,1.11,1.08,0.03,2.78
PF00809,,,,
PF00810,4.22,4.22,0.00,0.00
PF00811,,,,
PF00812,2.23,2.20,0.03,1.36
PF00814,,,,
PF00817,1.89,1.87,0.02,1.07
PF00821,4.18,4.18,0.00,0.00
PF00822,1.11,1.10,0.01,0.91
PF00827,,,,
PF00828,0.45,0.61,-0.16,-26.23
PF00829,,,,
PF00830,,,,
PF00831,,,,
PF00832,5.08,5.08,0.00,0.00
PF00833,,,,
PF00834,5.06,5.06,0.00,0.00
PF00835,2.65,2.65,0.00,0.00
PF00836,3.06,3.07,-0.01,-0.33
PF00837,,,,
PF00838,3.80,3.63,0.17,4.68
PF00839,1.11,1.08,0.03,2.78
PF00841,,,,
PF00849,0.67,0.67,0.00,0.00
PF00850,1.80,1.77,0.03,1.69
PF00852,3.18,3.18,0.00,0.00
PF00853,5.01,5.00,0.01,0.20
PF00854,0.95,0.91,0.04,4.40
PF00855,1.18,1.10,0.08,7.27
PF00856,1.32,1.18,0.14,11.86
PF00857,2.58,2.46,0.12,4.88
PF00858,1.55,1.57,-0.02,-1.27
PF00859,2.59,2.60,-0.01,-0.38
PF00860,2.31,2.44,-0.13,-5.33
PF00861,,,,
PF00864,2.50,2.49,0.01,0.40
PF00865,,,,
PF00867,1.61,1.64,-0.03,-1.83
PF00868,1.53,1.51,0.02,1.32
PF00870,3.73,3.79,-0.06,-1.58
PF00875,4.38,4.33,0.05,1.15
PF00876,1.31,1.54,-0.23,-14.94
PF00878,1.21,1.18,0.03,2.54
PF00879,2.94,2.92,0.02,0.68
PF00880,1.39,1.46,-0.07,-4.79
PF00881,,,,
PF00882,,,,
PF00883,1.30,1.28,0.02,1.56
PF00884,1.37,1.34,0.03,2.24
PF00886,,,,
PF00887,2.05,2.03,0.02,0.99
PF00888,1.36,1.30,0.06,4.62
PF00889,,,,
PF00890,,,,
PF00891,2.32,2.32,0.00,0.00
PF00892,0.20,0.18,0.02,11.11
PF00895,,,,
PF00899,0.99,0.95,0.04,4.21
PF00900,4.84,4.80,0.04,0.83
PF00903,0.18,0.27,-0.09,-33.33
PF00904,3.05,3.09,-0.04,-1.29
PF00907,3.06,3.04,0.02,0.66
PF00909,2.05,2.06,-0.01,-0.49
PF00916,1.82,1.81,0.01,0.55
PF00918,4.92,4.92,0.00,0.00
PF00919,1.34,1.32,0.02,1.52
PF00923,,,,
PF00927,0.49,0.48,0.01,2.08
PF00928,1.05,1.03,0.02,1.94
PF00929,0.58,0.55,0.03,5.45
PF00930,1.37,1.37,0.00,0.00
PF00931,,,,
PF00932,1.97,1.92,0.05,2.60
PF00935,5.30,5.30,0.00,0.00
PF00939,2.82,2.80,0.02,0.71
PF00940,,,,
PF00941,2.07,2.07,0.00,0.00
PF00953,,,,
PF00955,2.57,2.55,0.02,0.78
PF00956,2.42,2.31,0.11,4.76
PF00957,1.73,1.66,0.07,4.22
PF00958,,,,
PF00962,0.74,0.74,0.00,0.00
PF00965,2.71,2.72,-0.01,-0.37
PF00969,2.95,2.92,0.03,1.03
PF00970,2.46,2.43,0.03,1.23
PF00975,0.13,0.04,0.09,225.00
PF00976,2.71,2.64,0.07,2.65
PF00984,,,,
PF00988,2.63,2.69,-0.06,-2.23
PF00989,1.89,1.78,0.11,6.18
PF00992,1.45,1.31,0.14,10.69
PF00993,2.10,2.10,0.00,0.00
PF00994,0.52,0.46,0.06,13.04
PF00995,0.83,0.79,0.04,5.06
PF00996,3.87,2.47,1.40,56.68
PF00997,,,,
PF00999,1.17,1.14,0.03,2.63
PF01000,2.01,1.93,0.08,4.15
PF01007,2.82,2.81,0.01,0.36
PF01008,0.79,0.78,0.01,1.28
PF01012,-0.18,-0.16,-0.02,-12.50
PF01015,,,,
PF01016,,,,
PF01017,1.55,1.51,0.04,2.65
PF01018,1.45,1.47,-0.02,-1.36
PF01019,2.87,2.84,0.03,1.06
PF01020,,,,
PF01023,1.79,1.74,0.05,2.87
PF01025,3.06,2.90,0.16,5.52
PF01026,0.73,0.73,0.00,0.00
PF01027,1.11,1.09,0.02,1.83
PF01028,4.17,4.17,0.00,0.00
PF01030,1.47,1.47,0.00,0.00
PF01031,1.78,1.77,0.01,0.56
PF01033,2.56,2.49,0.07,2.81
PF01034,2.65,2.65,0.00,0.00
PF01035,,,,
PF01039,1.17,1.17,0.00,0.00
PF01040,-0.02,0.01,-0.03,-300.00
PF01042,,,,
PF01044,1.88,1.84,0.04,2.17
PF01048,0.59,0.67,-0.08,-11.94
PF01049,2.96,2.91,0.05,1.72
PF01053,,,,
PF01055,2.32,2.11,0.21,9.95
PF01056,2.32,1.97,0.35,17.77
PF01058,,,,
PF01059,,,,
PF01061,1.20,1.20,0.00,0.00
PF01062,3.58,3.66,-0.08,-2.19
PF01063,3.05,3.09,-0.04,-1.29
PF01064,1.32,1.29,0.03,2.33
PF01066,1.13,0.93,0.20,21.51
PF01067,1.64,1.65,-0.01,-0.61
PF01068,1.18,1.18,0.00,0.00
PF01070,2.47,2.43,0.04,1.65
PF01071,,,,
PF01073,1.64,1.63,0.01,0.61
PF01074,1.44,1.39,0.05,3.60
PF01079,2.29,2.30,-0.01,-0.43
PF01080,4.45,4.45,0.00,0.00
PF01082,1.80,1.77,0.03,1.69
PF01084,1.87,1.78,0.09,5.06
PF01085,4.60,4.60,0.00,0.00
PF01086,3.31,3.35,-0.04,-1.19
PF01087,,,,
PF01088,1.64,1.63,0.01,0.61
PF01090,,,,
PF01091,3.12,3.12,0.00,0.00
PF01092,,,,
PF01093,0.95,1.02,-0.07,-6.86
PF01094,0.61,0.60,0.01,1.67
