Pfam_code,HMMER_conservation,HMMER_blosum,HMMER_gaps,FULL_conservation,FULL_blosum,FULL_gaps
PF00120,0.55,0.22,0.21,0.56,0.32,0.20
PF00121,1.00,,0.00,1.00,,0.00
PF00122,0.43,1.66,0.16,0.37,1.09,0.16
PF00123,0.52,1.92,0.04,0.51,1.77,0.02
PF00125,0.50,1.76,0.08,0.41,1.71,0.25
PF00128,0.29,3.03,0.64,0.50,2.91,0.36
PF00129,0.51,1.7,0.04,0.51,1.65,0.04
PF00130,0.43,1.9,0.07,0.43,1.83,0.05
PF00131,0.83,5.29,0.06,0.82,5.27,0.07
PF00133,0.30,1.01,0.38,0.29,0.91,0.39
PF00134,0.33,0.89,0.17,0.35,0.84,0.12
PF00135,0.53,2.04,0.06,0.53,2.03,0.06
PF00136,0.57,1.36,0.05,0.57,1.33,0.04
PF00137,0.59,1.79,0.01,0.59,1.79,0.01
PF00143,0.78,3.21,0.01,0.78,3.2,0.01
PF00144,0.60,0.61,0.05,0.40,0.62,0.37
PF00145,0.38,1.1,0.34,0.38,1.02,0.34
PF00146,1.00,,0.00,1.00,,0.00
PF00147,0.53,2.33,0.05,0.53,2.32,0.04
PF00149,0.35,0.62,0.12,0.34,0.61,0.13
PF00151,0.55,2.12,0.07,0.55,2.08,0.06
PF00152,0.39,0.97,0.21,0.47,0.93,0.05
PF00153,0.34,0.86,0.10,0.34,0.83,0.09
PF00155,0.32,0.33,0.08,0.32,0.33,0.07
PF00156,0.40,0.98,0.26,0.40,0.9,0.25
PF00157,0.72,3.31,0.06,0.71,3.27,0.06
PF00159,0.73,3.14,0.02,0.73,3.04,0.01
PF00160,0.61,2.72,0.08,0.62,2.67,0.06
PF00162,0.95,4.7,0.00,0.94,4.63,0.00
PF00163,0.60,0.82,0.13,0.59,0.53,0.09
PF00164,0.65,2.09,0.14,0.65,1.95,0.14
PF00166,1.00,,0.00,1.00,,0.00
PF00167,0.51,1.95,0.06,0.51,1.94,0.06
PF00168,0.32,0.85,0.15,0.33,0.8,0.10
PF00169,0.28,0.62,0.13,0.29,0.59,0.11
PF00170,0.44,1.62,0.09,0.45,1.58,0.07
PF00171,0.45,1.46,0.10,0.45,1.44,0.09
PF00173,0.42,1.33,0.11,0.43,1.28,0.07
PF00174,1.00,,0.00,1.00,,0.00
PF00175,0.44,1.1,0.04,0.44,1.08,0.03
PF00176,0.45,1.61,0.08,0.40,1.62,0.17
PF00177,0.62,0.88,0.01,0.61,0.8,0.01
PF00178,0.62,2.8,0.03,0.62,2.81,0.02
PF00179,0.43,1.69,0.12,0.44,1.62,0.09
PF00180,0.51,1.31,0.06,0.51,1.36,0.06
PF00181,0.63,1.09,0.07,0.63,0.87,0.04
PF00183,0.33,2.86,0.54,0.30,2.87,0.58
PF00184,0.91,5.08,0.00,0.91,5.08,0.00
PF00185,0.61,0.87,0.04,0.61,0.87,0.04
PF00186,0.90,4.93,0.07,0.92,4.92,0.06
PF00188,0.47,1.76,0.05,0.47,1.71,0.05
PF00189,1.00,,0.00,1.00,,0.00
PF00191,0.48,1.53,0.01,0.48,1.51,0.01
PF00193,0.54,2.11,0.04,0.54,2.11,0.04
PF00194,0.48,1.86,0.09,0.48,1.87,0.08
PF00198,0.57,1.48,0.02,0.56,1.48,0.02
PF00199,1.00,,0.00,1.00,,0.00
PF00200,0.59,3.08,0.03,0.59,3.09,0.04
PF00201,0.60,2.66,0.06,0.63,2.66,0.01
PF00202,0.52,1.39,0.06,0.52,1.39,0.05
PF00203,1.00,,0.00,1.00,,0.00
PF00204,0.90,4.37,0.01,0.90,4.44,0.01
PF00205,0.64,1.17,0.05,0.64,1.11,0.04
PF00206,0.45,0.23,0.14,0.46,0.22,0.13
PF00207,0.53,2.08,0.02,0.53,2.07,0.02
PF00208,0.99,5.2,0.00,0.99,5.21,0.00
PF00209,0.57,2.43,0.02,0.57,2.42,0.02
PF00210,0.75,3.36,0.04,0.75,3.34,0.03
PF00211,0.48,1.86,0.06,0.49,1.83,0.05
PF00212,0.65,2.72,0.08,0.67,2.71,0.05
PF00213,1.00,,0.00,1.00,,0.00
PF00214,0.58,1.99,0.17,0.56,2.0,0.21
PF00215,1.00,,0.00,1.00,,0.00
PF00217,0.84,4.15,0.01,0.84,4.14,0.00
PF00219,0.55,2.69,0.06,0.55,2.76,0.07
PF00220,0.89,5.22,0.00,0.89,5.22,0.00
PF00221,1.00,,0.00,1.00,,0.00
PF00224,0.87,3.87,0.00,0.88,3.88,0.00
PF00225,0.49,1.79,0.07,0.48,1.78,0.08
PF00226,0.58,2.4,0.04,0.58,2.37,0.04
PF00227,0.39,0.79,0.04,0.39,0.78,0.04
PF00229,0.37,0.8,0.08,0.37,0.77,0.08
PF00230,0.45,1.36,0.10,0.45,1.33,0.10
PF00231,1.00,,0.00,1.00,,0.00
PF00232,0.43,2.23,0.27,0.43,2.22,0.26
PF00233,0.50,1.84,0.03,0.50,1.83,0.03
PF00235,0.59,1.61,0.02,0.59,1.63,0.03
PF00236,1.00,,0.00,1.00,,0.00
PF00237,0.60,0.45,0.01,0.60,0.44,0.01
PF00238,0.58,0.51,0.06,0.58,0.51,0.07
PF00240,0.48,1.43,0.09,0.48,1.38,0.07
PF00241,0.38,0.8,0.07,0.38,0.8,0.08
PF00243,0.72,3.27,0.01,0.72,3.31,0.02
PF00244,0.83,3.8,0.01,0.83,3.8,0.00
PF00245,0.87,4.06,0.00,0.87,4.07,0.00
PF00246,0.37,1.38,0.19,0.38,1.3,0.17
PF00248,0.48,1.67,0.11,0.46,1.64,0.14
PF00249,0.40,1.39,0.06,0.42,1.43,0.04
PF00250,0.62,3.0,0.07,0.62,2.93,0.06
PF00252,0.72,1.95,0.03,0.71,1.88,0.03
PF00253,0.62,0.84,0.07,0.62,0.76,0.07
PF00254,0.52,1.9,0.06,0.51,1.87,0.06
PF00255,0.63,,0.00,0.63,,0.00
PF00258,0.50,1.63,0.07,0.50,1.59,0.07
PF00260,1.00,,0.00,1.00,,0.00
PF00261,0.84,4.08,0.07,0.89,3.96,0.00
PF00262,0.40,2.6,0.40,0.40,2.59,0.40
PF00264,0.61,2.14,0.05,0.63,2.15,0.04
PF00265,1.00,,0.00,1.00,,0.00
PF00266,0.45,0.57,0.06,0.45,0.56,0.06
PF00268,0.92,4.65,0.01,0.92,4.64,0.00
PF00270,0.37,0.95,0.08,0.36,0.93,0.08
PF00271,0.34,0.89,0.10,0.35,0.83,0.07
PF00273,0.40,1.04,0.02,0.40,1.04,0.02
PF00274,0.86,3.88,0.00,0.86,3.88,0.00
PF00276,0.54,0.97,0.27,0.56,1.3,0.24
PF00277,0.83,3.63,0.01,0.83,3.63,0.01
PF00278,0.50,,0.50,1.00,,0.00
PF00281,1.00,,0.00,1.00,,0.00
PF00282,0.42,1.76,0.25,0.43,1.71,0.24
PF00285,0.55,0.68,0.26,0.55,0.71,0.25
PF00287,0.57,2.09,0.04,0.55,2.11,0.07
PF00288,0.49,0.89,0.11,0.52,0.88,0.08
PF00289,0.62,2.19,0.00,0.62,2.19,0.00
PF00291,0.47,0.75,0.07,0.47,0.74,0.05
PF00292,0.83,3.91,0.01,0.83,3.91,0.01
PF00293,0.34,0.71,0.18,0.35,0.64,0.14
PF00294,0.47,0.26,0.05,0.47,0.26,0.04
PF00297,0.48,2.3,0.37,0.49,1.81,0.30
PF00298,0.63,0.97,0.00,0.63,0.97,0.01
PF00300,0.36,1.32,0.31,0.35,1.28,0.33
PF00303,1.00,,0.00,1.00,,0.00
PF00305,0.59,2.43,0.08,0.59,2.42,0.08
PF00306,1.00,,0.00,1.00,,0.00
PF00307,0.33,0.77,0.08,0.33,0.72,0.06
PF00312,0.59,0.48,0.08,0.59,0.44,0.06
PF00313,0.48,1.57,0.06,0.49,1.53,0.05
PF00316,0.89,4.08,0.00,0.89,4.06,0.00
PF00317,1.00,,0.00,1.00,,0.00
PF00318,0.30,0.58,0.52,0.30,0.6,0.52
PF00319,0.85,3.71,0.00,0.85,3.71,0.00
PF00320,0.58,2.83,0.06,0.58,2.77,0.05
PF00322,0.87,4.89,0.00,0.87,4.89,0.00
PF00323,0.66,2.85,0.01,0.66,2.85,0.01
PF00324,0.39,2.22,0.37,0.39,2.24,0.37
PF00326,0.45,1.05,0.05,0.45,1.03,0.04
PF00327,0.60,1.29,0.03,0.60,1.27,0.02
PF00328,0.40,0.6,0.10,0.38,0.56,0.15
PF00329,1.00,,0.00,1.00,,0.00
PF00330,0.42,1.25,0.37,0.42,1.13,0.37
PF00333,0.60,0.63,0.00,0.60,0.63,0.00
PF00334,0.48,1.52,0.07,0.56,1.76,0.03
PF00335,0.36,0.96,0.07,0.36,0.96,0.07
PF00337,0.47,1.57,0.05,0.46,1.54,0.05
PF00338,0.52,0.71,0.03,0.52,0.71,0.03
PF00339,0.45,0.99,0.06,0.45,0.98,0.05
PF00340,0.43,1.34,0.15,0.43,1.24,0.12
PF00341,0.50,1.76,0.02,0.50,1.76,0.02
PF00342,1.00,,0.00,1.00,,0.00
PF00343,0.90,4.47,0.00,0.90,4.47,0.00
PF00344,0.98,4.85,0.00,0.98,4.87,0.01
PF00346,1.00,,0.00,1.00,,0.00
PF00347,0.59,0.22,0.08,0.59,0.03,0.05
PF00348,0.44,0.54,0.11,0.44,0.5,0.10
PF00349,0.68,2.99,0.01,0.68,2.99,0.01
PF00350,0.43,1.09,0.06,0.43,1.08,0.06
PF00351,0.78,3.55,0.00,0.78,3.55,0.00
PF00352,0.56,1.87,0.05,0.57,1.84,0.04
PF00354,0.42,1.3,0.13,0.42,1.26,0.10
PF00355,0.58,2.46,0.26,0.67,2.12,0.07
PF00357,0.62,2.75,0.04,0.62,2.68,0.03
PF00361,0.49,0.59,0.06,0.49,0.6,0.05
PF00362,0.66,2.74,0.01,0.66,2.74,0.01
PF00363,1.00,,0.00,1.00,,0.00
PF00364,0.44,1.1,0.06,0.44,1.07,0.05
PF00365,0.63,2.51,0.02,0.63,2.47,0.02
PF00366,0.62,0.68,0.01,0.62,0.66,0.00
PF00368,1.00,,0.00,1.00,,0.00
PF00370,0.53,1.49,0.09,0.53,1.46,0.08
PF00373,0.35,0.88,0.11,0.37,0.88,0.08
PF00375,0.71,2.99,0.01,0.71,2.95,0.00
PF00377,0.59,0.89,0.02,0.59,0.89,0.03
PF00378,0.41,1.17,0.10,0.42,1.15,0.08
PF00380,0.67,1.32,0.00,0.67,1.29,0.00
PF00382,0.46,0.63,0.01,0.45,0.58,0.01
PF00383,0.41,0.75,0.14,0.42,0.72,0.09
PF00384,1.00,,0.00,1.00,,0.00
PF00385,0.44,1.82,0.09,0.44,1.79,0.08
PF00386,0.46,1.41,0.03,0.46,1.41,0.03
PF00387,0.60,2.43,0.02,0.59,2.42,0.03
PF00388,0.68,2.96,0.00,0.67,2.95,0.00
PF00389,0.28,1.33,0.53,0.57,1.31,0.04
PF00390,0.85,4.07,0.00,0.85,4.07,0.00
PF00393,1.00,,0.00,1.00,,0.00
PF00394,1.00,,0.00,1.00,,0.00
PF00396,0.64,3.32,0.01,0.64,3.32,0.01
PF00397,0.54,2.5,0.05,0.54,2.49,0.05
PF00398,0.49,0.68,0.12,0.50,0.68,0.11
PF00400,0.33,1.14,0.15,0.36,1.26,0.11
PF00402,0.78,3.38,0.00,0.78,3.38,0.00
PF00403,0.52,1.96,0.07,0.52,1.94,0.06
PF00405,0.61,2.45,0.03,0.61,2.44,0.03
PF00406,0.36,1.36,0.25,0.46,1.35,0.03
PF00408,1.00,,0.00,1.00,,0.00
PF00410,1.00,,0.00,1.00,,0.00
PF00411,0.64,1.18,0.01,0.64,1.18,0.01
PF00412,0.37,1.47,0.07,0.37,1.44,0.06
PF00413,0.56,2.58,0.09,0.61,2.59,0.02
PF00414,0.66,2.61,0.01,0.67,2.63,0.01
PF00415,0.48,1.59,0.04,0.48,1.65,0.04
PF00416,1.00,,0.00,1.00,,0.00
PF00418,0.65,3.08,0.06,0.65,3.01,0.06
PF00420,1.00,,0.00,1.00,,0.00
PF00428,0.62,1.45,0.01,0.62,1.44,0.01
PF00429,0.26,1.62,0.53,0.25,1.49,0.53
PF00431,0.41,1.38,0.05,0.41,1.36,0.04
PF00432,0.57,1.38,0.02,0.41,0.77,0.04
PF00433,0.43,1.38,0.08,0.41,1.39,0.11
PF00435,0.29,0.49,0.06,0.29,0.47,0.05
PF00436,1.00,,0.00,1.00,,0.00
PF00438,0.93,4.64,0.00,0.93,4.64,0.00
PF00439,0.41,1.53,0.11,0.42,1.46,0.08
PF00441,0.48,1.22,0.02,0.48,1.22,0.02
PF00443,0.41,1.5,0.17,0.42,1.51,0.14
PF00444,1.00,,0.00,1.00,,0.00
PF00445,1.00,,0.00,1.00,,0.00
PF00446,0.85,4.5,0.00,0.85,4.5,0.00
PF00447,0.60,2.35,0.02,0.60,2.37,0.02
PF00448,0.64,1.42,0.01,0.64,1.4,0.01
PF00450,0.53,1.03,0.05,0.53,1.05,0.05
PF00452,0.44,1.25,0.02,0.44,1.24,0.02
PF00453,1.00,,0.00,1.00,,0.00
PF00454,0.39,1.06,0.11,0.35,1.04,0.20
PF00456,0.72,4.06,0.15,0.72,4.06,0.15
PF00458,0.58,1.99,0.08,0.58,1.92,0.07
PF00459,0.46,0.91,0.09,0.46,0.85,0.06
PF00462,0.47,1.38,0.01,0.47,1.37,0.01
PF00464,0.85,3.75,0.00,0.85,3.75,0.00
PF00465,1.00,,0.00,1.00,,0.00
PF00466,0.57,1.35,0.08,0.57,1.3,0.06
PF00467,0.49,1.48,0.07,0.49,1.39,0.05
PF00468,1.00,,0.00,1.00,,0.00
PF00471,1.00,,0.00,1.00,,0.00
PF00472,0.53,1.53,0.11,0.53,1.42,0.09
PF00473,0.58,1.73,0.01,0.58,1.66,0.01
PF00474,0.54,1.62,0.01,0.54,1.62,0.01
PF00476,0.68,1.73,0.02,0.68,1.73,0.01
PF00478,0.32,2.32,0.52,0.63,2.32,0.03
PF00479,0.64,1.38,0.03,0.64,1.4,0.02
PF00480,1.00,,0.00,1.00,,0.00
PF00481,0.31,1.15,0.32,0.32,1.06,0.29
PF00483,0.49,1.22,0.22,0.49,1.22,0.22
PF00485,0.77,3.38,0.02,0.78,3.38,0.02
PF00487,0.41,0.76,0.11,0.40,0.68,0.10
PF00488,0.61,2.06,0.01,0.61,2.05,0.01
PF00489,1.00,,0.00,1.00,,0.00
PF00490,1.00,,0.00,1.00,,0.00
PF00491,0.80,3.4,0.03,0.80,3.37,0.02
PF00493,0.63,2.5,0.02,0.63,2.48,0.02
PF00494,0.55,-0.16,0.04,0.55,-0.17,0.04
PF00498,0.38,0.84,0.04,0.38,0.83,0.05
PF00499,1.00,,0.00,1.00,,0.00
PF00501,0.32,0.53,0.12,0.34,0.55,0.07
PF00503,0.64,2.67,0.01,0.62,2.65,0.04
PF00505,0.47,1.72,0.03,0.47,1.7,0.03
PF00507,1.00,,0.00,1.00,,0.00
PF00510,1.00,,0.00,1.00,,0.00
PF00514,0.36,0.89,0.09,0.36,0.84,0.06
PF00515,0.42,1.16,0.07,0.43,1.1,0.05
PF00517,0.92,4.87,0.04,0.92,4.86,0.04
PF00520,0.31,0.67,0.10,0.31,0.66,0.09
PF00521,0.90,4.37,0.00,0.90,4.38,0.00
PF00525,0.60,2.62,0.13,0.60,2.48,0.12
PF00530,0.55,2.28,0.05,0.55,2.25,0.04
PF00531,0.33,0.78,0.12,0.33,0.76,0.11
PF00533,0.33,0.45,0.05,0.31,0.42,0.08
PF00534,0.42,0.47,0.06,0.42,0.42,0.07
PF00535,0.50,1.64,0.07,0.50,1.69,0.08
PF00536,0.38,0.99,0.09,0.38,0.94,0.07
PF00538,0.58,1.93,0.07,0.58,1.9,0.06
PF00542,1.00,,0.00,1.00,,0.00
PF00549,0.50,0.5,0.04,0.50,0.52,0.04
PF00550,0.41,0.93,0.17,0.44,0.85,0.10
PF00551,0.53,1.42,0.12,0.53,1.42,0.12
PF00552,1.00,5.91,0.00,0.99,5.9,0.00
PF00554,0.50,1.84,0.11,0.51,1.8,0.08
PF00557,0.40,0.68,0.08,0.40,0.66,0.05
PF00560,0.51,1.79,0.16,0.60,1.91,0.08
PF00561,0.25,0.19,0.24,0.23,0.3,0.34
PF00562,0.63,2.01,0.03,0.63,1.99,0.03
PF00564,0.34,0.61,0.12,0.34,0.57,0.09
PF00565,0.43,0.91,0.17,0.45,0.93,0.14
PF00566,0.37,1.02,0.14,0.38,1.0,0.11
PF00567,0.33,0.64,0.09,0.33,0.61,0.08
PF00568,0.44,1.55,0.13,0.45,1.5,0.10
PF00569,0.43,2.27,0.16,0.44,2.06,0.10
PF00570,0.47,0.16,0.06,0.47,0.13,0.05
PF00571,0.35,1.0,0.15,0.36,0.97,0.12
PF00572,0.62,0.81,0.06,0.62,0.77,0.06
PF00573,0.57,0.09,0.03,0.58,0.13,0.02
PF00574,1.00,,0.00,1.00,,0.00
PF00575,0.39,0.73,0.13,0.39,0.74,0.10
PF00576,1.00,,0.00,1.00,,0.00
PF00578,0.70,2.77,0.01,0.70,2.76,0.00
PF00579,0.41,0.1,0.05,0.41,0.09,0.05
PF00581,0.31,0.58,0.17,0.32,0.53,0.11
PF00583,0.30,0.65,0.22,0.30,0.59,0.20
PF00584,1.00,,0.00,1.00,,0.00
PF00586,0.62,2.06,0.16,0.62,1.81,0.12
PF00587,0.43,0.9,0.13,0.43,0.92,0.12
PF00588,0.51,0.71,0.02,0.51,0.76,0.02
PF00590,1.00,,0.00,1.00,,0.00
PF00591,1.00,,0.00,1.00,,0.00
PF00594,0.68,3.18,0.01,0.68,3.17,0.01
PF00595,0.37,1.17,0.12,0.37,1.15,0.09
PF00596,0.63,1.92,0.03,0.63,1.97,0.04
PF00605,0.61,2.61,0.01,0.61,2.59,0.01
PF00607,0.98,5.07,0.00,0.98,5.06,0.00
PF00609,0.59,2.28,0.02,0.59,2.27,0.02
PF00610,0.42,1.28,0.06,0.42,1.25,0.05
PF00611,0.41,1.16,0.05,0.41,1.13,0.04
PF00612,0.43,1.7,0.12,0.43,1.58,0.09
PF00613,0.50,1.53,0.08,0.50,1.49,0.07
PF00614,0.86,4.69,0.04,0.88,4.43,0.00
PF00615,0.41,1.13,0.05,0.42,1.14,0.04
PF00616,0.29,1.41,0.41,0.29,1.36,0.39
PF00617,0.42,1.34,0.09,0.43,1.31,0.07
PF00618,0.34,0.96,0.17,0.35,0.89,0.13
PF00619,0.35,0.71,0.06,0.36,0.69,0.05
PF00620,0.42,1.32,0.03,0.42,1.3,0.03
PF00621,0.36,0.9,0.05,0.35,0.89,0.06
PF00622,0.35,0.81,0.12,0.35,0.79,0.11
PF00623,0.69,2.32,0.01,0.69,2.29,0.00
PF00625,0.38,1.44,0.19,0.38,1.41,0.18
PF00626,0.34,0.68,0.07,0.34,0.65,0.05
PF00627,0.42,1.2,0.06,0.42,1.15,0.05
PF00628,0.44,2.11,0.05,0.41,2.03,0.09
PF00629,0.38,1.07,0.05,0.37,1.08,0.06
PF00630,0.43,1.52,0.10,0.40,1.54,0.17
PF00631,0.48,1.77,0.11,0.48,1.74,0.10
PF00632,0.46,1.47,0.06,0.46,1.47,0.06
PF00633,0.67,1.87,0.10,0.67,1.71,0.10
PF00634,0.52,1.48,0.02,0.52,1.47,0.02
PF00635,0.51,1.37,0.09,0.51,1.32,0.08
PF00636,0.52,1.43,0.17,0.55,1.32,0.08
PF00637,0.33,0.37,0.06,0.33,0.34,0.05
PF00638,0.65,2.99,0.05,0.65,2.92,0.03
PF00639,1.00,,0.00,1.00,,0.00
PF00640,0.33,0.84,0.17,0.33,0.81,0.14
PF00641,0.48,2.35,0.09,0.48,2.27,0.06
PF00642,0.43,2.32,0.12,0.43,2.17,0.09
PF00643,0.41,2.06,0.13,0.42,1.96,0.09
PF00644,0.32,1.17,0.29,0.36,1.11,0.19
PF00645,0.56,1.6,0.06,0.57,1.7,0.04
PF00646,0.39,1.0,0.20,0.38,0.99,0.21
PF00647,1.00,,0.00,1.00,,0.00
PF00648,0.54,2.17,0.07,0.53,2.16,0.07
PF00650,0.46,1.31,0.03,0.45,1.3,0.04
PF00651,0.38,1.2,0.10,0.38,1.14,0.08
PF00652,0.37,1.06,0.08,0.37,1.06,0.07
PF00653,0.55,2.54,0.07,0.53,2.54,0.10
PF00654,0.58,2.05,0.02,0.57,1.98,0.02
PF00656,0.44,1.34,0.08,0.45,1.47,0.10
PF00657,0.56,1.28,0.02,0.55,1.15,0.02
PF00658,0.83,3.65,0.03,0.83,3.56,0.02
PF00659,0.47,1.02,0.05,0.47,1.0,0.04
PF00662,1.00,,0.00,1.00,,0.00
PF00664,0.28,0.25,0.05,0.29,0.25,0.04
PF00665,0.97,5.49,0.02,0.98,5.47,0.02
PF00666,0.57,0.76,0.18,0.57,0.59,0.16
PF00667,0.55,1.54,0.02,0.55,1.52,0.02
PF00670,0.81,3.45,0.00,0.81,3.45,0.00
PF00673,1.00,,0.00,1.00,,0.00
PF00675,0.43,0.97,0.11,0.43,0.92,0.10
PF00676,0.48,1.17,0.07,0.48,1.03,0.03
PF00679,0.49,1.21,0.04,0.49,1.19,0.03
PF00681,0.54,1.94,0.04,0.50,1.56,0.03
PF00682,0.61,2.73,0.22,0.64,1.54,0.03
PF00683,0.49,2.6,0.09,0.49,2.52,0.08
PF00684,0.68,2.99,0.03,0.68,3.0,0.03
PF00685,0.35,0.9,0.16,0.35,0.85,0.14
PF00686,0.48,1.3,0.23,0.48,1.24,0.22
