pfam_id,fasta_seqs,sto_lines
PF00229,16,37
PF00230,15,68
PF00231,1,12
PF00232,12,83
PF00233,21,92
PF00235,4,13
PF00236,1,7
PF00237,2,9
PF00238,2,9
PF00240,55,115
PF00241,12,29
PF00243,4,13
PF00244,7,36
PF00245,4,35
PF00246,25,161
PF00248,18,80
PF00249,30,65
PF00250,51,107
PF00252,3,11
PF00253,2,9
PF00254,24,53
PF00255,8,21
PF00258,8,21
PF00260,1,7
PF00261,4,24
PF00262,6,32
PF00264,3,20
PF00265,1,7
PF00266,5,41
PF00268,2,16
PF00270,74,455
PF00271,107,436
PF00273,11,27
PF00274,3,20
PF00276,2,9
PF00277,3,11
PF00278,2,9
PF00281,1,7
PF00282,9,65
PF00285,2,23
PF00287,5,28
PF00288,4,13
PF00289,5,15
PF00291,5,28
PF00292,9,23
PF00293,20,88
PF00294,3,20
PF00297,4,35
PF00298,2,9
PF00300,15,68
PF00303,1,12
PF00305,6,62
PF00306,1,7
PF00307,98,400
PF00312,2,9
PF00313,12,29
PF00316,2,9
PF00317,1,7
PF00318,6,32
PF00319,5,15
PF00320,20,45
PF00322,3,11
PF00323,5,15
PF00324,13,89
PF00326,9,44
PF00327,3,11
PF00328,8,59
PF00329,1,7
PF00330,4,35
PF00333,2,9
PF00334,12,29
PF00335,33,140
PF00337,22,49
PF00338,3,11
PF00339,10,25
PF00340,9,23
PF00341,9,23
PF00342,1,17
PF00343,3,38
PF00344,2,23
PF00346,1,12
PF00347,2,9
PF00348,4,24
PF00349,9,44
PF00350,15,68
PF00351,4,24
PF00352,6,17
PF00354,12,56
PF00355,3,11
PF00357,8,21
PF00361,3,20
PF00362,8,40
PF00363,1,7
PF00364,10,25
PF00365,6,32
PF00366,2,9
PF00368,1,12
PF00370,7,36
PF00373,48,200
PF00375,7,53
PF00377,2,9
PF00378,14,64
PF00380,2,9
PF00382,4,13
PF00383,6,17
PF00384,1,12
PF00385,30,65
PF00386,32,69
PF00387,15,35
PF00388,16,37
PF00389,8,21
PF00390,3,11
PF00393,1,12
PF00394,1,7
PF00396,7,19
PF00397,70,145
PF00398,3,20
PF00400,710,1425
PF00402,12,29
PF00403,14,33
PF00405,6,32
PF00406,14,64
PF00408,1,7
PF00410,1,7
PF00411,2,9
PF00412,159,323
PF00413,25,55
PF00414,6,17
PF00415,22,49
PF00416,1,7
PF00418,11,27
PF00420,1,7
PF00428,4,13
PF00429,11,102
PF00431,150,305
PF00432,3,20
PF00433,33,71
PF00435,251,507
PF00436,1,7
PF00438,2,9
PF00439,54,113
PF00441,11,27
PF00443,83,1523
PF00444,1,7
PF00445,1,7
PF00446,2,9
PF00447,8,21
PF00448,2,16
PF00450,3,29
PF00452,10,25
PF00453,1,7
PF00454,19,84
PF00456,3,20
PF00458,7,19
PF00459,5,28
PF00462,8,21
PF00464,2,16
PF00465,1,7
PF00466,4,13
PF00467,9,23
PF00468,1,7
PF00471,1,7
PF00472,4,13
PF00473,4,13
PF00474,12,83
PF00476,2,23
PF00478,8,40
PF00479,2,9
PF00480,1,12
PF00481,23,149
PF00483,3,20
PF00485,3,11
PF00487,8,40
PF00488,5,28
PF00489,1,7
PF00490,1,12
PF00491,3,20
PF00493,8,40
PF00494,2,16
PF00498,32,69
PF00499,1,7
PF00501,33,278
PF00503,17,76
PF00505,52,109
PF00507,1,7
PF00510,1,12
PF00514,103,211
PF00515,25,55
PF00517,12,56
PF00520,169,1025
PF00521,2,23
PF00525,4,13
PF00530,81,167
PF00531,30,65
PF00533,22,49
PF00534,7,36
PF00535,25,108
PF00536,72,149
PF00538,14,33
PF00542,1,7
PF00549,4,13
PF00550,5,15
PF00551,4,13
PF00552,8,21
PF00554,10,48
PF00557,9,44
PF00560,45,95
PF00561,27,116
PF00562,3,20
PF00564,14,33
PF00565,5,15
PF00566,54,224
PF00567,36,77
PF00568,11,27
PF00569,18,41
PF00570,3,11
PF00571,29,63
PF00572,2,9
PF00573,2,16
PF00574,1,7
PF00575,10,25
PF00576,1,7
PF00578,5,15
PF00579,4,24
PF00580,2,16
PF00581,26,57
PF00583,21,47
PF00584,1,7
PF00586,3,11
PF00587,8,40
PF00588,3,20
PF00590,1,12
PF00591,1,12
PF00594,12,29
PF00595,232,469
PF00596,4,24
PF00605,9,23
PF00607,11,27
PF00609,10,25
PF00610,25,55
PF00611,20,45
PF00612,133,271
PF00613,9,44
PF00614,2,9
PF00615,38,81
PF00616,21,92
PF00617,29,124
PF00618,20,45
PF00619,27,59
PF00620,66,272
PF00621,71,292
PF00622,100,408
PF00623,3,11
PF00625,25,108
PF00626,45,95
PF00627,24,53
PF00628,74,153
PF00629,36,152
PF00630,79,163
PF00631,17,39
PF00632,28,179
PF00633,2,9
PF00634,7,19
PF00635,5,15
PF00636,3,11
PF00637,14,33
PF00638,20,45
PF00639,1,7
PF00640,30,128
PF00641,30,65
PF00642,46,97
PF00643,71,147
PF00644,16,72
PF00645,3,11
PF00646,8,21
PF00647,1,7
PF00648,15,101
PF00650,13,31
PF00651,138,560
PF00652,22,49
PF00653,16,37
PF00654,9,65
PF00656,14,64
PF00657,5,28
PF00658,5,15
PF00659,6,17
PF00662,1,7
PF00664,39,164
PF00665,10,25
PF00666,2,9
PF00667,6,32
PF00670,3,11
PF00673,1,7
PF00675,7,19
PF00676,6,32
PF00679,6,17
PF00681,63,131
PF00682,3,20
PF00683,42,89
PF00684,4,13
PF00685,34,215
PF00686,3,11
PF00687,3,20
PF00688,21,137
PF00689,15,68
PF00690,18,41
PF00692,2,9
PF00694,3,11
PF00696,2,16
PF00698,2,16
PF00701,2,16
PF00702,14,95
PF00703,1,7
PF00704,7,36
PF00705,1,7
PF00708,2,9
PF00709,2,23
PF00710,1,12
PF00711,5,15
PF00714,1,7
PF00715,1,7
PF00717,2,9
PF00719,2,9
PF00723,3,47
PF00725,6,17
PF00726,4,13
PF00727,1,7
PF00728,3,20
PF00730,5,15
PF00731,1,7
PF00732,1,12
PF00733,3,20
PF00735,13,60
PF00736,2,9
PF00743,6,47
PF00748,4,13
PF00749,3,20
PF00750,2,16
PF00751,7,19
PF00752,5,15
PF00753,8,40
PF00754,30,65
PF00755,7,70
PF00756,1,12
PF00757,7,19
PF00758,2,9
PF00762,1,12
PF00763,4,13
PF00764,1,7
PF00766,1,7
PF00769,4,13
PF00773,4,35
PF00777,19,84
PF00778,7,19
PF00779,9,23
PF00780,15,101
PF00781,16,37
PF00782,34,73
PF00784,13,31
PF00786,14,33
PF00787,47,99
PF00788,29,63
PF00789,13,31
PF00790,9,23
PF00791,14,33
PF00792,8,21
PF00794,7,19
PF00795,7,36
PF00797,2,16
PF00801,20,45
PF00804,7,19
PF00805,2,9
PF00806,16,37
PF00808,6,17
PF00809,1,12
PF00810,3,11
PF00811,1,7
PF00812,8,21
PF00814,2,16
PF00817,5,28
PF00821,2,16
PF00822,35,148
PF00827,1,7
PF00828,2,9
PF00829,1,7
PF00830,1,7
PF00831,1,7
PF00832,3,11
PF00833,1,7
PF00834,2,9
PF00835,2,9
PF00836,5,15
PF00837,3,20
PF00838,3,11
PF00839,15,35
PF00841,1,7
PF00849,4,13
PF00850,12,56
PF00852,8,40
PF00853,3,11
PF00854,7,53
PF00855,24,53
PF00856,39,245
PF00857,2,9
PF00858,9,65
PF00859,4,24
PF00860,3,29
PF00861,1,7
PF00864,7,36
PF00865,1,12
PF00867,4,13
PF00868,9,23
PF00870,3,20
PF00875,2,9
PF00876,3,29
PF00878,15,68
PF00879,5,15
PF00880,174,353
PF00881,1,7
PF00882,1,7
PF00883,2,16
PF00884,17,113
PF00886,1,7
PF00887,7,19
PF00888,9,65
PF00889,1,12
PF00890,1,17
PF00891,2,16
PF00892,14,33
PF00895,1,7
PF00899,14,126
PF00900,3,11
PF00903,4,13
PF00904,17,39
PF00907,17,76
PF00909,5,41
PF00916,11,77
PF00918,2,9
PF00919,2,9
PF00923,1,12
PF00927,16,37
PF00928,10,48
PF00929,11,52
PF00930,6,47
PF00931,1,7
PF00932,5,15
PF00935,2,9
PF00939,5,54
PF00940,1,17
PF00941,2,9
PF00953,1,7
PF00955,12,110
PF00956,21,137
PF00957,10,25
PF00958,1,7
PF00962,3,20
PF00965,4,13
PF00969,9,23
PF00970,5,15
PF00975,2,16
PF00976,3,11
PF00984,1,7
PF00988,2,9
PF00989,19,43
PF00992,6,17
PF00993,6,17
PF00994,3,11
PF00995,8,78
PF00996,4,35
PF00997,1,7
PF00999,15,101
PF01000,2,9
PF01007,16,37
PF01008,4,24
PF01012,2,9
PF01015,1,12
PF01016,1,7
PF01017,7,19
PF01018,2,9
PF01019,9,65
PF01020,1,7
PF01023,27,59
PF01025,2,9
PF01026,3,20
PF01027,6,32
PF01028,2,16
PF01030,14,33
PF01031,6,32
PF01033,11,27
PF01034,8,21
PF01035,1,7
PF01039,4,35
PF01040,3,20
PF01042,1,7
PF01044,8,97
PF01048,4,24
PF01049,22,49
PF01053,1,12
PF01055,12,83
PF01056,6,47
PF01058,1,7
PF01059,1,7
PF01061,5,28
PF01062,4,24
PF01063,2,16
PF01064,9,23
PF01066,5,28
PF01067,14,33
PF01068,3,20
PF01070,2,16
PF01071,1,7
PF01073,6,32
PF01074,5,28
PF01079,3,20
PF01080,3,29
PF01082,4,13
PF01084,3,11
PF01085,3,11
PF01086,2,16
PF01087,1,7
PF01088,4,24
PF01090,1,7
PF01091,2,9
PF01092,1,7
PF01093,2,23
PF01094,37,310
PF01096,6,17
PF01099,9,23
PF01101,5,15
PF01102,2,9
PF01103,1,12
PF01105,9,44
PF01106,1,7
PF01108,13,31
PF01109,1,7
PF01110,1,7
PF01111,2,9
PF01112,3,20
PF01114,1,7
PF01115,1,12
PF01119,4,13
PF01120,2,16
PF01121,2,9
PF01122,3,20
PF01124,6,17
PF01125,1,7
PF01126,2,16
PF01127,1,7
PF01128,1,12
PF01129,4,24
PF01130,3,29
PF01131,2,23
PF01133,1,7
PF01134,1,17
PF01135,3,20
PF01137,4,24
PF01138,8,21
PF01139,1,17
PF01142,2,23
PF01144,4,24
PF01145,11,52
PF01146,3,11
PF01148,2,16
PF01149,1,7
PF01150,8,59
PF01151,7,36
PF01153,6,62
PF01154,2,9
PF01157,1,7
PF01158,1,7
PF01159,1,7
PF01160,3,11
PF01161,3,11
PF01163,3,20
PF01165,1,7
PF01166,4,13
PF01167,5,28
PF01168,1,12
PF01169,2,9
PF01170,3,20
PF01171,1,12
PF01172,1,7
PF01175,1,12
PF01176,3,11
PF01179,3,29
PF01180,2,16
PF01182,4,24
PF01186,5,28
PF01187,3,11
PF01189,9,44
PF01191,1,7
PF01192,1,7
PF01193,4,13
PF01194,1,7
PF01195,1,7
PF01196,1,7
PF01198,1,7
PF01199,1,7
PF01200,1,7
PF01201,2,16
PF01202,2,9
PF01204,1,17
PF01205,1,7
PF01207,4,24
PF01208,1,12
PF01209,1,12
PF01210,2,9
PF01212,1,12
PF01213,2,9
PF01214,1,7
PF01215,1,7
PF01216,2,16
PF01217,16,37
PF01218,1,12
PF01221,3,11
PF01222,3,29
PF01223,5,28
PF01227,1,7
PF01229,1,17
PF01230,3,11
PF01231,2,23
PF01233,2,9
PF01234,3,20
PF01237,15,101
PF01238,1,7
PF01239,14,33
PF01242,1,7
PF01243,1,7
PF01244,3,20
PF01245,1,7
PF01246,2,9
PF01247,1,7
PF01248,11,27
PF01249,1,7
PF01250,1,7
PF01251,1,7
PF01253,4,13
PF01254,1,7
PF01255,2,16
PF01256,1,12
PF01257,1,7
PF01259,1,12
PF01261,1,12
PF01262,1,12
PF01263,1,12
PF01265,1,12
PF01266,9,65
PF01267,3,20
PF01268,2,30
PF01269,2,16
PF01271,3,38
PF01273,14,64
PF01275,3,20
PF01279,2,9
PF01280,1,7
PF01281,1,7
PF01282,1,7
PF01283,2,9
PF01284,27,116
PF01285,4,13
PF01286,1,7
PF01287,3,11
PF01290,6,17
PF01291,2,9
PF01294,1,7
PF01296,2,9
PF01299,6,32
PF01300,1,7
PF01301,4,24
PF01302,16,37
PF01315,2,9
PF01321,2,9
PF01323,1,12
PF01327,1,7
PF01329,2,9
PF01331,1,12
PF01335,10,25
PF01336,7,19
PF01342,8,21
PF01344,97,199
PF01347,2,30
PF01351,1,12
PF01352,365,735
PF01359,1,7
PF01363,30,65
PF01365,12,56
PF01368,1,7
PF01369,15,68
PF01370,4,24
PF01379,1,12
PF01380,4,13
PF01381,1,7
PF01384,2,30
PF01387,3,11
PF01388,15,35
PF01390,37,79
PF01391,285,575
PF01392,24,53
PF01393,3,11
PF01394,10,25
PF01396,1,7
PF01398,12,29
PF01399,17,39
PF01400,6,32
PF01401,3,29
PF01403,30,128
PF01404,14,64
PF01406,2,23
PF01408,4,13
PF01409,3,20
PF01410,14,64
PF01411,2,30
PF01412,29,63
PF01413,12,29
PF01414,4,13
PF01415,1,7
PF01416,4,13
PF01417,6,17
PF01419,2,9
PF01421,38,160
PF01422,19,43
PF01423,19,43
PF01424,10,25
PF01425,3,29
PF01426,13,60
PF01428,11,27
PF01429,9,23
PF01431,8,40
PF01432,3,29
PF01433,13,60
PF01434,3,11
PF01435,2,16
PF01436,30,65
PF01437,33,71
PF01442,5,28
PF01448,13,31
PF01451,1,7
PF01454,36,152
PF01457,4,46
PF01459,5,28
PF01462,31,67
PF01463,20,45
PF01465,10,25
PF01466,1,7
PF01467,8,40
PF01470,2,16
PF01471,18,41
PF01472,3,11
PF01476,5,15
PF01477,35,75
PF01479,2,9
PF01480,5,15
PF01483,7,19
PF01485,10,25
PF01490,20,131
PF01491,1,7
PF01494,6,32
PF01496,4,57
PF01500,10,25
PF01501,10,48
PF01504,10,48
PF01505,4,13
PF01507,1,7
PF01509,3,11
PF01510,6,17
PF01512,1,7
PF01513,2,9
PF01521,2,9
PF01529,24,53
PF01530,22,49
PF01531,2,16
PF01532,7,53
PF01534,11,52
PF01535,3,11
PF01536,1,12
PF01541,1,7
PF01545,10,48
PF01546,10,48
PF01549,1,7
PF01551,1,7
PF01553,16,72
PF01554,4,13
PF01556,13,60
PF01557,4,24
PF01562,34,73
PF01564,3,20
PF01565,4,13
PF01566,2,23
PF01569,18,41
PF01571,4,24
PF01575,2,9
PF01576,19,248
PF01582,19,84
PF01583,2,9
PF01585,34,73
PF01586,4,13
PF01588,2,9
PF01590,14,64
PF01591,4,24
PF01592,1,7
PF01593,11,102
PF01594,1,12
PF01595,3,20
PF01596,3,20
PF01597,2,9
PF01599,1,7
PF01602,14,126
PF01603,5,41
PF01607,2,9
PF01608,5,15
PF01612,5,28
PF01619,2,16
PF01624,3,11
PF01625,1,7
PF01630,5,41
PF01632,1,7
PF01633,4,24
PF01636,3,20
PF01641,3,11
PF01642,1,17
PF01648,1,7
PF01650,2,16
PF01652,4,13
PF01655,1,7
PF01658,1,7
PF01661,13,31
PF01663,10,48
PF01667,2,9
PF01669,1,7
PF01687,1,7
PF01693,2,9
PF01694,9,23
PF01699,18,41
PF01702,2,23
PF01704,3,29
PF01709,1,7
PF01712,4,24
PF01713,1,7
PF01715,1,12
PF01722,3,11
PF01725,1,7
PF01728,5,28
PF01729,1,7
PF01731,3,11
PF01733,4,24
PF01734,9,44
PF01735,6,47
PF01738,1,12
PF01740,11,52
PF01743,1,7
PF01747,2,16
PF01749,7,19
PF01751,4,13
PF01753,19,43
PF01754,10,25
PF01755,3,20
PF01756,4,13
PF01758,6,17
PF01759,17,39
PF01762,16,72
PF01764,2,9
PF01765,1,7
PF01769,6,17
PF01770,4,35
PF01773,3,11
PF01775,1,7
PF01776,2,9
PF01777,1,7
PF01778,2,9
PF01779,1,7
PF01780,2,9
PF01781,1,7
PF01783,1,7
PF01784,1,12
PF01791,1,12
PF01794,12,56
PF01795,2,16
PF01798,3,20
PF01799,2,9
PF01803,2,16
PF01805,9,23
PF01808,1,12
PF01812,2,16
PF01813,1,7
PF01814,1,7
PF01821,8,21
PF01822,7,19
PF01823,11,52
PF01825,33,71
PF01826,45,95
PF01833,64,133
PF01834,2,9
PF01835,9,23
PF01839,40,85
PF01840,3,11
PF01841,11,27
PF01842,1,7
PF01843,6,17
PF01844,1,7
PF01846,16,37
PF01847,2,9
PF01849,7,19
PF01851,6,17
PF01852,15,68
PF01853,5,15
PF01857,3,11
PF01858,3,20
PF01866,2,16
PF01868,1,7
PF01869,1,12
PF01871,2,9
PF01873,2,9
PF01875,1,12
PF01876,1,12
PF01878,1,7
PF01883,2,9
PF01885,1,7
PF01896,2,16
PF01900,2,9
PF01902,1,7
PF01907,1,7
PF01909,4,13
PF01912,1,12
PF01916,1,12
PF01918,2,9
PF01920,5,15
PF01922,1,7
PF01923,1,7
PF01926,16,37
PF01927,1,7
PF01928,1,12
PF01929,1,7
PF01931,1,7
PF01936,1,7
PF01937,2,23
PF01938,2,9
PF01940,1,12
PF01946,1,12
PF01951,1,7
PF01956,2,9
PF01958,1,7
PF01963,3,20
PF01965,1,7
PF01966,1,7
PF01967,1,7
PF01968,1,12
PF01974,2,9
PF01979,10,71
PF01980,1,7
PF01981,2,9
PF01984,1,7
PF01990,1,7
PF01991,2,9
PF01992,2,16
PF01997,2,16
PF02002,1,7
PF02005,3,29
PF02008,14,33
PF02010,5,41
PF02014,4,13
PF02017,5,15
PF02019,2,9
PF02020,7,19
PF02022,9,23
PF02023,59,123
PF02024,1,7
PF02025,1,7
PF02026,12,29
PF02029,3,29
PF02033,1,7
PF02036,5,15
PF02037,20,45
PF02038,8,21
PF02044,2,9
PF02045,1,7
PF02046,2,9
PF02055,1,12
PF02057,1,12
PF02058,2,9
PF02059,1,7
PF02060,4,13
PF02063,3,20
PF02064,2,9
PF02070,1,7
PF02072,1,7
PF02077,1,12
PF02078,3,11
PF02079,1,7
PF02083,1,7
PF02089,2,16
PF02096,2,16
PF02099,4,13
PF02100,3,11
PF02101,1,17
PF02104,1,12
PF02106,1,17
PF02109,1,7
PF02114,4,24
PF02115,3,11
PF02121,5,28
PF02126,1,12
PF02127,1,17
PF02130,1,7
PF02135,4,13
PF02136,5,15
PF02137,6,47
PF02138,9,44
PF02140,6,17
PF02141,17,76
PF02142,3,11
PF02144,1,12
PF02145,10,48
PF02146,7,36
PF02148,14,33
PF02149,5,15
PF02150,2,9
PF02155,1,12
PF02157,1,12
PF02158,2,23
PF02159,1,7
PF02161,1,17
PF02163,1,12
PF02165,1,12
PF02166,1,17
PF02167,1,12
PF02170,9,23
PF02171,8,40
PF02172,2,9
PF02173,3,11
PF02174,15,35
PF02176,6,17
PF02177,3,11
PF02178,3,11
PF02179,7,19
PF02180,3,11
PF02181,15,101
PF02182,2,9
PF02185,11,27
PF02186,1,7
PF02187,7,19
PF02188,15,35
PF02189,7,19
PF02190,6,32
PF02191,13,60
PF02192,3,11
PF02194,4,13
PF02195,1,7
PF02196,6,17
PF02197,7,19
PF02198,11,27
PF02199,5,15
PF02201,4,13
PF02202,1,7
PF02204,10,25
PF02205,18,41
PF02207,6,17
PF02208,3,11
PF02209,8,21
PF02210,95,388
PF02212,7,19
PF02213,3,11
PF02214,50,105
PF02218,11,27
PF02219,1,12
PF02221,4,13
PF02223,2,16
PF02225,19,43
PF02229,1,7
PF02230,3,20
PF02233,1,17
PF02234,3,11
PF02237,1,7
PF02238,4,13
PF02244,8,21
PF02245,1,7
PF02251,3,11
PF02252,3,11
PF02256,2,9
PF02257,9,23
PF02259,5,41
PF02260,5,15
PF02262,3,11
PF02263,11,52
PF02267,2,16
PF02268,1,7
PF02269,2,9
PF02270,1,7
PF02271,1,7
PF02272,1,7
PF02275,2,16
PF02284,1,7
PF02285,2,9
PF02290,1,7
PF02291,2,9
PF02295,3,11
PF02296,2,9
PF02297,4,13
PF02301,4,24
PF02310,2,9
PF02312,1,7
PF02318,9,23
PF02319,13,31
PF02320,2,9
PF02330,1,12
PF02337,11,27
PF02338,13,60
PF02344,1,7
PF02347,1,17
PF02348,1,12
PF02350,1,12
PF02351,14,33
PF02354,4,24
PF02359,2,9
PF02366,2,16
PF02368,2,9
PF02372,2,9
PF02373,23,51
PF02374,1,12
PF02375,11,27
PF02376,13,31
PF02377,4,13
PF02383,5,41
PF02389,3,11
PF02390,1,7
PF02391,1,7
PF02394,2,9
PF02403,1,7
PF02404,1,12
PF02410,1,7
PF02412,29,63
PF02423,1,12
PF02434,6,32
PF02436,1,12
PF02437,7,19
PF02441,1,12
PF02450,2,16
PF02453,4,13
PF02460,3,11
PF02463,12,245
PF02466,8,21
PF02469,21,47
PF02475,2,9
PF02485,7,36
PF02487,1,17
PF02492,5,15
PF02493,102,209
PF02494,4,13
PF02513,15,35
PF02515,2,16
PF02516,2,23
PF02517,1,7
PF02518,7,19
PF02525,2,16
PF02535,15,101
PF02536,4,24
PF02538,1,17
PF02540,2,16
PF02544,5,15
PF02545,1,7
PF02567,1,12
PF02574,3,20
PF02578,1,12
PF02580,2,9
PF02582,1,7
PF02585,1,7
PF02586,1,12
PF02594,1,7
PF02597,1,7
PF02598,1,12
PF02602,1,12
PF02607,1,7
PF02617,2,9
PF02628,1,12
PF02629,2,9
PF02630,2,9
PF02636,1,12
PF02637,1,7
PF02661,1,7
PF02666,1,12
PF02668,2,16
PF02671,8,21
PF02676,1,12
PF02678,1,7
PF02686,1,7
PF02690,6,17
PF02696,1,17
PF02709,7,19
PF02714,3,20
PF02724,1,22
PF02727,3,11
PF02728,3,11
PF02729,2,9
PF02731,1,7
PF02732,5,15
PF02733,1,12
PF02734,1,7
PF02735,2,16
PF02736,14,33
PF02737,4,13
PF02738,2,16
PF02740,1,7
PF02744,1,7
PF02746,1,7
PF02747,1,7
PF02749,1,7
PF02750,3,20
PF02751,1,7
PF02752,10,25
PF02755,13,31
PF02758,23,51
PF02759,21,92
PF02760,5,15
PF02761,3,11
PF02762,3,11
PF02765,1,7
PF02769,5,28
PF02770,14,33
PF02771,11,27
PF02772,2,9
PF02773,2,9
PF02775,2,9
PF02776,2,9
PF02777,1,7
PF02778,1,7
PF02779,8,40
PF02780,5,15
PF02781,2,16
PF02782,6,32
PF02784,3,20
PF02785,5,15
PF02786,9,44
PF02787,2,9
PF02789,1,7
PF02790,1,7
PF02791,4,13
PF02792,2,9
PF02793,23,51
PF02798,15,35
PF02799,2,16
PF02800,2,9
PF02801,2,9
PF02803,5,15
PF02806,6,17
PF02807,4,13
PF02809,16,37
PF02812,2,9
PF02815,10,48
PF02816,6,32
PF02817,3,11
PF02818,9,23
PF02820,29,63
PF02822,4,13
PF02823,1,7
PF02824,5,15
PF02825,14,33
PF02826,4,13
PF02827,3,11
PF02828,15,35
PF02833,2,9
PF02836,2,16
PF02837,2,16
PF02840,1,7
PF02841,9,44
PF02843,1,7
PF02844,1,7
PF02845,8,21
PF02847,7,19
PF02852,5,15
PF02854,12,56
PF02862,7,36
PF02864,7,19
PF02865,7,19
PF02866,9,23
PF02867,1,17
PF02870,1,7
PF02872,1,7
PF02874,5,15
PF02877,3,11
PF02878,6,17
PF02879,4,13
PF02880,4,13
PF02881,2,9
PF02882,4,13
PF02883,9,23
PF02885,1,7
PF02886,10,48
PF02887,2,9
PF02888,4,13
PF02889,7,53
PF02891,6,17
PF02892,10,25
PF02893,23,51
PF02897,2,23
PF02898,3,20
PF02902,8,40
PF02906,2,16
PF02910,1,7
PF02911,3,11
PF02913,3,20
PF02919,2,16
PF02921,2,9
PF02922,1,7
PF02926,3,11
PF02928,5,15
PF02931,46,192
PF02932,49,305
PF02933,2,9
PF02934,1,12
PF02935,1,7
PF02936,2,9
PF02937,1,7
PF02938,1,7
PF02939,1,7
PF02946,15,35
PF02947,1,7
PF02948,2,9
PF02953,6,17
PF02961,2,9
PF02965,1,12
PF02966,2,9
PF02969,2,9
PF02970,1,7
PF02971,1,7
PF02978,1,7
PF02984,14,64
PF02985,11,27
PF02988,1,7
PF02990,4,35
PF02991,8,21
PF02994,2,9
PF02996,4,13
PF03002,2,9
PF03006,10,48
PF03009,7,53
PF03015,2,9
PF03016,4,24
PF03020,7,19
PF03024,8,40
PF03028,15,35
PF03029,3,20
PF03031,8,21
PF03034,2,16
PF03036,5,41
PF03039,1,12
PF03045,5,15
PF03051,1,17
PF03054,1,12
PF03055,3,29
PF03061,12,29
PF03062,11,77
PF03066,3,11
PF03068,5,41
PF03071,2,23
PF03073,2,9
PF03074,1,22
PF03079,1,7
PF03081,1,12
PF03083,2,9
PF03088,1,7
PF03089,1,12
